Counts for Samsung(12) in Australia(1):
Hour	Location Index	Count
0	0	3
1	0	4
2	0	7
3	0	3
4	0	6
5	0	7
6	0	5
7	0	7
8	0	10
9	0	9
10	0	13
11	0	15
12	0	8
13	0	8
14	0	3
15	0	3
16	0	2
17	0	2
18	0	2
19	0	8
20	0	7
21	0	5
22	0	10
23	0	6
0	1	0
1	1	0
2	1	0
3	1	0
4	1	0
5	1	0
6	1	0
7	1	0
8	1	0
9	1	0
10	1	0
11	1	0
12	1	0
13	1	0
14	1	0
15	1	0
16	1	0
17	1	0
18	1	0
19	1	0
20	1	0
21	1	0
22	1	0
23	1	0
0	2	0
1	2	24
2	2	10
3	2	5
4	2	10
5	2	5
6	2	10
7	2	24
8	2	15
9	2	19
10	2	10
11	2	10
12	2	0
13	2	5
14	2	0
15	2	0
16	2	0
17	2	0
18	2	0
19	2	5
20	2	0
21	2	10
22	2	0
23	2	5
0	3	0
1	3	4
2	3	10
3	3	0
4	3	0
5	3	0
6	3	14
7	3	7
8	3	14
9	3	10
10	3	10
11	3	10
12	3	0
13	3	4
14	3	4
15	3	0
16	3	0
17	3	0
18	3	0
19	3	14
20	3	0
21	3	0
22	3	0
23	3	10
0	4	12
1	4	12
2	4	17
3	4	7
4	4	12
5	4	14
6	4	8
7	4	12
8	4	16
9	4	22
10	4	12
11	4	8
12	4	9
13	4	4
14	4	3
15	4	3
16	4	3
17	4	2
18	4	2
19	4	4
20	4	7
21	4	11
22	4	17
23	4	7
0	5	7
1	5	8
2	5	8
3	5	8
4	5	6
5	5	9
6	5	9
7	5	13
8	5	11
9	5	14
10	5	12
11	5	9
12	5	7
13	5	5
14	5	3
15	5	1
16	5	2
17	5	2
18	5	2
19	5	3
20	5	5
21	5	6
22	5	7
23	5	5
0	6	10
1	6	4
2	6	7
3	6	7
4	6	5
5	6	4
6	6	18
7	6	7
8	6	7
9	6	11
10	6	20
11	6	10
12	6	7
13	6	11
14	6	3
15	6	1
16	6	3
17	6	0
18	6	0
19	6	4
20	6	3
21	6	6
22	6	8
23	6	12
0	7	9
1	7	7
2	7	5
3	7	7
4	7	8
5	7	9
6	7	10
7	7	11
8	7	8
9	7	17
10	7	12
11	7	14
12	7	9
13	7	6
14	7	2
15	7	1
16	7	1
17	7	2
18	7	2
19	7	3
20	7	8
21	7	7
22	7	7
23	7	7
0	8	6
1	8	7
2	8	7
3	8	7
4	8	7
5	8	10
6	8	11
7	8	11
8	8	16
9	8	16
10	8	14
11	8	15
12	8	7
13	8	6
14	8	3
15	8	2
16	8	1
17	8	2
18	8	2
19	8	4
20	8	6
21	8	7
22	8	6
23	8	7
0	9	0
1	9	0
2	9	0
3	9	0
4	9	11
5	9	6
6	9	16
7	9	20
8	9	20
9	9	25
10	9	16
11	9	0
12	9	16
13	9	0
14	9	6
15	9	0
16	9	0
17	9	0
18	9	0
19	9	0
20	9	6
21	9	16
22	9	16
23	9	0
0	10	0
1	10	0
2	10	0
3	10	0
4	10	0
5	10	0
6	10	0
7	10	0
8	10	0
9	10	0
10	10	0
11	10	0
12	10	0
13	10	0
14	10	0
15	10	0
16	10	0
17	10	0
18	10	0
19	10	0
20	10	0
21	10	0
