Counts for Apple(2) in Australia(1):
Hour	Location Index	Count
0	0	32
1	0	31
2	0	34
3	0	39
4	0	44
5	0	51
6	0	53
7	0	49
8	0	53
9	0	75
10	0	76
11	0	71
12	0	50
13	0	32
14	0	12
15	0	6
16	0	3
17	0	5
18	0	6
19	0	20
20	0	36
21	0	37
22	0	27
23	0	29
0	1	0
1	1	0
2	1	0
3	1	0
4	1	0
5	1	0
6	1	0
7	1	0
8	1	0
9	1	0
10	1	230
11	1	175
12	1	0
13	1	0
14	1	0
15	1	0
16	1	0
17	1	0
18	1	0
19	1	0
20	1	0
21	1	0
22	1	0
23	1	0
0	2	28
1	2	19
2	2	28
3	2	48
4	2	32
5	2	74
6	2	56
7	2	52
8	2	71
9	2	56
10	2	56
11	2	56
12	2	67
13	2	28
14	2	24
15	2	15
16	2	5
17	2	0
18	2	0
19	2	10
20	2	24
21	2	45
22	2	19
23	2	19
0	3	20
1	3	49
2	3	52
3	3	52
4	3	35
5	3	43
6	3	49
7	3	65
8	3	88
9	3	79
10	3	84
11	3	41
12	3	62
13	3	10
14	3	7
15	3	4
16	3	0
17	3	4
18	3	7
19	3	29
20	3	29
21	3	38
22	3	32
23	3	20
0	4	31
1	4	44
2	4	34
3	4	34
4	4	37
5	4	49
6	4	49
7	4	42
8	4	50
9	4	56
10	4	59
11	4	58
12	4	30
13	4	18
14	4	11
15	4	8
16	4	8
17	4	4
18	4	10
19	4	18
20	4	25
21	4	27
22	4	36
23	4	38
0	5	38
1	5	40
2	5	40
3	5	40
4	5	42
5	5	49
6	5	57
7	5	57
8	5	65
9	5	75
10	5	69
11	5	61
12	5	39
13	5	23
14	5	12
15	5	6
16	5	4
17	5	5
18	5	6
19	5	17
20	5	26
21	5	36
22	5	41
23	5	38
0	6	29
1	6	35
2	6	29
3	6	35
4	6	45
5	6	46
6	6	54
7	6	54
8	6	62
9	6	82
10	6	68
11	6	64
12	6	42
13	6	26
14	6	5
15	6	11
16	6	7
17	6	13
18	6	11
19	6	19
20	6	26
21	6	36
22	6	38
23	6	36
0	7	35
1	7	35
2	7	30
3	7	32
4	7	39
5	7	46
6	7	55
7	7	57
8	7	63
9	7	73
10	7	69
11	7	65
12	7	39
13	7	27
14	7	15
15	7	7
16	7	4
17	7	3
18	7	6
19	7	18
20	7	34
21	7	31
22	7	36
23	7	39
0	8	34
1	8	33
2	8	39
3	8	34
4	8	36
5	8	46
6	8	47
7	8	58
8	8	63
9	8	74
10	8	76
11	8	66
12	8	45
13	8	23
14	8	13
15	8	6
16	8	5
17	8	4
18	8	8
19	8	20
20	8	31
21	8	32
22	8	36
23	8	34
0	9	25
1	9	11
2	9	25
3	9	60
4	9	52
5	9	34
6	9	48
7	9	56
8	9	60
9	9	68
10	9	68
11	9	79
12	9	20
13	9	52
14	9	6
15	9	6
16	9	6
17	9	11
18	9	0
19	9	16
20	9	43
21	9	39
22	9	43
23	9	16
0	10	0
1	10	0
2	10	0
3	10	0
4	10	0
5	10	0
6	10	0
7	10	61
8	10	107
9	10	107
10	10	169
11	10	169
12	10	0
13	10	0
14	10	0
15	10	0
16	10	0
17	10	0
18	10	0
19	10	0
20	10	0
21	10	0
22	10	0
23	10	0
0	11	28
1	11	27
2	11	23
3	11	28
