Counts for Samsung(12) in Czech Republic(10):
Hour	Location Index	Count
0	0	0
1	0	0
2	0	0
3	0	0
4	0	60
5	0	0
6	0	32
7	0	32
8	0	60
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	32
19	0	32
20	0	0
21	0	0
22	0	0
23	0	0
0	1	0
1	1	0
2	1	15
3	1	29
4	1	0
5	1	29
6	1	15
7	1	15
8	1	42
9	1	0
10	1	0
11	1	0
12	1	15
13	1	0
14	1	15
15	1	15
16	1	15
17	1	15
18	1	15
19	1	29
20	1	15
21	1	0
22	1	29
23	1	0
0	2	3
1	2	2
2	2	2
3	2	2
4	2	9
5	2	10
6	2	9
7	2	12
8	2	2
9	2	9
10	2	5
11	2	7
12	2	11
13	2	6
14	2	8
15	2	11
16	2	16
17	2	17
18	2	20
19	2	23
20	2	24
21	2	8
22	2	3
23	2	3
0	3	0
1	3	0
2	3	0
3	3	51
4	3	0
5	3	0
6	3	0
7	3	51
8	3	0
9	3	0
10	3	0
11	3	0
12	3	0
13	3	0
14	3	0
15	3	0
16	3	0
17	3	0
18	3	0
19	3	0
20	3	51
21	3	51
22	3	0
23	3	0
0	4	0
1	4	0
2	4	0
3	4	3
4	4	6
5	4	26
6	4	8
7	4	14
8	4	3
9	4	11
10	4	8
11	4	8
12	4	14
13	4	3
14	4	14
15	4	6
16	4	19
17	4	26
18	4	16
19	4	16
20	4	19
21	4	11
22	4	0
23	4	0
0	5	0
1	5	0
2	5	0
3	5	0
4	5	0
5	5	75
6	5	0
7	5	0
8	5	0
9	5	0
10	5	28
11	5	0
12	5	0
13	5	0
14	5	0
15	5	75
16	5	0
17	5	0
18	5	28
19	5	53
20	5	0
21	5	0
22	5	0
23	5	0
0	6	0
1	6	0
2	6	0
3	6	0
4	6	4
5	6	12
6	6	41
7	6	12
8	6	12
9	6	0
10	6	0
11	6	0
12	6	4
13	6	4
14	6	41
15	6	20
16	6	23
17	6	20
18	6	37
19	6	20
20	6	4
21	6	0
22	6	8
23	6	0
0	7	3
1	7	0
2	7	3
3	7	3
4	7	5
5	7	17
6	7	21
7	7	15
8	7	7
9	7	13
10	7	3
11	7	13
12	7	19
13	7	21
14	7	15
15	7	3
16	7	13
17	7	11
18	7	23
19	7	45
20	7	34
21	7	30
22	7	7
23	7	7
0	8	0
1	8	0
2	8	0
3	8	0
4	8	0
5	8	7
6	8	0
7	8	14
8	8	0
9	8	20
10	8	0
11	8	20
12	8	0
13	8	0
14	8	0
15	8	0
16	8	0
17	8	14
18	8	49
19	8	14
20	8	7
21	8	7
22	8	0
23	8	0
0	9	37
1	9	0
2	9	68
3	9	68
4	9	0
5	9	95
6	9	0
7	9	0
8	9	0
9	9	0
10	9	0
11	9	0
12	9	0
13	9	0
14	9	0
15	9	0
16	9	0
17	9	37
18	9	0
19	9	0
20	9	0
21	9	0
22	9	0
23	9	0
0	10	0
1	10	0
2	10	0
3	10	9
4	10	87
5	10	9
6	10	9
7	10	25
8	10	17
9	10	17
10	10	9
11	10	9
12	10	68
13	10	68
14	10	81
15	10	81
16	10	92
17	10	55
18	10	68
19	10	17
20	10	9
21	10	33
22	10	0
23	10	0
0	11	4
1	11	4
2	11	10
3	11	0
4	11	5
5	11	5
6	11	8
7	11	17
8	11	13
9	11	10
10	11	5
11	11	7
12	11	5
13	11	5
14	11	8
15	11	19
16	11	36
17	11	11
18	11	14
19	11	10
20	11	16
21	11	10
22	11	2
23	11	4
0	12	0
1	12	0
2	12	0
3	12	23
4	12	0
5	12	0
6	12	0
7	12	23
8	12	23
9	12	0
10	12	0
11	12	0
12	12	23
13	12	0
14	12	0
15	12	0
16	12	0
17	12	0
18	12	43
19	12	43
20	12	62
21	12	0
22	12	23
23	12	0
0	13	4
1	13	0
2	13	0
3	13	2
4	13	4
5	13	17
6	13	6
7	13	6
8	13	8
9	13	10
10	13	12
11	13	10
12	13	10
13	13	14
14	13	16
15	13	16
16	13	16
17	13	26
18	13	23
19	13	14
20	13	12
21	13	12
22	13	4
23	13	0
0	14	0
1	14	0
2	14	0
3	14	0
4	14	43
5	14	0
6	14	16
7	14	0
8	14	16
9	14	16
10	14	68
11	14	0
12	14	30
13	14	30
14	14	0
15	14	68
16	14	109
17	14	56
18	14	56
19	14	90
20	14	43
21	14	16
22	14	30
23	14	0
0	15	0
1	15	0
2	15	0
3	15	11
4	15	0
5	15	0
6	15	11
7	15	11
8	15	0
9	15	0
10	15	0
11	15	0
12	15	11
13	15	31
14	15	0
15	15	0
16	15	11
17	15	31
18	15	58
19	15	0
20	15	88
21	15	49
22	15	11
23	15	0
0	16	0
1	16	0
2	16	0
3	16	0
4	16	0
5	16	0
6	16	0
7	16	0
8	16	0
9	16	0
10	16	43
11	16	0
12	16	0
13	16	0
14	16	0
15	16	0
16	16	43
17	16	0
18	16	0
19	16	0
20	16	79
21	16	0
22	16	0
23	16	0
0	17	0
1	17	0
2	17	0
3	17	0
4	17	0
5	17	43
6	17	23
7	17	62
8	17	0
9	17	23
10	17	0
11	17	23
12	17	0
13	17	0
14	17	0
15	17	0
16	17	0
17	17	79
18	17	0
19	17	43
20	17	0
21	17	0
22	17	0
23	17	0
0	18	0
1	18	0
2	18	0
3	18	0
4	18	0
5	18	0
6	18	0
7	18	0
8	18	12
9	18	12
10	18	0
11	18	12
12	18	12
13	18	23
14	18	0
15	18	0
16	18	12
17	18	0
18	18	44
19	18	34
20	18	0
21	18	0
22	18	0
23	18	12
0	19	0
1	19	0
2	19	0
3	19	0
4	19	8
5	19	8
6	19	20
7	19	20
8	19	8
9	19	8
10	19	12
11	19	16
12	19	38
13	19	27
14	19	20
15	19	20
16	19	20
17	19	24
18	19	12
19	19	16
20	19	31
21	19	5
22	19	8
23	19	0
0	20	0
1	20	0
2	20	0
3	20	0
4	20	0
5	20	95
6	20	0
7	20	19
8	20	0
9	20	0
10	20	19
11	20	0
12	20	19
13	20	0
14	20	0
15	20	53
16	20	53
17	20	118
18	20	0
19	20	82
20	20	19
21	20	0
22	20	0
23	20	0
0	21	5
1	21	0
2	21	0
3	21	0
4	21	0
5	21	0
6	21	16
7	21	38
8	21	24
9	21	38
10	21	38
11	21	20
12	21	5
13	21	20
14	21	8
15	21	27
16	21	20
17	21	41
18	21	38
19	21	27
20	21	24
21	21	5
22	21	0
23	21	5
0	22	0
1	22	0
2	22	0
3	22	7
4	22	7
5	22	0
6	22	0
7	22	0
8	22	0
9	22	0
10	22	7
11	22	30
12	22	0
13	22	13
14	22	0
15	22	24
16	22	24
17	22	13
18	22	30
19	22	24
20	22	18
21	22	13
22	22	0
23	22	0
0	23	0
1	23	0
2	23	0
3	23	0
4	23	34
5	23	63
6	23	88
7	23	110
8	23	0
9	23	0
10	23	0
11	23	34
12	23	88
13	23	0
14	23	34
