Counts for Apple(2) in Czech Republic(10):
Hour	Location Index	Count
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	32
8	0	0
9	0	32
10	0	0
11	0	0
12	0	32
13	0	0
14	0	32
15	0	0
16	0	0
17	0	32
18	0	0
19	0	32
20	0	0
21	0	60
22	0	0
23	0	0
0	1	15
1	1	0
2	1	15
3	1	15
4	1	0
5	1	0
6	1	0
7	1	15
8	1	0
9	1	29
10	1	15
11	1	15
12	1	0
13	1	0
14	1	0
15	1	0
16	1	15
17	1	0
18	1	29
19	1	42
20	1	15
21	1	15
22	1	0
23	1	0
0	2	0
1	2	2
2	2	4
3	2	0
4	2	3
5	2	11
6	2	9
7	2	15
8	2	13
9	2	17
10	2	16
11	2	20
12	2	14
13	2	16
14	2	14
15	2	31
16	2	27
17	2	36
18	2	32
19	2	22
20	2	22
21	2	8
22	2	4
23	2	8
0	3	0
1	3	0
2	3	0
3	3	0
4	3	0
5	3	0
6	3	0
7	3	0
8	3	0
9	3	0
10	3	123
11	3	0
12	3	0
13	3	123
14	3	0
15	3	0
16	3	0
17	3	91
18	3	0
19	3	0
20	3	0
21	3	0
22	3	0
23	3	0
0	4	3
1	4	0
2	4	0
3	4	3
4	4	19
5	4	16
6	4	11
7	4	21
8	4	44
9	4	14
10	4	21
11	4	14
12	4	21
13	4	8
14	4	26
15	4	33
16	4	44
17	4	28
18	4	59
19	4	33
20	4	35
21	4	35
22	4	16
23	4	6
0	5	0
1	5	0
2	5	0
3	5	0
4	5	0
5	5	53
6	5	28
7	5	0
8	5	0
9	5	0
10	5	0
11	5	28
12	5	53
13	5	28
14	5	0
15	5	0
16	5	28
17	5	28
18	5	128
19	5	0
20	5	0
21	5	53
22	5	0
23	5	0
0	6	4
1	6	0
2	6	4
3	6	0
4	6	16
5	6	69
6	6	41
7	6	30
8	6	23
9	6	20
10	6	16
11	6	4
12	6	23
13	6	20
14	6	8
15	6	41
16	6	50
17	6	50
18	6	50
19	6	44
20	6	72
21	6	57
22	6	34
23	6	4
0	7	0
1	7	0
2	7	5
3	7	13
4	7	13
5	7	15
6	7	17
7	7	9
8	7	13
9	7	11
10	7	21
11	7	25
12	7	28
13	7	25
14	7	21
15	7	17
16	7	17
17	7	28
18	7	13
19	7	19
20	7	34
21	7	17
22	7	7
23	7	9
0	8	20
1	8	32
2	8	14
3	8	14
4	8	14
5	8	44
6	8	26
7	8	20
8	8	32
9	8	32
10	8	0
11	8	0
12	8	20
13	8	20
14	8	7
15	8	26
16	8	20
17	8	7
18	8	49
19	8	38
20	8	14
21	8	14
22	8	20
23	8	32
0	9	0
1	9	0
2	9	0
3	9	0
4	9	37
5	9	0
6	9	0
7	9	0
8	9	0
9	9	68
10	9	37
11	9	0
12	9	0
13	9	0
14	9	0
15	9	37
16	9	0
17	9	0
18	9	0
19	9	37
20	9	0
21	9	37
22	9	0
23	9	0
0	10	0
1	10	0
2	10	0
3	10	0
4	10	0
5	10	0
6	10	0
7	10	9
8	10	0
9	10	0
10	10	0
11	10	0
12	10	9
13	10	0
14	10	0
15	10	0
16	10	0
17	10	0
18	10	0
19	10	9
20	10	0
21	10	0
22	10	0
23	10	0
0	11	2
1	11	2
2	11	0
3	11	0
4	11	2
5	11	10
6	11	30
7	11	5
8	11	10
9	11	16
10	11	10
11	11	13
12	11	19
13	11	11
14	11	8
15	11	16
16	11	11
17	11	17
18	11	23
19	11	23
20	11	11
21	11	13
22	11	0
23	11	0
0	12	23
1	12	0
2	12	23
3	12	0
4	12	0
5	12	0
6	12	0
7	12	23
8	12	23
9	12	0
10	12	43
11	12	0
12	12	23
13	12	23
14	12	23
15	12	62
16	12	23
17	12	79
18	12	23
19	12	0
20	12	23
21	12	95
22	12	23
23	12	0
0	13	0
1	13	0
2	13	0
3	13	0
4	13	4
5	13	2
6	13	10
7	13	6
8	13	8
9	13	8
10	13	6
11	13	8
12	13	19
13	13	16
14	13	21
15	13	17
16	13	17
17	13	17
18	13	6
19	13	21
20	13	19
21	13	8
22	13	4
23	13	6
0	14	0
1	14	0
2	14	0
3	14	0
4	14	0
5	14	0
6	14	0
7	14	16
8	14	0
9	14	0
10	14	0
11	14	16
12	14	0
13	14	0
14	14	0
15	14	0
16	14	16
17	14	0
18	14	0
19	14	0
20	14	0
21	14	0
22	14	0
23	14	16
0	15	0
1	15	0
2	15	0
3	15	11
4	15	11
5	15	0
6	15	0
7	15	0
8	15	0
9	15	21
10	15	21
11	15	0
12	15	0
13	15	0
14	15	11
15	15	21
16	15	0
17	15	11
18	15	21
19	15	11
20	15	0
21	15	0
22	15	0
23	15	0
0	16	0
1	16	0
2	16	0
3	16	0
4	16	0
5	16	0
6	16	43
7	16	0
8	16	43
9	16	0
10	16	43
11	16	0
12	16	0
13	16	43
14	16	43
15	16	0
16	16	43
17	16	0
18	16	43
19	16	0
20	16	79
21	16	0
22	16	0
23	16	0
0	17	0
1	17	0
2	17	0
3	17	0
4	17	0
5	17	0
6	17	0
7	17	0
8	17	0
9	17	0
10	17	0
11	17	0
12	17	0
13	17	0
14	17	0
15	17	0
16	17	0
17	17	0
18	17	0
19	17	0
20	17	23
21	17	62
22	17	0
23	17	0
0	18	0
1	18	0
2	18	0
3	18	0
4	18	0
5	18	12
6	18	0
7	18	0
8	18	12
9	18	23
10	18	54
11	18	0
12	18	23
13	18	0
14	18	34
15	18	12
16	18	12
17	18	0
18	18	0
19	18	12
20	18	54
21	18	12
22	18	0
23	18	12
0	19	0
1	19	0
2	19	0
3	19	0
4	19	24
5	19	5
6	19	20
7	19	5
8	19	24
9	19	16
10	19	12
11	19	8
12	19	8
13	19	8
14	19	12
15	19	16
16	19	24
17	19	24
18	19	38
19	19	55
20	19	41
21	19	38
22	19	24
23	19	0
0	20	0
1	20	0
2	20	0
3	20	0
4	20	0
5	20	0
6	20	19
7	20	0
8	20	0
9	20	0
10	20	0
11	20	0
12	20	19
13	20	19
14	20	19
15	20	0
16	20	19
17	20	19
18	20	37
19	20	68
20	20	19
21	20	0
22	20	19
23	20	0
0	21	0
1	21	0
2	21	0
3	21	0
4	21	5
5	21	27
6	21	16
7	21	20
8	21	24
9	21	31
10	21	24
11	21	24
12	21	8
13	21	24
14	21	12
15	21	24
16	21	35
17	21	27
18	21	12
19	21	24
20	21	35
21	21	12
22	21	16
23	21	16
0	22	0
1	22	0
2	22	0
3	22	0
4	22	0
5	22	0
6	22	24
7	22	13
8	22	13
9	22	7
10	22	0
11	22	24
12	22	30
13	22	7
14	22	13
15	22	18
16	22	40
17	22	18
18	22	40
19	22	30
20	22	35
21	22	7
22	22	7
23	22	0
0	23	0
1	23	0
2	23	0
3	23	0
4	23	0
5	23	0
6	23	0
7	23	0
8	23	0
9	23	0
10	23	0
11	23	0
12	23	0
13	23	0
14	23	34
