Counts for Samsung(12) in Denmark(11):
Hour	Location Index	Count
0	0	0
1	0	0
2	0	0
3	0	0
4	0	18
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	76
20	0	0
21	0	0
22	0	0
23	0	0
0	1	3
1	1	2
2	1	2
3	1	2
4	1	4
5	1	5
6	1	8
7	1	8
8	1	6
9	1	7
10	1	7
11	1	8
12	1	8
13	1	7
14	1	9
15	1	10
16	1	10
17	1	11
18	1	11
19	1	10
20	1	13
21	1	7
22	1	6
23	1	3
0	2	0
1	2	0
2	2	0
3	2	2
4	2	4
5	2	2
6	2	4
7	2	6
8	2	4
9	2	5
10	2	7
11	2	5
12	2	3
13	2	6
14	2	6
15	2	8
16	2	4
17	2	8
18	2	9
19	2	9
20	2	9
21	2	5
22	2	3
23	2	4
0	3	0
1	3	0
2	3	0
3	3	10
4	3	5
5	3	4
6	3	7
7	3	20
8	3	11
9	3	7
10	3	5
11	3	0
12	3	11
13	3	11
14	3	11
15	3	18
16	3	4
17	3	40
18	3	45
19	3	58
20	3	35
21	3	18
22	3	8
23	3	7
0	4	2
1	4	2
2	4	1
3	4	2
4	4	3
5	4	5
6	4	10
7	4	8
8	4	9
9	4	8
10	4	9
11	4	8
12	4	9
13	4	8
14	4	10
15	4	11
16	4	12
17	4	13
18	4	14
19	4	13
20	4	12
21	4	7
22	4	6
23	4	3
0	5	5
1	5	0
2	5	0
3	5	4
4	5	8
5	5	9
6	5	9
7	5	11
8	5	12
9	5	4
10	5	8
11	5	6
12	5	5
13	5	6
14	5	5
15	5	13
16	5	13
17	5	7
18	5	12
19	5	11
20	5	13
21	5	8
22	5	0
23	5	3
0	6	4
1	6	4
2	6	4
3	6	4
4	6	22
5	6	11
6	6	18
7	6	15
8	6	22
9	6	11
10	6	22
11	6	4
12	6	22
13	6	11
14	6	4
15	6	0
16	6	8
17	6	18
18	6	22
19	6	15
20	6	25
21	6	15
22	6	4
23	6	0
0	7	1
1	7	1
2	7	1
3	7	1
4	7	3
5	7	4
6	7	7
7	7	8
8	7	11
9	7	10
10	7	8
11	7	9
12	7	9
13	7	9
14	7	11
15	7	11
16	7	14
17	7	17
18	7	19
19	7	18
20	7	17
21	7	10
22	7	5
23	7	3
0	8	5
1	8	0
2	8	0
3	8	2
4	8	11
5	8	29
6	8	17
7	8	5
8	8	11
9	8	10
10	8	17
11	8	25
12	8	9
13	8	7
14	8	18
15	8	15
16	8	13
17	8	25
18	8	23
19	8	28
20	8	13
21	8	5
22	8	2
23	8	3
0	9	0
1	9	0
2	9	0
3	9	0
4	9	11
5	9	20
6	9	0
7	9	0
8	9	20
9	9	0
10	9	0
11	9	0
12	9	0
13	9	0
14	9	11
15	9	0
16	9	11
17	9	11
18	9	16
19	9	16
20	9	0
21	9	0
22	9	0
23	9	0
0	10	0
1	10	0
2	10	0
3	10	0
4	10	0
5	10	0
6	10	0
7	10	0
8	10	0
9	10	0
10	10	0
11	10	0
12	10	0
13	10	0
14	10	0
15	10	17
16	10	17
17	10	0
18	10	0
19	10	0
20	10	0
21	10	0
22	10	0
23	10	0
0	11	0
1	11	0
2	11	0
3	11	0
4	11	0
5	11	0
6	11	0
7	11	0
8	11	4
9	11	0
10	11	0
11	11	14
12	11	4
13	11	4
14	11	0
15	11	0
16	11	4
17	11	11
18	11	8
19	11	4
20	11	0
21	11	4
22	11	0
23	11	0
0	12	0
1	12	0
2	12	0
3	12	0
4	12	0
5	12	0
6	12	4
7	12	24
8	12	0
9	12	7
10	12	7
11	12	0
12	12	7
13	12	4
14	12	0
15	12	0
16	12	0
17	12	0
18	12	0
19	12	0
20	12	0
21	12	0
22	12	0
23	12	0
0	13	0
1	13	0
2	13	0
3	13	0
4	13	0
5	13	0
6	13	0
7	13	0
8	13	0
9	13	0
10	13	15
11	13	0
12	13	15
13	13	8
14	13	8
15	13	8
16	13	0
17	13	22
18	13	15
19	13	8
20	13	15
21	13	8
22	13	8
23	13	0
0	14	0
1	14	3
2	14	3
3	14	11
4	14	16
5	14	3
6	14	8
7	14	21
8	14	25
9	14	18
10	14	21
11	14	8
12	14	16
13	14	23
14	14	3
15	14	6
16	14	0
17	14	8
18	14	0
19	14	11
20	14	6
21	14	8
22	14	0
23	14	3
0	15	6
1	15	0
2	15	0
3	15	0
4	15	0
5	15	16
6	15	0
7	15	26
8	15	11
9	15	21
10	15	31
11	15	6
12	15	6
13	15	6
14	15	26
15	15	0
16	15	6
17	15	6
18	15	6
19	15	31
20	15	21
21	15	16
22	15	11
23	15	0
0	16	0
1	16	0
2	16	20
3	16	29
4	16	20
5	16	13
6	16	14
7	16	11
8	16	11
9	16	14
10	16	11
11	16	9
12	16	11
13	16	5
14	16	11
15	16	7
16	16	9
17	16	33
18	16	31
19	16	16
20	16	24
21	16	13
22	16	14
23	16	18
0	17	2
1	17	2
2	17	2
3	17	4
4	17	4
5	17	8
6	17	9
7	17	9
8	17	9
9	17	9
10	17	10
11	17	9
12	17	10
13	17	10
14	17	14
15	17	15
16	17	14
17	17	18
18	17	20
19	17	19
20	17	17
21	17	9
22	17	7
23	17	3
0	18	7
1	18	4
2	18	1
3	18	1
4	18	3
5	18	7
6	18	9
7	18	9
8	18	8
9	18	7
10	18	9
11	18	11
12	18	10
13	18	21
14	18	17
15	18	10
16	18	20
17	18	19
18	18	10
19	18	19
20	18	14
21	18	12
22	18	11
23	18	9
0	19	0
1	19	0
2	19	0
3	19	0
4	19	5
5	19	10
6	19	13
7	19	8
8	19	0
9	19	18
10	19	18
11	19	10
12	19	10
13	19	8
14	19	15
15	19	20
16	19	15
17	19	24
18	19	50
19	19	29
20	19	18
21	19	0
22	19	10
23	19	0
0	20	0
1	20	0
2	20	0
3	20	0
4	20	0
5	20	3
6	20	8
7	20	3
8	20	3
9	20	6
10	20	11
11	20	8
12	20	18
13	20	8
14	20	21
15	20	6
16	20	8
17	20	28
18	20	23
19	20	25
20	20	23
21	20	11
22	20	3
23	20	3
0	21	6
1	21	0
2	21	2
3	21	0
4	21	6
5	21	16
6	21	7
7	21	14
8	21	19
9	21	13
10	21	11
11	21	9
12	21	14
13	21	19
14	21	30
15	21	9
16	21	6
17	21	21
18	21	22
19	21	26
20	21	24
21	21	11
22	21	0
23	21	0
0	22	0
1	22	2
2	22	0
3	22	0
4	22	5
5	22	6
6	22	6
7	22	3
8	22	5
9	22	4
10	22	12
11	22	3
12	22	5
13	22	4
14	22	11
15	22	10
16	22	6
17	22	19
18	22	15
19	22	21
20	22	16
21	22	6
22	22	5
23	22	7
0	23	0
1	23	0
2	23	0
3	23	0
4	23	0
5	23	0
6	23	0
7	23	0
8	23	18
9	23	0
10	23	6
11	23	6
12	23	6
13	23	6
14	23	12
15	23	6
