Counts for Apple(2) in Denmark(11):
Hour	Location Index	Count
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	34
6	0	0
7	0	18
8	0	18
9	0	18
10	0	18
11	0	0
12	0	76
13	0	63
14	0	63
15	0	34
16	0	76
17	0	88
18	0	76
19	0	129
20	0	88
21	0	76
22	0	34
23	0	0
0	1	9
1	1	5
2	1	4
3	1	5
4	1	14
5	1	26
6	1	36
7	1	38
8	1	38
9	1	38
10	1	37
11	1	37
12	1	40
13	1	38
14	1	47
15	1	51
16	1	47
17	1	58
18	1	63
19	1	70
20	1	59
21	1	43
22	1	24
23	1	15
0	2	7
1	2	4
2	2	7
3	2	5
4	2	15
5	2	28
6	2	37
7	2	49
8	2	53
9	2	45
10	2	44
11	2	49
12	2	45
13	2	36
14	2	46
15	2	54
16	2	41
17	2	53
18	2	61
19	2	64
20	2	59
21	2	45
22	2	27
23	2	13
0	3	7
1	3	2
2	3	0
3	3	0
4	3	17
5	3	15
6	3	21
7	3	38
8	3	35
9	3	39
10	3	28
11	3	27
12	3	31
13	3	34
14	3	45
15	3	35
16	3	35
17	3	57
18	3	63
19	3	40
20	3	49
21	3	31
22	3	14
23	3	15
0	4	7
1	4	5
2	4	4
3	4	6
4	4	15
5	4	26
6	4	32
7	4	38
8	4	41
9	4	42
10	4	36
11	4	37
12	4	39
13	4	40
14	4	45
15	4	48
16	4	47
17	4	61
18	4	64
19	4	65
20	4	62
21	4	43
22	4	26
23	4	14
0	5	3
1	5	3
2	5	7
3	5	4
4	5	11
5	5	18
6	5	28
7	5	22
8	5	44
9	5	37
10	5	36
11	5	46
12	5	41
13	5	39
14	5	36
15	5	47
16	5	55
17	5	59
18	5	65
19	5	75
20	5	71
21	5	42
22	5	14
23	5	12
0	6	11
1	6	0
2	6	0
3	6	4
4	6	0
5	6	18
6	6	41
7	6	25
8	6	41
9	6	28
10	6	47
11	6	25
12	6	28
13	6	41
14	6	35
15	6	62
16	6	41
17	6	47
18	6	47
19	6	78
20	6	62
21	6	18
22	6	4
23	6	11
0	7	5
1	7	4
2	7	2
3	7	6
4	7	13
5	7	21
6	7	29
7	7	36
8	7	38
9	7	33
10	7	34
11	7	33
12	7	37
13	7	39
14	7	41
15	7	44
16	7	45
17	7	52
18	7	65
19	7	66
20	7	61
21	7	44
22	7	19
23	7	7
0	8	0
1	8	0
2	8	3
3	8	9
4	8	15
5	8	15
6	8	42
7	8	23
8	8	22
9	8	30
10	8	28
11	8	38
12	8	57
13	8	33
14	8	47
15	8	32
16	8	50
17	8	66
18	8	57
19	8	61
20	8	39
21	8	43
22	8	14
23	8	10
0	9	0
1	9	0
2	9	6
3	9	11
4	9	11
5	9	16
6	9	20
7	9	34
8	9	34
9	9	34
10	9	39
11	9	67
12	9	67
13	9	43
14	9	30
15	9	67
16	9	82
17	9	79
18	9	82
19	9	79
20	9	47
21	9	34
22	9	6
23	9	0
0	10	0
1	10	0
2	10	0
3	10	0
4	10	60
5	10	0
6	10	32
7	10	0
8	10	60
9	10	32
10	10	60
11	10	0
12	10	0
13	10	17
14	10	85
15	10	73
16	10	73
17	10	96
18	10	96
19	10	60
20	10	85
21	10	60
22	10	32
23	10	17
0	11	8
1	11	4
2	11	11
3	11	24
4	11	28
5	11	49
6	11	71
7	11	24
8	11	24
9	11	40
10	11	37
11	11	52
12	11	63
13	11	60
14	11	68
15	11	63
16	11	49
17	11	55
18	11	55
19	11	74
20	11	43
21	11	34
22	11	21
23	11	18
0	12	0
1	12	0
2	12	0
3	12	0
4	12	27
5	12	14
6	12	56
7	12	81
8	12	79
9	12	99
10	12	84
11	12	90
12	12	59
13	12	74
14	12	50
15	12	30
16	12	27
17	12	33
18	12	39
19	12	39
20	12	24
21	12	24
22	12	7
23	12	4
0	13	8
1	13	0
2	13	0
3	13	8
4	13	8
5	13	8
6	13	22
7	13	28
8	13	22
9	13	8
10	13	22
11	13	28
12	13	15
13	13	35
14	13	47
15	13	64
16	13	53
17	13	70
18	13	28
19	13	47
20	13	59
21	13	59
22	13	15
23	13	0
0	14	3
1	14	0
2	14	3
3	14	11
4	14	23
5	14	11
6	14	46
7	14	60
8	14	74
9	14	56
10	14	74
11	14	84
12	14	50
13	14	70
14	14	62
15	14	18
16	14	21
17	14	11
18	14	30
19	14	8
20	14	13
21	14	11
22	14	11
23	14	11
0	15	11
1	15	6
2	15	11
3	15	45
4	15	11
5	15	11
6	15	67
7	15	36
8	15	16
9	15	16
10	15	21
11	15	21
12	15	21
13	15	31
14	15	54
15	15	36
16	15	41
17	15	41
18	15	62
19	15	67
20	15	50
21	15	36
22	15	6
23	15	0
0	16	7
1	16	0
2	16	7
3	16	3
4	16	24
5	16	38
6	16	33
7	16	33
8	16	26
9	16	31
10	16	22
11	16	45
12	16	33
13	16	38
14	16	35
15	16	33
16	16	47
17	16	58
18	16	45
19	16	55
20	16	66
21	16	26
22	16	14
23	16	9
0	17	6
1	17	4
2	17	5
3	17	9
4	17	15
5	17	24
6	17	31
7	17	33
8	17	34
9	17	33
10	17	33
11	17	37
12	17	36
13	17	37
14	17	40
15	17	42
16	17	46
17	17	53
18	17	60
19	17	69
20	17	55
21	17	35
22	17	21
23	17	9
0	18	8
1	18	4
2	18	2
3	18	8
4	18	16
5	18	27
6	18	21
7	18	30
8	18	35
9	18	28
10	18	33
11	18	36
12	18	37
13	18	37
14	18	47
15	18	51
16	18	48
17	18	48
18	18	65
19	18	60
20	18	59
21	18	44
22	18	29
23	18	16
0	19	0
1	19	0
2	19	0
3	19	0
4	19	0
5	19	15
6	19	36
7	19	10
8	19	20
9	19	15
10	19	36
11	19	33
12	19	38
13	19	29
14	19	44
15	19	36
16	19	60
17	19	54
18	19	82
19	19	73
20	19	40
21	19	29
22	19	8
23	19	3
0	20	3
1	20	3
2	20	3
3	20	8
4	20	43
5	20	39
6	20	37
7	20	25
8	20	18
9	20	43
10	20	32
11	20	39
12	20	39
13	20	39
14	20	37
15	20	52
16	20	48
17	20	56
18	20	50
19	20	60
20	20	58
21	20	39
22	20	8
23	20	6
0	21	4
1	21	0
2	21	0
3	21	6
4	21	27
5	21	17
6	21	17
7	21	35
8	21	32
9	21	30
10	21	24
11	21	29
12	21	32
13	21	38
14	21	41
15	21	22
16	21	47
17	21	70
18	21	74
19	21	79
20	21	45
21	21	41
22	21	14
23	21	11
0	22	3
1	22	2
2	22	0
3	22	4
4	22	15
5	22	27
6	22	34
7	22	44
8	22	30
9	22	15
10	22	27
11	22	35
12	22	37
13	22	30
14	22	48
15	22	65
16	22	54
17	22	69
18	22	68
19	22	63
20	22	59
21	22	37
22	22	21
23	22	10
0	23	12
1	23	0
2	23	0
3	23	23
4	23	6
5	23	12
6	23	58
7	23	28
8	23	23
9	23	34
10	23	12
11	23	44
12	23	23
13	23	12
14	23	53
15	23	34
