Counts for HTC(5) in Denmark(11):
Hour	Location Index	Count
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
0	1	1
1	1	1
2	1	1
3	1	1
4	1	1
5	1	2
6	1	2
7	1	2
8	1	2
9	1	2
10	1	2
11	1	2
12	1	2
13	1	2
14	1	2
15	1	2
16	1	3
17	1	4
18	1	3
19	1	3
20	1	2
21	1	2
22	1	2
23	1	2
0	2	0
1	2	1
2	2	0
3	2	0
4	2	1
5	2	1
6	2	2
7	2	1
8	2	1
9	2	2
10	2	2
11	2	1
12	2	1
13	2	2
14	2	3
15	2	2
16	2	4
17	2	2
18	2	1
19	2	3
20	2	2
21	2	2
22	2	1
23	2	0
0	3	0
1	3	0
2	3	0
3	3	0
4	3	0
5	3	0
6	3	0
7	3	0
8	3	0
9	3	0
10	3	0
11	3	0
12	3	4
13	3	4
14	3	0
15	3	0
16	3	4
17	3	0
18	3	0
19	3	5
20	3	0
21	3	0
22	3	2
23	3	0
0	4	1
1	4	1
2	4	0
3	4	1
4	4	1
5	4	1
6	4	2
7	4	1
8	4	1
9	4	2
10	4	2
11	4	1
12	4	2
13	4	2
14	4	1
15	4	2
16	4	2
17	4	3
18	4	3
19	4	3
20	4	3
21	4	2
22	4	2
23	4	1
0	5	0
1	5	0
2	5	0
3	5	0
4	5	0
5	5	0
6	5	0
7	5	0
8	5	3
9	5	4
10	5	0
11	5	2
12	5	0
13	5	3
14	5	0
15	5	0
16	5	2
17	5	3
18	5	4
19	5	0
20	5	2
21	5	0
22	5	0
23	5	0
0	6	0
1	6	0
2	6	0
3	6	4
4	6	8
5	6	0
6	6	0
7	6	8
8	6	0
9	6	0
10	6	0
11	6	0
12	6	0
13	6	0
14	6	4
15	6	0
16	6	0
17	6	4
18	6	4
19	6	0
20	6	0
21	6	0
22	6	0
23	6	0
0	7	0
1	7	1
2	7	1
3	7	2
4	7	1
5	7	2
6	7	2
7	7	2
8	7	2
9	7	2
10	7	2
11	7	1
12	7	2
13	7	1
14	7	2
15	7	2
16	7	2
17	7	2
18	7	2
19	7	2
20	7	3
21	7	2
22	7	1
23	7	0
0	8	2
1	8	0
2	8	0
3	8	0
4	8	0
5	8	2
6	8	0
7	8	2
8	8	0
9	8	0
10	8	0
11	8	0
12	8	0
13	8	0
14	8	2
15	8	2
16	8	2
17	8	0
18	8	5
19	8	2
20	8	2
21	8	0
22	8	0
23	8	0
0	9	0
1	9	0
2	9	0
3	9	0
4	9	0
5	9	0
6	9	0
7	9	6
8	9	11
9	9	0
10	9	11
11	9	0
12	9	0
13	9	0
14	9	11
15	9	6
16	9	6
17	9	6
18	9	0
19	9	0
20	9	6
21	9	0
22	9	0
23	9	0
0	10	0
1	10	0
2	10	0
3	10	0
4	10	0
5	10	0
6	10	0
7	10	0
8	10	0
9	10	0
10	10	0
11	10	0
12	10	0
13	10	0
14	10	0
15	10	0
16	10	0
17	10	0
18	10	0
19	10	0
20	10	0
21	10	0
22	10	0
23	10	0
0	11	0
1	11	0
2	11	0
3	11	0
4	11	0
5	11	0
6	11	0
7	11	0
8	11	0
9	11	4
10	11	0
11	11	0
12	11	0
13	11	0
14	11	0
15	11	4
16	11	0
17	11	0
18	11	0
19	11	0
20	11	0
21	11	0
22	11	0
23	11	0
0	12	0
1	12	0
2	12	0
3	12	0
4	12	0
5	12	4
6	12	0
7	12	0
8	12	0
9	12	0
10	12	0
11	12	0
12	12	0
13	12	0
14	12	0
15	12	0
16	12	0
17	12	0
18	12	0
19	12	0
20	12	0
21	12	0
22	12	0
23	12	0
0	13	0
1	13	0
2	13	0
3	13	0
4	13	0
5	13	0
6	13	0
7	13	0
8	13	0
9	13	0
10	13	0
11	13	8
12	13	8
13	13	0
14	13	22
15	13	0
16	13	0
17	13	0
18	13	0
19	13	0
20	13	8
21	13	0
22	13	8
23	13	0
0	14	0
1	14	0
2	14	0
3	14	0
4	14	0
5	14	0
6	14	0
7	14	3
8	14	0
9	14	3
10	14	3
11	14	0
12	14	0
13	14	0
14	14	6
15	14	0
16	14	0
17	14	0
18	14	0
19	14	0
20	14	3
21	14	0
22	14	0
23	14	0
0	15	0
1	15	0
2	15	0
3	15	0
4	15	0
5	15	0
6	15	0
7	15	0
8	15	0
9	15	0
10	15	0
11	15	0
12	15	0
13	15	0
14	15	0
15	15	0
16	15	0
17	15	0
18	15	0
19	15	0
20	15	6
21	15	0
22	15	0
23	15	0
0	16	0
1	16	0
2	16	0
3	16	0
4	16	0
5	16	0
6	16	0
7	16	0
8	16	0
9	16	0
10	16	0
11	16	3
12	16	0
13	16	5
14	16	0
15	16	0
16	16	5
17	16	0
18	16	0
19	16	0
20	16	3
21	16	0
22	16	0
23	16	0
0	17	1
1	17	0
2	17	1
3	17	1
4	17	1
5	17	2
6	17	2
7	17	2
8	17	2
9	17	2
10	17	3
11	17	2
12	17	2
13	17	2
14	17	3
15	17	3
16	17	2
17	17	4
18	17	2
19	17	2
20	17	2
21	17	2
22	17	3
23	17	1
0	18	1
1	18	0
2	18	1
3	18	0
4	18	4
5	18	2
6	18	2
7	18	1
8	18	2
9	18	2
10	18	2
11	18	2
12	18	2
13	18	1
14	18	1
15	18	2
16	18	0
17	18	2
18	18	3
19	18	4
20	18	2
21	18	2
22	18	2
23	18	1
0	19	0
1	19	0
2	19	0
3	19	0
4	19	0
5	19	0
6	19	0
7	19	0
8	19	0
9	19	0
10	19	3
11	19	0
12	19	0
13	19	0
14	19	0
15	19	5
16	19	0
17	19	5
18	19	3
19	19	3
20	19	0
21	19	0
22	19	0
23	19	0
0	20	6
1	20	0
2	20	0
3	20	0
4	20	0
5	20	0
6	20	0
7	20	0
8	20	0
9	20	0
10	20	0
11	20	0
12	20	0
13	20	0
14	20	0
15	20	0
16	20	0
17	20	0
18	20	0
19	20	0
20	20	0
21	20	0
22	20	0
23	20	0
0	21	0
1	21	0
2	21	0
3	21	0
4	21	0
5	21	0
6	21	0
7	21	0
8	21	0
9	21	0
10	21	0
11	21	0
12	21	2
13	21	4
14	21	4
15	21	4
16	21	0
17	21	6
18	21	0
19	21	4
20	21	0
21	21	2
22	21	0
23	21	0
0	22	0
1	22	0
2	22	0
3	22	0
4	22	2
5	22	2
6	22	3
7	22	2
8	22	0
9	22	5
10	22	4
11	22	8
12	22	8
13	22	4
14	22	2
15	22	0
16	22	3
17	22	3
18	22	8
19	22	3
20	22	3
21	22	2
22	22	2
23	22	0
0	23	0
1	23	0
2	23	0
3	23	0
4	23	0
5	23	0
6	23	0
7	23	6
8	23	0
9	23	0
10	23	0
11	23	12
12	23	0
13	23	0
14	23	0
15	23	0
