Counts for Nokia(10) in Egypt(12):
Hour	Location Index	Count
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	14
8	0	0
9	0	0
10	0	14
11	0	0
12	0	14
13	0	0
14	0	0
15	0	0
16	0	0
17	0	14
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
0	1	0
1	1	0
2	1	0
3	1	0
4	1	0
5	1	0
6	1	0
7	1	0
8	1	0
9	1	0
10	1	0
11	1	0
12	1	0
13	1	0
14	1	0
15	1	0
16	1	0
17	1	47
18	1	0
19	1	0
20	1	0
21	1	47
22	1	0
23	1	0
0	2	0
1	2	0
2	2	0
3	2	0
4	2	0
5	2	0
6	2	0
7	2	0
8	2	0
9	2	0
10	2	0
11	2	0
12	2	0
13	2	0
14	2	0
15	2	0
16	2	0
17	2	0
18	2	0
19	2	0
20	2	0
21	2	0
22	2	0
23	2	0
0	3	0
1	3	0
2	3	0
3	3	0
4	3	0
5	3	0
6	3	0
7	3	0
8	3	0
9	3	0
10	3	0
11	3	0
12	3	0
13	3	32
14	3	0
15	3	0
16	3	0
17	3	0
18	3	0
19	3	0
20	3	0
21	3	0
22	3	17
23	3	0
0	4	0
1	4	0
2	4	0
3	4	7
4	4	0
5	4	0
6	4	0
7	4	0
8	4	0
9	4	0
10	4	0
11	4	20
12	4	0
13	4	0
14	4	0
15	4	0
16	4	0
17	4	0
18	4	0
19	4	0
20	4	0
21	4	0
22	4	0
23	4	0
0	5	0
1	5	0
2	5	0
3	5	0
4	5	0
5	5	0
6	5	0
7	5	0
8	5	0
9	5	0
10	5	0
11	5	0
12	5	0
13	5	5
14	5	0
15	5	0
16	5	0
17	5	0
18	5	5
19	5	0
20	5	5
21	5	0
22	5	0
23	5	0
0	6	0
1	6	0
2	6	0
3	6	0
4	6	0
5	6	0
6	6	0
7	6	0
8	6	0
9	6	0
10	6	0
11	6	0
12	6	0
13	6	0
14	6	0
15	6	0
16	6	0
17	6	0
18	6	0
19	6	0
20	6	0
21	6	0
22	6	0
23	6	0
0	7	0
1	7	0
2	7	0
3	7	0
4	7	36
5	7	0
6	7	0
7	7	0
8	7	0
9	7	0
10	7	0
11	7	0
12	7	0
13	7	0
14	7	0
15	7	0
16	7	0
17	7	0
18	7	19
19	7	0
20	7	0
21	7	0
22	7	0
23	7	0
0	8	0
1	8	2
2	8	3
3	8	3
4	8	1
5	8	1
6	8	2
7	8	0
8	8	2
9	8	1
10	8	2
11	8	2
12	8	1
13	8	2
14	8	0
15	8	0
16	8	3
17	8	2
18	8	1
19	8	0
20	8	2
21	8	4
22	8	2
23	8	4
0	9	0
1	9	6
2	9	0
3	9	0
4	9	6
5	9	0
6	9	0
7	9	0
8	9	0
9	9	0
10	9	0
11	9	0
12	9	0
13	9	0
14	9	0
15	9	0
16	9	0
17	9	0
18	9	0
19	9	0
20	9	0
21	9	0
22	9	0
23	9	0
0	10	2
1	10	2
2	10	1
3	10	2
4	10	1
5	10	1
6	10	2
7	10	2
8	10	2
9	10	2
10	10	1
11	10	1
12	10	2
13	10	2
14	10	2
15	10	2
16	10	2
17	10	2
18	10	2
19	10	2
20	10	2
21	10	2
22	10	2
23	10	2
0	11	0
1	11	0
2	11	0
3	11	0
4	11	0
5	11	0
6	11	0
7	11	0
8	11	0
9	11	0
10	11	0
11	11	0
12	11	0
13	11	0
14	11	0
15	11	0
16	11	0
17	11	0
18	11	0
19	11	0
20	11	58
21	11	0
22	11	0
23	11	0
0	12	0
1	12	0
2	12	0
3	12	0
4	12	0
5	12	0
6	12	0
7	12	0
8	12	0
9	12	0
10	12	0
11	12	0
12	12	0
13	12	2
14	12	0
15	12	2
16	12	0
17	12	0
18	12	4
19	12	0
20	12	0
21	12	4
22	12	4
23	12	0
0	13	0
1	13	0
2	13	7
3	13	0
4	13	0
5	13	0
6	13	13
7	13	7
8	13	19
9	13	0
10	13	0
11	13	0
12	13	0
13	13	0
14	13	0
15	13	0
16	13	0
17	13	0
18	13	0
19	13	7
20	13	0
21	13	0
22	13	7
23	13	0
0	14	5
1	14	0
2	14	0
3	14	0
4	14	0
5	14	5
6	14	0
7	14	3
8	14	0
9	14	0
10	14	0
11	14	5
12	14	8
13	14	0
14	14	0
15	14	0
16	14	10
17	14	3
18	14	10
19	14	0
20	14	3
21	14	8
22	14	0
23	14	0
0	15	13
1	15	0
2	15	0
3	15	0
4	15	0
5	15	0
6	15	0
7	15	0
8	15	0
9	15	0
10	15	0
11	15	0
12	15	0
13	15	0
14	15	0
15	15	0
16	15	0
17	15	0
18	15	0
19	15	0
20	15	0
21	15	0
22	15	0
23	15	13
0	16	0
1	16	0
2	16	0
3	16	0
4	16	0
5	16	0
6	16	0
7	16	0
8	16	0
9	16	0
10	16	0
11	16	0
12	16	38
13	16	20
14	16	0
15	16	0
16	16	0
17	16	0
18	16	0
19	16	0
20	16	0
21	16	0
22	16	0
23	16	0
0	17	2
1	17	2
2	17	1
3	17	1
4	17	1
5	17	1
6	17	2
7	17	3
8	17	3
9	17	3
10	17	3
11	17	2
12	17	2
13	17	3
14	17	2
15	17	2
16	17	3
17	17	4
18	17	3
19	17	3
20	17	3
21	17	4
22	17	3
23	17	3
0	18	6
1	18	3
2	18	1
3	18	0
4	18	2
5	18	3
6	18	5
7	18	6
8	18	5
9	18	3
10	18	6
11	18	3
12	18	3
13	18	6
14	18	9
15	18	4
16	18	5
17	18	6
18	18	8
19	18	7
20	18	4
21	18	7
22	18	3
23	18	9
0	19	3
1	19	1
2	19	1
3	19	2
4	19	1
5	19	3
6	19	1
7	19	2
8	19	2
9	19	1
10	19	2
11	19	2
12	19	2
13	19	4
14	19	4
15	19	2
16	19	2
17	19	2
18	19	2
19	19	1
20	19	3
21	19	3
22	19	4
23	19	2
0	20	3
1	20	3
2	20	2
3	20	2
4	20	2
5	20	2
6	20	2
7	20	3
8	20	3
9	20	3
10	20	3
11	20	4
12	20	3
13	20	3
14	20	3
15	20	3
16	20	3
17	20	4
18	20	4
19	20	4
20	20	4
21	20	4
22	20	4
23	20	4
0	21	0
1	21	0
2	21	0
3	21	0
4	21	0
5	21	0
6	21	2
7	21	2
8	21	5
9	21	0
10	21	0
11	21	2
12	21	2
13	21	2
14	21	0
15	21	0
16	21	0
17	21	0
18	21	6
19	21	3
20	21	5
21	21	0
22	21	2
23	21	0
0	22	0
1	22	0
2	22	0
3	22	0
4	22	0
5	22	0
6	22	0
7	22	0
8	22	0
9	22	0
10	22	0
11	22	0
12	22	0
13	22	0
14	22	0
15	22	0
16	22	0
17	22	0
18	22	0
19	22	0
20	22	0
21	22	0
22	22	0
23	22	0
0	23	0
1	23	0
2	23	0
3	23	0
4	23	0
5	23	0
6	23	0
7	23	0
8	23	0
9	23	0
10	23	0
11	23	0
12	23	0
13	23	0
14	23	0
15	23	0
