Counts for Samsung(12) in Egypt(12):
Hour	Location Index	Count
0	0	27
1	0	51
2	0	14
3	0	0
4	0	14
5	0	0
6	0	40
7	0	27
8	0	27
9	0	0
10	0	14
11	0	40
12	0	14
13	0	14
14	0	51
15	0	40
16	0	14
17	0	83
18	0	51
19	0	40
20	0	0
21	0	62
22	0	0
23	0	14
0	1	0
1	1	47
2	1	0
3	1	0
4	1	0
5	1	47
6	1	0
7	1	0
8	1	0
9	1	0
10	1	47
11	1	85
12	1	47
13	1	0
14	1	85
15	1	0
16	1	47
17	1	0
18	1	47
19	1	116
20	1	0
21	1	0
22	1	0
23	1	116
0	2	0
1	2	0
2	2	43
3	2	79
4	2	0
5	2	0
6	2	0
7	2	0
8	2	79
9	2	0
10	2	43
11	2	0
12	2	43
13	2	79
14	2	43
15	2	43
16	2	0
17	2	0
18	2	0
19	2	43
20	2	79
21	2	0
22	2	0
23	2	43
0	3	73
1	3	47
2	3	0
3	3	0
4	3	0
5	3	17
6	3	0
7	3	17
8	3	17
9	3	17
10	3	0
11	3	47
12	3	73
13	3	73
14	3	17
15	3	47
16	3	0
17	3	17
18	3	0
19	3	17
20	3	60
21	3	47
22	3	32
23	3	17
0	4	38
1	4	20
2	4	26
3	4	0
4	4	7
5	4	14
6	4	20
7	4	0
8	4	7
9	4	0
10	4	14
11	4	14
12	4	38
13	4	26
14	4	50
15	4	20
16	4	50
17	4	7
18	4	20
19	4	38
20	4	26
21	4	38
22	4	60
23	4	26
0	5	24
1	5	19
2	5	24
3	5	10
4	5	10
5	5	10
6	5	0
7	5	10
8	5	0
9	5	15
10	5	33
11	5	41
12	5	37
13	5	45
14	5	33
15	5	41
16	5	33
17	5	41
18	5	28
19	5	45
20	5	37
21	5	28
22	5	41
23	5	72
0	6	67
1	6	28
2	6	19
3	6	0
4	6	44
5	6	10
6	6	0
7	6	36
8	6	19
9	6	19
10	6	28
11	6	19
12	6	28
13	6	28
14	6	19
15	6	52
16	6	19
17	6	10
18	6	19
19	6	44
20	6	36
21	6	44
22	6	10
23	6	36
0	7	36
1	7	80
2	7	36
3	7	19
4	7	36
5	7	0
6	7	0
7	7	19
8	7	66
9	7	19
10	7	0
11	7	19
12	7	19
13	7	19
14	7	92
15	7	51
16	7	36
17	7	36
18	7	66
19	7	66
20	7	0
21	7	0
22	7	19
23	7	36
0	8	26
1	8	18
2	8	19
3	8	19
4	8	18
5	8	12
6	8	20
7	8	12
8	8	22
9	8	22
10	8	25
11	8	31
12	8	22
13	8	30
14	8	32
15	8	28
16	8	34
17	8	35
18	8	34
19	8	40
20	8	44
21	8	42
22	8	36
23	8	32
0	9	44
1	9	35
2	9	25
3	9	0
4	9	6
5	9	0
6	9	16
7	9	25
8	9	30
9	9	11
10	9	30
11	9	30
12	9	30
13	9	52
14	9	30
15	9	21
16	9	11
17	9	30
18	9	11
19	9	35
20	9	16
21	9	21
22	9	21
23	9	21
0	10	24
1	10	16
2	10	13
3	10	12
4	10	11
5	10	12
6	10	14
7	10	17
8	10	21
9	10	23
10	10	25
11	10	26
12	10	31
13	10	27
14	10	28
15	10	28
16	10	27
17	10	30
18	10	32
19	10	32
20	10	33
21	10	33
22	10	30
23	10	28
0	11	103
1	11	0
2	11	58
3	11	0
4	11	0
5	11	103
6	11	58
7	11	58
8	11	0
9	11	0
10	11	0
11	11	0
12	11	0
13	11	0
14	11	103
15	11	58
16	11	0
17	11	0
18	11	103
19	11	0
20	11	103
21	11	103
22	11	0
23	11	0
0	12	29
1	12	16
2	12	7
3	12	12
4	12	14
5	12	9
6	12	11
7	12	11
8	12	17
9	12	42
10	12	39
11	12	44
12	12	33
13	12	29
14	12	39
15	12	35
16	12	38
17	12	33
18	12	35
19	12	32
20	12	36
21	12	41
22	12	45
23	12	16
0	13	31
1	13	37
2	13	7
3	13	13
4	13	0
5	13	19
6	13	25
7	13	7
8	13	25
9	13	25
10	13	25
11	13	48
12	13	13
13	13	25
14	13	31
15	13	25
16	13	31
17	13	31
18	13	13
19	13	82
20	13	13
21	13	37
22	13	31
23	13	48
0	14	20
1	14	24
2	14	3
3	14	13
4	14	17
5	14	20
6	14	29
7	14	15
8	14	24
9	14	17
10	14	20
11	14	33
12	14	29
13	14	35
14	14	35
15	14	33
16	14	31
17	14	33
18	14	40
19	14	31
20	14	42
21	14	22
22	14	35
23	14	33
0	15	13
1	15	36
2	15	25
3	15	0
4	15	0
5	15	13
6	15	13
7	15	25
8	15	36
9	15	0
10	15	47
11	15	36
12	15	13
13	15	25
14	15	13
15	15	36
16	15	13
17	15	13
18	15	47
19	15	85
20	15	25
21	15	36
22	15	47
23	15	36
0	16	0
1	16	0
2	16	0
3	16	0
4	16	20
5	16	0
6	16	0
7	16	0
8	16	0
9	16	0
10	16	84
11	16	20
12	16	70
13	16	84
14	16	0
15	16	38
16	16	0
17	16	0
18	16	55
19	16	20
20	16	20
21	16	0
22	16	0
23	16	0
0	17	25
1	17	20
2	17	16
3	17	11
4	17	14
5	17	15
6	17	13
7	17	17
8	17	21
9	17	25
10	17	25
11	17	31
12	17	32
13	17	28
14	17	30
15	17	32
16	17	28
17	17	31
18	17	36
19	17	33
20	17	32
21	17	36
22	17	36
23	17	35
0	18	36
1	18	18
2	18	15
3	18	10
4	18	13
5	18	8
6	18	19
7	18	22
8	18	18
9	18	27
10	18	28
11	18	28
12	18	32
13	18	36
14	18	28
15	18	32
16	18	31
17	18	30
18	18	33
19	18	34
20	18	56
21	18	40
22	18	32
23	18	22
0	19	36
1	19	28
2	19	17
3	19	21
4	19	10
5	19	8
6	19	20
7	19	19
8	19	20
9	19	21
10	19	20
11	19	31
12	19	32
13	19	29
14	19	36
15	19	30
16	19	31
17	19	45
18	19	44
19	19	41
20	19	30
21	19	27
22	19	33
23	19	41
0	20	22
1	20	15
2	20	11
3	20	10
4	20	10
5	20	13
6	20	16
7	20	19
8	20	22
9	20	25
10	20	26
11	20	30
12	20	30
13	20	29
14	20	29
15	20	27
16	20	27
17	20	28
18	20	29
19	20	30
20	20	31
21	20	30
22	20	29
23	20	25
0	21	33
1	21	15
2	21	8
3	21	11
4	21	15
5	21	15
6	21	5
7	21	22
8	21	16
9	21	20
10	21	22
11	21	33
12	21	30
13	21	22
14	21	31
15	21	23
16	21	11
17	21	30
18	21	37
19	21	20
20	21	22
21	21	42
22	21	49
23	21	41
0	22	0
1	22	0
2	22	0
3	22	0
4	22	0
5	22	0
6	22	0
7	22	0
8	22	154
9	22	0
10	22	95
11	22	0
12	22	0
13	22	0
14	22	0
15	22	0
16	22	0
17	22	95
18	22	0
19	22	0
20	22	0
21	22	0
22	22	154
23	22	0
0	23	0
1	23	45
2	23	45
3	23	0
4	23	0
5	23	0
6	23	0
7	23	0
8	23	0
9	23	0
10	23	0
11	23	45
12	23	112
13	23	0
14	23	0
15	23	0
16	23	112
17	23	0
18	23	82
19	23	0
20	23	82
21	23	45
22	23	0
23	23	0
0	24	16
1	24	21
2	24	11
3	24	0
4	24	0
5	24	21
6	24	21
7	24	11
8	24	6
9	24	11
10	24	40
11	24	31
12	24	26
13	24	6
14	24	49
15	24	31
16	24	31
17	24	11
18	24	26
19	24	35
20	24	44
21	24	26
22	24	11
23	24	26
0	25	16
1	25	58
2	25	70
3	25	45
4	25	16
5	25	0
6	25	0
7	25	0
8	25	16
9	25	70
10	25	45
11	25	31
12	25	31
13	25	0
14	25	16
15	25	0
16	25	0
17	25	45
18	25	0
19	25	31
20	25	0
21	25	0
22	25	16
23	25	0
0	26	30
1	26	19
2	26	16
3	26	12
4	26	10
5	26	12
6	26	16
7	26	17
8	26	22
9	26	23
10	26	24
11	26	29
12	26	26
13	26	28
14	26	30
15	26	30
16	26	30
17	26	30
18	26	33
19	26	33
20	26	35
21	26	36
22	26	36
23	26	32
0	27	51
1	27	19
2	27	25
3	27	7
4	27	7
5	27	13
6	27	13
7	27	19
8	27	0
9	27	56
10	27	19
11	27	36
12	27	46
13	27	19
14	27	13
15	27	19
16	27	46
17	27	41
18	27	7
19	27	7
20	27	51
21	27	61
22	27	19
23	27	19
0	28	0
1	28	20
2	28	0
3	28	0
4	28	47
5	28	47
6	28	39
7	28	39
8	28	30
9	28	20
10	28	30
11	28	11
12	28	71
13	28	55
14	28	47
15	28	39
16	28	30
17	28	30
18	28	30
19	28	11
20	28	55
21	28	47
22	28	20
23	28	20
0	29	30
1	29	30
2	29	34
3	29	12
4	29	12
5	29	20
6	29	12
7	29	30
8	29	27
9	29	20
10	29	20
11	29	30
12	29	44
13	29	8
14	29	37
15	29	30
16	29	30
17	29	12
18	29	57
19	29	37
20	29	47
21	29	44
22	29	57
23	29	66
0	30	25
1	30	17
2	30	15
3	30	17
4	30	12
5	30	16
6	30	16
7	30	17
8	30	17
9	30	20
10	30	22
11	30	23
12	30	30
13	30	28
14	30	32
15	30	27
16	30	28
17	30	27
18	30	40
19	30	32
20	30	24
21	30	25
22	30	26
23	30	32
0	31	38
1	31	0
2	31	0
3	31	38
4	31	38
5	31	0
6	31	38
7	31	0
8	31	0
9	31	0
10	31	0
11	31	70
12	31	97
13	31	0
14	31	38
15	31	38
16	31	0
17	31	0
18	31	38
19	31	0
20	31	0
21	31	97
22	31	70
23	31	0
0	32	79
1	32	10
2	32	0
3	32	18
4	32	0
5	32	0
6	32	0
7	32	0
8	32	0
9	32	35
10	32	10
11	32	27
12	32	72
13	32	58
14	32	18
15	32	35
16	32	35
17	32	10
18	32	58
19	32	10
20	32	18
21	32	35
22	32	43
23	32	51
0	33	11
1	33	18
2	33	7
3	33	0
4	33	7
5	33	14
6	33	11
7	33	27
8	33	11
9	33	18
10	33	11
11	33	24
12	33	21
13	33	45
14	33	4
15	33	24
16	33	18
17	33	18
18	33	24
19	33	24
20	33	33
21	33	42
22	33	30
23	33	7
0	34	26
1	34	20
2	34	15
3	34	13
4	34	13
5	34	15
6	34	17
7	34	21
8	34	24
9	34	27
10	34	29
11	34	33
12	34	35
13	34	33
14	34	34
15	34	32
16	34	33
17	34	33
18	34	35
19	34	36
20	34	37
21	34	37
22	34	35
23	34	32
0	35	19
1	35	37
2	35	16
3	35	16
4	35	14
5	35	10
6	35	4
7	35	17
8	35	16
9	35	16
10	35	8
11	35	32
12	35	40
13	35	30
14	35	38
15	35	25
16	35	21
17	35	28
18	35	28
19	35	28
20	35	21
21	35	54
22	35	48
23	35	30
