Counts for Apple(2) in Egypt(12):
Hour	Location Index	Count
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	14
8	0	14
9	0	0
10	0	0
11	0	14
12	0	0
13	0	14
14	0	27
15	0	0
16	0	40
17	0	14
18	0	0
19	0	27
20	0	14
21	0	40
22	0	0
23	0	0
0	1	0
1	1	47
2	1	0
3	1	0
4	1	0
5	1	0
6	1	0
7	1	0
8	1	0
9	1	0
10	1	0
11	1	0
12	1	0
13	1	0
14	1	0
15	1	0
16	1	0
17	1	0
18	1	0
19	1	0
20	1	0
21	1	0
22	1	0
23	1	0
0	2	0
1	2	0
2	2	43
3	2	0
4	2	0
5	2	0
6	2	0
7	2	0
8	2	0
9	2	0
10	2	0
11	2	0
12	2	0
13	2	43
14	2	0
15	2	0
16	2	43
17	2	0
18	2	0
19	2	0
20	2	0
21	2	0
22	2	43
23	2	0
0	3	60
1	3	17
2	3	0
3	3	0
4	3	17
5	3	0
6	3	0
7	3	0
8	3	0
9	3	47
10	3	0
11	3	17
12	3	0
13	3	17
14	3	17
15	3	0
16	3	47
17	3	17
18	3	17
19	3	17
20	3	32
21	3	0
22	3	0
23	3	32
0	4	44
1	4	14
2	4	0
3	4	0
4	4	7
5	4	0
6	4	20
7	4	7
8	4	7
9	4	20
10	4	14
11	4	14
12	4	26
13	4	7
14	4	38
15	4	20
16	4	20
17	4	14
18	4	0
19	4	7
20	4	14
21	4	20
22	4	20
23	4	26
0	5	0
1	5	5
2	5	0
3	5	0
4	5	0
5	5	5
6	5	5
7	5	0
8	5	24
9	5	15
10	5	0
11	5	5
12	5	10
13	5	5
14	5	19
15	5	28
16	5	5
17	5	19
18	5	19
19	5	24
20	5	10
21	5	19
22	5	15
23	5	24
0	6	0
1	6	10
2	6	28
3	6	0
4	6	36
5	6	36
6	6	0
7	6	0
8	6	0
9	6	0
10	6	0
11	6	0
12	6	19
13	6	28
14	6	0
15	6	10
16	6	10
17	6	0
18	6	0
19	6	0
20	6	0
21	6	0
22	6	10
23	6	28
0	7	0
1	7	0
2	7	0
3	7	0
4	7	0
5	7	0
6	7	0
7	7	0
8	7	0
9	7	19
10	7	19
11	7	0
12	7	0
13	7	0
14	7	0
15	7	36
16	7	19
17	7	0
18	7	19
19	7	0
20	7	0
21	7	0
22	7	0
23	7	0
0	8	13
1	8	15
2	8	5
3	8	6
4	8	5
5	8	5
6	8	6
7	8	7
8	8	6
9	8	7
10	8	14
11	8	15
12	8	12
13	8	10
14	8	19
15	8	12
16	8	15
17	8	16
18	8	18
19	8	14
20	8	13
21	8	14
22	8	16
23	8	22
0	9	11
1	9	6
2	9	6
3	9	0
4	9	21
5	9	11
6	9	0
7	9	11
8	9	21
9	9	11
10	9	6
11	9	11
12	9	16
13	9	30
14	9	6
15	9	6
16	9	30
17	9	48
18	9	25
19	9	21
20	9	11
21	9	11
22	9	11
23	9	11
0	10	11
1	10	11
2	10	8
3	10	8
4	10	7
5	10	8
6	10	9
7	10	9
8	10	11
9	10	12
10	10	13
11	10	15
12	10	15
13	10	15
14	10	14
15	10	14
16	10	17
17	10	17
18	10	16
19	10	18
20	10	18
21	10	21
22	10	16
23	10	16
0	11	0
1	11	0
2	11	0
3	11	0
4	11	0
5	11	0
6	11	0
7	11	0
8	11	0
9	11	0
10	11	0
11	11	0
12	11	0
13	11	0
14	11	0
15	11	58
16	11	0
17	11	0
18	11	0
19	11	0
20	11	0
21	11	0
22	11	0
23	11	0
0	12	2
1	12	6
2	12	7
3	12	11
4	12	12
5	12	6
6	12	4
7	12	12
8	12	17
9	12	21
10	12	16
11	12	24
12	12	12
13	12	19
14	12	11
15	12	16
16	12	14
17	12	17
18	12	12
19	12	21
20	12	9
21	12	14
22	12	27
23	12	12
0	13	7
1	13	31
2	13	0
3	13	0
4	13	7
5	13	13
6	13	7
7	13	7
8	13	13
9	13	7
10	13	25
11	13	13
12	13	13
13	13	19
14	13	13
15	13	25
16	13	13
17	13	7
18	13	13
19	13	7
20	13	13
21	13	0
22	13	19
23	13	7
0	14	8
1	14	8
2	14	5
3	14	3
4	14	13
5	14	0
6	14	3
7	14	5
8	14	3
9	14	0
10	14	0
11	14	10
12	14	17
13	14	8
14	14	3
15	14	5
16	14	3
17	14	13
18	14	5
19	14	3
20	14	0
21	14	0
22	14	0
23	14	15
0	15	13
1	15	13
2	15	13
3	15	0
4	15	0
5	15	0
6	15	0
7	15	13
8	15	0
9	15	13
10	15	25
11	15	36
12	15	0
13	15	0
14	15	25
15	15	13
16	15	0
17	15	0
18	15	0
19	15	0
20	15	13
21	15	85
22	15	25
23	15	25
0	16	0
1	16	0
2	16	0
3	16	0
4	16	0
5	16	0
6	16	20
7	16	0
8	16	0
9	16	0
10	16	38
11	16	55
12	16	38
13	16	38
14	16	20
15	16	55
16	16	55
17	16	0
18	16	20
19	16	0
20	16	20
21	16	20
22	16	0
23	16	0
0	17	11
1	17	7
2	17	5
3	17	5
4	17	7
5	17	7
6	17	9
7	17	9
8	17	10
9	17	11
10	17	12
11	17	13
12	17	15
13	17	13
14	17	14
15	17	14
16	17	14
17	17	17
18	17	14
19	17	13
20	17	18
21	17	16
22	17	13
23	17	11
0	18	10
1	18	4
2	18	2
3	18	3
4	18	4
5	18	6
6	18	4
7	18	8
8	18	8
9	18	9
10	18	18
11	18	16
12	18	9
13	18	10
14	18	13
15	18	11
16	18	8
17	18	7
18	18	11
19	18	14
20	18	14
21	18	15
22	18	12
23	18	12
0	19	12
1	19	14
2	19	10
3	19	7
4	19	5
5	19	4
6	19	4
7	19	6
8	19	8
9	19	9
10	19	9
11	19	14
12	19	10
13	19	12
14	19	8
15	19	12
16	19	9
17	19	11
18	19	13
19	19	12
20	19	9
21	19	19
22	19	14
23	19	14
0	20	13
1	20	10
2	20	8
3	20	6
4	20	7
5	20	8
6	20	10
7	20	12
8	20	13
9	20	15
10	20	16
11	20	17
12	20	16
13	20	16
14	20	16
15	20	16
16	20	17
17	20	17
18	20	17
19	20	17
20	20	17
21	20	17
22	20	17
23	20	15
0	21	12
1	21	5
2	21	3
3	21	6
4	21	3
5	21	6
6	21	11
7	21	12
8	21	11
9	21	9
10	21	16
11	21	11
12	21	26
13	21	33
14	21	15
15	21	15
16	21	31
17	21	22
18	21	22
19	21	16
20	21	13
21	21	12
22	21	15
23	21	12
0	22	0
1	22	0
2	22	0
3	22	0
4	22	0
5	22	0
6	22	0
7	22	0
8	22	154
9	22	95
10	22	0
11	22	95
12	22	0
13	22	0
14	22	0
15	22	0
16	22	0
17	22	0
18	22	0
19	22	0
20	22	0
21	22	0
22	22	0
23	22	0
0	23	0
1	23	0
2	23	0
3	23	45
4	23	0
5	23	0
6	23	0
7	23	0
8	23	0
9	23	0
10	23	0
11	23	0
12	23	45
13	23	0
14	23	0
15	23	0
