Counts for Nokia(10) in Finland(13):
Hour	Location Index	Count
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	8
9	0	0
10	0	0
11	0	0
12	0	0
13	0	8
14	0	0
15	0	0
16	0	8
17	0	15
18	0	21
19	0	8
20	0	15
21	0	8
22	0	8
23	0	8
0	1	0
1	1	0
2	1	0
3	1	0
4	1	0
5	1	0
6	1	0
7	1	0
8	1	0
9	1	0
10	1	0
11	1	0
12	1	0
13	1	0
14	1	0
15	1	0
16	1	0
17	1	0
18	1	0
19	1	0
20	1	0
21	1	0
22	1	0
23	1	0
0	2	0
1	2	0
2	2	0
3	2	0
4	2	16
5	2	0
6	2	0
7	2	8
8	2	8
9	2	0
10	2	0
11	2	8
12	2	0
13	2	0
14	2	8
15	2	0
16	2	8
17	2	8
18	2	8
19	2	0
20	2	0
21	2	0
22	2	8
23	2	0
0	3	0
1	3	0
2	3	0
3	3	0
4	3	0
5	3	0
6	3	0
7	3	0
8	3	0
9	3	0
10	3	0
11	3	0
12	3	0
13	3	0
14	3	0
15	3	0
16	3	0
17	3	0
18	3	0
19	3	0
20	3	0
21	3	0
22	3	0
23	3	0
0	4	0
1	4	0
2	4	0
3	4	0
4	4	21
5	4	0
6	4	0
7	4	0
8	4	0
9	4	0
10	4	21
11	4	0
12	4	39
13	4	0
14	4	0
15	4	39
16	4	0
17	4	39
18	4	0
19	4	112
20	4	0
21	4	21
22	4	21
23	4	0
0	5	0
1	5	0
2	5	23
3	5	0
4	5	0
5	5	0
6	5	0
7	5	43
8	5	23
9	5	0
10	5	0
11	5	0
12	5	0
13	5	0
14	5	43
15	5	23
16	5	43
17	5	0
18	5	0
19	5	62
20	5	0
21	5	23
22	5	0
23	5	0
0	6	0
1	6	0
2	6	0
3	6	0
4	6	0
5	6	0
6	6	0
7	6	0
8	6	0
9	6	0
10	6	0
11	6	0
12	6	0
13	6	0
14	6	0
15	6	0
16	6	0
17	6	0
18	6	0
19	6	0
20	6	0
21	6	0
22	6	0
23	6	0
0	7	0
1	7	0
2	7	0
3	7	0
4	7	0
5	7	0
6	7	0
7	7	0
8	7	0
9	7	0
10	7	0
11	7	0
12	7	0
13	7	0
14	7	25
15	7	0
16	7	0
17	7	0
18	7	25
19	7	0
20	7	0
21	7	0
22	7	47
23	7	0
0	8	0
1	8	0
2	8	0
3	8	0
4	8	0
5	8	0
6	8	0
7	8	0
8	8	0
9	8	0
10	8	30
11	8	0
12	8	30
13	8	30
14	8	0
15	8	0
16	8	0
17	8	0
18	8	0
19	8	30
20	8	0
21	8	0
22	8	0
23	8	0
0	9	0
1	9	0
2	9	0
3	9	0
4	9	0
5	9	0
6	9	0
7	9	30
8	9	0
9	9	0
10	9	0
11	9	0
12	9	0
13	9	0
14	9	30
15	9	0
16	9	0
17	9	0
18	9	0
19	9	101
20	9	0
21	9	0
22	9	0
23	9	0
0	10	0
1	10	0
2	10	0
3	10	0
4	10	17
5	10	83
6	10	32
7	10	0
8	10	0
9	10	17
10	10	0
11	10	46
12	10	0
13	10	17
14	10	0
15	10	32
16	10	17
17	10	0
18	10	32
19	10	0
20	10	0
21	10	0
22	10	0
23	10	0
0	11	0
1	11	0
2	11	0
3	11	0
4	11	0
5	11	0
6	11	0
7	11	0
8	11	0
9	11	0
10	11	0
11	11	0
12	11	0
13	11	64
14	11	0
15	11	0
16	11	0
17	11	0
18	11	0
19	11	0
20	11	0
21	11	0
22	11	0
23	11	0
0	12	0
1	12	0
2	12	0
3	12	0
4	12	0
5	12	0
6	12	0
7	12	145
8	12	0
9	12	0
10	12	88
11	12	88
12	12	88
13	12	0
14	12	0
15	12	0
16	12	0
17	12	0
18	12	0
19	12	0
20	12	0
21	12	0
22	12	0
23	12	0
0	13	1
1	13	0
2	13	2
3	13	2
4	13	2
5	13	3
6	13	3
7	13	6
8	13	4
9	13	6
10	13	5
11	13	3
12	13	4
13	13	11
14	13	7
15	13	9
16	13	9
17	13	7
18	13	10
19	13	11
20	13	3
21	13	5
22	13	4
23	13	2
0	14	0
1	14	2
2	14	0
3	14	0
4	14	3
5	14	2
6	14	3
7	14	6
8	14	8
9	14	6
10	14	2
11	14	5
12	14	2
13	14	5
14	14	0
15	14	0
16	14	6
17	14	6
18	14	0
19	14	5
20	14	9
21	14	3
22	14	2
23	14	0
0	15	0
1	15	0
2	15	0
3	15	0
4	15	0
5	15	10
6	15	10
7	15	5
8	15	0
9	15	10
10	15	0
11	15	0
12	15	10
13	15	0
14	15	0
15	15	0
16	15	0
17	15	18
18	15	5
19	15	0
20	15	0
21	15	0
22	15	0
23	15	0
0	16	0
1	16	0
2	16	0
3	16	0
4	16	0
5	16	0
6	16	0
7	16	0
8	16	0
9	16	0
10	16	0
11	16	0
12	16	15
13	16	0
14	16	15
15	16	0
16	16	0
17	16	0
18	16	0
19	16	0
20	16	29
21	16	0
22	16	0
23	16	0
0	17	0
1	17	0
2	17	3
3	17	0
4	17	0
5	17	7
6	17	0
7	17	0
8	17	5
9	17	3
10	17	3
11	17	7
12	17	5
13	17	0
14	17	0
15	17	9
16	17	5
17	17	5
18	17	15
19	17	5
20	17	5
21	17	3
22	17	0
23	17	0
0	18	0
1	18	0
2	18	0
3	18	0
4	18	21
5	18	15
6	18	0
7	18	0
8	18	21
9	18	0
10	18	0
11	18	15
12	18	0
13	18	0
14	18	0
15	18	0
16	18	34
17	18	15
18	18	0
19	18	0
20	18	0
21	18	0
22	18	0
23	18	0
0	19	0
1	19	0
2	19	0
3	19	0
4	19	0
5	19	0
6	19	0
7	19	0
8	19	0
9	19	0
10	19	0
11	19	0
12	19	0
13	19	0
14	19	0
15	19	0
16	19	0
17	19	0
18	19	0
19	19	0
20	19	0
21	19	0
22	19	0
23	19	0
0	20	20
1	20	0
2	20	0
3	20	10
4	20	0
5	20	20
6	20	0
7	20	29
8	20	10
9	20	10
10	20	0
11	20	0
12	20	0
13	20	0
14	20	0
15	20	0
16	20	10
17	20	0
18	20	0
19	20	0
20	20	0
21	20	0
22	20	0
23	20	0
0	21	0
1	21	0
2	21	0
3	21	0
4	21	14
5	21	28
6	21	0
7	21	28
8	21	0
9	21	40
10	21	0
11	21	0
12	21	0
13	21	0
14	21	0
15	21	14
16	21	0
17	21	0
18	21	14
19	21	0
20	21	0
21	21	40
22	21	0
23	21	0
0	22	0
1	22	0
2	22	4
3	22	4
4	22	21
5	22	15
6	22	18
7	22	4
8	22	0
9	22	0
10	22	0
11	22	0
12	22	4
13	22	0
14	22	11
15	22	15
16	22	25
17	22	4
18	22	15
19	22	28
20	22	8
21	22	0
22	22	0
23	22	0
0	23	0
1	23	14
2	23	0
3	23	0
4	23	0
5	23	0
6	23	0
7	23	0
8	23	0
9	23	0
10	23	14
11	23	0
12	23	0
13	23	14
14	23	0
15	23	0
