Counts for Apple(2) in Germany(15):
Hour	Location Index	Count
0	0	0
1	0	0
2	0	0
3	0	10
4	0	0
5	0	18
6	0	18
7	0	18
8	0	27
9	0	50
10	0	0
11	0	35
12	0	35
13	0	27
14	0	18
15	0	50
16	0	10
17	0	27
18	0	35
19	0	90
20	0	71
21	0	42
22	0	18
23	0	10
0	1	10
1	1	15
2	1	10
3	1	0
4	1	15
5	1	5
6	1	24
7	1	15
8	1	41
9	1	15
10	1	53
11	1	49
12	1	33
13	1	45
14	1	19
15	1	19
16	1	33
17	1	45
18	1	45
19	1	49
20	1	37
21	1	28
22	1	24
23	1	19
0	2	0
1	2	0
2	2	0
3	2	7
4	2	0
5	2	14
6	2	0
7	2	21
8	2	27
9	2	21
10	2	0
11	2	27
12	2	14
13	2	21
14	2	27
15	2	57
16	2	21
17	2	33
18	2	45
19	2	27
20	2	14
21	2	0
22	2	14
23	2	21
0	3	0
1	3	0
2	3	0
3	3	0
4	3	0
5	3	0
6	3	23
7	3	0
8	3	0
9	3	61
10	3	43
11	3	43
12	3	23
13	3	0
14	3	0
15	3	93
16	3	43
17	3	0
18	3	43
19	3	23
20	3	23
21	3	93
22	3	23
23	3	0
0	4	0
1	4	0
2	4	0
3	4	0
4	4	0
5	4	26
6	4	37
7	4	0
8	4	0
9	4	0
10	4	0
11	4	0
12	4	0
13	4	37
14	4	13
15	4	0
16	4	26
17	4	37
18	4	26
19	4	13
20	4	26
21	4	37
22	4	37
23	4	13
0	5	11
1	5	11
2	5	5
3	5	7
4	5	11
5	5	20
6	5	8
7	5	25
8	5	23
9	5	36
10	5	30
11	5	29
12	5	16
13	5	20
14	5	36
15	5	22
16	5	36
17	5	44
18	5	53
19	5	41
20	5	55
21	5	29
22	5	27
23	5	10
0	6	5
1	6	0
2	6	0
3	6	5
4	6	10
5	6	10
6	6	27
7	6	47
8	6	14
9	6	14
10	6	18
11	6	18
12	6	39
13	6	14
14	6	27
15	6	31
16	6	23
17	6	35
18	6	43
19	6	47
20	6	18
21	6	43
22	6	31
23	6	5
0	7	0
1	7	0
2	7	0
3	7	0
4	7	0
5	7	0
6	7	31
7	7	0
8	7	0
9	7	31
10	7	0
11	7	0
12	7	58
13	7	31
14	7	58
15	7	0
16	7	0
17	7	0
18	7	0
19	7	0
20	7	0
21	7	0
22	7	0
23	7	0
0	8	0
1	8	5
2	8	0
3	8	5
4	8	5
5	8	23
6	8	23
7	8	23
8	8	14
9	8	10
10	8	18
11	8	5
12	8	10
13	8	14
14	8	18
15	8	31
16	8	27
17	8	31
18	8	14
19	8	23
20	8	10
21	8	18
22	8	10
23	8	5
0	9	10
1	9	4
2	9	0
3	9	13
4	9	0
5	9	10
6	9	19
7	9	22
8	9	28
9	9	13
10	9	37
11	9	37
12	9	37
13	9	34
14	9	22
15	9	28
16	9	31
17	9	37
18	9	39
19	9	50
20	9	47
21	9	47
22	9	47
23	9	39
0	10	0
1	10	0
2	10	0
3	10	0
4	10	0
5	10	0
6	10	0
7	10	0
8	10	0
9	10	0
10	10	0
11	10	0
12	10	0
13	10	0
14	10	0
15	10	103
16	10	0
17	10	58
18	10	58
19	10	58
20	10	0
21	10	0
22	10	0
23	10	0
0	11	0
1	11	0
2	11	0
3	11	0
4	11	0
5	11	0
6	11	0
7	11	0
8	11	0
9	11	0
10	11	0
11	11	0
12	11	0
13	11	0
14	11	88
15	11	0
16	11	0
17	11	0
18	11	0
19	11	49
20	11	0
21	11	0
22	11	0
23	11	0
0	12	0
1	12	0
2	12	0
3	12	0
4	12	0
5	12	0
6	12	0
7	12	0
8	12	0
9	12	103
10	12	0
11	12	0
12	12	0
13	12	0
14	12	0
15	12	103
16	12	103
17	12	0
18	12	0
19	12	103
20	12	0
21	12	0
22	12	0
23	12	0
0	13	0
1	13	0
2	13	0
3	13	0
4	13	0
5	13	0
6	13	0
7	13	0
8	13	0
9	13	0
10	13	0
11	13	19
12	13	95
13	13	19
14	13	37
15	13	19
16	13	19
17	13	37
18	13	0
19	13	37
20	13	0
21	13	19
22	13	0
23	13	0
0	14	0
1	14	0
2	14	0
3	14	0
4	14	33
5	14	42
6	14	0
7	14	22
8	14	22
9	14	12
10	14	0
11	14	33
12	14	22
13	14	0
14	14	12
15	14	12
16	14	12
17	14	42
18	14	22
19	14	22
20	14	22
21	14	0
22	14	0
23	14	0
0	15	0
1	15	0
2	15	0
3	15	30
4	15	0
5	15	0
6	15	30
7	15	0
8	15	0
9	15	0
10	15	55
11	15	30
12	15	30
13	15	98
14	15	0
15	15	0
16	15	30
17	15	55
18	15	30
19	15	55
20	15	0
21	15	0
22	15	0
23	15	0
0	16	6
1	16	4
2	16	11
3	16	2
4	16	12
5	16	6
6	16	22
7	16	25
8	16	22
9	16	22
10	16	31
11	16	28
12	16	17
13	16	17
14	16	33
15	16	37
16	16	22
17	16	33
18	16	37
19	16	31
20	16	31
21	16	42
22	16	22
23	16	11
0	17	2
1	17	0
2	17	0
3	17	0
4	17	8
5	17	8
6	17	6
7	17	17
8	17	19
9	17	17
10	17	13
11	17	32
12	17	24
13	17	32
14	17	21
15	17	15
16	17	24
17	17	22
18	17	44
19	17	42
20	17	53
21	17	21
22	17	15
23	17	4
0	18	15
1	18	8
2	18	8
3	18	8
4	18	0
5	18	15
6	18	15
7	18	22
8	18	8
9	18	29
10	18	15
11	18	12
12	18	26
13	18	15
14	18	15
15	18	36
16	18	12
17	18	19
18	18	4
19	18	55
20	18	46
21	18	19
22	18	26
23	18	12
0	19	5
1	19	0
2	19	0
3	19	0
4	19	5
5	19	37
6	19	24
7	19	15
8	19	61
9	19	10
10	19	37
11	19	10
12	19	15
13	19	0
14	19	24
15	19	15
16	19	15
17	19	24
18	19	20
19	19	20
20	19	37
21	19	20
22	19	20
23	19	0
0	20	0
1	20	0
2	20	0
3	20	13
4	20	20
5	20	26
6	20	13
7	20	13
8	20	26
9	20	0
10	20	26
11	20	13
12	20	37
13	20	32
14	20	37
15	20	26
16	20	26
17	20	43
18	20	0
19	20	37
20	20	64
21	20	7
22	20	26
23	20	7
0	21	0
1	21	0
2	21	0
3	21	0
4	21	0
5	21	0
6	21	14
7	21	0
8	21	27
9	21	27
10	21	0
11	21	27
12	21	14
13	21	14
14	21	27
15	21	27
16	21	39
17	21	14
18	21	39
19	21	62
20	21	51
21	21	39
22	21	0
23	21	0
0	22	5
1	22	5
2	22	0
3	22	5
4	22	9
5	22	16
6	22	5
7	22	13
8	22	16
9	22	35
10	22	24
11	22	38
12	22	20
13	22	31
14	22	9
15	22	20
16	22	16
17	22	52
18	22	24
19	22	45
20	22	49
21	22	31
22	22	31
23	22	0
0	23	0
1	23	0
2	23	0
3	23	0
4	23	0
5	23	0
6	23	0
7	23	0
8	23	82
9	23	0
10	23	82
11	23	82
12	23	0
13	23	0
14	23	82
15	23	0
