Counts for Samsung(12) in Greece(16):
Hour	Location Index	Count
0	0	0
1	0	18
2	0	0
3	0	0
4	0	18
5	0	0
6	0	0
7	0	0
8	0	0
9	0	18
10	0	18
11	0	18
12	0	51
13	0	0
14	0	35
15	0	35
16	0	0
17	0	18
18	0	0
19	0	0
20	0	0
21	0	18
22	0	0
23	0	0
0	1	0
1	1	0
2	1	0
3	1	0
4	1	0
5	1	0
6	1	0
7	1	43
8	1	0
9	1	43
10	1	0
11	1	0
12	1	0
13	1	0
14	1	0
15	1	43
16	1	0
17	1	43
18	1	0
19	1	0
20	1	0
21	1	0
22	1	0
23	1	43
0	2	13
1	2	13
2	2	0
3	2	13
4	2	0
5	2	13
6	2	0
7	2	13
8	2	0
9	2	24
10	2	0
11	2	13
12	2	13
13	2	0
14	2	0
15	2	0
16	2	24
17	2	24
18	2	13
19	2	13
20	2	13
21	2	0
22	2	0
23	2	0
0	3	0
1	3	0
2	3	0
3	3	0
4	3	0
5	3	0
6	3	0
7	3	0
8	3	37
9	3	0
10	3	0
11	3	0
12	3	37
13	3	0
14	3	0
15	3	0
16	3	0
17	3	0
18	3	68
19	3	37
20	3	68
21	3	0
22	3	0
23	3	0
0	4	4
1	4	1
2	4	1
3	4	2
4	4	9
5	4	10
6	4	15
7	4	17
8	4	14
9	4	12
10	4	19
11	4	19
12	4	24
13	4	17
14	4	15
15	4	13
16	4	16
17	4	24
18	4	26
19	4	26
20	4	15
21	4	19
22	4	10
23	4	13
0	5	0
1	5	0
2	5	0
3	5	0
4	5	0
5	5	9
6	5	0
7	5	0
8	5	17
9	5	25
10	5	0
11	5	0
12	5	0
13	5	9
14	5	9
15	5	17
16	5	0
17	5	25
18	5	53
19	5	9
20	5	32
21	5	32
22	5	46
23	5	0
0	6	0
1	6	0
2	6	0
3	6	0
4	6	0
5	6	14
6	6	26
7	6	32
8	6	64
9	6	0
10	6	0
11	6	7
12	6	38
13	6	7
14	6	26
15	6	32
16	6	79
17	6	59
18	6	14
19	6	14
20	6	0
21	6	7
22	6	7
23	6	7
0	7	0
1	7	0
2	7	7
3	7	0
4	7	7
5	7	0
6	7	0
7	7	21
8	7	27
9	7	7
10	7	7
11	7	14
12	7	21
13	7	14
14	7	27
15	7	27
16	7	7
17	7	14
18	7	0
19	7	0
20	7	21
21	7	0
22	7	0
23	7	0
0	8	31
1	8	7
2	8	0
3	8	0
4	8	7
5	8	7
6	8	13
7	8	0
8	8	25
9	8	19
10	8	7
11	8	7
12	8	0
13	8	13
14	8	13
15	8	13
16	8	31
17	8	13
18	8	31
19	8	25
20	8	25
21	8	36
22	8	7
23	8	0
0	9	0
1	9	8
2	9	0
3	9	0
4	9	8
5	9	8
6	9	15
7	9	22
8	9	15
9	9	29
10	9	8
11	9	29
12	9	15
13	9	0
14	9	15
