Counts for Apple(2) in Greece(16):
Hour	Location Index	Count
0	0	18
1	0	0
2	0	0
3	0	0
4	0	51
5	0	51
6	0	51
7	0	91
8	0	65
9	0	0
10	0	0
11	0	0
12	0	65
13	0	18
14	0	35
15	0	65
16	0	35
17	0	35
18	0	0
19	0	35
20	0	18
21	0	0
22	0	0
23	0	0
0	1	0
1	1	0
2	1	0
3	1	0
4	1	0
5	1	0
6	1	0
7	1	43
8	1	0
9	1	0
10	1	43
11	1	79
12	1	0
13	1	43
14	1	0
15	1	0
16	1	43
17	1	0
18	1	43
19	1	0
20	1	0
21	1	0
22	1	133
23	1	0
0	2	0
1	2	0
2	2	35
3	2	0
4	2	0
5	2	46
6	2	24
7	2	24
8	2	0
9	2	24
10	2	13
11	2	13
12	2	35
13	2	0
14	2	35
15	2	75
16	2	65
17	2	56
18	2	56
19	2	13
20	2	24
21	2	0
22	2	0
23	2	0
0	3	0
1	3	0
2	3	0
3	3	0
4	3	0
5	3	0
6	3	0
7	3	0
8	3	37
9	3	37
10	3	37
11	3	0
12	3	0
13	3	0
14	3	68
15	3	95
16	3	37
17	3	37
18	3	0
19	3	37
20	3	37
21	3	0
22	3	0
23	3	0
0	4	3
1	4	1
2	4	1
3	4	3
4	4	9
5	4	15
6	4	16
7	4	16
8	4	26
9	4	18
10	4	18
11	4	26
12	4	23
13	4	27
14	4	24
15	4	28
16	4	18
17	4	19
18	4	24
19	4	21
20	4	20
21	4	11
22	4	9
23	4	7
0	5	0
1	5	9
2	5	0
3	5	17
4	5	0
5	5	25
6	5	25
7	5	9
8	5	25
9	5	9
10	5	17
11	5	17
12	5	9
13	5	25
14	5	25
15	5	0
16	5	60
17	5	17
18	5	32
19	5	53
20	5	32
21	5	17
22	5	0
23	5	9
0	6	14
1	6	7
2	6	0
3	6	7
4	6	20
5	6	0
6	6	20
7	6	0
8	6	7
9	6	14
10	6	20
11	6	14
12	6	7
13	6	20
14	6	7
15	6	0
16	6	7
17	6	20
18	6	20
19	6	26
20	6	32
21	6	7
22	6	20
23	6	0
0	7	14
1	7	7
2	7	7
3	7	0
4	7	14
5	7	21
6	7	45
7	7	14
8	7	33
9	7	51
10	7	33
11	7	14
12	7	33
13	7	21
14	7	27
15	7	21
16	7	14
17	7	7
18	7	14
19	7	27
20	7	21
21	7	7
22	7	0
23	7	7
0	8	0
1	8	0
2	8	0
3	8	0
4	8	0
5	8	19
6	8	0
7	8	19
8	8	13
9	8	13
10	8	7
11	8	31
12	8	7
13	8	19
14	8	25
15	8	47
16	8	42
17	8	31
18	8	19
19	8	47
20	8	67
21	8	42
22	8	25
23	8	0
0	9	8
1	9	0
2	9	15
3	9	8
4	9	22
5	9	22
6	9	22
7	9	29
8	9	22
9	9	15
10	9	8
11	9	42
12	9	54
13	9	29
14	9	35
15	9	60
16	9	22
17	9	42
18	9	0
19	9	22
20	9	29
21	9	22
22	9	8
23	9	15
0	10	0
1	10	0
2	10	0
3	10	0
4	10	0
5	10	12
6	10	6
7	10	6
8	10	12
9	10	23
10	10	6
11	10	23
12	10	23
13	10	28
14	10	17
15	10	47
16	10	38
17	10	43
18	10	23
19	10	33
20	10	38
21	10	23
22	10	6
23	10	6
0	11	30
1	11	0
2	11	16
3	11	30
4	11	57
5	11	44
6	11	44
7	11	0
8	11	16
9	11	44
10	11	69
11	11	30
12	11	30
13	11	30
14	11	16
15	11	0
16	11	30
17	11	44
18	11	0
19	11	16
20	11	0
21	11	30
22	11	16
23	11	0
0	12	4
1	12	4
2	12	0
3	12	27
4	12	27
5	12	8
6	12	16
7	12	23
8	12	4
9	12	23
10	12	12
11	12	59
12	12	16
13	12	37
14	12	27
15	12	37
16	12	44
17	12	27
18	12	27
19	12	23
20	12	53
21	12	8
22	12	12
