Counts for Samsung(12) in Hong Kong(17):
Hour	Location Index	Count
0	0	10
1	0	29
2	0	10
3	0	10
4	0	23
5	0	26
6	0	13
7	0	7
8	0	7
9	0	10
10	0	17
11	0	10
12	0	0
13	0	13
14	0	23
15	0	13
16	0	34
17	0	10
18	0	4
19	0	4
20	0	7
21	0	4
22	0	0
23	0	17
0	1	17
1	1	17
2	1	17
3	1	18
4	1	19
5	1	20
6	1	18
7	1	18
8	1	18
9	1	19
10	1	20
11	1	20
12	1	19
13	1	20
14	1	20
15	1	20
16	1	22
17	1	13
18	1	8
19	1	4
20	1	3
21	1	3
22	1	6
23	1	13
0	2	12
1	2	12
2	2	16
3	2	8
4	2	7
5	2	7
6	2	8
7	2	12
8	2	10
9	2	15
10	2	17
11	2	17
12	2	18
13	2	12
14	2	15
15	2	12
16	2	17
17	2	8
18	2	4
19	2	2
20	2	0
21	2	3
22	2	6
23	2	8
0	3	17
1	3	8
2	3	15
3	3	13
4	3	8
5	3	11
6	3	8
7	3	13
8	3	10
9	3	12
10	3	8
11	3	8
12	3	8
13	3	15
14	3	12
15	3	15
16	3	17
17	3	12
18	3	7
19	3	3
20	3	2
21	3	0
22	3	2
23	3	10
0	4	12
1	4	6
2	4	12
3	4	14
4	4	7
5	4	9
6	4	9
7	4	14
8	4	9
9	4	12
10	4	13
11	4	6
12	4	12
13	4	16
14	4	18
15	4	16
16	4	16
17	4	6
18	4	10
19	4	5
20	4	3
21	4	3
22	4	7
23	4	13
0	5	7
1	5	14
2	5	12
3	5	12
4	5	16
5	5	16
6	5	17
7	5	16
8	5	19
9	5	15
10	5	12
11	5	22
12	5	17
13	5	19
14	5	13
15	5	20
16	5	16
17	5	11
18	5	0
19	5	2
20	5	2
21	5	4
22	5	6
23	5	8
0	6	27
1	6	27
2	6	0
3	6	6
4	6	17
5	6	6
6	6	0
7	6	0
8	6	0
9	6	6
10	6	6
11	6	17
12	6	17
13	6	6
14	6	32
15	6	6
16	6	11
17	6	6
18	6	11
19	6	0
20	6	6
21	6	6
22	6	6
23	6	37
0	7	21
1	7	21
2	7	31
3	7	11
4	7	31
5	7	21
6	7	31
7	7	0
8	7	21
9	7	0
10	7	0
11	7	0
12	7	21
13	7	31
14	7	49
15	7	21
16	7	0
17	7	11
18	7	0
19	7	0
20	7	0
21	7	21
22	7	0
23	7	0
0	8	0
1	8	0
2	8	0
3	8	0
4	8	0
5	8	0
6	8	0
7	8	0
8	8	0
9	8	0
10	8	0
11	8	0
12	8	0
13	8	0
14	8	0
15	8	0
16	8	0
17	8	0
18	8	0
19	8	0
20	8	0
21	8	0
22	8	0
23	8	230
0	9	23
1	9	21
2	9	21
