Counts for Apple(2) in Hong Kong(17):
Hour	Location Index	Count
0	0	26
1	0	37
2	0	20
3	0	17
4	0	20
5	0	29
6	0	34
7	0	34
8	0	17
9	0	4
10	0	40
11	0	29
12	0	43
13	0	43
14	0	40
15	0	46
16	0	26
17	0	87
18	0	26
19	0	7
20	0	26
21	0	0
22	0	13
23	0	56
0	1	25
1	1	26
2	1	26
3	1	26
4	1	27
5	1	28
6	1	26
7	1	27
8	1	26
9	1	28
10	1	29
11	1	29
12	1	30
13	1	33
14	1	35
15	1	37
16	1	37
17	1	22
18	1	14
19	1	7
20	1	5
21	1	6
22	1	10
23	1	19
0	2	33
1	2	35
2	2	38
3	2	28
4	2	30
5	2	24
6	2	32
7	2	24
8	2	27
9	2	29
10	2	34
11	2	34
12	2	38
13	2	51
14	2	42
15	2	70
16	2	46
17	2	32
18	2	20
19	2	13
20	2	7
21	2	6
22	2	20
23	2	34
0	3	33
1	3	30
2	3	41
3	3	28
4	3	29
5	3	20
6	3	29
7	3	24
8	3	27
9	3	28
10	3	27
11	3	49
12	3	39
13	3	48
14	3	64
15	3	56
16	3	46
17	3	21
18	3	12
19	3	13
20	3	4
21	3	11
22	3	26
23	3	34
0	4	39
1	4	34
2	4	33
3	4	32
4	4	34
5	4	30
6	4	31
7	4	30
8	4	31
9	4	33
10	4	38
11	4	30
12	4	32
13	4	39
14	4	51
15	4	51
16	4	35
17	4	25
18	4	24
19	4	10
20	4	8
21	4	9
22	4	19
23	4	28
0	5	26
1	5	30
2	5	35
3	5	35
4	5	31
5	5	30
6	5	35
7	5	28
8	5	29
9	5	25
10	5	42
11	5	28
12	5	31
13	5	38
14	5	35
15	5	38
16	5	44
17	5	22
18	5	19
19	5	9
20	5	5
21	5	5
22	5	7
23	5	10
0	6	37
1	6	42
2	6	27
3	6	46
4	6	0
5	6	17
6	6	37
7	6	46
8	6	55
9	6	32
10	6	27
11	6	32
12	6	27
13	6	37
14	6	27
15	6	46
16	6	51
17	6	91
18	6	11
19	6	27
20	6	6
21	6	0
22	6	17
23	6	32
0	7	49
1	7	11
2	7	21
3	7	11
4	7	31
5	7	40
6	7	49
7	7	0
8	7	11
9	7	11
10	7	21
11	7	0
12	7	11
13	7	31
14	7	21
15	7	40
16	7	21
17	7	40
18	7	49
19	7	11
20	7	11
21	7	0
22	7	11
23	7	11
0	8	0
1	8	0
2	8	0
3	8	0
4	8	0
5	8	230
6	8	0
7	8	0
8	8	0
9	8	0
10	8	0
11	8	0
12	8	0
13	8	0
14	8	0
15	8	0
16	8	0
17	8	0
18	8	0
19	8	0
20	8	0
21	8	0
22	8	0
23	8	0
0	9	26
1	9	24
2	9	23
3	9	24
4	9	28
5	9	30
6	9	26
7	9	24
8	9	24
9	9	25
10	9	28
11	9	27
12	9	24
13	9	22
14	9	21
15	9	20
16	9	24
17	9	14
18	9	9
19	9	4
20	9	3
21	9	3
22	9	7
23	9	16
0	10	21
1	10	35
2	10	44
3	10	45
4	10	50
5	10	55
6	10	57
7	10	58
8	10	58
9	10	50
10	10	45
11	10	39
12	10	35
13	10	24
14	10	24
15	10	22
16	10	20
17	10	15
18	10	10
19	10	6
20	10	4
21	10	5
22	10	8
23	10	18
0	11	19
1	11	27
2	11	31
3	11	29
4	11	29
5	11	27
6	11	30
7	11	28
8	11	24
9	11	33
10	11	23
11	11	33
12	11	41
13	11	55
14	11	53
15	11	42
16	11	27
17	11	31
18	11	20
19	11	9
20	11	9
21	11	3
22	11	14
23	11	22
0	12	37
1	12	69
2	12	37
3	12	37
4	12	0
5	12	0
6	12	0
7	12	0
8	12	0
9	12	0
10	12	37
11	12	37
12	12	20
13	12	83
14	12	96
15	12	20
16	12	20
17	12	20
18	12	0
19	12	0
20	12	69
21	12	20
22	12	20
23	12	0
0	13	20
1	13	22
2	13	31
3	13	29
4	13	26
5	13	24
6	13	39
7	13	37
8	13	31
9	13	41
10	13	25
11	13	24
12	13	32
13	13	17
14	13	28
15	13	38
16	13	46
17	13	25
18	13	8
19	13	7
20	13	3
21	13	2
22	13	9
23	13	10
0	14	31
1	14	43
2	14	61
3	14	34
4	14	33
5	14	24
6	14	22
7	14	43
8	14	29
9	14	35
10	14	31
11	14	31
12	14	43
13	14	42
14	14	57
15	14	50
16	14	43
17	14	25
18	14	10
19	14	8
20	14	3
21	14	9
22	14	18
23	14	30
0	15	11
1	15	32
2	15	22
3	15	42
4	15	11
5	15	32
6	15	32
7	15	32
8	15	11
9	15	32
10	15	42
11	15	11
12	15	60
13	15	11
14	15	76
15	15	51
16	15	42
17	15	22
18	15	11
19	15	11
20	15	11
21	15	32
22	15	0
23	15	22
0	16	32
1	16	32
2	16	25
