Counts for Google(4) in Hong Kong(17):
Hour	Location Index	Count
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
0	1	1
1	1	1
2	1	1
3	1	1
4	1	1
5	1	1
6	1	1
7	1	1
8	1	1
9	1	1
10	1	1
11	1	1
12	1	1
13	1	1
14	1	1
15	1	1
16	1	2
17	1	1
18	1	1
19	1	1
20	1	1
21	1	1
22	1	1
23	1	1
0	2	0
1	2	2
2	2	2
3	2	0
4	2	0
5	2	0
6	2	2
7	2	6
8	2	2
9	2	0
10	2	0
11	2	0
12	2	0
13	2	0
14	2	0
15	2	0
16	2	3
17	2	0
18	2	0
19	2	0
20	2	0
21	2	2
22	2	3
23	2	0
0	3	0
1	3	0
2	3	2
3	3	0
4	3	0
5	3	0
6	3	0
7	3	0
8	3	0
9	3	0
10	3	0
11	3	0
12	3	0
13	3	0
14	3	0
15	3	0
16	3	2
17	3	0
18	3	0
19	3	0
20	3	0
21	3	0
22	3	0
23	3	0
0	4	2
1	4	2
2	4	1
3	4	2
4	4	0
5	4	1
6	4	0
7	4	0
8	4	0
9	4	1
10	4	0
11	4	0
12	4	0
13	4	0
14	4	2
15	4	2
16	4	1
17	4	2
18	4	2
19	4	1
20	4	0
21	4	0
22	4	0
23	4	0
0	5	0
1	5	0
2	5	2
3	5	0
4	5	0
5	5	0
6	5	0
7	5	0
8	5	0
9	5	1
10	5	1
11	5	0
12	5	1
13	5	1
14	5	2
15	5	0
16	5	0
17	5	0
18	5	0
19	5	0
20	5	1
21	5	0
22	5	0
23	5	2
0	6	0
1	6	0
2	6	0
3	6	0
4	6	0
5	6	0
6	6	0
7	6	0
8	6	0
9	6	0
10	6	0
11	6	0
12	6	0
13	6	0
14	6	0
15	6	0
16	6	0
17	6	0
18	6	0
19	6	0
20	6	0
21	6	0
22	6	0
23	6	0
0	7	0
1	7	0
2	7	0
3	7	0
4	7	0
5	7	0
6	7	0
7	7	0
8	7	0
9	7	0
10	7	0
11	7	0
12	7	0
13	7	0
14	7	0
15	7	0
16	7	0
17	7	0
18	7	0
19	7	0
20	7	0
21	7	0
22	7	0
23	7	0
0	8	0
1	8	0
2	8	0
3	8	0
4	8	0
5	8	0
6	8	0
7	8	0
8	8	0
9	8	0
10	8	0
11	8	0
12	8	0
13	8	0
14	8	0
15	8	0
16	8	0
17	8	0
18	8	0
19	8	0
20	8	0
21	8	0
22	8	0
23	8	0
0	9	1
1	9	1
2	9	1
3	9	1
4	9	1
5	9	1
6	9	1
7	9	1
8	9	1
9	9	1
10	9	1
11	9	1
12	9	1
13	9	1
14	9	1
15	9	1
16	9	1
17	9	1
18	9	1
19	9	1
20	9	1
21	9	1
22	9	1
23	9	1
0	10	1
1	10	1
2	10	1
3	10	1
4	10	1
5	10	1
6	10	2
7	10	1
8	10	1
9	10	1
10	10	1
11	10	1
12	10	1
13	10	1
14	10	1
15	10	1
16	10	1
17	10	1
18	10	0
19	10	0
20	10	0
21	10	0
22	10	1
23	10	0
0	11	0
1	11	0
2	11	1
3	11	2
4	11	1
5	11	1
6	11	0
7	11	1
8	11	1
9	11	0
10	11	3
11	11	0
12	11	1
13	11	3
14	11	1
15	11	0
16	11	2
17	11	0
18	11	0
19	11	0
20	11	0
21	11	0
22	11	0
23	11	0
0	12	0
1	12	0
2	12	0
3	12	0
4	12	0
5	12	0
6	12	0
7	12	0
8	12	0
9	12	0
10	12	0
11	12	0
12	12	0
13	12	0
14	12	0
15	12	0
16	12	0
17	12	0
18	12	0
19	12	0
20	12	0
21	12	0
22	12	0
23	12	0
0	13	0
1	13	0
2	13	0
3	13	2
4	13	3
5	13	0
6	13	0
7	13	0
8	13	3
9	13	0
10	13	0
11	13	0
12	13	0
13	13	0
14	13	0
15	13	0
16	13	0
17	13	0
18	13	0
19	13	0
20	13	0
21	13	0
22	13	0
23	13	0
0	14	0
1	14	2
2	14	0
3	14	2
4	14	1
5	14	1
6	14	1
7	14	0
8	14	1
9	14	1
10	14	0
11	14	0
12	14	1
13	14	1
14	14	3
15	14	3
16	14	5
17	14	1
18	14	1
19	14	0
20	14	0
21	14	0
22	14	0
23	14	2
0	15	0
1	15	0
2	15	0
3	15	0
4	15	0
5	15	0
6	15	0
7	15	0
8	15	0
9	15	11
10	15	0
11	15	0
12	15	0
13	15	0
14	15	0
15	15	0
16	15	0
17	15	0
18	15	0
19	15	0
20	15	0
21	15	0
22	15	0
23	15	0
0	16	1
1	16	1
2	16	1
3	16	1
4	16	1
5	16	2
6	16	1
7	16	1
8	16	1
9	16	1
10	16	1
11	16	1
12	16	1
13	16	1
14	16	1
15	16	1
16	16	1
17	16	1
18	16	1
19	16	1
20	16	0
21	16	0
22	16	1
23	16	1
0	17	0
1	17	0
2	17	3
3	17	2
4	17	2
5	17	1
6	17	1
7	17	2
8	17	0
9	17	2
10	17	1
11	17	2
12	17	2
13	17	0
14	17	0
15	17	2
16	17	2
17	17	0
18	17	0
19	17	0
20	17	0
21	17	0
22	17	0
23	17	1
0	18	0
1	18	0
2	18	0
3	18	0
4	18	0
5	18	0
6	18	0
7	18	0
8	18	0
9	18	0
10	18	0
11	18	0
12	18	0
13	18	0
14	18	0
15	18	0
16	18	0
17	18	0
18	18	0
19	18	0
20	18	0
21	18	0
22	18	0
23	18	0
0	19	1
1	19	2
2	19	2
3	19	1
4	19	2
5	19	0
6	19	0
7	19	0
8	19	3
9	19	0
10	19	3
11	19	3
12	19	1
13	19	2
14	19	2
15	19	1
16	19	3
17	19	1
18	19	0
19	19	1
20	19	0
21	19	0
22	19	2
23	19	2
0	20	0
1	20	0
2	20	0
3	20	0
4	20	0
5	20	0
6	20	0
7	20	0
8	20	0
9	20	0
10	20	0
11	20	0
12	20	0
13	20	0
14	20	0
15	20	0
16	20	0
17	20	0
18	20	0
19	20	0
20	20	0
21	20	0
22	20	0
23	20	0
0	21	0
1	21	0
2	21	0
3	21	0
4	21	0
5	21	0
6	21	0
7	21	0
8	21	0
9	21	4
10	21	4
11	21	0
12	21	0
13	21	0
14	21	0
15	21	4
16	21	4
17	21	0
18	21	0
19	21	0
20	21	0
21	21	0
22	21	0
23	21	0
0	22	0
1	22	0
2	22	0
3	22	0
4	22	1
5	22	0
6	22	1
7	22	0
8	22	0
9	22	0
10	22	0
11	22	0
12	22	2
13	22	2
14	22	2
15	22	2
16	22	0
17	22	0
18	22	0
19	22	0
20	22	0
21	22	0
22	22	0
23	22	2
0	23	2
1	23	0
2	23	4
3	23	0
4	23	0
5	23	0
6	23	2
7	23	0
8	23	0
9	23	0
10	23	0
11	23	0
12	23	5
13	23	2
14	23	2
15	23	2
