Counts for LG(8) in Hong Kong(17):
Hour	Location Index	Count
0	0	0
1	0	0
2	0	0
3	0	0
4	0	4
5	0	0
6	0	4
7	0	0
8	0	7
9	0	0
10	0	0
11	0	10
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	4
0	1	3
1	1	3
2	1	3
3	1	3
4	1	3
5	1	3
6	1	3
7	1	3
8	1	3
9	1	3
10	1	3
11	1	3
12	1	3
13	1	3
14	1	3
15	1	3
16	1	4
17	1	3
18	1	2
19	1	1
20	1	1
21	1	1
22	1	1
23	1	2
0	2	0
1	2	3
2	2	0
3	2	0
4	2	0
5	2	0
6	2	3
7	2	0
8	2	2
9	2	4
10	2	0
11	2	0
12	2	0
13	2	0
14	2	0
15	2	0
16	2	0
17	2	0
18	2	0
19	2	0
20	2	0
21	2	2
22	2	0
23	2	4
0	3	0
1	3	0
2	3	0
3	3	0
4	3	0
5	3	3
6	3	0
7	3	2
8	3	2
9	3	0
10	3	2
11	3	2
12	3	0
13	3	0
14	3	0
15	3	3
16	3	0
17	3	0
18	3	0
19	3	0
20	3	3
21	3	0
22	3	0
23	3	0
0	4	2
1	4	4
2	4	2
3	4	2
4	4	2
5	4	4
6	4	0
7	4	5
8	4	2
9	4	2
10	4	2
11	4	0
12	4	2
13	4	2
14	4	2
15	4	6
16	4	6
17	4	2
18	4	2
19	4	1
20	4	0
21	4	2
22	4	0
23	4	0
0	5	2
1	5	5
2	5	3
3	5	0
4	5	4
5	5	4
6	5	4
7	5	0
8	5	2
9	5	1
10	5	5
11	5	3
12	5	1
13	5	3
14	5	4
15	5	2
16	5	2
17	5	1
18	5	2
19	5	1
20	5	1
21	5	1
22	5	1
23	5	2
0	6	0
1	6	0
2	6	0
3	6	0
4	6	0
5	6	0
6	6	0
7	6	0
8	6	0
9	6	0
10	6	0
11	6	0
12	6	0
13	6	0
14	6	0
15	6	0
16	6	0
17	6	0
18	6	0
19	6	0
20	6	0
21	6	0
22	6	0
23	6	0
0	7	0
1	7	0
2	7	11
3	7	11
4	7	0
5	7	11
6	7	11
7	7	0
8	7	11
9	7	0
10	7	0
11	7	0
12	7	0
13	7	0
14	7	0
15	7	11
16	7	0
17	7	0
18	7	0
19	7	0
20	7	0
21	7	0
22	7	0
23	7	0
0	8	0
1	8	0
2	8	0
3	8	0
4	8	0
5	8	0
6	8	0
7	8	0
8	8	0
9	8	0
10	8	0
11	8	0
12	8	0
13	8	0
14	8	0
15	8	0
16	8	0
17	8	0
18	8	0
19	8	0
20	8	0
21	8	0
22	8	0
23	8	0
0	9	4
1	9	4
2	9	3
3	9	4
4	9	4
5	9	4
6	9	4
7	9	4
8	9	4
9	9	4
10	9	4
11	9	4
12	9	4
13	9	3
14	9	3
15	9	3
16	9	3
17	9	2
18	9	1
19	9	1
20	9	1
21	9	1
22	9	1
23	9	3
0	10	1
1	10	3
2	10	2
3	10	3
4	10	4
5	10	2
6	10	5
7	10	3
8	10	2
9	10	2
10	10	3
11	10	2
12	10	1
13	10	1
14	10	1
15	10	1
16	10	1
17	10	1
18	10	1
19	10	1
20	10	1
21	10	0
22	10	1
23	10	1
0	11	3
1	11	0
2	11	0
3	11	1
4	11	6
5	11	3
6	11	5
7	11	3
8	11	1
9	11	2
10	11	2
11	11	1
12	11	1
13	11	3
14	11	3
15	11	2
16	11	2
17	11	2
18	11	0
19	11	0
20	11	0
21	11	1
22	11	0
23	11	2
0	12	20
1	12	0
2	12	0
3	12	20
4	12	0
5	12	0
6	12	0
7	12	0
8	12	0
9	12	0
10	12	0
11	12	0
12	12	0
13	12	0
14	12	0
15	12	0
16	12	0
17	12	0
18	12	0
19	12	0
20	12	20
21	12	0
22	12	0
23	12	20
0	13	0
1	13	4
2	13	0
3	13	7
4	13	4
5	13	5
6	13	3
7	13	4
8	13	7
9	13	5
10	13	6
11	13	3
12	13	3
13	13	3
14	13	2
15	13	2
16	13	5
17	13	0
18	13	0
19	13	2
20	13	0
21	13	0
22	13	0
23	13	2
0	14	2
1	14	2
2	14	2
3	14	2
4	14	1
5	14	1
6	14	2
7	14	2
8	14	2
9	14	3
10	14	0
11	14	4
12	14	4
13	14	2
14	14	1
15	14	3
16	14	1
17	14	2
18	14	1
19	14	2
20	14	1
21	14	0
22	14	2
23	14	2
0	15	0
1	15	0
2	15	0
3	15	0
4	15	0
5	15	0
6	15	0
7	15	0
8	15	0
9	15	0
10	15	0
11	15	0
12	15	0
13	15	0
14	15	0
15	15	11
16	15	0
17	15	0
18	15	0
19	15	0
20	15	0
21	15	11
22	15	0
23	15	0
0	16	5
1	16	3
2	16	3
3	16	4
4	16	4
5	16	4
6	16	4
7	16	5
8	16	3
9	16	3
10	16	4
11	16	4
12	16	3
13	16	3
14	16	2
15	16	2
16	16	3
17	16	1
18	16	1
19	16	1
20	16	0
21	16	1
22	16	1
23	16	2
0	17	2
1	17	2
2	17	3
3	17	1
4	17	4
5	17	4
6	17	3
7	17	2
8	17	2
9	17	2
10	17	2
11	17	0
12	17	2
13	17	2
14	17	2
15	17	1
16	17	4
17	17	4
18	17	2
19	17	0
20	17	2
21	17	2
22	17	2
23	17	2
0	18	0
1	18	0
2	18	0
3	18	0
4	18	0
5	18	0
6	18	0
7	18	0
8	18	0
9	18	0
10	18	10
11	18	0
12	18	0
13	18	0
14	18	0
15	18	0
16	18	0
17	18	0
18	18	0
19	18	0
20	18	0
21	18	0
22	18	0
23	18	0
0	19	1
1	19	2
2	19	2
3	19	2
4	19	1
5	19	4
6	19	4
7	19	3
8	19	2
9	19	2
10	19	3
11	19	4
12	19	4
13	19	3
14	19	4
15	19	8
16	19	3
17	19	3
18	19	3
19	19	0
20	19	0
21	19	0
22	19	2
23	19	1
0	20	0
1	20	0
2	20	0
3	20	4
4	20	0
5	20	0
6	20	0
7	20	0
8	20	0
9	20	4
10	20	0
11	20	0
12	20	4
13	20	0
14	20	0
15	20	0
16	20	0
17	20	0
18	20	0
19	20	0
20	20	0
21	20	0
22	20	0
23	20	0
0	21	0
1	21	0
2	21	0
3	21	4
4	21	0
5	21	0
6	21	0
7	21	0
8	21	7
9	21	0
10	21	0
11	21	0
12	21	0
13	21	0
14	21	0
15	21	0
16	21	0
17	21	0
18	21	0
19	21	0
20	21	0
21	21	0
22	21	0
23	21	0
0	22	1
1	22	2
2	22	5
3	22	3
4	22	4
5	22	2
6	22	1
7	22	0
8	22	0
9	22	1
10	22	3
11	22	1
12	22	1
13	22	9
14	22	4
15	22	3
16	22	6
17	22	6
18	22	2
19	22	0
20	22	0
21	22	0
22	22	0
23	22	2
0	23	8
1	23	11
2	23	2
3	23	7
4	23	7
5	23	7
6	23	4
7	23	2
8	23	2
9	23	7
10	23	4
11	23	0
12	23	0
13	23	4
14	23	0
15	23	4
