Counts for Samsung(12) in India(18):
Hour	Location Index	Count
0	0	0
1	0	0
2	0	0
3	0	41
4	0	0
5	0	59
6	0	22
7	0	0
8	0	41
9	0	0
10	0	22
11	0	0
12	0	41
13	0	0
14	0	0
15	0	22
16	0	41
17	0	41
18	0	22
19	0	41
20	0	0
21	0	0
22	0	0
23	0	0
0	1	0
1	1	0
2	1	0
3	1	0
4	1	0
5	1	19
6	1	0
7	1	0
8	1	0
9	1	0
10	1	0
11	1	0
12	1	19
13	1	0
14	1	36
15	1	36
16	1	67
17	1	67
18	1	0
19	1	0
20	1	0
21	1	0
22	1	0
23	1	0
0	2	0
1	2	201
2	2	201
3	2	0
4	2	0
5	2	0
6	2	0
7	2	0
8	2	0
9	2	0
10	2	0
11	2	0
12	2	0
13	2	0
14	2	0
15	2	0
16	2	0
17	2	0
18	2	0
19	2	0
20	2	0
21	2	0
22	2	0
23	2	0
0	3	0
1	3	0
2	3	0
3	3	41
4	3	18
5	3	0
6	3	9
7	3	9
8	3	18
9	3	0
10	3	26
11	3	26
12	3	9
13	3	26
14	3	26
15	3	9
16	3	9
17	3	41
18	3	0
19	3	9
20	3	26
21	3	0
22	3	0
23	3	0
0	4	2
1	4	6
2	4	9
3	4	7
4	4	18
5	4	12
6	4	12
7	4	26
8	4	20
9	4	19
10	4	21
11	4	18
12	4	19
13	4	20
14	4	22
15	4	26
16	4	33
17	4	21
18	4	22
19	4	8
20	4	3
21	4	4
22	4	2
23	4	0
0	5	0
1	5	0
2	5	0
3	5	0
4	5	0
5	5	49
6	5	0
7	5	0
8	5	0
9	5	0
10	5	0
11	5	49
12	5	49
13	5	0
14	5	0
15	5	88
16	5	0
17	5	0
18	5	0
19	5	0
20	5	0
21	5	0
22	5	0
23	5	0
0	6	0
1	6	0
2	6	53
3	6	0
4	6	53
5	6	0
6	6	28
7	6	0
8	6	53
9	6	0
10	6	28
11	6	0
12	6	0
13	6	0
14	6	0
15	6	0
16	6	75
17	6	0
18	6	0
19	6	0
20	6	0
21	6	0
22	6	0
23	6	0
0	7	0
1	7	0
2	7	0
3	7	0
4	7	0
5	7	0
6	7	0
7	7	0
8	7	0
9	7	60
10	7	0
11	7	0
12	7	32
13	7	32
14	7	105
15	7	0
16	7	0
17	7	32
18	7	0
19	7	0
20	7	0
21	7	0
22	7	0
23	7	0
0	8	0
1	8	0
2	8	0
3	8	0
4	8	0
5	8	26
6	8	50
7	8	0
8	8	50
9	8	26
10	8	50
11	8	71
12	8	71
13	8	0
14	8	0
15	8	26
16	8	0
17	8	50
18	8	71
19	8	0
20	8	0
21	8	0
22	8	0
23	8	0
0	9	0
1	9	0
2	9	15
3	9	15
4	9	15
5	9	8
6	9	22
7	9	15
8	9	22
9	9	28
10	9	28
11	9	8
12	9	22
13	9	47
14	9	41
15	9	22
16	9	28
17	9	0
18	9	28
19	9	35
20	9	0
21	9	8
22	9	8
23	9	0
0	10	33
1	10	0
2	10	33
3	10	0
4	10	0
5	10	0
6	10	33
7	10	0
8	10	33
9	10	0
10	10	0
11	10	61
12	10	33
13	10	0
14	10	61
15	10	33
16	10	33
17	10	0
18	10	0
19	10	0
20	10	0
21	10	0
22	10	0
23	10	0
0	11	0
1	11	0
2	11	41
3	11	0
4	11	11
5	11	0
6	11	11
7	11	0
8	11	0
9	11	22
10	11	31
11	11	41
12	11	22
13	11	11
14	11	31
15	11	11
16	11	0
17	11	22
18	11	0
19	11	11
20	11	22
21	11	0
22	11	0
23	11	0
0	12	0
1	12	0
2	12	0
3	12	44
4	12	28
5	12	19
6	12	19
7	12	36
8	12	0
9	12	28
10	12	36
11	12	10
12	12	10
13	12	0
14	12	36
15	12	19
16	12	44
17	12	28
18	12	10
19	12	0
20	12	0
21	12	0
22	12	0
23	12	0
0	13	6
1	13	12
2	13	16
3	13	20
4	13	29
5	13	25
6	13	23
7	13	14
8	13	23
9	13	24
10	13	19
11	13	25
12	13	23
13	13	25
14	13	25
15	13	23
16	13	15
17	13	25
18	13	16
19	13	11
20	13	5
21	13	5
22	13	4
23	13	3
0	14	0
1	14	0
2	14	0
3	14	0
4	14	0
5	14	24
6	14	0
7	14	45
8	14	24
9	14	0
10	14	0
11	14	0
12	14	45
13	14	64
14	14	0
15	14	0
16	14	0
17	14	0
18	14	24
19	14	0
20	14	0
21	14	0
22	14	0
23	14	0
0	15	0
1	15	0
2	15	17
3	15	48
4	15	17
5	15	0
6	15	0
7	15	17
8	15	33
9	15	62
10	15	17
11	15	0
12	15	17
13	15	17
14	15	75
15	15	17
16	15	0
17	15	0
18	15	0
19	15	0
20	15	0
21	15	0
22	15	33
23	15	0
0	16	0
1	16	0
2	16	0
3	16	45
4	16	0
5	16	0
6	16	45
7	16	0
8	16	0
9	16	45
10	16	45
11	16	0
12	16	0
13	16	45
14	16	0
15	16	45
16	16	0
17	16	45
18	16	0
19	16	0
20	16	0
21	16	0
22	16	0
23	16	0
0	17	0
1	17	0
2	17	0
3	17	0
4	17	0
5	17	15
6	17	54
7	17	15
8	17	15
9	17	0
10	17	41
11	17	29
12	17	29
13	17	0
14	17	54
15	17	0
16	17	54
17	17	15
18	17	0
19	17	0
20	17	0
21	17	0
22	17	0
23	17	0
0	18	2
1	18	0
2	18	12
3	18	7
4	18	15
5	18	17
6	18	17
7	18	27
8	18	17
9	18	17
10	18	24
11	18	24
12	18	29
13	18	18
14	18	17
15	18	18
16	18	24
17	18	20
18	18	20
19	18	17
20	18	12
21	18	7
22	18	2
23	18	0
0	19	8
1	19	12
2	19	12
3	19	11
4	19	20
5	19	13
6	19	15
7	19	19
8	19	19
9	19	24
10	19	26
11	19	19
12	19	20
13	19	27
14	19	27
15	19	19
16	19	20
17	19	21
18	19	13
19	19	10
20	19	6
21	19	2
22	19	2
23	19	3
0	20	0
1	20	0
2	20	0
3	20	55
4	20	55
5	20	0
6	20	0
7	20	0
8	20	55
9	20	0
10	20	0
11	20	0
12	20	0
13	20	55
14	20	0
15	20	0
16	20	55
17	20	0
18	20	0
19	20	0
20	20	0
21	20	0
22	20	0
23	20	0
0	21	22
1	21	0
2	21	0
3	21	22
4	21	0
5	21	0
6	21	0
7	21	0
8	21	41
9	21	0
10	21	0
11	21	22
12	21	0
13	21	22
14	21	41
15	21	0
16	21	0
17	21	22
18	21	22
19	21	22
20	21	22
21	21	0
22	21	22
23	21	0
0	22	0
1	22	18
2	22	45
3	22	7
4	22	18
5	22	0
6	22	45
7	22	18
8	22	7
9	22	7
10	22	24
11	22	7
12	22	12
13	22	18
14	22	40
15	22	0
16	22	29
17	22	45
18	22	24
19	22	7
20	22	0
21	22	7
22	22	0
23	22	0
0	23	0
1	23	7
2	23	10
3	23	19
4	23	19
5	23	19
6	23	24
7	23	29
8	23	19
9	23	23
10	23	23
11	23	16
12	23	37
13	23	29
14	23	13
15	23	23
