Counts for Sony(13) in India(18):
Hour	Location Index	Count
0	0	0
1	0	0
2	0	0
3	0	0
4	0	22
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	22
11	0	59
12	0	0
13	0	22
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
0	1	0
1	1	0
2	1	0
3	1	0
4	1	0
5	1	0
6	1	0
7	1	0
8	1	36
9	1	19
10	1	52
11	1	0
12	1	19
13	1	0
14	1	0
15	1	0
16	1	0
17	1	0
18	1	36
19	1	0
20	1	0
21	1	0
22	1	0
23	1	0
0	2	0
1	2	0
2	2	0
3	2	0
4	2	0
5	2	0
6	2	0
7	2	0
8	2	0
9	2	0
10	2	0
11	2	0
12	2	0
13	2	0
14	2	0
15	2	0
16	2	0
17	2	0
18	2	0
19	2	0
20	2	0
21	2	0
22	2	0
23	2	0
0	3	0
1	3	0
2	3	0
3	3	9
4	3	18
5	3	0
6	3	9
7	3	9
8	3	0
9	3	9
10	3	9
11	3	0
12	3	0
13	3	0
14	3	0
15	3	9
16	3	0
17	3	0
18	3	0
19	3	0
20	3	0
21	3	0
22	3	0
23	3	0
0	4	4
1	4	3
2	4	2
3	4	4
4	4	4
5	4	4
6	4	7
7	4	3
8	4	2
9	4	0
10	4	5
11	4	0
12	4	3
13	4	2
14	4	2
15	4	0
16	4	4
17	4	3
18	4	7
19	4	0
20	4	4
21	4	0
22	4	0
23	4	2
0	5	0
1	5	0
2	5	0
3	5	0
4	5	0
5	5	0
6	5	0
7	5	0
8	5	0
9	5	0
10	5	0
11	5	0
12	5	0
13	5	0
14	5	0
15	5	0
16	5	88
17	5	0
18	5	0
19	5	0
20	5	0
21	5	0
22	5	0
23	5	0
0	6	0
1	6	0
2	6	0
3	6	0
4	6	0
5	6	0
6	6	0
7	6	0
8	6	53
9	6	0
10	6	0
11	6	0
12	6	0
13	6	0
14	6	0
15	6	28
16	6	0
17	6	0
18	6	53
19	6	0
20	6	0
21	6	0
22	6	0
23	6	0
0	7	0
1	7	0
2	7	0
3	7	0
4	7	32
5	7	0
6	7	0
7	7	0
8	7	60
9	7	0
10	7	0
11	7	32
12	7	0
13	7	0
14	7	0
15	7	0
16	7	0
17	7	0
18	7	32
19	7	0
20	7	0
21	7	0
22	7	0
23	7	0
0	8	0
1	8	0
2	8	0
3	8	0
4	8	26
5	8	0
6	8	26
7	8	0
8	8	0
9	8	0
10	8	0
11	8	0
12	8	0
13	8	0
14	8	0
15	8	0
16	8	0
17	8	26
18	8	0
19	8	0
20	8	0
21	8	0
22	8	0
23	8	0
0	9	0
1	9	8
2	9	15
3	9	0
4	9	0
5	9	8
6	9	0
7	9	0
8	9	0
9	9	0
10	9	8
11	9	0
12	9	8
13	9	28
14	9	15
15	9	8
16	9	0
17	9	0
18	9	8
19	9	15
20	9	0
21	9	0
22	9	0
23	9	0
0	10	0
1	10	0
2	10	0
3	10	0
4	10	0
5	10	0
6	10	0
7	10	0
8	10	0
9	10	0
10	10	0
11	10	0
12	10	0
13	10	0
14	10	61
15	10	0
16	10	0
17	10	33
18	10	33
19	10	0
20	10	0
21	10	0
22	10	0
23	10	0
0	11	0
1	11	22
2	11	0
3	11	0
4	11	0
5	11	22
6	11	22
7	11	0
8	11	0
9	11	0
10	11	0
11	11	0
12	11	0
13	11	0
14	11	0
15	11	0
16	11	0
17	11	0
18	11	0
19	11	0
20	11	0
21	11	0
22	11	0
23	11	0
0	12	0
1	12	10
2	12	0
3	12	10
4	12	10
5	12	0
6	12	0
7	12	0
8	12	10
9	12	10
10	12	0
11	12	0
12	12	0
13	12	0
14	12	10
15	12	0
16	12	0
17	12	0
18	12	0
19	12	0
20	12	0
21	12	0
22	12	0
23	12	0
0	13	6
1	13	4
2	13	0
3	13	3
4	13	6
5	13	2
6	13	4
7	13	3
8	13	9
9	13	4
10	13	5
11	13	2
12	13	3
13	13	12
14	13	4
15	13	6
16	13	5
17	13	3
18	13	4
19	13	5
20	13	5
21	13	2
22	13	0
23	13	3
0	14	0
1	14	0
2	14	0
3	14	0
4	14	24
5	14	0
6	14	0
7	14	0
8	14	24
9	14	0
10	14	0
11	14	0
12	14	0
13	14	0
14	14	0
15	14	0
16	14	0
17	14	0
18	14	0
19	14	0
20	14	0
21	14	24
22	14	0
23	14	0
0	15	0
1	15	0
2	15	0
3	15	33
4	15	0
5	15	0
6	15	0
7	15	0
8	15	0
9	15	0
10	15	0
11	15	0
12	15	0
13	15	0
14	15	17
15	15	17
16	15	48
17	15	0
18	15	17
19	15	0
20	15	0
21	15	0
22	15	0
23	15	0
0	16	0
1	16	0
2	16	0
3	16	0
4	16	45
5	16	0
6	16	0
7	16	0
8	16	0
9	16	0
10	16	0
11	16	0
12	16	0
13	16	0
14	16	45
15	16	0
16	16	0
17	16	0
18	16	0
19	16	0
20	16	0
21	16	0
22	16	0
23	16	0
0	17	0
1	17	0
2	17	0
3	17	0
4	17	0
5	17	0
6	17	0
7	17	0
8	17	0
9	17	0
10	17	15
11	17	0
12	17	0
13	17	15
14	17	15
15	17	0
16	17	0
17	17	0
18	17	0
19	17	0
20	17	0
21	17	0
22	17	0
23	17	0
0	18	0
1	18	0
2	18	0
3	18	0
4	18	7
5	18	4
6	18	0
7	18	0
8	18	8
9	18	0
10	18	7
11	18	10
12	18	0
13	18	4
14	18	4
15	18	8
16	18	5
17	18	4
18	18	4
19	18	7
20	18	7
21	18	2
22	18	0
23	18	0
0	19	2
1	19	1
2	19	2
3	19	3
4	19	4
5	19	8
6	19	8
7	19	6
8	19	5
9	19	9
10	19	6
11	19	5
12	19	4
13	19	7
14	19	5
15	19	7
16	19	7
17	19	11
18	19	4
19	19	1
20	19	0
21	19	1
22	19	1
23	19	1
0	20	0
1	20	0
2	20	0
3	20	0
4	20	0
5	20	0
6	20	0
7	20	0
8	20	0
9	20	0
10	20	0
11	20	0
12	20	0
13	20	0
14	20	55
15	20	0
16	20	0
17	20	0
18	20	0
19	20	0
20	20	0
21	20	0
22	20	0
23	20	0
0	21	0
1	21	0
2	21	0
3	21	0
4	21	0
5	21	0
6	21	0
7	21	0
8	21	0
9	21	0
10	21	0
11	21	0
12	21	0
13	21	0
14	21	0
15	21	0
16	21	0
17	21	22
18	21	22
19	21	0
20	21	0
21	21	0
22	21	0
23	21	0
0	22	0
1	22	7
2	22	0
3	22	0
4	22	12
5	22	7
6	22	7
7	22	0
8	22	18
9	22	24
10	22	0
11	22	0
12	22	0
13	22	7
14	22	0
15	22	12
16	22	7
17	22	0
18	22	0
19	22	0
20	22	0
21	22	0
22	22	0
23	22	0
0	23	0
1	23	5
2	23	5
3	23	0
4	23	5
5	23	5
6	23	10
7	23	2
8	23	13
9	23	2
10	23	8
11	23	4
12	23	5
13	23	7
14	23	4
15	23	7
