Counts for Apple(2) in India(18):
Hour	Location Index	Count
0	0	0
1	0	0
2	0	0
3	0	22
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	41
12	0	0
13	0	41
14	0	0
15	0	22
16	0	0
17	0	0
18	0	22
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
0	1	0
1	1	0
2	1	19
3	1	0
4	1	0
5	1	0
6	1	0
7	1	19
8	1	36
9	1	19
10	1	0
11	1	0
12	1	0
13	1	36
14	1	0
15	1	0
16	1	0
17	1	0
18	1	19
19	1	0
20	1	0
21	1	19
22	1	0
23	1	0
0	2	0
1	2	0
2	2	0
3	2	0
4	2	0
5	2	0
6	2	0
7	2	0
8	2	0
9	2	0
10	2	0
11	2	0
12	2	0
13	2	0
14	2	0
15	2	0
16	2	0
17	2	0
18	2	0
19	2	0
20	2	0
21	2	0
22	2	0
23	2	0
0	3	0
1	3	0
2	3	0
3	3	0
4	3	9
5	3	26
6	3	34
7	3	18
8	3	0
9	3	0
10	3	26
11	3	18
12	3	18
13	3	18
14	3	0
15	3	0
16	3	18
17	3	41
18	3	26
19	3	0
20	3	9
21	3	0
22	3	9
23	3	0
0	4	4
1	4	6
2	4	8
3	4	7
4	4	11
5	4	21
6	4	20
7	4	13
8	4	24
9	4	19
10	4	23
11	4	15
12	4	14
13	4	12
14	4	20
15	4	33
16	4	26
17	4	24
18	4	22
19	4	19
20	4	5
21	4	4
22	4	5
23	4	4
0	5	119
1	5	0
2	5	0
3	5	0
4	5	0
5	5	49
6	5	0
7	5	0
8	5	0
9	5	0
10	5	0
11	5	0
12	5	0
13	5	49
14	5	88
15	5	0
16	5	0
17	5	49
18	5	49
19	5	0
20	5	0
21	5	0
22	5	0
23	5	0
0	6	0
1	6	0
2	6	75
3	6	0
4	6	0
5	6	0
6	6	0
7	6	0
8	6	0
9	6	0
10	6	0
11	6	0
12	6	28
13	6	0
14	6	0
15	6	0
16	6	0
17	6	0
18	6	0
19	6	0
20	6	0
21	6	0
22	6	0
23	6	0
0	7	0
1	7	0
2	7	0
3	7	0
4	7	0
5	7	0
6	7	32
7	7	60
8	7	0
9	7	60
10	7	32
11	7	0
12	7	0
13	7	0
14	7	0
15	7	0
16	7	0
17	7	60
18	7	0
19	7	0
20	7	0
21	7	0
22	7	0
23	7	0
0	8	26
1	8	0
2	8	0
3	8	0
4	8	0
5	8	0
6	8	0
7	8	26
8	8	26
9	8	0
10	8	0
11	8	0
12	8	26
13	8	0
14	8	0
15	8	0
16	8	26
17	8	26
18	8	0
19	8	50
20	8	26
21	8	0
22	8	0
23	8	0
0	9	0
1	9	0
2	9	0
3	9	0
4	9	0
5	9	8
6	9	15
7	9	0
8	9	8
9	9	8
10	9	0
11	9	0
12	9	8
13	9	35
14	9	0
15	9	0
16	9	8
17	9	0
18	9	15
19	9	0
20	9	0
21	9	0
22	9	0
23	9	0
0	10	0
1	10	0
2	10	0
3	10	0
4	10	33
5	10	0
6	10	33
7	10	0
8	10	0
9	10	33
10	10	0
11	10	0
12	10	0
13	10	0
14	10	0
15	10	0
16	10	0
17	10	0
18	10	0
19	10	0
20	10	0
21	10	0
22	10	0
23	10	0
0	11	0
1	11	0
2	11	0
3	11	31
4	11	11
5	11	0
6	11	31
7	11	0
8	11	22
9	11	0
10	11	11
11	11	11
12	11	41
13	11	11
14	11	59
15	11	31
16	11	0
17	11	41
18	11	50
19	11	0
20	11	0
21	11	11
22	11	0
23	11	0
0	12	0
1	12	0
2	12	10
3	12	19
4	12	19
5	12	10
6	12	52
7	12	19
8	12	10
9	12	0
10	12	19
11	12	0
12	12	0
13	12	36
14	12	19
15	12	10
16	12	0
17	12	28
18	12	10
19	12	19
20	12	0
21	12	0
22	12	0
23	12	0
0	13	2
1	13	3
2	13	11
3	13	11
4	13	6
5	13	11
6	13	3
7	13	10
8	13	2
9	13	9
10	13	12
11	13	8
12	13	11
13	13	12
14	13	14
15	13	7
16	13	11
17	13	11
18	13	5
19	13	2
20	13	0
21	13	0
22	13	2
23	13	0
0	14	0
1	14	24
2	14	0
3	14	0
4	14	0
5	14	24
6	14	0
7	14	45
8	14	45
9	14	45
10	14	0
11	14	0
12	14	45
13	14	24
14	14	45
15	14	0
16	14	24
17	14	24
18	14	24
19	14	24
20	14	0
21	14	0
22	14	0
23	14	0
0	15	0
1	15	0
2	15	0
3	15	17
4	15	0
5	15	0
6	15	0
7	15	17
8	15	0
9	15	33
10	15	17
11	15	17
12	15	0
13	15	33
14	15	33
15	15	0
16	15	0
17	15	17
18	15	0
19	15	0
20	15	0
21	15	0
22	15	0
23	15	0
0	16	0
1	16	45
2	16	0
3	16	0
4	16	45
5	16	0
6	16	0
7	16	0
8	16	0
9	16	0
10	16	0
11	16	45
12	16	0
13	16	45
14	16	0
15	16	0
16	16	45
17	16	0
18	16	0
19	16	0
20	16	0
21	16	0
22	16	0
23	16	0
0	17	15
1	17	0
2	17	0
3	17	29
4	17	0
5	17	29
6	17	15
7	17	0
8	17	0
9	17	29
10	17	41
11	17	29
12	17	0
13	17	0
14	17	0
15	17	29
16	17	29
17	17	0
18	17	41
19	17	0
20	17	0
21	17	0
22	17	0
23	17	0
0	18	4
1	18	2
2	18	10
3	18	15
4	18	31
5	18	14
6	18	12
7	18	23
8	18	11
9	18	23
10	18	20
11	18	8
12	18	15
13	18	15
14	18	20
15	18	20
16	18	24
17	18	21
18	18	12
19	18	12
20	18	5
21	18	4
22	18	4
23	18	2
0	19	6
1	19	7
2	19	9
3	19	9
4	19	8
5	19	9
6	19	15
7	19	9
8	19	10
9	19	11
10	19	11
11	19	11
12	19	10
13	19	11
14	19	12
15	19	17
16	19	17
17	19	20
18	19	9
19	19	9
20	19	3
21	19	1
22	19	2
23	19	0
0	20	0
1	20	0
2	20	0
3	20	0
4	20	0
5	20	0
6	20	0
7	20	0
8	20	0
9	20	0
10	20	0
11	20	0
12	20	0
13	20	0
14	20	0
15	20	55
16	20	159
17	20	55
18	20	0
19	20	0
20	20	0
21	20	0
22	20	0
23	20	0
0	21	22
1	21	0
2	21	22
3	21	0
4	21	0
5	21	22
6	21	22
7	21	41
8	21	22
9	21	0
10	21	41
11	21	0
12	21	22
13	21	22
14	21	0
15	21	0
16	21	0
17	21	0
18	21	22
19	21	0
20	21	0
21	21	0
22	21	0
23	21	22
0	22	0
1	22	7
2	22	12
3	22	12
4	22	12
5	22	0
6	22	0
7	22	18
8	22	12
9	22	12
10	22	0
11	22	29
12	22	0
13	22	12
14	22	7
15	22	29
16	22	24
17	22	35
18	22	7
19	22	7
20	22	0
21	22	0
22	22	0
23	22	7
0	23	0
1	23	0
2	23	8
3	23	0
4	23	4
5	23	0
6	23	2
7	23	0
8	23	2
9	23	2
10	23	5
11	23	5
12	23	5
13	23	8
14	23	11
15	23	0
