Counts for Samsung(12) in Indonesia(19):
Hour	Location Index	Count
0	0	201
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
0	1	37
1	1	68
2	1	37
3	1	37
4	1	0
5	1	37
6	1	37
7	1	0
8	1	37
9	1	37
10	1	0
11	1	0
12	1	95
13	1	68
14	1	68
15	1	68
16	1	0
17	1	0
18	1	0
19	1	0
20	1	0
21	1	0
22	1	0
23	1	68
0	2	0
1	2	0
2	2	0
3	2	39
4	2	0
5	2	0
6	2	11
7	2	11
8	2	0
9	2	11
10	2	11
11	2	11
12	2	57
13	2	11
14	2	0
15	2	11
16	2	0
17	2	0
18	2	0
19	2	0
20	2	0
21	2	0
22	2	48
23	2	48
0	3	12
1	3	37
2	3	40
3	3	34
4	3	23
5	3	16
6	3	12
7	3	34
8	3	4
9	3	19
10	3	4
11	3	16
12	3	4
13	3	0
14	3	12
15	3	8
16	3	0
17	3	4
18	3	0
19	3	0
20	3	0
21	3	8
22	3	4
23	3	19
0	4	27
1	4	24
2	4	27
3	4	28
4	4	27
5	4	31
6	4	27
7	4	31
8	4	27
9	4	27
10	4	26
11	4	30
12	4	29
13	4	30
14	4	31
15	4	24
16	4	22
17	4	19
18	4	16
19	4	14
20	4	12
21	4	13
22	4	17
23	4	23
0	5	22
1	5	24
2	5	32
3	5	25
4	5	33
5	5	22
6	5	23
7	5	33
8	5	25
9	5	29
10	5	27
11	5	30
12	5	25
13	5	34
14	5	20
15	5	22
16	5	23
17	5	26
18	5	18
19	5	17
20	5	13
21	5	14
22	5	18
23	5	26
0	6	16
1	6	16
2	6	0
3	6	31
4	6	31
5	6	0
6	6	16
7	6	16
8	6	82
9	6	16
10	6	31
11	6	58
12	6	16
13	6	16
14	6	0
15	6	0
16	6	0
17	6	16
18	6	31
19	6	0
20	6	0
21	6	0
22	6	0
23	6	16
0	7	0
1	7	0
2	7	0
3	7	73
4	7	40
5	7	0
6	7	27
7	7	62
8	7	14
9	7	51
10	7	14
11	7	27
12	7	0
13	7	0
14	7	40
15	7	27
16	7	14
17	7	27
18	7	0
19	7	0
20	7	0
21	7	14
22	7	0
23	7	0
0	8	0
1	8	0
2	8	0
3	8	0
4	8	0
5	8	0
6	8	0
7	8	0
8	8	0
9	8	0
10	8	0
11	8	0
12	8	0
13	8	0
14	8	0
15	8	0
16	8	0
17	8	0
18	8	0
19	8	0
20	8	0
21	8	0
22	8	0
23	8	0
0	9	0
1	9	201
2	9	0
3	9	0
4	9	0
5	9	0
6	9	0
7	9	0
8	9	137
9	9	0
10	9	137
11	9	0
12	9	0
13	9	0
14	9	0
15	9	0
16	9	0
17	9	0
18	9	0
19	9	0
20	9	0
21	9	0
22	9	137
23	9	0
0	10	0
1	10	0
2	10	0
3	10	73
4	10	32
5	10	0
6	10	17
7	10	60
8	10	32
9	10	0
10	10	17
11	10	17
12	10	17
13	10	0
14	10	47
15	10	17
16	10	0
17	10	0
18	10	32
19	10	32
20	10	0
21	10	47
22	10	0
23	10	0
0	11	19
1	11	10
2	11	14
3	11	19
4	11	10
5	11	0
6	11	10
7	11	14
8	11	35
9	11	23
10	11	35
11	11	19
12	11	39
13	11	35
14	11	43
15	11	43
16	11	144
17	11	23
18	11	5
19	11	0
20	11	0
21	11	5
22	11	5
23	11	0
0	12	13
1	12	13
2	12	13
3	12	46
4	12	13
5	12	46
6	12	0
7	12	35
8	12	0
9	12	13
10	12	13
11	12	13
12	12	65
13	12	24
14	12	24
15	12	0
16	12	13
17	12	0
18	12	46
19	12	13
20	12	46
21	12	0
22	12	0
23	12	13
0	13	10
1	13	3
2	13	8
3	13	0
4	13	36
5	13	31
6	13	13
7	13	13
8	13	8
9	13	6
10	13	6
11	13	15
12	13	27
13	13	25
14	13	13
15	13	20
16	13	3
17	13	6
18	13	8
19	13	0
20	13	0
21	13	0
22	13	0
23	13	3
0	14	0
1	14	0
2	14	0
3	14	0
4	14	0
5	14	0
6	14	45
7	14	45
8	14	0
9	14	45
10	14	0
11	14	82
12	14	0
13	14	0
14	14	0
15	14	0
16	14	0
17	14	0
18	14	0
19	14	0
20	14	0
21	14	0
22	14	45
23	14	45
0	15	123
1	15	187
2	15	0
3	15	0
4	15	0
5	15	0
6	15	0
7	15	123
8	15	0
9	15	0
10	15	0
11	15	0
12	15	0
13	15	123
14	15	0
15	15	0
16	15	0
17	15	123
18	15	0
19	15	0
20	15	0
21	15	0
22	15	0
23	15	0
0	16	18
1	16	23
2	16	27
3	16	28
4	16	26
5	16	27
6	16	26
7	16	28
8	16	23
9	16	26
10	16	24
11	16	33
12	16	25
13	16	35
14	16	32
15	16	30
16	16	32
17	16	33
18	16	23
19	16	18
20	16	12
21	16	14
22	16	11
23	16	15
0	17	0
1	17	37
2	17	0
3	17	69
4	17	20
5	17	0
6	17	69
7	17	69
8	17	0
9	17	37
10	17	0
11	17	0
12	17	54
13	17	83
14	17	0
15	17	0
16	17	0
17	17	0
18	17	0
19	17	0
20	17	0
21	17	0
22	17	0
23	17	0
0	18	7
1	18	0
2	18	0
3	18	0
4	18	33
5	18	20
6	18	7
7	18	20
8	18	20
9	18	7
10	18	14
11	18	33
12	18	7
13	18	7
14	18	0
15	18	14
16	18	7
17	18	0
18	18	0
19	18	0
20	18	7
21	18	0
22	18	27
23	18	0
0	19	40
1	19	40
2	19	0
3	19	0
4	19	0
5	19	40
6	19	0
7	19	0
8	19	0
9	19	0
10	19	0
11	19	40
12	19	0
13	19	0
14	19	0
15	19	0
16	19	0
17	19	74
18	19	0
19	19	0
20	19	0
21	19	0
22	19	0
23	19	40
0	20	27
1	20	22
2	20	39
3	20	38
4	20	24
5	20	32
6	20	29
7	20	39
8	20	20
9	20	43
10	20	36
11	20	39
12	20	32
13	20	31
14	20	29
15	20	43
16	20	27
17	20	20
18	20	22
19	20	4
20	20	3
21	20	8
22	20	32
23	20	18
0	21	0
1	21	0
2	21	0
3	21	0
4	21	0
5	21	0
6	21	0
7	21	0
8	21	0
9	21	0
10	21	0
11	21	0
12	21	0
13	21	0
14	21	0
15	21	0
16	21	0
17	21	0
18	21	0
19	21	0
20	21	0
21	21	0
22	21	0
23	21	0
0	22	51
1	22	32
2	22	19
3	22	32
4	22	32
5	22	35
6	22	19
7	22	15
8	22	25
9	22	11
10	22	11
11	22	22
12	22	22
13	22	25
14	22	15
15	22	35
16	22	8
17	22	19
18	22	0
19	22	8
20	22	0
21	22	0
22	22	8
23	22	22
0	23	34
1	23	40
2	23	30
3	23	33
4	23	43
5	23	38
6	23	34
7	23	38
8	23	32
9	23	39
10	23	37
11	23	35
12	23	38
13	23	33
14	23	39
15	23	40
16	23	36
17	23	33
18	23	24
19	23	20
20	23	16
21	23	13
22	23	22
23	23	25
0	24	15
1	24	8
2	24	28
3	24	0
4	24	15
5	24	15
6	24	35
7	24	8
8	24	53
9	24	28
10	24	15
11	24	8
12	24	15
13	24	22
14	24	22
15	24	15
16	24	22
17	24	0
18	24	0
19	24	8
20	24	0
21	24	0
22	24	15
23	24	8
0	25	0
1	25	0
2	25	0
3	25	28
4	25	52
5	25	52
6	25	73
7	25	28
8	25	52
9	25	28
10	25	0
11	25	73
12	25	0
13	25	0
14	25	0
15	25	73
16	25	28
17	25	0
18	25	73
19	25	28
20	25	0
21	25	0
22	25	0
23	25	28
0	26	0
1	26	57
2	26	33
3	26	33
4	26	46
5	26	29
6	26	29
7	26	10
8	26	15
9	26	33
10	26	20
11	26	20
12	26	20
13	26	15
14	26	15
15	26	37
16	26	10
17	26	0
18	26	5
19	26	5
20	26	0
21	26	10
22	26	0
23	26	10
0	27	27
1	27	51
2	27	0
3	27	0
4	27	0
5	27	0
6	27	0
7	27	0
8	27	0
9	27	0
10	27	51
11	27	0
12	27	0
13	27	0
14	27	27
15	27	0
16	27	27
17	27	0
18	27	0
19	27	91
20	27	0
21	27	0
22	27	0
23	27	0
0	28	21
1	28	0
2	28	0
3	28	40
4	28	58
5	28	40
6	28	21
7	28	40
8	28	58
9	28	0
10	28	40
11	28	0
12	28	74
13	28	0
14	28	21
15	28	0
16	28	0
17	28	21
18	28	0
19	28	0
20	28	0
21	28	0
22	28	0
23	28	0
0	29	26
1	29	0
2	29	26
3	29	0
4	29	0
5	29	50
6	29	0
7	29	26
8	29	0
9	29	26
10	29	0
11	29	0
12	29	0
13	29	0
14	29	26
15	29	0
16	29	0
17	29	0
18	29	0
19	29	0
20	29	0
21	29	26
22	29	0
23	29	0
0	30	25
1	30	25
2	30	25
3	30	29
4	30	23
5	30	23
6	30	24
7	30	26
8	30	22
9	30	22
10	30	24
11	30	22
12	30	20
13	30	22
14	30	22
15	30	22
16	30	20
17	30	14
18	30	12
19	30	7
20	30	8
21	30	11
22	30	16
23	30	15
0	31	0
1	31	0
