Counts for Apple(2) in Indonesia(19):
Hour	Location Index	Count
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
0	1	0
1	1	0
2	1	37
3	1	0
4	1	37
5	1	0
6	1	0
7	1	0
8	1	37
9	1	37
10	1	37
11	1	0
12	1	0
13	1	0
14	1	0
15	1	0
16	1	0
17	1	0
18	1	0
19	1	0
20	1	0
21	1	0
22	1	0
23	1	0
0	2	48
1	2	80
2	2	30
3	2	21
4	2	30
5	2	39
6	2	30
7	2	21
8	2	0
9	2	39
10	2	21
11	2	11
12	2	30
13	2	21
14	2	30
15	2	21
16	2	30
17	2	39
18	2	11
19	2	0
20	2	0
21	2	0
22	2	21
23	2	0
0	3	40
1	3	40
2	3	44
3	3	16
4	3	23
5	3	27
6	3	16
7	3	23
8	3	40
9	3	40
10	3	19
11	3	12
12	3	4
13	3	34
14	3	37
15	3	27
16	3	12
17	3	16
18	3	4
19	3	4
20	3	0
21	3	0
22	3	68
23	3	30
0	4	5
1	4	7
2	4	5
3	4	7
4	4	6
5	4	7
6	4	6
7	4	8
8	4	6
9	4	7
10	4	7
11	4	6
12	4	6
13	4	6
14	4	5
15	4	6
16	4	5
17	4	4
18	4	5
19	4	2
20	4	2
21	4	2
22	4	3
23	4	4
0	5	8
1	5	9
2	5	9
3	5	18
4	5	17
5	5	11
6	5	12
7	5	13
8	5	13
9	5	18
10	5	11
11	5	14
12	5	11
13	5	10
14	5	12
15	5	7
16	5	10
17	5	9
18	5	7
19	5	2
20	5	2
21	5	3
22	5	6
23	5	6
0	6	0
1	6	0
2	6	16
3	6	16
4	6	58
5	6	0
6	6	16
7	6	0
8	6	16
9	6	0
10	6	16
11	6	0
12	6	16
13	6	0
14	6	31
15	6	0
16	6	0
17	6	0
18	6	0
19	6	0
20	6	0
21	6	0
22	6	0
23	6	0
0	7	27
1	7	0
2	7	14
3	7	14
4	7	0
5	7	14
6	7	14
7	7	14
8	7	0
9	7	27
10	7	0
11	7	14
12	7	62
13	7	27
14	7	14
15	7	0
16	7	0
17	7	0
18	7	14
19	7	0
20	7	0
21	7	0
22	7	40
23	7	0
0	8	0
1	8	0
2	8	0
3	8	0
4	8	0
5	8	0
6	8	0
7	8	0
8	8	0
9	8	175
10	8	0
11	8	0
12	8	0
13	8	0
14	8	0
15	8	0
16	8	0
17	8	0
18	8	175
19	8	0
20	8	0
21	8	0
22	8	230
23	8	0
0	9	0
1	9	0
2	9	0
3	9	0
4	9	0
5	9	0
6	9	0
7	9	0
8	9	0
9	9	0
10	9	0
11	9	0
12	9	0
13	9	0
14	9	0
15	9	0
16	9	0
17	9	0
18	9	0
19	9	0
20	9	0
21	9	0
22	9	0
23	9	0
0	10	0
1	10	0
2	10	0
3	10	32
4	10	0
5	10	0
6	10	0
7	10	0
8	10	0
9	10	0
10	10	17
11	10	0
12	10	0
13	10	17
14	10	32
15	10	0
16	10	0
17	10	0
18	10	0
19	10	0
20	10	0
21	10	0
22	10	17
23	10	17
0	11	19
1	11	0
2	11	5
3	11	10
4	11	5
5	11	14
6	11	10
7	11	10
8	11	14
9	11	23
10	11	27
11	11	19
12	11	5
13	11	5
14	11	23
15	11	5
16	11	10
17	11	10
18	11	0
19	11	5
20	11	5
21	11	5
22	11	0
23	11	0
0	12	0
1	12	46
2	12	13
3	12	0
4	12	0
5	12	0
6	12	65
7	12	0
8	12	13
9	12	0
10	12	56
11	12	35
12	12	0
13	12	0
14	12	46
15	12	35
16	12	24
17	12	13
18	12	0
19	12	0
20	12	0
21	12	0
22	12	24
23	12	0
0	13	8
1	13	6
2	13	8
3	13	6
4	13	6
5	13	10
6	13	6
7	13	0
8	13	6
9	13	6
10	13	3
11	13	8
12	13	20
13	13	18
14	13	8
15	13	15
16	13	3
17	13	0
18	13	3
19	13	0
20	13	0
21	13	0
22	13	0
23	13	6
0	14	45
1	14	0
2	14	0
3	14	0
4	14	0
5	14	82
6	14	0
7	14	0
8	14	0
9	14	45
10	14	0
11	14	0
12	14	0
13	14	0
14	14	0
15	14	0
16	14	0
17	14	0
18	14	0
19	14	0
20	14	0
21	14	0
22	14	0
23	14	0
0	15	0
1	15	0
2	15	0
3	15	0
4	15	0
5	15	0
6	15	0
7	15	0
8	15	0
9	15	0
10	15	0
11	15	0
12	15	0
13	15	0
14	15	0
15	15	0
16	15	0
17	15	0
18	15	0
19	15	0
20	15	0
21	15	0
22	15	0
23	15	0
0	16	12
1	16	9
2	16	12
3	16	11
4	16	11
5	16	14
6	16	10
7	16	13
8	16	10
9	16	10
10	16	11
11	16	8
12	16	13
13	16	14
14	16	14
15	16	8
16	16	10
17	16	5
18	16	8
19	16	3
20	16	3
21	16	5
22	16	3
23	16	6
0	17	0
1	17	20
2	17	37
3	17	37
4	17	0
5	17	0
6	17	0
7	17	37
8	17	0
9	17	0
10	17	37
11	17	0
12	17	37
13	17	54
14	17	20
15	17	20
16	17	20
17	17	0
18	17	0
19	17	0
20	17	0
21	17	0
22	17	0
23	17	0
0	18	0
1	18	0
2	18	7
3	18	7
4	18	7
5	18	14
6	18	14
7	18	0
8	18	0
9	18	7
10	18	14
11	18	7
12	18	27
13	18	7
14	18	14
15	18	0
16	18	27
17	18	7
18	18	14
19	18	0
20	18	27
21	18	0
22	18	0
23	18	0
0	19	0
1	19	40
2	19	0
3	19	0
4	19	103
5	19	0
6	19	0
7	19	0
8	19	0
9	19	0
10	19	40
11	19	40
12	19	0
13	19	74
14	19	40
15	19	40
16	19	40
17	19	0
18	19	0
19	19	0
20	19	0
21	19	0
22	19	0
23	19	0
0	20	8
1	20	6
2	20	0
3	20	6
4	20	8
5	20	6
6	20	8
7	20	3
8	20	4
9	20	6
10	20	4
11	20	8
12	20	6
13	20	10
14	20	4
15	20	14
16	20	4
17	20	3
18	20	8
19	20	0
20	20	0
21	20	0
22	20	3
23	20	10
0	21	0
1	21	55
2	21	0
3	21	55
4	21	0
5	21	0
6	21	55
7	21	0
8	21	0
9	21	0
10	21	0
11	21	0
12	21	0
13	21	0
14	21	0
15	21	0
16	21	55
17	21	0
18	21	0
19	21	0
20	21	0
21	21	0
22	21	0
23	21	0
0	22	4
1	22	11
2	22	15
3	22	19
4	22	15
5	22	19
6	22	4
7	22	4
8	22	19
9	22	8
10	22	8
11	22	11
12	22	0
13	22	25
14	22	4
15	22	22
16	22	11
17	22	0
18	22	4
19	22	8
20	22	0
21	22	0
22	22	0
23	22	4
0	23	2
1	23	2
2	23	3
3	23	2
4	23	3
5	23	3
6	23	0
7	23	2
8	23	2
9	23	3
10	23	3
11	23	6
12	23	3
13	23	3
14	23	3
15	23	3
