Counts for Samsung(12) in Austria(2):
Hour	Location Index	Count
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	29
7	0	29
8	0	20
9	0	0
10	0	29
11	0	20
12	0	0
13	0	38
14	0	0
15	0	38
16	0	29
17	0	0
18	0	20
19	0	29
20	0	10
21	0	10
22	0	20
23	0	20
0	1	0
1	1	0
2	1	0
3	1	0
4	1	0
5	1	0
6	1	0
7	1	0
8	1	93
9	1	0
10	1	28
11	1	0
12	1	0
13	1	0
14	1	28
15	1	93
16	1	28
17	1	52
18	1	52
19	1	28
20	1	28
21	1	0
22	1	0
23	1	0
0	2	8
1	2	0
2	2	5
3	2	8
4	2	0
5	2	0
6	2	5
7	2	16
8	2	27
9	2	16
10	2	8
11	2	20
12	2	20
13	2	8
14	2	31
15	2	12
16	2	12
17	2	12
18	2	35
19	2	31
20	2	27
21	2	12
22	2	5
23	2	8
0	3	3
1	3	3
2	3	0
3	3	0
4	3	3
5	3	10
6	3	12
7	3	9
8	3	6
9	3	26
10	3	12
11	3	20
12	3	19
13	3	20
14	3	11
15	3	23
16	3	32
17	3	34
18	3	26
19	3	20
20	3	17
21	3	16
22	3	14
23	3	5
0	4	0
1	4	0
2	4	0
3	4	0
4	4	0
5	4	0
6	4	55
7	4	24
8	4	0
9	4	0
10	4	13
11	4	0
12	4	24
13	4	0
14	4	35
15	4	0
16	4	45
17	4	13
18	4	45
19	4	98
20	4	24
21	4	13
22	4	13
23	4	0
0	5	0
1	5	0
2	5	0
3	5	0
4	5	0
5	5	0
6	5	0
7	5	0
8	5	0
9	5	0
10	5	0
11	5	0
12	5	0
13	5	0
14	5	95
15	5	95
16	5	0
17	5	0
18	5	0
19	5	95
20	5	0
21	5	0
22	5	95
23	5	0
0	6	0
1	6	0
2	6	0
3	6	0
4	6	0
5	6	40
6	6	0
7	6	0
8	6	0
9	6	40
10	6	0
11	6	0
12	6	0
13	6	0
14	6	0
15	6	0
16	6	74
17	6	74
18	6	40
19	6	0
20	6	40
21	6	40
22	6	0
23	6	0
0	7	0
1	7	0
2	7	0
3	7	0
4	7	0
5	7	0
6	7	0
7	7	0
8	7	0
9	7	0
10	7	0
11	7	0
12	7	0
13	7	0
14	7	0
15	7	0
16	7	0
17	7	0
18	7	0
19	7	0
20	7	0
21	7	0
22	7	0
23	7	0
0	8	0
1	8	11
2	8	0
3	8	0
4	8	11
5	8	20
6	8	11
7	8	20
8	8	0
9	8	11
10	8	0
11	8	11
12	8	20
13	8	20
14	8	0
15	8	20
16	8	39
17	8	47
18	8	47
19	8	63
20	8	20
21	8	20
22	8	0
23	8	11
0	9	0
1	9	0
2	9	0
3	9	0
4	9	0
5	9	0
6	9	0
7	9	0
8	9	0
9	9	0
10	9	51
11	9	0
12	9	0
13	9	0
14	9	0
15	9	91
16	9	51
17	9	0
18	9	0
19	9	0
20	9	0
21	9	0
22	9	0
23	9	0
0	10	0
1	10	0
2	10	0
3	10	0
4	10	0
5	10	88
6	10	0
7	10	0
8	10	0
9	10	49
10	10	0
11	10	0
12	10	0
13	10	0
14	10	0
15	10	0
16	10	0
17	10	49
18	10	0
19	10	0
20	10	0
21	10	0
22	10	49
23	10	0
0	11	0
1	11	0
2	11	0
3	11	0
4	11	20
5	11	10
6	11	20
7	11	0
8	11	20
9	11	0
10	11	0
11	11	29
12	11	0
13	11	0
14	11	10
15	11	90
16	11	29
17	11	20
18	11	29
19	11	20
20	11	20
21	11	10
22	11	20
23	11	0
0	12	6
1	12	0
2	12	4
3	12	4
4	12	8
5	12	9
6	12	14
7	12	23
8	12	14
9	12	15
10	12	16
11	12	16
12	12	15
13	12	11
14	12	16
15	12	19
16	12	19
17	12	24
18	12	30
19	12	29
20	12	20
21	12	24
22	12	13
23	12	9
0	13	0
1	13	0
2	13	0
3	13	0
4	13	0
5	13	28
6	13	15
7	13	15
8	13	0
9	13	15
10	13	0
11	13	52
12	13	40
13	13	0
14	13	0
15	13	15
16	13	28
17	13	15
18	13	15
19	13	28
20	13	64
21	13	0
22	13	0
23	13	0
0	14	0
1	14	0
2	14	0
3	14	0
4	14	0
5	14	0
6	14	0
7	14	14
8	14	0
9	14	0
10	14	14
11	14	14
12	14	0
13	14	0
14	14	0
15	14	0
16	14	0
17	14	0
18	14	0
19	14	38
20	14	38
21	14	38
22	14	0
23	14	0
0	15	3
1	15	3
2	15	8
3	15	5
4	15	15
5	15	15
6	15	8
7	15	13
8	15	20
9	15	15
10	15	10
11	15	10
12	15	8
13	15	10
14	15	10
15	15	22
16	15	17
17	15	27
18	15	15
19	15	38
20	15	27
21	15	10
22	15	15
23	15	8
0	16	0
1	16	0
2	16	4
3	16	4
4	16	25
5	16	16
6	16	10
7	16	13
8	16	16
9	16	4
10	16	22
11	16	28
12	16	25
13	16	25
14	16	19
15	16	10
16	16	16
17	16	22
18	16	28
19	16	57
20	16	39
21	16	16
22	16	7
23	16	0
0	17	0
1	17	18
2	17	0
3	17	10
4	17	0
5	17	27
6	17	0
7	17	0
8	17	18
9	17	27
10	17	35
11	17	0
12	17	27
13	17	0
14	17	0
15	17	0
16	17	18
17	17	18
18	17	57
19	17	10
20	17	27
21	17	10
22	17	10
23	17	0
0	18	0
1	18	0
2	18	0
3	18	0
4	18	22
5	18	22
6	18	59
7	18	41
8	18	0
9	18	22
10	18	0
11	18	22
12	18	22
13	18	0
14	18	0
15	18	22
16	18	22
17	18	104
18	18	22
19	18	59
20	18	22
21	18	75
22	18	0
23	18	22
0	19	4
1	19	4
2	19	0
3	19	12
4	19	4
5	19	8
6	19	8
7	19	19
8	19	19
9	19	15
10	19	33
11	19	26
12	19	26
13	19	4
14	19	15
15	19	15
16	19	40
17	19	15
18	19	19
19	19	19
20	19	12
21	19	19
22	19	26
23	19	12
0	20	9
1	20	0
2	20	0
3	20	0
4	20	0
5	20	17
6	20	33
7	20	0
8	20	25
9	20	25
10	20	0
11	20	25
12	20	9
13	20	17
14	20	9
15	20	9
16	20	62
17	20	25
18	20	9
19	20	25
20	20	87
21	20	17
22	20	0
23	20	17
0	21	7
1	21	4
2	21	0
3	21	0
4	21	11
5	21	11
6	21	14
7	21	14
8	21	11
9	21	11
10	21	7
11	21	17
12	21	20
13	21	7
14	21	11
15	21	24
16	21	27
17	21	30
18	21	47
19	21	50
20	21	42
21	21	17
22	21	4
23	21	0
0	22	0
1	22	0
2	22	10
3	22	0
4	22	10
5	22	0
6	22	0
7	22	28
8	22	0
9	22	0
10	22	10
11	22	10
12	22	37
13	22	28
14	22	28
15	22	10
16	22	0
17	22	0
18	22	0
19	22	19
20	22	28
21	22	10
22	22	10
23	22	0
0	23	6
1	23	3
2	23	4
3	23	2
4	23	6
5	23	8
6	23	12
7	23	12
8	23	13
9	23	15
10	23	16
11	23	21
12	23	16
13	23	14
14	23	18
15	23	17
