Counts for Apple(2) in Austria(2):
Hour	Location Index	Count
0	0	10
1	0	0
2	0	20
3	0	20
4	0	20
5	0	10
6	0	20
7	0	0
8	0	38
9	0	90
10	0	29
11	0	10
12	0	0
13	0	10
14	0	54
15	0	20
16	0	20
17	0	46
18	0	46
19	0	54
20	0	0
21	0	10
22	0	10
23	0	10
0	1	28
1	1	0
2	1	0
3	1	28
4	1	0
5	1	28
6	1	0
7	1	0
8	1	52
9	1	0
10	1	0
11	1	0
12	1	28
13	1	0
14	1	28
15	1	52
16	1	0
17	1	73
18	1	28
19	1	0
20	1	52
21	1	0
22	1	52
23	1	0
0	2	0
1	2	5
2	2	8
3	2	8
4	2	12
5	2	24
6	2	20
7	2	38
8	2	38
9	2	38
10	2	20
11	2	41
12	2	31
13	2	20
14	2	41
15	2	38
16	2	24
17	2	41
18	2	45
19	2	58
20	2	45
21	2	16
22	2	27
23	2	12
0	3	6
1	3	3
2	3	5
3	3	9
4	3	11
5	3	17
6	3	24
7	3	23
8	3	14
9	3	29
10	3	20
11	3	20
12	3	24
13	3	21
14	3	24
15	3	29
16	3	51
17	3	49
18	3	50
19	3	45
20	3	53
21	3	35
22	3	13
23	3	6
0	4	24
1	4	13
2	4	0
3	4	0
4	4	13
5	4	0
6	4	24
7	4	24
8	4	24
9	4	24
10	4	24
11	4	74
12	4	24
13	4	24
14	4	35
15	4	35
16	4	0
17	4	13
18	4	24
19	4	24
20	4	35
21	4	13
22	4	13
23	4	24
0	5	0
1	5	0
2	5	0
3	5	0
4	5	0
5	5	0
6	5	0
7	5	154
8	5	0
9	5	0
10	5	95
11	5	95
12	5	0
13	5	95
14	5	0
15	5	0
16	5	0
17	5	0
18	5	0
19	5	95
20	5	0
21	5	0
22	5	0
23	5	0
0	6	0
1	6	0
2	6	0
3	6	0
4	6	0
5	6	40
6	6	0
7	6	40
8	6	40
9	6	40
10	6	0
11	6	0
12	6	0
13	6	0
14	6	0
15	6	103
16	6	74
17	6	0
18	6	40
19	6	0
20	6	0
21	6	40
22	6	103
23	6	0
0	7	0
1	7	0
2	7	0
3	7	0
4	7	0
5	7	0
6	7	0
7	7	0
8	7	0
9	7	253
10	7	0
11	7	0
12	7	0
13	7	0
14	7	0
15	7	0
16	7	0
17	7	0
18	7	0
19	7	0
20	7	0
21	7	0
22	7	0
23	7	0
0	8	0
1	8	0
2	8	0
3	8	11
4	8	0
5	8	30
6	8	0
7	8	30
8	8	39
9	8	0
10	8	0
11	8	55
12	8	20
13	8	0
14	8	30
15	8	0
16	8	11
17	8	39
18	8	39
19	8	55
20	8	39
21	8	20
22	8	0
23	8	0
0	9	0
1	9	0
2	9	0
3	9	0
4	9	0
5	9	0
6	9	0
7	9	0
8	9	0
9	9	0
10	9	0
11	9	0
12	9	0
13	9	0
14	9	0
15	9	0
16	9	0
17	9	0
18	9	0
19	9	0
20	9	0
21	9	0
22	9	0
23	9	0
0	10	49
1	10	0
2	10	0
3	10	0
4	10	0
5	10	0
6	10	0
7	10	49
8	10	0
9	10	0
10	10	0
11	10	49
12	10	0
13	10	88
14	10	88
15	10	0
16	10	0
17	10	88
18	10	49
19	10	49
20	10	88
21	10	49
