Counts for Samsung(12) in Iran(20):
Hour	Location Index	Count
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
0	1	3
1	1	2
2	1	1
3	1	5
4	1	9
5	1	12
6	1	14
7	1	20
8	1	20
9	1	19
10	1	18
11	1	20
12	1	18
13	1	22
14	1	14
15	1	25
16	1	24
17	1	25
18	1	28
19	1	39
20	1	28
21	1	20
22	1	12
23	1	4
0	2	0
1	2	0
2	2	0
3	2	0
4	2	0
5	2	29
6	2	15
7	2	41
8	2	54
9	2	29
10	2	29
11	2	0
12	2	29
13	2	41
14	2	15
15	2	29
16	2	41
17	2	15
18	2	0
19	2	54
20	2	0
21	2	15
22	2	0
23	2	0
0	3	2
1	3	2
2	3	2
3	3	16
4	3	14
5	3	16
6	3	22
7	3	12
8	3	27
9	3	22
10	3	51
11	3	39
12	3	39
13	3	34
14	3	20
15	3	23
16	3	30
17	3	37
18	3	18
19	3	44
20	3	22
21	3	23
22	3	6
23	3	12
0	4	0
1	4	0
2	4	0
3	4	0
4	4	0
5	4	33
6	4	86
7	4	33
8	4	33
9	4	61
10	4	0
11	4	107
12	4	0
13	4	33
14	4	0
15	4	33
16	4	86
17	4	0
18	4	33
19	4	61
20	4	33
21	4	0
22	4	33
23	4	61
0	5	0
1	5	0
2	5	0
3	5	0
4	5	0
5	5	64
6	5	35
7	5	0
8	5	0
9	5	0
10	5	0
11	5	35
12	5	0
13	5	0
14	5	0
15	5	0
16	5	0
17	5	35
18	5	35
19	5	64
20	5	0
21	5	0
22	5	0
23	5	35
0	6	2
1	6	1
2	6	3
3	6	6
4	6	7
5	6	12
6	6	18
7	6	21
8	6	21
9	6	18
10	6	18
11	6	22
12	6	21
13	6	18
14	6	21
15	6	22
16	6	24
17	6	27
18	6	30
19	6	23
20	6	24
21	6	18
22	6	9
23	6	3
0	7	0
1	7	0
2	7	0
3	7	0
4	7	0
5	7	0
6	7	0
7	7	0
8	7	0
9	7	0
10	7	0
11	7	0
12	7	0
13	7	0
14	7	0
15	7	0
16	7	0
17	7	0
18	7	0
19	7	0
20	7	0
21	7	0
22	7	0
23	7	0
0	8	5
1	8	8
2	8	7
3	8	11
4	8	11
5	8	15
6	8	18
7	8	21
8	8	24
9	8	30
10	8	34
11	8	33
12	8	23
13	8	29
14	8	30
15	8	34
16	8	39
17	8	39
18	8	43
19	8	34
20	8	27
21	8	14
22	8	14
23	8	6
0	9	0
1	9	0
2	9	0
3	9	7
4	9	14
5	9	38
6	9	32
7	9	20
8	9	20
9	9	14
10	9	20
11	9	20
12	9	20
13	9	20
14	9	38
15	9	20
16	9	7
17	9	14
18	9	26
19	9	7
20	9	32
21	9	32
22	9	7
23	9	14
0	10	0
1	10	0
2	10	0
3	10	0
4	10	10
5	10	37
6	10	20
7	10	15
8	10	37
9	10	29
10	10	29
11	10	29
12	10	24
13	10	24
14	10	15
15	10	33
16	10	33
17	10	15
18	10	5
19	10	10
20	10	20
21	10	15
22	10	5
23	10	0
0	11	0
1	11	0
2	11	0
3	11	0
4	11	0
5	11	0
6	11	0
7	11	0
8	11	0
9	11	0
10	11	0
11	11	0
12	11	0
13	11	0
14	11	0
15	11	0
16	11	0
17	11	0
18	11	0
19	11	0
20	11	0
21	11	0
22	11	0
23	11	0
0	12	0
1	12	0
2	12	0
3	12	0
4	12	0
5	12	35
6	12	90
7	12	35
8	12	35
9	12	131
10	12	0
11	12	64
12	12	64
13	12	0
14	12	0
15	12	0
16	12	0
17	12	35
18	12	0
19	12	0
20	12	0
21	12	0
22	12	0
23	12	0
0	13	0
1	13	0
2	13	0
3	13	0
4	13	0
5	13	0
6	13	0
7	13	0
8	13	0
9	13	0
10	13	0
11	13	0
12	13	0
13	13	0
14	13	0
15	13	0
16	13	0
17	13	0
18	13	0
19	13	0
20	13	0
21	13	0
22	13	0
23	13	0
0	14	0
1	14	11
2	14	0
3	14	0
4	14	31
5	14	40
6	14	21
7	14	11
8	14	11
9	14	11
10	14	40
11	14	31
12	14	11
13	14	31
14	14	11
15	14	31
16	14	21
17	14	21
18	14	31
19	14	57
20	14	40
21	14	0
22	14	31
23	14	21
0	15	0
1	15	0
2	15	0
3	15	0
4	15	28
5	15	0
6	15	0
7	15	53
8	15	0
9	15	0
10	15	28
11	15	0
12	15	0
13	15	0
14	15	0
15	15	0
16	15	0
17	15	28
18	15	0
19	15	28
20	15	0
21	15	0
22	15	0
23	15	0
0	16	3
1	16	2
2	16	3
3	16	2
4	16	5
5	16	20
6	16	18
7	16	19
8	16	24
9	16	34
10	16	31
11	16	45
12	16	21
13	16	25
14	16	19
15	16	31
16	16	35
17	16	46
18	16	47
19	16	39
20	16	41
21	16	28
22	16	10
23	16	8
0	17	0
1	17	0
2	17	0
3	17	0
4	17	0
5	17	183
6	17	0
7	17	88
8	17	0
9	17	88
10	17	0
11	17	0
12	17	0
13	17	88
14	17	88
15	17	0
16	17	0
17	17	0
18	17	0
19	17	0
20	17	0
21	17	0
22	17	0
23	17	0
0	18	0
1	18	0
2	18	0
3	18	0
4	18	0
5	18	0
6	18	0
7	18	54
8	18	29
9	18	0
10	18	29
11	18	29
12	18	0
13	18	0
14	18	0
15	18	0
16	18	0
17	18	29
18	18	29
19	18	0
20	18	0
21	18	0
22	18	0
23	18	0
0	19	0
1	19	0
2	19	0
3	19	0
4	19	0
5	19	154
6	19	0
7	19	0
8	19	0
9	19	0
10	19	0
11	19	0
12	19	0
13	19	154
14	19	95
15	19	0
16	19	0
17	19	0
18	19	0
19	19	95
20	19	0
21	19	0
22	19	0
23	19	0
0	20	6
1	20	0
2	20	9
3	20	15
4	20	15
5	20	32
6	20	39
7	20	42
8	20	39
9	20	9
10	20	47
11	20	34
12	20	29
13	20	26
14	20	3
15	20	21
16	20	15
17	20	15
18	20	34
19	20	42
20	20	42
21	20	39
22	20	12
23	20	9
0	21	0
1	21	0
2	21	0
3	21	0
4	21	0
5	21	0
6	21	0
7	21	0
8	21	0
9	21	0
10	21	0
11	21	0
12	21	0
13	21	253
14	21	0
15	21	0
16	21	0
17	21	0
18	21	0
19	21	0
20	21	0
21	21	0
22	21	0
23	21	0
0	22	0
1	22	0
2	22	8
3	22	0
4	22	8
5	22	8
6	22	8
7	22	15
8	22	28
9	22	28
10	22	0
11	22	8
12	22	0
13	22	0
14	22	15
15	22	15
16	22	35
17	22	35
18	22	28
19	22	41
20	22	22
21	22	0
22	22	0
23	22	0
0	23	0
1	23	0
2	23	43
3	23	0
4	23	0
5	23	109
6	23	0
7	23	0
8	23	0
9	23	0
10	23	0
11	23	0
12	23	0
13	23	0
14	23	0
15	23	0
