Counts for Sony(13) in Iran(20):
Hour	Location Index	Count
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
0	1	3
1	1	2
2	1	2
3	1	2
4	1	3
5	1	6
6	1	8
7	1	7
8	1	7
9	1	8
10	1	7
11	1	10
12	1	9
13	1	7
14	1	6
15	1	7
16	1	10
17	1	8
18	1	11
19	1	12
20	1	9
21	1	12
22	1	4
23	1	2
0	2	0
1	2	0
2	2	0
3	2	0
4	2	0
5	2	0
6	2	29
7	2	0
8	2	0
9	2	29
10	2	0
11	2	0
12	2	0
13	2	0
14	2	0
15	2	0
16	2	0
17	2	15
18	2	0
19	2	15
20	2	0
21	2	0
22	2	0
23	2	0
0	3	0
1	3	0
2	3	0
3	3	2
4	3	2
5	3	4
6	3	4
7	3	10
8	3	2
9	3	12
10	3	10
11	3	4
12	3	6
13	3	8
14	3	12
15	3	6
16	3	6
17	3	4
18	3	14
19	3	6
20	3	8
21	3	4
22	3	4
23	3	6
0	4	0
1	4	0
2	4	0
3	4	0
4	4	0
5	4	0
6	4	0
7	4	0
8	4	0
9	4	0
10	4	0
11	4	0
12	4	0
13	4	0
14	4	0
15	4	86
16	4	0
17	4	0
18	4	0
19	4	0
20	4	0
21	4	0
22	4	0
23	4	0
0	5	0
1	5	0
2	5	0
3	5	0
4	5	0
5	5	0
6	5	35
7	5	35
8	5	35
9	5	0
10	5	90
11	5	0
12	5	0
13	5	0
14	5	0
15	5	0
16	5	0
17	5	0
18	5	0
19	5	0
20	5	0
21	5	0
22	5	0
23	5	0
0	6	1
1	6	1
2	6	2
3	6	3
4	6	3
5	6	3
6	6	3
7	6	6
8	6	7
9	6	6
10	6	8
11	6	7
12	6	5
13	6	5
14	6	6
15	6	8
16	6	8
17	6	7
18	6	10
19	6	10
20	6	8
21	6	6
22	6	3
23	6	1
0	7	0
1	7	0
2	7	0
3	7	0
4	7	0
5	7	0
6	7	0
7	7	0
8	7	0
9	7	0
10	7	0
11	7	0
12	7	0
13	7	0
14	7	0
15	7	0
16	7	0
17	7	0
18	7	0
19	7	0
20	7	0
21	7	0
22	7	0
23	7	0
0	8	1
1	8	2
2	8	3
3	8	2
4	8	3
5	8	5
6	8	4
7	8	4
8	8	3
9	8	9
10	8	5
11	8	6
12	8	4
13	8	9
14	8	6
15	8	12
16	8	11
17	8	9
18	8	7
19	8	12
20	8	10
21	8	6
22	8	3
23	8	1
0	9	0
1	9	0
2	9	0
3	9	0
4	9	0
5	9	0
6	9	0
7	9	0
8	9	0
9	9	0
10	9	7
11	9	0
12	9	0
13	9	0
14	9	0
15	9	7
16	9	7
17	9	7
18	9	0
19	9	0
20	9	0
21	9	7
22	9	7
23	9	0
0	10	0
1	10	0
2	10	0
3	10	5
4	10	20
5	10	0
6	10	5
7	10	10
8	10	5
9	10	20
10	10	0
11	10	10
12	10	0
13	10	0
14	10	5
15	10	15
16	10	5
17	10	5
18	10	10
19	10	10
20	10	0
21	10	20
22	10	0
23	10	0
0	11	0
1	11	0
2	11	0
3	11	0
4	11	0
5	11	0
6	11	0
7	11	0
8	11	0
9	11	0
10	11	0
11	11	0
12	11	0
13	11	0
14	11	0
15	11	0
16	11	0
17	11	0
18	11	0
19	11	0
20	11	0
21	11	0
22	11	0
23	11	0
0	12	0
1	12	0
2	12	0
3	12	0
4	12	64
5	12	0
6	12	0
7	12	0
8	12	35
9	12	0
10	12	0
11	12	0
12	12	35
13	12	0
14	12	0
15	12	0
16	12	35
17	12	0
18	12	0
19	12	0
20	12	35
21	12	0
22	12	0
23	12	0
0	13	0
1	13	0
2	13	0
3	13	0
4	13	0
5	13	0
6	13	0
7	13	0
8	13	0
9	13	0
10	13	0
11	13	0
12	13	0
13	13	0
14	13	0
15	13	0
16	13	0
17	13	0
18	13	0
19	13	0
20	13	0
21	13	0
22	13	0
23	13	0
0	14	0
1	14	0
2	14	0
3	14	0
4	14	0
5	14	11
6	14	0
7	14	0
8	14	0
9	14	0
10	14	0
11	14	0
12	14	0
13	14	11
14	14	0
15	14	11
16	14	0
17	14	0
18	14	0
19	14	0
20	14	0
21	14	0
22	14	0
23	14	0
0	15	0
1	15	0
2	15	0
3	15	0
4	15	0
5	15	0
6	15	0
7	15	28
8	15	0
9	15	0
10	15	0
11	15	0
12	15	0
13	15	0
14	15	0
15	15	53
16	15	0
17	15	0
18	15	0
19	15	28
20	15	28
21	15	0
22	15	0
23	15	0
0	16	0
1	16	1
2	16	0
3	16	0
4	16	3
5	16	2
6	16	2
7	16	3
8	16	6
9	16	5
10	16	3
11	16	7
12	16	3
13	16	5
14	16	4
15	16	6
16	16	8
17	16	13
18	16	14
19	16	8
20	16	11
21	16	3
22	16	1
23	16	3
0	17	0
1	17	0
2	17	0
3	17	0
4	17	0
5	17	0
6	17	0
7	17	0
8	17	0
9	17	0
10	17	0
11	17	0
12	17	0
13	17	0
14	17	0
15	17	0
16	17	0
17	17	0
18	17	0
19	17	183
20	17	0
21	17	0
22	17	0
23	17	0
0	18	0
1	18	0
2	18	0
3	18	0
4	18	0
5	18	0
6	18	0
7	18	0
8	18	0
9	18	0
10	18	0
11	18	29
12	18	0
13	18	0
14	18	0
15	18	0
16	18	0
17	18	0
18	18	0
19	18	0
20	18	0
21	18	0
22	18	0
23	18	0
0	19	0
1	19	0
2	19	0
3	19	0
4	19	0
5	19	0
6	19	0
7	19	0
8	19	0
9	19	0
10	19	0
11	19	0
12	19	0
13	19	0
14	19	0
15	19	0
16	19	0
17	19	0
18	19	0
19	19	0
20	19	0
21	19	0
22	19	0
23	19	0
0	20	0
1	20	0
2	20	9
3	20	0
4	20	3
5	20	9
6	20	3
7	20	12
8	20	3
9	20	9
10	20	12
11	20	12
12	20	34
13	20	9
14	20	6
15	20	6
16	20	6
17	20	0
18	20	6
19	20	0
20	20	0
21	20	9
22	20	12
23	20	0
0	21	0
1	21	0
2	21	0
3	21	0
4	21	0
5	21	0
6	21	0
7	21	0
8	21	0
9	21	0
10	21	0
11	21	0
12	21	0
13	21	0
14	21	0
15	21	0
16	21	0
17	21	0
18	21	0
19	21	0
20	21	0
21	21	0
22	21	0
23	21	0
0	22	0
1	22	0
2	22	0
3	22	0
4	22	0
5	22	15
6	22	8
7	22	0
8	22	0
9	22	8
10	22	0
11	22	0
12	22	0
13	22	8
14	22	15
15	22	0
16	22	35
17	22	15
18	22	0
19	22	15
20	22	8
21	22	0
22	22	0
23	22	0
0	23	0
1	23	0
2	23	0
3	23	0
4	23	0
5	23	0
6	23	0
7	23	0
8	23	0
9	23	0
10	23	0
11	23	0
12	23	0
13	23	0
14	23	43
15	23	0
