Counts for Apple(2) in Iran(20):
Hour	Location Index	Count
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
0	1	3
1	1	1
2	1	1
3	1	2
4	1	3
5	1	5
6	1	6
7	1	9
8	1	7
9	1	11
10	1	6
11	1	9
12	1	9
13	1	9
14	1	8
15	1	8
16	1	10
17	1	11
18	1	11
19	1	13
20	1	13
21	1	9
22	1	4
23	1	2
0	2	0
1	2	0
2	2	0
3	2	0
4	2	0
5	2	0
6	2	0
7	2	15
8	2	0
9	2	15
10	2	0
11	2	0
12	2	29
13	2	0
14	2	0
15	2	15
16	2	29
17	2	0
18	2	15
19	2	0
20	2	0
21	2	15
22	2	0
23	2	0
0	3	0
1	3	6
2	3	0
3	3	4
4	3	0
5	3	6
6	3	6
7	3	12
8	3	12
9	3	6
10	3	8
11	3	8
12	3	8
13	3	16
14	3	8
15	3	0
16	3	2
17	3	6
18	3	6
19	3	8
20	3	2
21	3	12
22	3	8
23	3	0
0	4	0
1	4	0
2	4	0
3	4	0
4	4	0
5	4	0
6	4	0
7	4	0
8	4	0
9	4	0
10	4	33
11	4	0
12	4	0
13	4	33
14	4	0
15	4	33
16	4	0
17	4	0
18	4	0
19	4	0
20	4	0
21	4	0
22	4	0
23	4	0
0	5	0
1	5	0
2	5	0
3	5	0
4	5	0
5	5	0
6	5	0
7	5	0
8	5	0
9	5	0
10	5	35
11	5	90
12	5	35
13	5	0
14	5	0
15	5	0
16	5	0
17	5	0
18	5	0
19	5	0
20	5	0
21	5	0
22	5	0
23	5	0
0	6	2
1	6	1
2	6	3
3	6	5
4	6	6
5	6	6
6	6	9
7	6	14
8	6	11
9	6	12
10	6	12
11	6	16
12	6	13
13	6	14
14	6	13
15	6	13
16	6	18
17	6	18
18	6	18
19	6	19
20	6	15
21	6	13
22	6	10
23	6	5
0	7	0
1	7	0
2	7	0
3	7	0
4	7	0
5	7	0
6	7	0
7	7	0
8	7	0
9	7	0
10	7	0
11	7	0
12	7	0
13	7	0
14	7	0
15	7	0
16	7	0
17	7	0
18	7	0
19	7	0
20	7	0
21	7	0
22	7	0
23	7	0
0	8	1
1	8	0
2	8	3
3	8	2
4	8	2
5	8	4
6	8	5
7	8	5
8	8	9
9	8	9
10	8	5
11	8	7
12	8	7
13	8	7
14	8	9
15	8	9
16	8	6
17	8	6
18	8	7
19	8	12
20	8	11
21	8	8
22	8	1
23	8	4
0	9	0
1	9	0
2	9	14
3	9	7
4	9	20
5	9	0
6	9	0
7	9	14
8	9	0
9	9	14
10	9	14
11	9	0
12	9	14
13	9	20
14	9	14
15	9	0
16	9	14
17	9	32
18	9	44
19	9	20
20	9	14
21	9	26
22	9	32
23	9	0
0	10	0
1	10	0
2	10	0
3	10	0
4	10	24
5	10	5
6	10	5
7	10	10
8	10	15
9	10	0
10	10	10
11	10	10
12	10	0
13	10	5
14	10	10
15	10	0
16	10	15
17	10	5
18	10	15
19	10	0
20	10	0
21	10	5
22	10	10
23	10	0
0	11	0
1	11	0
2	11	0
3	11	0
4	11	0
5	11	0
6	11	61
7	11	61
8	11	0
9	11	107
10	11	107
11	11	0
12	11	61
13	11	61
14	11	61
15	11	0
16	11	0
17	11	0
18	11	107
19	11	61
20	11	61
21	11	61
22	11	107
23	11	0
0	12	0
1	12	0
2	12	0
3	12	0
4	12	0
5	12	35
6	12	0
7	12	0
8	12	0
9	12	0
10	12	35
11	12	0
12	12	0
13	12	0
14	12	0
15	12	0
16	12	0
17	12	0
18	12	0
19	12	0
20	12	0
21	12	0
22	12	0
23	12	0
0	13	0
1	13	0
2	13	0
3	13	0
4	13	0
5	13	0
6	13	0
7	13	0
8	13	0
9	13	0
10	13	0
11	13	0
12	13	0
13	13	0
14	13	230
15	13	0
16	13	0
17	13	0
18	13	0
19	13	0
20	13	0
21	13	0
22	13	0
23	13	0
0	14	0
1	14	0
2	14	0
3	14	0
4	14	0
5	14	0
6	14	0
7	14	0
8	14	0
9	14	11
10	14	0
11	14	0
12	14	0
13	14	11
14	14	11
15	14	11
16	14	11
17	14	0
18	14	11
19	14	0
20	14	11
21	14	0
22	14	0
23	14	21
0	15	0
1	15	0
2	15	0
3	15	28
4	15	0
5	15	0
6	15	95
7	15	28
8	15	28
9	15	28
10	15	28
11	15	75
12	15	75
13	15	28
14	15	28
15	15	0
16	15	0
17	15	75
18	15	53
19	15	95
20	15	28
21	15	28
22	15	28
23	15	0
0	16	2
1	16	2
2	16	2
3	16	1
4	16	6
5	16	3
6	16	4
7	16	6
8	16	7
9	16	11
10	16	7
11	16	10
12	16	11
13	16	6
14	16	6
15	16	7
16	16	10
17	16	10
18	16	18
19	16	13
20	16	18
21	16	11
22	16	7
23	16	3
0	17	0
1	17	0
2	17	0
3	17	0
4	17	0
5	17	0
6	17	0
7	17	0
8	17	0
9	17	0
10	17	0
11	17	0
12	17	0
13	17	0
14	17	0
15	17	0
16	17	0
17	17	0
18	17	0
19	17	0
20	17	0
21	17	0
22	17	0
23	17	0
0	18	0
1	18	0
2	18	0
3	18	0
4	18	29
5	18	0
6	18	0
7	18	0
8	18	0
9	18	29
10	18	0
11	18	0
12	18	0
13	18	0
14	18	29
15	18	0
16	18	0
17	18	0
18	18	0
19	18	0
20	18	0
21	18	0
22	18	0
23	18	0
0	19	0
1	19	0
2	19	0
3	19	0
4	19	0
5	19	0
6	19	0
7	19	0
8	19	0
9	19	0
10	19	0
11	19	0
12	19	0
13	19	0
14	19	0
15	19	191
16	19	0
17	19	0
18	19	0
19	19	0
20	19	0
21	19	0
22	19	0
23	19	0
0	20	12
1	20	3
2	20	3
3	20	0
4	20	3
5	20	12
6	20	6
7	20	18
8	20	3
9	20	12
10	20	6
11	20	9
12	20	0
13	20	6
14	20	6
15	20	15
16	20	6
17	20	15
18	20	21
19	20	21
20	20	21
21	20	6
22	20	6
23	20	3
0	21	0
1	21	0
2	21	0
3	21	0
4	21	0
5	21	0
6	21	0
7	21	0
8	21	0
9	21	0
10	21	0
11	21	0
12	21	0
13	21	0
14	21	0
15	21	0
16	21	0
17	21	0
18	21	0
19	21	0
20	21	0
21	21	0
22	21	0
23	21	0
0	22	0
1	22	0
2	22	0
3	22	0
4	22	0
5	22	8
6	22	8
7	22	8
8	22	0
9	22	0
10	22	22
11	22	0
12	22	8
13	22	8
14	22	0
15	22	0
16	22	8
17	22	8
18	22	22
19	22	22
20	22	0
21	22	0
22	22	0
23	22	0
0	23	0
1	23	0
2	23	43
3	23	0
4	23	43
5	23	43
6	23	0
7	23	43
8	23	43
9	23	43
10	23	43
11	23	43
12	23	0
13	23	0
14	23	0
15	23	43
