Counts for Samsung(12) in Israel(22):
Hour	Location Index	Count
0	0	3
1	0	3
2	0	8
3	0	8
4	0	20
5	0	8
6	0	15
7	0	29
8	0	18
9	0	6
10	0	18
11	0	6
12	0	15
13	0	23
14	0	27
15	0	13
16	0	25
17	0	23
18	0	36
19	0	43
20	0	20
21	0	13
22	0	8
23	0	8
0	1	0
1	1	0
2	1	0
3	1	0
4	1	0
5	1	0
6	1	0
7	1	0
8	1	0
9	1	0
10	1	77
11	1	0
12	1	0
13	1	0
14	1	0
15	1	0
16	1	0
17	1	77
18	1	0
19	1	0
20	1	0
21	1	0
22	1	0
23	1	0
0	2	0
1	2	0
2	2	0
3	2	38
4	2	38
5	2	38
6	2	0
7	2	0
8	2	70
9	2	0
10	2	38
11	2	38
12	2	38
13	2	38
14	2	0
15	2	38
16	2	0
17	2	38
18	2	0
19	2	38
20	2	0
21	2	0
22	2	0
23	2	0
0	3	0
1	3	0
2	3	0
3	3	0
4	3	0
5	3	0
6	3	0
7	3	0
8	3	0
9	3	0
10	3	0
11	3	0
12	3	0
13	3	0
14	3	0
15	3	0
16	3	0
17	3	0
18	3	33
19	3	33
20	3	0
21	3	0
22	3	0
23	3	33
0	4	0
1	4	43
2	4	0
3	4	79
4	4	0
5	4	43
6	4	0
7	4	0
8	4	0
9	4	0
10	4	0
11	4	43
12	4	0
13	4	0
14	4	0
15	4	0
16	4	0
17	4	0
18	4	43
19	4	0
20	4	43
21	4	79
22	4	0
23	4	0
0	5	0
1	5	5
2	5	5
3	5	5
4	5	5
5	5	0
6	5	0
7	5	9
8	5	9
9	5	9
10	5	0
11	5	5
12	5	14
13	5	9
14	5	18
15	5	22
16	5	18
17	5	26
18	5	14
19	5	18
20	5	14
21	5	5
22	5	0
23	5	9
0	6	0
1	6	0
2	6	0
3	6	0
4	6	0
5	6	0
6	6	0
7	6	0
8	6	0
9	6	0
10	6	0
11	6	0
12	6	0
13	6	0
14	6	0
15	6	0
16	6	0
17	6	0
18	6	0
19	6	0
20	6	0
21	6	0
22	6	0
23	6	0
0	7	3
1	7	2
2	7	2
3	7	5
4	7	6
5	7	11
6	7	11
7	7	12
8	7	17
9	7	18
10	7	16
11	7	17
12	7	19
13	7	16
14	7	13
15	7	12
16	7	17
17	7	19
18	7	27
19	7	20
20	7	17
21	7	11
22	7	9
23	7	7
0	8	3
1	8	3
2	8	5
3	8	5
4	8	6
5	8	11
6	8	15
7	8	14
8	8	17
9	8	16
10	8	22
11	8	17
12	8	22
13	8	20
14	8	13
15	8	22
16	8	26
17	8	21
18	8	26
19	8	20
20	8	20
21	8	18
22	8	9
23	8	8
0	9	6
1	9	4
2	9	5
3	9	7
4	9	12
5	9	12
6	9	13
7	9	18
8	9	15
9	9	20
10	9	18
11	9	21
12	9	17
13	9	16
14	9	18
15	9	16
16	9	18
17	9	25
18	9	25
19	9	24
20	9	21
21	9	22
22	9	12
23	9	7
0	10	6
1	10	0
2	10	0
3	10	0
4	10	0
5	10	0
6	10	6
7	10	12
8	10	0
9	10	12
10	10	0
11	10	18
12	10	12
13	10	6
14	10	6
15	10	23
16	10	38
17	10	23
18	10	23
19	10	18
20	10	23
21	10	6
22	10	18
23	10	0
0	11	0
1	11	0
2	11	0
3	11	0
4	11	0
5	11	0
6	11	0
7	11	0
8	11	175
9	11	175
10	11	0
11	11	0
12	11	0
13	11	0
14	11	0
15	11	0
16	11	0
17	11	0
18	11	0
19	11	0
20	11	0
21	11	0
22	11	0
23	11	0
0	12	0
1	12	22
2	12	0
3	12	41
4	12	75
5	12	0
6	12	0
7	12	0
8	12	0
9	12	22
10	12	0
11	12	22
12	12	22
13	12	0
14	12	41
15	12	22
16	12	22
17	12	22
18	12	0
19	12	59
20	12	59
21	12	0
22	12	0
23	12	0
0	13	0
1	13	0
2	13	0
3	13	0
4	13	0
5	13	0
6	13	0
7	13	0
8	13	66
9	13	0
10	13	0
11	13	36
12	13	0
13	13	0
14	13	36
15	13	66
16	13	0
17	13	36
18	13	0
19	13	36
20	13	0
21	13	0
22	13	0
23	13	0
0	14	4
1	14	3
2	14	6
3	14	12
4	14	20
5	14	13
6	14	19
7	14	23
8	14	19
9	14	11
10	14	18
11	14	18
12	14	19
13	14	19
14	14	13
15	14	19
16	14	10
17	14	25
18	14	25
19	14	24
20	14	15
21	14	17
22	14	24
23	14	8
0	15	6
1	15	2
2	15	0
3	15	0
4	15	7
5	15	14
6	15	9
7	15	14
8	15	11
9	15	7
10	15	12
11	15	23
12	15	17
13	15	25
14	15	19
15	15	11
16	15	20
17	15	11
18	15	22
19	15	25
20	15	12
21	15	19
22	15	6
23	15	0
0	16	0
1	16	0
2	16	0
3	16	0
4	16	0
5	16	0
6	16	16
7	16	16
8	16	16
9	16	0
10	16	0
11	16	0
12	16	0
13	16	0
14	16	16
15	16	0
16	16	0
17	16	16
18	16	16
19	16	0
20	16	16
21	16	16
22	16	16
23	16	0
0	17	0
1	17	0
2	17	0
3	17	0
4	17	0
5	17	88
6	17	88
7	17	21
8	17	0
9	17	101
10	17	0
11	17	0
12	17	0
13	17	21
14	17	0
15	17	0
16	17	0
17	17	0
18	17	57
19	17	0
20	17	21
21	17	0
22	17	0
23	17	0
0	18	22
1	18	22
2	18	12
3	18	0
4	18	0
5	18	22
6	18	12
7	18	0
8	18	22
9	18	12
10	18	0
11	18	0
12	18	22
13	18	12
14	18	42
15	18	12
16	18	12
17	18	12
18	18	22
19	18	0
20	18	12
21	18	42
22	18	0
23	18	0
0	19	13
1	19	18
2	19	0
3	19	13
4	19	18
5	19	0
6	19	7
7	19	0
8	19	18
9	19	13
10	19	35
11	19	24
12	19	0
13	19	40
14	19	30
15	19	40
16	19	35
17	19	13
18	19	56
19	19	13
20	19	24
21	19	18
22	19	7
23	19	0
0	20	0
1	20	0
2	20	0
3	20	0
4	20	0
5	20	0
6	20	45
7	20	45
8	20	0
9	20	0
10	20	0
11	20	45
12	20	0
13	20	82
14	20	0
15	20	82
16	20	0
17	20	82
18	20	0
19	20	0
20	20	112
21	20	0
22	20	0
23	20	0
0	21	0
1	21	0
2	21	0
3	21	0
4	21	0
5	21	0
6	21	0
7	21	0
8	21	0
9	21	77
10	21	130
11	21	77
12	21	0
13	21	0
14	21	0
15	21	0
16	21	0
17	21	0
18	21	0
19	21	0
20	21	0
21	21	0
22	21	0
23	21	0
0	22	0
1	22	0
2	22	12
3	22	23
4	22	12
5	22	23
6	22	23
7	22	12
8	22	0
9	22	0
10	22	43
11	22	0
12	22	23
13	22	0
14	22	12
15	22	23
16	22	12
17	22	43
18	22	43
19	22	53
20	22	12
21	22	0
22	22	0
23	22	0
0	23	0
1	23	0
2	23	0
3	23	0
4	23	0
5	23	0
6	23	0
7	23	0
8	23	0
9	23	103
10	23	0
11	23	0
12	23	103
13	23	0
14	23	0
15	23	0
16	23	0
17	23	103
18	23	0
19	23	0
20	23	0
21	23	103
22	23	0
23	23	0
0	24	0
1	24	0
2	24	0
3	24	0
4	24	0
5	24	0
6	24	0
7	24	0
8	24	0
9	24	0
10	24	0
11	24	0
12	24	0
13	24	0
14	24	0
15	24	77
16	24	0
17	24	42
18	24	0
19	24	0
20	24	0
21	24	0
22	24	0
23	24	0
0	25	6
1	25	3
2	25	6
3	25	6
4	25	23
5	25	12
6	25	28
7	25	3
8	25	30
9	25	20
10	25	17
11	25	20
12	25	14
13	25	17
14	25	14
15	25	6
16	25	9
17	25	25
18	25	33
19	25	23
20	25	35
21	25	14
22	25	17
23	25	3
0	26	0
1	26	0
2	26	0
3	26	0
4	26	29
5	26	0
6	26	0
7	26	0
8	26	0
9	26	0
10	26	0
11	26	0
12	26	54
13	26	0
14	26	29
15	26	0
16	26	0
17	26	29
18	26	0
19	26	0
20	26	0
21	26	0
22	26	0
23	26	0
0	27	0
1	27	0
2	27	0
3	27	0
4	27	0
5	27	0
6	27	23
7	27	43
8	27	23
9	27	0
10	27	43
11	27	43
12	27	0
13	27	0
14	27	43
15	27	23
16	27	43
17	27	62
18	27	62
19	27	79
20	27	43
21	27	0
22	27	0
23	27	23
0	28	0
1	28	0
2	28	0
3	28	0
4	28	26
5	28	0
6	28	0
7	28	0
8	28	0
9	28	50
10	28	26
11	28	0
12	28	50
13	28	26
14	28	26
15	28	0
16	28	50
17	28	0
18	28	0
19	28	26
20	28	89
21	28	50
22	28	0
23	28	0
0	29	4
1	29	3
2	29	1
3	29	7
4	29	2
5	29	13
6	29	19
7	29	16
8	29	15
9	29	12
10	29	22
11	29	13
12	29	18
13	29	16
14	29	15
15	29	20
16	29	16
17	29	17
18	29	21
19	29	28
20	29	16
21	29	20
22	29	15
23	29	5
0	30	2
1	30	6
2	30	3
3	30	10
4	30	4
5	30	13
6	30	12
7	30	22
8	30	17
