Counts for Apple(2) in Israel(22):
Hour	Location Index	Count
0	0	6
1	0	0
2	0	0
3	0	6
4	0	13
5	0	36
6	0	27
7	0	25
8	0	20
9	0	38
10	0	8
11	0	29
12	0	29
13	0	25
14	0	32
15	0	13
16	0	32
17	0	29
18	0	36
19	0	45
20	0	32
21	0	27
22	0	6
23	0	8
0	1	0
1	1	0
2	1	0
3	1	0
4	1	0
5	1	77
6	1	77
7	1	77
8	1	77
9	1	0
10	1	77
11	1	0
12	1	0
13	1	0
14	1	77
15	1	0
16	1	0
17	1	0
18	1	0
19	1	0
20	1	0
21	1	0
22	1	0
23	1	0
0	2	0
1	2	0
2	2	0
3	2	0
4	2	0
5	2	38
6	2	38
7	2	0
8	2	0
9	2	38
10	2	0
11	2	0
12	2	0
13	2	38
14	2	0
15	2	0
16	2	38
17	2	38
18	2	38
19	2	70
20	2	97
21	2	0
22	2	0
23	2	0
0	3	0
1	3	0
2	3	0
3	3	0
4	3	0
5	3	0
6	3	33
7	3	33
8	3	0
9	3	0
10	3	61
11	3	61
12	3	33
13	3	33
14	3	0
15	3	61
16	3	0
17	3	0
18	3	61
19	3	61
20	3	33
21	3	0
22	3	0
23	3	33
0	4	0
1	4	0
2	4	0
3	4	0
4	4	0
5	4	0
6	4	109
7	4	43
8	4	43
9	4	43
10	4	43
11	4	0
12	4	0
13	4	0
14	4	0
15	4	43
16	4	0
17	4	79
18	4	0
19	4	43
20	4	43
21	4	43
22	4	0
23	4	0
0	5	9
1	5	5
2	5	5
3	5	22
4	5	14
5	5	22
6	5	26
7	5	49
8	5	45
9	5	45
10	5	52
11	5	26
12	5	26
13	5	38
14	5	79
15	5	52
16	5	45
17	5	26
18	5	49
19	5	38
20	5	30
21	5	34
22	5	26
23	5	14
0	6	0
1	6	0
2	6	0
3	6	0
4	6	0
5	6	0
6	6	0
7	6	0
8	6	0
9	6	0
10	6	0
11	6	0
12	6	0
13	6	0
14	6	0
15	6	0
16	6	0
17	6	0
18	6	0
19	6	0
20	6	0
21	6	0
22	6	0
23	6	0
0	7	8
1	7	6
2	7	9
3	7	14
4	7	19
5	7	22
6	7	31
7	7	29
8	7	30
9	7	35
10	7	31
11	7	31
12	7	35
13	7	30
14	7	37
15	7	38
16	7	32
17	7	36
18	7	47
19	7	43
20	7	35
21	7	29
22	7	19
23	7	16
0	8	6
1	8	3
2	8	10
3	8	8
