Counts for Apple(2) in Italy(23):
Hour	Location Index	Count
0	0	0
1	0	9
2	0	0
3	0	18
4	0	9
5	0	0
6	0	9
7	0	18
8	0	9
9	0	0
10	0	18
11	0	9
12	0	9
13	0	9
14	0	18
15	0	26
16	0	18
17	0	34
18	0	34
19	0	9
20	0	34
21	0	56
22	0	63
23	0	9
0	1	17
1	1	17
2	1	0
3	1	0
4	1	0
5	1	17
6	1	0
7	1	47
8	1	32
9	1	17
10	1	32
11	1	73
12	1	17
13	1	0
14	1	32
15	1	0
16	1	0
17	1	17
18	1	47
19	1	17
20	1	17
21	1	0
22	1	47
23	1	17
0	2	18
1	2	0
2	2	0
3	2	0
4	2	18
5	2	5
6	2	47
7	2	35
8	2	27
9	2	10
10	2	10
11	2	23
12	2	10
13	2	39
14	2	35
15	2	18
16	2	23
17	2	18
18	2	31
19	2	23
20	2	5
21	2	43
22	2	10
23	2	10
0	3	13
1	3	0
2	3	0
3	3	25
4	3	0
5	3	25
6	3	0
7	3	13
8	3	36
9	3	25
10	3	46
11	3	0
12	3	36
13	3	0
14	3	0
15	3	36
16	3	0
17	3	13
18	3	75
19	3	13
20	3	36
21	3	0
22	3	25
23	3	0
0	4	0
1	4	0
2	4	29
3	4	0
4	4	0
5	4	0
6	4	0
7	4	0
8	4	0
9	4	0
10	4	29
11	4	0
12	4	29
13	4	54
14	4	77
15	4	0
16	4	29
17	4	29
18	4	0
19	4	77
20	4	54
21	4	29
22	4	0
23	4	29
0	5	0
1	5	0
2	5	7
3	5	0
4	5	4
5	5	7
6	5	12
7	5	24
8	5	32
9	5	0
10	5	21
11	5	12
12	5	7
13	5	24
14	5	24
15	5	18
16	5	10
17	5	12
18	5	12
19	5	42
20	5	12
21	5	27
22	5	27
23	5	12
0	6	0
1	6	12
2	6	0
3	6	0
4	6	0
5	6	0
6	6	0
7	6	12
8	6	12
9	6	0
10	6	23
11	6	0
12	6	0
13	6	23
14	6	44
15	6	0
16	6	44
17	6	23
18	6	34
19	6	44
20	6	12
21	6	23
22	6	0
23	6	44
0	7	12
1	7	6
2	7	2
3	7	3
4	7	10
5	7	16
6	7	20
7	7	36
8	7	29
9	7	22
10	7	17
11	7	23
12	7	33
13	7	35
14	7	34
15	7	12
16	7	30
17	7	32
18	7	34
19	7	41
20	7	49
21	7	23
22	7	26
23	7	18
0	8	4
1	8	0
2	8	0
3	8	8
4	8	8
5	8	8
6	8	12
7	8	15
8	8	4
9	8	19
10	8	12
11	8	12
12	8	4
13	8	12
14	8	22
15	8	12
16	8	26
17	8	19
18	8	26
19	8	33
20	8	39
21	8	29
22	8	22
23	8	15
0	9	10
1	9	0
2	9	0
3	9	0
4	9	19
5	9	28
6	9	19
7	9	19
8	9	5
9	9	28
10	9	5
11	9	5
12	9	19
13	9	24
14	9	28
15	9	41
16	9	33
17	9	28
18	9	57
19	9	37
20	9	49
21	9	24
22	9	37
23	9	5
0	10	7
1	10	0
2	10	0
3	10	0
4	10	0
5	10	27
6	10	20
7	10	33
8	10	50
9	10	20
10	10	14
11	10	27
12	10	27
13	10	66
14	10	20
15	10	33
16	10	55
17	10	14
18	10	33
19	10	55
20	10	33
21	10	39
22	10	27
23	10	33
0	11	8
1	11	8
2	11	3
3	11	5
4	11	3
5	11	7
6	11	19
7	11	16
8	11	20
9	11	20
10	11	19
11	11	14
12	11	21
13	11	17
14	11	15
15	11	17
16	11	18
17	11	20
18	11	17
19	11	31
20	11	22
21	11	19
22	11	18
23	11	7
0	12	0
1	12	12
2	12	0
3	12	0
4	12	0
5	12	23
6	12	12
7	12	23
8	12	0
9	12	0
10	12	0
11	12	33
12	12	33
13	12	0
14	12	12
15	12	23
16	12	23
17	12	23
18	12	43
19	12	71
20	12	33
21	12	0
22	12	12
23	12	23
0	13	0
1	13	0
2	13	0
3	13	0
4	13	0
5	13	58
6	13	31
7	13	0
8	13	0
9	13	31
10	13	0
11	13	31
12	13	0
13	13	0
14	13	0
15	13	31
16	13	0
17	13	0
18	13	0
19	13	31
20	13	0
21	13	31
22	13	0
23	13	0
0	14	0
1	14	0
2	14	0
3	14	0
4	14	0
5	14	0
6	14	0
7	14	0
8	14	0
9	14	0
10	14	0
11	14	0
12	14	0
13	14	0
14	14	0
15	14	0
16	14	0
17	14	0
18	14	0
19	14	0
20	14	0
21	14	0
22	14	230
23	14	0
0	15	8
1	15	9
2	15	2
3	15	4
4	15	6
5	15	11
6	15	36
7	15	33
8	15	29
9	15	28
10	15	22
11	15	25
12	15	33
13	15	33
14	15	29
15	15	36
16	15	36
17	15	42
18	15	30
19	15	43
20	15	44
21	15	35
22	15	28
23	15	18
0	16	23
1	16	44
2	16	0
3	16	0
4	16	0
5	16	0
6	16	0
7	16	23
8	16	0
9	16	0
10	16	0
11	16	0
12	16	23
13	16	80
14	16	23
15	16	23
16	16	23
17	16	44
18	16	0
19	16	44
20	16	0
21	16	44
22	16	0
23	16	0
0	17	11
1	17	4
2	17	2
3	17	4
4	17	14
