Counts for Apple(2) in Japan(24):
Hour	Location Index	Count
0	0	141
1	0	0
2	0	85
3	0	85
4	0	0
5	0	47
6	0	0
7	0	0
8	0	0
9	0	0
10	0	47
11	0	47
12	0	47
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	47
22	0	85
23	0	0
0	1	0
1	1	0
2	1	88
3	1	0
4	1	0
5	1	0
6	1	0
7	1	0
8	1	0
9	1	88
10	1	145
11	1	145
12	1	88
13	1	88
14	1	0
15	1	88
16	1	0
17	1	0
18	1	0
19	1	0
20	1	0
21	1	0
22	1	145
23	1	0
0	2	0
1	2	0
2	2	137
3	2	0
4	2	0
5	2	0
6	2	0
7	2	0
8	2	0
9	2	0
10	2	0
11	2	137
12	2	0
13	2	201
14	2	201
15	2	0
16	2	0
17	2	0
18	2	0
19	2	0
20	2	0
21	2	0
22	2	0
23	2	0
0	3	137
1	3	0
2	3	0
3	3	0
4	3	0
5	3	0
6	3	0
7	3	0
8	3	137
9	3	0
10	3	0
11	3	0
12	3	0
13	3	0
14	3	0
15	3	0
16	3	0
17	3	0
18	3	0
19	3	0
20	3	0
21	3	0
22	3	0
23	3	0
0	4	35
1	4	35
2	4	24
3	4	24
4	4	13
5	4	0
6	4	74
7	4	55
8	4	13
9	4	35
10	4	74
11	4	24
12	4	55
13	4	45
14	4	55
15	4	24
16	4	24
17	4	13
18	4	0
19	4	0
20	4	0
21	4	0
22	4	24
23	4	45
0	5	0
1	5	0
2	5	0
3	5	0
4	5	0
5	5	0
6	5	0
7	5	0
8	5	0
9	5	0
10	5	0
11	5	0
12	5	154
13	5	0
14	5	0
15	5	154
16	5	0
17	5	0
18	5	0
19	5	0
20	5	0
21	5	0
22	5	0
23	5	0
0	6	29
1	6	26
2	6	24
3	6	27
4	6	25
5	6	22
6	6	27
7	6	34
8	6	25
9	6	28
10	6	36
11	6	46
12	6	42
13	6	46
14	6	51
15	6	41
16	6	24
17	6	18
18	6	11
19	6	7
20	6	10
21	6	17
22	6	24
23	6	31
0	7	0
1	7	0
2	7	137
3	7	0
4	7	0
5	7	0
6	7	0
7	7	0
8	7	0
9	7	0
10	7	0
11	7	0
12	7	0
13	7	137
14	7	0
15	7	0
16	7	137
17	7	0
18	7	0
19	7	0
20	7	0
21	7	0
22	7	230
23	7	0
0	8	34
1	8	29
2	8	36
3	8	34
4	8	44
5	8	33
6	8	36
7	8	41
8	8	56
9	8	38
10	8	50
11	8	53
12	8	77
13	8	56
14	8	62
15	8	41
16	8	19
17	8	15
18	8	12
19	8	4
20	8	21
21	8	22
22	8	36
23	8	42
0	9	0
1	9	0
2	9	0
3	9	0
4	9	0
5	9	0
6	9	123
7	9	0
8	9	0
9	9	0
10	9	0
11	9	187
12	9	0
13	9	0
14	9	123
15	9	0
16	9	0
17	9	0
18	9	0
19	9	0
20	9	0
21	9	0
22	9	0
23	9	0
0	10	0
1	10	244
2	10	0
3	10	0
4	10	0
5	10	0
6	10	0
7	10	0
8	10	0
9	10	0
10	10	0
11	10	0
12	10	0
13	10	0
14	10	0
15	10	0
16	10	0
17	10	0
18	10	0
19	10	0
20	10	0
21	10	0
22	10	0
23	10	0
0	11	17
1	11	28
2	11	28
3	11	38
4	11	28
5	11	69
6	11	65
7	11	28
8	11	38
9	11	33
10	11	47
11	11	47
12	11	38
13	11	77
14	11	81
15	11	33
16	11	17
17	11	6
18	11	17
19	11	0
20	11	12
21	11	0
22	11	12
23	11	38
0	12	32
1	12	32
2	12	35
3	12	28
4	12	28
5	12	32
6	12	32
7	12	28
8	12	28
9	12	46
10	12	28
11	12	35
12	12	39
13	12	89
14	12	56
15	12	49
16	12	35
17	12	9
18	12	17
19	12	9
20	12	9
21	12	9
22	12	17
23	12	35
0	13	90
1	13	0
2	13	50
3	13	18
4	13	0
5	13	78
6	13	18
7	13	50
8	13	35
9	13	18
10	13	18
11	13	64
12	13	35
13	13	101
14	13	78
15	13	35
16	13	35
17	13	18
18	13	18
19	13	0
20	13	0
21	13	18
22	13	18
23	13	18
0	14	0
1	14	0
2	14	0
3	14	0
4	14	0
5	14	0
6	14	0
7	14	0
8	14	0
9	14	0
10	14	244
11	14	0
12	14	0
13	14	0
14	14	0
15	14	0
16	14	0
17	14	0
18	14	201
19	14	0
20	14	0
21	14	0
22	14	0
23	14	0
0	15	0
1	15	0
2	15	0
3	15	0
4	15	0
5	15	0
6	15	0
7	15	0
8	15	0
9	15	0
10	15	0
11	15	175
12	15	175
13	15	0
14	15	175
15	15	0
16	15	0
17	15	0
18	15	0
19	15	0
20	15	0
21	15	0
22	15	0
23	15	0
0	16	0
1	16	0
