Counts for Samsung(12) in Kuwait(25):
Hour	Location Index	Count
0	0	11
1	0	9
2	0	9
3	0	11
4	0	12
5	0	14
6	0	18
7	0	19
8	0	21
9	0	21
10	0	23
11	0	24
12	0	23
13	0	22
14	0	20
15	0	23
16	0	25
17	0	25
18	0	28
19	0	27
20	0	30
21	0	26
22	0	21
23	0	15
0	1	7
1	1	0
2	1	15
3	1	3
4	1	9
5	1	11
6	1	15
7	1	21
8	1	27
9	1	36
10	1	29
11	1	42
12	1	43
13	1	19
14	1	25
15	1	17
16	1	11
17	1	31
18	1	29
19	1	31
20	1	29
21	1	23
22	1	25
23	1	7
0	2	14
1	2	3
2	2	8
3	2	0
4	2	16
5	2	11
6	2	19
7	2	6
8	2	16
9	2	16
10	2	19
11	2	14
12	2	8
13	2	19
14	2	19
15	2	19
16	2	31
17	2	21
18	2	28
19	2	14
20	2	11
21	2	11
22	2	11
23	2	19
0	3	0
1	3	0
2	3	18
3	3	0
4	3	0
5	3	0
6	3	18
7	3	18
8	3	0
9	3	0
10	3	0
11	3	0
12	3	18
13	3	18
14	3	18
15	3	0
16	3	0
17	3	18
18	3	0
19	3	0
20	3	18
21	3	0
22	3	18
23	3	0
0	4	12
1	4	9
2	4	9
3	4	10
4	4	11
5	4	13
6	4	14
7	4	17
8	4	18
9	4	19
10	4	21
11	4	22
12	4	22
13	4	21
14	4	20
15	4	21
16	4	22
17	4	24
18	4	24
19	4	25
20	4	29
21	4	26
22	4	22
23	4	17
0	5	10
1	5	0
2	5	10
3	5	0
4	5	0
5	5	10
6	5	0
7	5	29
8	5	10
9	5	10
10	5	29
11	5	10
12	5	38
13	5	55
14	5	46
15	5	29
16	5	0
17	5	29
18	5	10
19	5	20
20	5	29
21	5	20
22	5	0
23	5	10
0	6	8
1	6	8
2	6	15
3	6	8
4	6	6
5	6	6
6	6	17
7	6	40
8	6	25
9	6	17
10	6	32
11	6	43
12	6	25
13	6	32
14	6	32
15	6	22
16	6	32
17	6	35
18	6	53
19	6	25
20	6	25
21	6	38
22	6	25
23	6	18
0	7	0
1	7	0
2	7	29
3	7	29
4	7	29
5	7	0
6	7	0
7	7	54
8	7	29
9	7	0
10	7	54
11	7	54
12	7	0
13	7	114
14	7	0
15	7	0
16	7	0
17	7	29
18	7	0
19	7	0
20	7	29
21	7	29
22	7	29
23	7	29
0	8	10
1	8	7
2	8	18
3	8	7
4	8	21
5	8	15
6	8	23
7	8	15
8	8	20
9	8	23
10	8	28
11	8	30
12	8	33
13	8	29
14	8	23
15	8	24
16	8	22
17	8	33
18	8	31
19	8	40
20	8	36
21	8	29
22	8	21
23	8	11
0	9	8
1	9	5
2	9	5
3	9	13
4	9	8
5	9	14
6	9	9
7	9	11
8	9	14
9	9	12
10	9	11
11	9	14
12	9	17
13	9	20
14	9	14
15	9	12
16	9	17
17	9	24
18	9	20
19	9	14
20	9	15
21	9	10
22	9	6
23	9	5
0	10	27
1	10	7
2	10	27
3	10	21
4	10	7
5	10	7
6	10	7
7	10	0
8	10	27
9	10	0
10	10	27
11	10	21
12	10	21
13	10	27
14	10	51
15	10	33
16	10	0
17	10	21
18	10	27
19	10	39
20	10	33
21	10	39
22	10	27
23	10	21
0	11	7
1	11	5
2	11	7
3	11	16
4	11	5
5	11	12
6	11	20
7	11	12
8	11	9
9	11	22
10	11	37
11	11	18
12	11	33
13	11	27
14	11	20
15	11	18
16	11	22
17	11	12
18	11	18
19	11	40
20	11	31
21	11	22
22	11	16
23	11	7
0	12	8
1	12	4
2	12	8
3	12	4
4	12	16
5	12	8
6	12	12
7	12	8
8	12	0
9	12	41
10	12	8
11	12	16
12	12	30
13	12	27
14	12	16
15	12	27
16	12	50
17	12	41
18	12	27
19	12	4
20	12	27
21	12	20
22	12	0
23	12	8
0	13	47
1	13	67
2	13	0
3	13	0
4	13	0
5	13	0
6	13	0
7	13	0
8	13	0
9	13	0
10	13	0
11	13	0
12	13	0
13	13	25
14	13	0
15	13	25
16	13	0
17	13	0
18	13	85
19	13	67
20	13	0
21	13	101
22	13	0
23	13	0
0	14	0
1	14	0
2	14	0
3	14	0
4	14	16
5	14	79
6	14	30
7	14	90
8	14	68
9	14	43
10	14	30
11	14	0
12	14	43
13	14	30
14	14	0
15	14	43
16	14	0
17	14	16
18	14	0
19	14	0
20	14	16
21	14	0
22	14	0
23	14	0
0	15	9
1	15	3
2	15	3
3	15	3
4	15	22
5	15	9
6	15	9
7	15	9
8	15	9
9	15	17
10	15	20
11	15	17
12	15	25
13	15	25
14	15	20
15	15	20
16	15	37
17	15	42
18	15	25
19	15	49
20	15	44
21	15	51
22	15	30
23	15	20
