Counts for Apple(2) in Kuwait(25):
Hour	Location Index	Count
0	0	14
1	0	10
2	0	11
3	0	11
4	0	14
5	0	16
6	0	19
7	0	21
8	0	24
9	0	25
10	0	27
11	0	28
12	0	28
13	0	26
14	0	23
15	0	27
16	0	30
17	0	29
18	0	31
19	0	33
20	0	34
21	0	31
22	0	25
23	0	21
0	1	5
1	1	0
2	1	3
3	1	11
4	1	5
5	1	5
6	1	17
7	1	21
8	1	29
9	1	11
10	1	40
11	1	49
12	1	36
13	1	27
14	1	21
15	1	25
16	1	27
17	1	34
18	1	38
19	1	27
20	1	31
21	1	29
22	1	19
23	1	9
0	2	21
1	2	3
2	2	6
3	2	14
4	2	14
5	2	16
6	2	26
7	2	44
8	2	42
9	2	21
10	2	23
11	2	33
12	2	61
13	2	31
14	2	23
15	2	16
16	2	35
17	2	35
18	2	40
19	2	51
20	2	33
21	2	38
22	2	26
23	2	26
0	3	18
1	3	18
2	3	34
3	3	18
4	3	0
5	3	49
6	3	0
7	3	0
8	3	0
9	3	0
10	3	34
11	3	34
12	3	0
13	3	63
14	3	18
15	3	18
16	3	34
17	3	76
18	3	88
19	3	0
20	3	34
21	3	76
22	3	49
23	3	18
0	4	16
1	4	13
2	4	12
3	4	12
4	4	13
5	4	15
6	4	18
7	4	19
8	4	22
9	4	24
10	4	26
11	4	28
12	4	29
13	4	26
14	4	25
15	4	28
16	4	29
17	4	31
18	4	33
19	4	36
20	4	36
21	4	32
22	4	27
23	4	21
0	5	20
1	5	29
2	5	0
3	5	10
4	5	29
5	5	0
6	5	20
7	5	20
8	5	38
9	5	10
10	5	10
11	5	55
12	5	20
13	5	29
14	5	20
15	5	20
16	5	46
17	5	29
18	5	38
19	5	29
20	5	10
21	5	0
22	5	10
23	5	10
0	6	2
1	6	4
2	6	6
3	6	11
4	6	4
5	6	17
6	6	18
7	6	22
8	6	10
9	6	18
10	6	38
11	6	35
12	6	30
13	6	13
14	6	20
15	6	13
16	6	17
17	6	28
18	6	15
19	6	33
20	6	27
21	6	22
22	6	11
23	6	25
0	7	29
1	7	29
2	7	0
3	7	0
4	7	0
5	7	0
6	7	0
7	7	0
8	7	29
9	7	29
10	7	0
11	7	29
12	7	0
13	7	0
14	7	0
15	7	0
16	7	29
17	7	0
18	7	29
19	7	29
20	7	0
21	7	0
22	7	29
23	7	54
0	8	15
1	8	7
2	8	5
3	8	8
4	8	12
5	8	12
6	8	17
7	8	18
8	8	16
9	8	19
10	8	21
11	8	21
12	8	28
13	8	33
14	8	31
15	8	27
16	8	26
17	8	24
18	8	30
19	8	30
20	8	27
21	8	27
22	8	16
23	8	15
0	9	17
1	9	11
2	9	19
3	9	25
4	9	32
5	9	26
6	9	22
7	9	28
8	9	28
9	9	30
10	9	31
11	9	38
12	9	40
13	9	29
14	9	28
15	9	37
16	9	38
17	9	55
18	9	52
19	9	45
20	9	31
21	9	26
22	9	18
23	9	12
0	10	27
1	10	7
2	10	27
3	10	14
4	10	21
5	10	7
6	10	27
7	10	21
8	10	14
9	10	51
10	10	14
11	10	7
12	10	14
13	10	27
14	10	21
15	10	27
16	10	14
17	10	39
18	10	14
19	10	33
20	10	51
21	10	14
22	10	51
23	10	21
0	11	12
1	11	20
2	11	14
3	11	14
4	11	7
5	11	9
6	11	14
7	11	31
8	11	29
9	11	24
10	11	27
11	11	22
12	11	27
13	11	31
14	11	46
15	11	22
16	11	35
17	11	29
18	11	37
19	11	35
20	11	33
21	11	24
22	11	35
23	11	29
0	12	8
1	12	30
2	12	8
3	12	20
4	12	12
5	12	8
6	12	44
7	12	8
8	12	16
9	12	23
10	12	20
11	12	20
12	12	27
13	12	47
14	12	50
15	12	27
16	12	30
17	12	30
18	12	47
19	12	23
20	12	41
21	12	34
22	12	16
23	12	16
0	13	0
1	13	0
2	13	25
3	13	0
4	13	25
5	13	0
6	13	47
7	13	0
8	13	0
9	13	0
10	13	0
11	13	25
12	13	25
13	13	47
14	13	25
15	13	25
16	13	67
17	13	25
18	13	67
19	13	85
20	13	47
21	13	25
22	13	25
23	13	0
0	14	0
1	14	0
2	14	0
3	14	0
4	14	0
5	14	0
6	14	68
7	14	16
8	14	79
9	14	68
10	14	30
11	14	90
12	14	68
13	14	43
14	14	0
15	14	16
16	14	0
17	14	30
18	14	0
19	14	0
20	14	0
21	14	0
22	14	0
23	14	0
0	15	12
1	15	0
2	15	3
3	15	3
4	15	9
5	15	9
6	15	12
7	15	12
8	15	17
9	15	17
10	15	12
11	15	17
12	15	27
13	15	20
14	15	20
15	15	32
16	15	20
17	15	35
18	15	40
19	15	51
20	15	35
21	15	30
22	15	27
23	15	9
