Counts for Samsung(12) in Malaysia(26):
Hour	Location Index	Count
0	0	10
1	0	24
2	0	25
3	0	17
4	0	33
5	0	22
6	0	33
7	0	22
8	0	29
9	0	34
10	0	38
11	0	25
12	0	31
13	0	47
14	0	15
15	0	20
16	0	12
17	0	14
18	0	9
19	0	15
20	0	4
21	0	2
22	0	6
23	0	21
0	1	18
1	1	38
2	1	40
3	1	30
4	1	22
5	1	18
6	1	36
7	1	24
8	1	36
9	1	36
10	1	16
11	1	53
12	1	45
13	1	28
14	1	34
15	1	36
16	1	18
17	1	9
18	1	11
19	1	3
20	1	3
21	1	3
22	1	20
23	1	5
0	2	21
1	2	24
2	2	24
3	2	29
4	2	24
5	2	24
6	2	31
7	2	30
8	2	23
9	2	25
10	2	25
11	2	30
12	2	35
13	2	48
14	2	43
15	2	35
16	2	25
17	2	18
18	2	8
19	2	4
20	2	3
21	2	5
22	2	10
23	2	22
0	3	21
1	3	26
2	3	25
3	3	21
4	3	20
5	3	22
6	3	25
7	3	24
8	3	21
9	3	21
10	3	24
11	3	25
12	3	29
13	3	31
14	3	34
15	3	29
16	3	21
17	3	13
18	3	8
19	3	5
20	3	4
21	3	3
22	3	10
23	3	15
0	4	18
1	4	14
2	4	50
3	4	12
4	4	20
5	4	25
6	4	29
7	4	27
8	4	10
9	4	23
10	4	20
11	4	37
12	4	25
13	4	48
14	4	27
15	4	25
16	4	12
17	4	25
18	4	5
19	4	0
20	4	0
21	4	10
22	4	10
23	4	7
0	5	31
1	5	23
2	5	16
3	5	10
4	5	31
5	5	19
6	5	39
7	5	21
8	5	19
9	5	31
10	5	21
11	5	19
12	5	33
13	5	37
14	5	33
15	5	31
16	5	21
17	5	12
18	5	23
19	5	5
20	5	10
21	5	23
22	5	16
23	5	19
0	6	23
1	6	24
2	6	32
3	6	25
4	6	20
5	6	24
6	6	27
7	6	18
8	6	30
9	6	24
10	6	29
11	6	26
12	6	35
13	6	56
14	6	29
15	6	48
16	6	19
17	6	19
18	6	5
19	6	3
20	6	5
21	6	7
22	6	12
23	6	12
0	7	21
1	7	26
2	7	27
3	7	35
4	7	31
5	7	26
6	7	18
7	7	25
8	7	18
9	7	22
10	7	16
11	7	39
12	7	27
13	7	34
14	7	34
15	7	27
16	7	26
17	7	22
18	7	9
19	7	10
20	7	8
21	7	8
22	7	5
23	7	21
0	8	14
1	8	21
2	8	14
3	8	27
4	8	43
5	8	34
6	8	14
7	8	0
8	8	24
9	8	18
10	8	14
11	8	37
12	8	43
13	8	24
14	8	11
15	8	27
16	8	24
17	8	0
18	8	7
19	8	11
20	8	4
21	8	4
22	8	4
23	8	21
0	9	19
1	9	21
2	9	20
3	9	15
4	9	16
5	9	22
6	9	24
7	9	21
8	9	23
9	9	37
10	9	23
11	9	41
12	9	38
13	9	36
14	9	45
15	9	21
16	9	23
17	9	5
18	9	6
19	9	2
20	9	6
21	9	2
22	9	9
23	9	24
0	10	11
1	10	20
2	10	17
3	10	34
4	10	18
5	10	29
6	10	23
7	10	25
8	10	20
9	10	27
10	10	20
11	10	33
12	10	37
13	10	49
14	10	46
15	10	28
16	10	17
17	10	9
18	10	4
19	10	2
20	10	7
21	10	8
22	10	15
23	10	17
0	11	12
1	11	12
2	11	12
3	11	28
4	11	38
5	11	23
6	11	23
7	11	43
8	11	38
9	11	87
10	11	38
11	11	28
12	11	38
13	11	33
14	11	12
15	11	66
16	11	12
17	11	6
18	11	0
19	11	12
20	11	0
21	11	0
22	11	0
23	11	0
0	12	13
1	12	19
2	12	36
3	12	19
4	12	7
5	12	19
6	12	24
7	12	36
8	12	13
9	12	13
10	12	19
11	12	24
12	12	30
13	12	36
14	12	13
15	12	41
16	12	70
17	12	13
18	12	7
19	12	0
20	12	7
21	12	0
22	12	13
23	12	36
0	13	28
1	13	24
2	13	16
3	13	42
4	13	20
5	13	55
6	13	13
7	13	42
8	13	31
9	13	9
10	13	20
11	13	13
12	13	24
13	13	20
14	13	52
15	13	38
16	13	0
17	13	5
18	13	20
19	13	16
20	13	5
21	13	5
22	13	16
23	13	9
0	14	26
1	14	24
2	14	18
3	14	17
4	14	24
5	14	20
6	14	19
7	14	22
8	14	21
9	14	24
10	14	27
11	14	30
12	14	31
13	14	47
14	14	37
15	14	35
16	14	24
17	14	16
18	14	6
19	14	3
20	14	4
21	14	5
22	14	8
23	14	16
0	15	18
1	15	38
2	15	8
3	15	31
4	15	34
5	15	38
6	15	22
7	15	36
8	15	20
9	15	29
10	15	20
11	15	42
12	15	31
13	15	38
14	15	25
15	15	15
16	15	20
17	15	18
18	15	13
19	15	8
20	15	6
21	15	0
22	15	8
23	15	20
0	16	23
1	16	27
2	16	39
3	16	38
4	16	28
5	16	31
6	16	26
7	16	28
8	16	24
9	16	20
10	16	20
11	16	19
12	16	22
13	16	24
14	16	30
15	16	16
16	16	21
17	16	12
18	16	6
19	16	4
20	16	4
21	16	5
22	16	6
23	16	10
0	17	20
1	17	18
2	17	23
3	17	24
4	17	32
5	17	22
6	17	30
7	17	29
8	17	30
9	17	25
10	17	27
11	17	41
12	17	40
13	17	40
14	17	35
15	17	36
16	17	27
17	17	18
18	17	11
19	17	9
20	17	5
21	17	5
22	17	14
23	17	20
0	18	17
1	18	17
2	18	45
3	18	14
4	18	7
5	18	30
6	18	4
7	18	33
8	18	7
9	18	7
10	18	51
11	18	4
12	18	30
13	18	39
14	18	27
15	18	48
16	18	42
17	18	11
18	18	0
19	18	0
20	18	4
21	18	4
22	18	4
23	18	11
0	19	28
1	19	27
2	19	26
3	19	26
4	19	26
5	19	27
6	19	26
7	19	29
8	19	28
9	19	26
10	19	33
11	19	44
12	19	42
13	19	49
14	19	43
15	19	28
16	19	18
17	19	11
18	19	7
19	19	4
20	19	4
21	19	11
22	19	16
23	19	24
0	20	19
1	20	7
2	20	39
3	20	19
4	20	49
5	20	31
6	20	33
7	20	12
8	20	15
9	20	22
10	20	36
11	20	17
12	20	34
13	20	39
14	20	43
15	20	40
16	20	25
17	20	11
18	20	12
19	20	0
20	20	2
21	20	4
22	20	11
23	20	31
0	21	13
1	21	5
2	21	29
3	21	13
4	21	9
5	21	51
6	21	21
7	21	9
8	21	5
9	21	51
10	21	25
11	21	9
12	21	54
13	21	21
14	21	9
15	21	40
16	21	13
17	21	9
18	21	0
19	21	0
20	21	0
21	21	5
22	21	17
23	21	9
0	22	6
1	22	0
2	22	0
3	22	0
4	22	23
5	22	6
6	22	29
7	22	23
8	22	6
9	22	6
10	22	12
11	22	49
12	22	34
13	22	80
14	22	29
15	22	34
16	22	54
17	22	67
18	22	12
19	22	0
20	22	18
21	22	39
22	22	29
23	22	29
0	23	21
1	23	22
2	23	24
3	23	21
4	23	20
5	23	28
6	23	23
7	23	31
8	23	25
9	23	25
10	23	30
11	23	38
12	23	42
13	23	48
14	23	36
15	23	29
16	23	19
17	23	11
18	23	6
19	23	4
20	23	5
21	23	11
22	23	18
23	23	17
0	24	18
1	24	20
2	24	25
3	24	21
4	24	22
5	24	30
6	24	28
7	24	26
8	24	28
9	24	26
10	24	29
11	24	29
12	24	36
13	24	40
14	24	40
15	24	35
16	24	31
17	24	14
18	24	9
19	24	4
20	24	6
21	24	4
22	24	13
23	24	20
0	25	14
1	25	19
2	25	19
3	25	21
4	25	24
5	25	18
6	25	28
7	25	29
8	25	22
9	25	24
10	25	34
11	25	27
12	25	28
13	25	29
14	25	29
15	25	26
