Counts for Sony(13) in Malaysia(26):
Hour	Location Index	Count
0	0	1
1	0	1
2	0	3
3	0	0
4	0	2
5	0	3
6	0	3
7	0	1
8	0	4
9	0	2
10	0	4
11	0	1
12	0	4
13	0	5
14	0	1
15	0	2
16	0	0
17	0	1
18	0	2
19	0	0
20	0	1
21	0	4
22	0	0
23	0	1
0	1	3
1	1	3
2	1	0
3	1	0
4	1	5
5	1	0
6	1	5
7	1	16
8	1	20
9	1	0
10	1	0
11	1	0
12	1	5
13	1	5
14	1	3
15	1	5
16	1	0
17	1	0
18	1	0
19	1	0
20	1	0
21	1	0
22	1	0
23	1	7
0	2	2
1	2	2
2	2	2
3	2	3
4	2	2
5	2	2
6	2	3
7	2	3
8	2	3
9	2	1
10	2	5
11	2	4
12	2	5
13	2	7
14	2	3
15	2	4
16	2	1
17	2	2
18	2	1
19	2	1
20	2	2
21	2	1
22	2	2
23	2	2
0	3	3
1	3	2
2	3	2
3	3	2
4	3	4
5	3	2
6	3	2
7	3	4
8	3	2
9	3	3
10	3	4
11	3	4
12	3	4
13	3	5
14	3	2
15	3	3
16	3	3
17	3	2
18	3	2
19	3	2
20	3	1
21	3	1
22	3	1
23	3	4
0	4	10
1	4	0
2	4	0
3	4	3
4	4	7
5	4	3
6	4	10
7	4	10
8	4	7
9	4	5
10	4	3
11	4	3
12	4	0
13	4	0
14	4	7
15	4	0
16	4	3
17	4	0
18	4	0
19	4	0
20	4	0
21	4	0
22	4	3
23	4	0
0	5	5
1	5	0
2	5	0
3	5	3
4	5	3
5	5	0
6	5	0
7	5	10
8	5	0
9	5	7
10	5	0
11	5	3
12	5	0
13	5	0
14	5	3
15	5	0
16	5	10
17	5	0
18	5	0
19	5	0
20	5	0
21	5	0
22	5	0
23	5	5
0	6	2
1	6	3
2	6	4
3	6	4
4	6	12
5	6	9
6	6	6
7	6	0
8	6	2
9	6	5
10	6	1
11	6	2
12	6	9
13	6	18
14	6	7
15	6	7
16	6	9
17	6	0
18	6	0
19	6	0
20	6	4
21	6	3
22	6	0
23	6	1
0	7	3
1	7	0
2	7	2
3	7	2
4	7	0
5	7	0
6	7	2
7	7	6
8	7	2
9	7	0
10	7	3
11	7	10
12	7	13
13	7	16
14	7	6
15	7	5
16	7	2
17	7	0
18	7	0
19	7	3
20	7	2
21	7	2
22	7	0
23	7	3
0	8	0
1	8	0
2	8	0
3	8	0
4	8	11
5	8	0
6	8	7
7	8	0
8	8	0
9	8	0
10	8	0
11	8	0
12	8	7
13	8	7
14	8	4
15	8	0
16	8	0
17	8	0
18	8	0
19	8	0
20	8	0
21	8	0
22	8	0
23	8	0
0	9	0
1	9	2
2	9	0
3	9	3
4	9	0
5	9	1
6	9	3
7	9	1
8	9	3
9	9	0
10	9	3
11	9	4
12	9	3
13	9	5
14	9	6
15	9	6
16	9	7
17	9	2
18	9	1
19	9	0
20	9	0
21	9	0
22	9	2
23	9	3
0	10	6
1	10	3
2	10	4
3	10	2
4	10	0
5	10	1
6	10	3
7	10	3
8	10	2
9	10	1
10	10	1
11	10	1
12	10	3
13	10	6
14	10	1
15	10	5
16	10	3
17	10	3
18	10	8
19	10	0
20	10	0
21	10	4
22	10	0
23	10	8
0	11	0
1	11	0
2	11	23
3	11	0
4	11	0
5	11	0
6	11	0
7	11	0
8	11	12
9	11	0
10	11	12
11	11	12
12	11	0
13	11	6
14	11	0
15	11	6
16	11	0
17	11	12
18	11	0
19	11	0
20	11	0
21	11	0
22	11	12
23	11	0
0	12	0
1	12	0
2	12	0
3	12	0
4	12	0
5	12	0
6	12	0
7	12	0
8	12	0
9	12	7
10	12	0
11	12	0
12	12	7
13	12	0
14	12	0
15	12	0
16	12	0
17	12	0
18	12	7
19	12	0
20	12	7
21	12	0
22	12	0
23	12	0
0	13	0
1	13	0
2	13	0
3	13	16
4	13	0
5	13	0
6	13	0
7	13	5
8	13	5
9	13	0
10	13	5
11	13	0
12	13	24
13	13	5
14	13	16
15	13	5
16	13	0
17	13	0
18	13	5
19	13	0
20	13	0
21	13	0
22	13	0
23	13	0
0	14	3
1	14	5
2	14	3
3	14	1
4	14	1
5	14	1
6	14	3
7	14	2
8	14	3
9	14	5
10	14	3
11	14	2
12	14	3
13	14	1
14	14	2
15	14	1
16	14	2
17	14	3
18	14	1
19	14	1
20	14	0
21	14	1
22	14	1
23	14	1
0	15	0
1	15	3
2	15	0
3	15	3
4	15	0
5	15	0
6	15	3
7	15	0
8	15	3
9	15	0
10	15	10
11	15	0
12	15	6
13	15	0
14	15	3
15	15	3
16	15	0
17	15	10
18	15	0
19	15	0
20	15	0
21	15	0
22	15	0
23	15	0
0	16	3
1	16	2
2	16	4
3	16	9
4	16	3
5	16	1
6	16	3
7	16	3
8	16	4
9	16	2
10	16	3
11	16	2
12	16	1
13	16	5
14	16	6
15	16	3
16	16	2
17	16	3
18	16	2
19	16	1
20	16	1
21	16	0
22	16	1
23	16	4
0	17	3
1	17	3
2	17	3
3	17	4
4	17	4
5	17	4
