Counts for Lenovo(7) in Malaysia(26):
Hour	Location Index	Count
0	0	1
1	0	3
2	0	6
3	0	2
4	0	5
5	0	12
6	0	4
7	0	3
8	0	3
9	0	0
10	0	15
11	0	3
12	0	7
13	0	6
14	0	7
15	0	11
16	0	6
17	0	3
18	0	5
19	0	1
20	0	5
21	0	0
22	0	2
23	0	0
0	1	11
1	1	9
2	1	14
3	1	3
4	1	3
5	1	0
6	1	11
7	1	0
8	1	3
9	1	5
10	1	7
11	1	7
12	1	9
13	1	9
14	1	7
15	1	14
16	1	7
17	1	0
18	1	3
19	1	3
20	1	0
21	1	0
22	1	0
23	1	3
0	2	4
1	2	4
2	2	4
3	2	4
4	2	4
5	2	5
6	2	6
7	2	5
8	2	4
9	2	4
10	2	4
11	2	3
12	2	6
13	2	7
14	2	5
15	2	4
16	2	5
17	2	3
18	2	2
19	2	2
20	2	1
21	2	2
22	2	3
23	2	3
0	3	4
1	3	3
2	3	5
3	3	5
4	3	5
5	3	4
6	3	7
7	3	7
8	3	6
9	3	6
10	3	7
11	3	6
12	3	7
13	3	9
14	3	6
15	3	5
16	3	5
17	3	3
18	3	3
19	3	1
20	3	1
21	3	1
22	3	2
23	3	4
0	4	0
1	4	10
2	4	0
3	4	0
4	4	16
5	4	10
6	4	7
7	4	10
8	4	7
9	4	0
10	4	3
11	4	3
12	4	0
13	4	12
14	4	0
15	4	0
16	4	0
17	4	0
18	4	0
19	4	0
20	4	5
21	4	3
22	4	0
23	4	0
0	5	0
1	5	7
2	5	7
3	5	3
4	5	3
5	5	3
6	5	12
7	5	5
8	5	5
9	5	5
10	5	5
11	5	3
12	5	5
13	5	7
14	5	7
15	5	19
16	5	16
17	5	0
18	5	0
19	5	0
20	5	5
21	5	0
22	5	0
23	5	12
0	6	2
1	6	7
2	6	3
3	6	7
4	6	2
5	6	3
6	6	5
7	6	2
8	6	4
9	6	3
10	6	3
11	6	2
12	6	3
13	6	6
14	6	5
15	6	3
16	6	5
17	6	1
18	6	3
19	6	0
20	6	0
21	6	0
22	6	2
23	6	3
0	7	10
1	7	9
2	7	10
3	7	8
4	7	2
5	7	2
6	7	8
