Counts for Samsung(12) in Mexico(27):
Hour	Location Index	Count
0	0	0
1	0	40
2	0	147
3	0	40
4	0	40
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	40
14	0	0
15	0	0
16	0	103
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
0	1	49
1	1	0
2	1	0
3	1	88
4	1	0
5	1	0
6	1	0
7	1	0
8	1	0
9	1	0
10	1	0
11	1	0
12	1	0
13	1	0
14	1	0
15	1	0
16	1	49
17	1	0
18	1	0
19	1	0
20	1	0
21	1	0
22	1	0
23	1	0
0	2	6
1	2	12
2	2	12
3	2	18
4	2	0
5	2	0
6	2	6
7	2	0
8	2	0
9	2	0
10	2	0
11	2	0
12	2	0
13	2	12
14	2	0
15	2	6
16	2	0
17	2	6
18	2	6
19	2	6
20	2	0
21	2	18
22	2	12
23	2	18
0	3	14
1	3	7
2	3	36
3	3	14
4	3	34
5	3	16
6	3	9
7	3	5
8	3	0
9	3	3
10	3	0
11	3	0
12	3	3
13	3	0
14	3	0
15	3	9
16	3	5
17	3	11
18	3	9
19	3	20
20	3	16
21	3	16
22	3	11
23	3	14
0	4	0
1	4	0
2	4	0
3	4	0
4	4	79
5	4	0
6	4	0
7	4	0
8	4	0
9	4	0
10	4	0
11	4	0
12	4	0
13	4	0
14	4	0
15	4	0
16	4	0
17	4	43
18	4	0
19	4	0
20	4	0
21	4	43
22	4	0
23	4	0
0	5	0
1	5	0
2	5	0
3	5	0
4	5	31
5	5	31
6	5	0
7	5	0
8	5	0
9	5	0
10	5	0
11	5	0
12	5	0
13	5	0
14	5	82
15	5	0
16	5	0
17	5	0
18	5	0
19	5	0
20	5	0
21	5	0
22	5	0
23	5	31
0	6	27
1	6	20
2	6	20
3	6	29
4	6	20
5	6	10
6	6	5
7	6	8
8	6	3
9	6	3
10	6	0
11	6	3
12	6	0
13	6	5
14	6	3
15	6	8
16	6	20
17	6	13
18	6	18
19	6	24
20	6	3
21	6	8
22	6	10
23	6	10
0	7	0
1	7	0
2	7	0
3	7	37
4	7	37
5	7	0
6	7	0
7	7	0
8	7	0
9	7	0
10	7	0
11	7	0
12	7	0
13	7	0
14	7	0
15	7	68
16	7	0
17	7	0
18	7	0
19	7	37
20	7	37
21	7	0
22	7	0
23	7	37
0	8	0
1	8	0
2	8	0
3	8	0
4	8	0
5	8	0
6	8	0
7	8	0
8	8	0
9	8	0
10	8	0
11	8	0
12	8	0
13	8	0
14	8	0
15	8	0
16	8	0
17	8	42
18	8	0
19	8	0
20	8	0
21	8	42
22	8	0
23	8	0
0	9	21
1	9	0
2	9	0
3	9	0
4	9	0
5	9	0
6	9	0
7	9	0
8	9	0
9	9	0
10	9	0
11	9	0
12	9	0
13	9	0
14	9	0
15	9	0
16	9	0
17	9	0
18	9	0
19	9	0
20	9	0
21	9	0
22	9	0
23	9	40
0	10	13
1	10	13
2	10	37
3	10	19
4	10	19
5	10	0
6	10	0
7	10	7
8	10	0
9	10	0
10	10	0
11	10	7
12	10	0
13	10	0
14	10	0
15	10	7
16	10	0
17	10	7
18	10	7
19	10	13
20	10	31
21	10	13
22	10	19
23	10	0
0	11	0
1	11	0
2	11	77
3	11	0
4	11	0
5	11	0
6	11	0
7	11	0
8	11	0
9	11	0
10	11	0
11	11	0
12	11	0
13	11	0
14	11	0
15	11	0
16	11	0
17	11	0
18	11	0
19	11	42
20	11	0
21	11	42
22	11	0
23	11	0
0	12	77
1	12	0
2	12	0
3	12	212
4	12	77
5	12	0
6	12	0
7	12	0
8	12	0
9	12	0
10	12	0
11	12	0
12	12	0
13	12	0
14	12	0
15	12	0
16	12	0
17	12	0
18	12	0
19	12	0
20	12	0
21	12	0
22	12	0
23	12	0
0	13	22
1	13	8
2	13	15
3	13	15
4	13	8
5	13	0
6	13	0
7	13	0
8	13	0
9	13	0
10	13	8
11	13	8
12	13	0
13	13	8
14	13	15
15	13	8
16	13	8
17	13	35
18	13	8
19	13	0
20	13	22
21	13	47
22	13	8
23	13	15
0	14	29
1	14	0
2	14	0
3	14	0
4	14	42
5	14	0
6	14	42
7	14	0
8	14	0
9	14	0
10	14	0
11	14	0
12	14	0
13	14	0
14	14	0
15	14	0
16	14	54
17	14	0
18	14	0
19	14	15
20	14	0
21	14	0
22	14	0
23	14	0
0	15	32
1	15	0
2	15	32
3	15	0
4	15	0
5	15	0
6	15	0
7	15	0
8	15	0
9	15	0
10	15	0
11	15	0
12	15	0
13	15	0
14	15	0
15	15	0
16	15	0
17	15	0
18	15	60
19	15	0
20	15	0
21	15	32
22	15	0
23	15	0
0	16	0
1	16	32
2	16	0
3	16	32
4	16	0
5	16	0
6	16	0
7	16	0
8	16	0
9	16	0
10	16	0
11	16	0
12	16	0
13	16	0
14	16	0
15	16	0
16	16	0
17	16	32
18	16	0
19	16	0
20	16	0
21	16	0
22	16	32
23	16	0
0	17	0
1	17	31
2	17	31
3	17	31
4	17	0
5	17	0
6	17	0
7	17	0
8	17	0
9	17	31
10	17	0
11	17	0
12	17	0
13	17	58
14	17	0
15	17	0
16	17	31
17	17	0
18	17	0
19	17	0
20	17	0
21	17	0
22	17	0
23	17	0
0	18	0
1	18	0
2	18	0
3	18	0
4	18	103
5	18	0
6	18	0
7	18	0
8	18	0
9	18	0
10	18	0
11	18	0
12	18	0
13	18	0
14	18	0
15	18	0
16	18	0
17	18	0
18	18	0
19	18	0
20	18	0
21	18	0
22	18	0
23	18	0
0	19	0
1	19	0
2	19	0
3	19	0
4	19	23
5	19	0
6	19	0
7	19	0
8	19	0
9	19	0
10	19	0
11	19	0
12	19	0
13	19	0
14	19	0
15	19	0
16	19	0
17	19	0
18	19	0
19	19	0
20	19	0
21	19	0
22	19	23
23	19	0
0	20	38
1	20	0
2	20	0
3	20	0
4	20	0
5	20	0
6	20	0
7	20	0
8	20	0
9	20	0
10	20	0
11	20	0
12	20	0
13	20	0
14	20	20
15	20	0
16	20	20
17	20	0
18	20	0
19	20	0
20	20	20
21	20	0
22	20	0
23	20	0
0	21	12
1	21	8
2	21	12
3	21	8
4	21	5
5	21	9
6	21	4
7	21	2
8	21	4
9	21	0
10	21	5
11	21	4
12	21	4
13	21	4
14	21	7
15	21	11
16	21	7
17	21	5
18	21	12
19	21	18
20	21	17
21	21	9
22	21	9
23	21	7
0	22	1
1	22	0
2	22	0
3	22	0
4	22	1
5	22	0
6	22	0
7	22	0
8	22	0
9	22	0
10	22	1
11	22	0
12	22	1
13	22	4
14	22	0
15	22	1
16	22	0
17	22	0
18	22	1
19	22	1
20	22	0
21	22	2
22	22	0
23	22	1
0	23	0
1	23	0
2	23	0
3	23	0
4	23	0
5	23	0
6	23	0
7	23	0
8	23	0
9	23	0
10	23	0
11	23	0
12	23	0
13	23	0
14	23	0
15	23	0
16	23	0
17	23	0
18	23	0
19	23	0
20	23	45
21	23	45
22	23	0
23	23	0
0	24	20
1	24	0
2	24	0
3	24	20
4	24	20
5	24	0
6	24	0
7	24	0
8	24	0
9	24	20
10	24	0
11	24	0
12	24	0
13	24	0
14	24	0
15	24	20
16	24	0
17	24	20
18	24	20
19	24	0
20	24	0
21	24	20
22	24	0
23	24	0
0	25	0
1	25	40
2	25	0
3	25	0
4	25	0
5	25	0
6	25	0
7	25	0
8	25	0
9	25	0
10	25	0
11	25	0
12	25	0
13	25	0
14	25	0
15	25	0
16	25	127
17	25	0
18	25	0
19	25	0
20	25	0
21	25	0
22	25	0
23	25	0
0	26	29
1	26	54
2	26	0
3	26	54
4	26	0
5	26	0
6	26	29
7	26	0
8	26	0
9	26	0
10	26	0
11	26	0
12	26	0
13	26	0
14	26	29
15	26	29
16	26	54
17	26	0
18	26	0
19	26	54
20	26	0
21	26	0
22	26	54
23	26	0
0	27	24
1	27	17
2	27	36
3	27	24
4	27	24
5	27	11
6	27	0
7	27	4
8	27	0
9	27	0
10	27	0
11	27	4
12	27	11
13	27	0
14	27	14
15	27	11
16	27	7
17	27	11
18	27	7
19	27	17
20	27	11
21	27	11
22	27	30
23	27	24
0	28	39
1	28	27
2	28	50
3	28	39
4	28	14
5	28	14
6	28	61
7	28	27
8	28	0
9	28	0
10	28	0
11	28	0
12	28	0
13	28	0
14	28	0
15	28	0
16	28	0
17	28	14
18	28	0
19	28	0
20	28	0
21	28	0
