Counts for Apple(2) in Mexico(27):
Hour	Location Index	Count
0	0	0
1	0	0
2	0	0
3	0	74
4	0	0
5	0	40
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	40
17	0	0
18	0	40
19	0	0
20	0	40
21	0	0
22	0	0
23	0	0
0	1	88
1	1	0
2	1	0
3	1	0
4	1	88
5	1	49
6	1	0
7	1	0
8	1	0
9	1	0
10	1	0
11	1	49
12	1	0
13	1	0
14	1	49
15	1	0
16	1	49
17	1	0
18	1	49
19	1	0
20	1	0
21	1	0
22	1	49
23	1	49
0	2	54
1	2	40
2	2	50
3	2	40
4	2	54
5	2	24
6	2	12
7	2	12
8	2	0
9	2	0
10	2	0
11	2	6
12	2	18
13	2	18
14	2	18
15	2	12
16	2	18
17	2	18
18	2	6
19	2	12
20	2	6
21	2	24
22	2	34
23	2	6
0	3	42
1	3	32
2	3	36
3	3	18
4	3	28
5	3	16
6	3	7
7	3	3
8	3	0
9	3	0
10	3	5
11	3	5
12	3	0
13	3	9
14	3	36
15	3	14
16	3	16
17	3	5
18	3	22
19	3	28
20	3	20
21	3	7
22	3	14
23	3	18
0	4	0
1	4	0
2	4	0
3	4	0
4	4	43
5	4	0
6	4	0
7	4	0
8	4	0
9	4	0
10	4	0
11	4	0
12	4	0
13	4	0
14	4	0
15	4	43
16	4	0
17	4	0
18	4	79
19	4	43
20	4	0
21	4	43
22	4	0
23	4	0
0	5	0
1	5	58
2	5	0
3	5	151
4	5	121
5	5	0
6	5	0
7	5	0
8	5	0
9	5	0
10	5	58
11	5	0
12	5	0
13	5	0
14	5	0
15	5	0
16	5	0
17	5	103
18	5	0
19	5	0
20	5	0
21	5	31
22	5	0
23	5	58
0	6	20
1	6	38
2	6	15
3	6	22
4	6	10
5	6	10
6	6	5
7	6	0
8	6	0
9	6	0
10	6	5
11	6	0
12	6	3
13	6	8
14	6	15
15	6	8
16	6	13
17	6	29
18	6	20
19	6	27
20	6	10
21	6	15
22	6	15
23	6	31
0	7	37
1	7	37
2	7	0
3	7	37
4	7	0
5	7	0
6	7	37
7	7	37
8	7	0
9	7	0
10	7	0
11	7	0
12	7	0
13	7	0
14	7	37
15	7	37
16	7	0
17	7	0
18	7	37
19	7	0
20	7	0
21	7	95
22	7	0
23	7	37
0	8	0
1	8	0
2	8	42
3	8	42
4	8	77
5	8	42
6	8	0
7	8	0
8	8	0
9	8	0
10	8	0
11	8	0
12	8	0
13	8	42
14	8	0
15	8	0
16	8	42
17	8	0
18	8	0
19	8	0
20	8	42
21	8	42
22	8	77
23	8	167
0	9	40
1	9	74
2	9	21
3	9	21
4	9	0
5	9	21
6	9	40
7	9	21
8	9	0
9	9	0
10	9	0
11	9	0
12	9	21
13	9	0
14	9	21
15	9	40
16	9	0
17	9	58
18	9	0
19	9	58
20	9	21
21	9	21
22	9	40
23	9	0
0	10	7
1	10	19
2	10	42
3	10	53
4	10	42
5	10	37
6	10	0
7	10	13
8	10	0
9	10	0
10	10	7
11	10	7
12	10	7
13	10	13
14	10	0
15	10	13
16	10	37
17	10	31
18	10	7
19	10	37
20	10	25
21	10	7
22	10	7
23	10	13
0	11	42
1	11	0
2	11	0
3	11	77
4	11	0
5	11	42
6	11	0
7	11	77
8	11	0
9	11	0
10	11	0
11	11	0
12	11	0
13	11	0
14	11	0
15	11	77
16	11	77
17	11	0
18	11	0
19	11	0
20	11	0
21	11	0
22	11	42
23	11	42
0	12	0
1	12	77
2	12	0
3	12	0
4	12	77
5	12	77
6	12	0
7	12	0
8	12	0
9	12	0
10	12	0
11	12	0
12	12	0
13	12	0
14	12	0
15	12	0
16	12	77
17	12	0
18	12	77
19	12	0
20	12	0
21	12	0
22	12	0
23	12	0
0	13	41
1	13	22
2	13	15
3	13	41
4	13	70
5	13	8
6	13	0
7	13	0
8	13	0
9	13	0
10	13	0
11	13	8
12	13	28
13	13	15
14	13	8
15	13	28
16	13	28
17	13	15
18	13	0
19	13	35
20	13	0
21	13	22
22	13	8
23	13	28
0	14	0
1	14	42
2	14	29
3	14	29
4	14	87
5	14	15
6	14	29
7	14	0
8	14	0
9	14	0
10	14	0
11	14	0
12	14	0
13	14	0
14	14	0
15	14	42
16	14	0
17	14	42
18	14	0
19	14	0
20	14	15
21	14	42
22	14	29
23	14	0
0	15	0
1	15	154
2	15	0
3	15	105
4	15	84
5	15	0
6	15	0
7	15	0
8	15	0
9	15	0
10	15	0
11	15	0
12	15	0
13	15	0
14	15	0
15	15	0
16	15	32
17	15	0
18	15	0
19	15	32
20	15	60
21	15	84
22	15	0
23	15	32
0	16	60
1	16	0
2	16	60
3	16	32
4	16	32
5	16	60
6	16	32
7	16	0
8	16	0
9	16	0
10	16	0
11	16	0
12	16	84
13	16	0
14	16	0
15	16	32
16	16	32
17	16	0
18	16	0
19	16	0
20	16	0
21	16	32
22	16	0
23	16	32
0	17	0
1	17	31
2	17	31
3	17	0
4	17	0
5	17	0
6	17	0
7	17	0
8	17	0
9	17	0
10	17	0
11	17	31
12	17	0
13	17	0
14	17	31
15	17	58
16	17	31
17	17	58
18	17	31
19	17	82
20	17	31
21	17	31
22	17	31
23	17	31
0	18	0
1	18	0
2	18	164
3	18	0
4	18	0
5	18	0
6	18	0
7	18	0
8	18	0
9	18	0
10	18	103
11	18	0
12	18	0
13	18	0
14	18	0
15	18	0
16	18	0
17	18	103
18	18	103
19	18	0
20	18	0
21	18	0
22	18	0
23	18	0
0	19	23
1	19	61
2	19	132
3	19	120
4	19	78
5	19	107
6	19	0
7	19	0
8	19	23
9	19	0
10	19	0
11	19	23
12	19	23
13	19	0
14	19	43
15	19	0
16	19	0
17	19	0
18	19	43
19	19	0
20	19	23
21	19	0
22	19	43
23	19	23
0	20	0
1	20	38
2	20	0
3	20	20
4	20	0
5	20	0
6	20	38
7	20	0
8	20	0
9	20	0
10	20	0
11	20	0
12	20	0
13	20	38
14	20	0
15	20	38
16	20	55
17	20	0
18	20	20
19	20	20
20	20	20
21	20	20
22	20	38
23	20	55
0	21	22
1	21	22
2	21	31
3	21	36
4	21	29
5	21	28
6	21	31
7	21	8
8	21	14
9	21	11
10	21	15
11	21	2
12	21	7
13	21	20
14	21	9
15	21	17
16	21	21
17	21	24
18	21	17
19	21	22
20	21	32
21	21	22
22	21	29
23	21	25
0	22	0
1	22	0
2	22	0
3	22	0
4	22	0
5	22	0
6	22	0
7	22	0
8	22	0
9	22	0
10	22	0
11	22	0
12	22	0
13	22	0
14	22	0
15	22	0
16	22	0
17	22	0
18	22	0
19	22	0
20	22	0
21	22	0
22	22	0
23	22	0
0	23	45
1	23	112
2	23	45
3	23	0
4	23	112
5	23	82
6	23	0
7	23	0
8	23	0
9	23	0
10	23	0
11	23	0
12	23	0
13	23	0
14	23	0
15	23	45
