Counts for Samsung(12) in Netherlands(28):
Hour	Location Index	Count
0	0	16
1	0	3
2	0	1
3	0	4
4	0	4
5	0	6
6	0	8
7	0	36
8	0	72
9	0	37
10	0	51
11	0	45
12	0	22
13	0	43
14	0	15
15	0	38
16	0	50
17	0	70
18	0	43
19	0	41
20	0	59
21	0	30
22	0	30
23	0	13
0	1	0
1	1	0
2	1	18
3	1	0
4	1	0
5	1	0
6	1	18
7	1	100
8	1	49
9	1	0
10	1	34
11	1	49
12	1	18
13	1	34
14	1	18
15	1	0
16	1	0
17	1	63
18	1	89
19	1	0
20	1	49
21	1	0
22	1	0
23	1	18
0	2	0
1	2	0
2	2	0
3	2	0
4	2	0
5	2	16
6	2	13
7	2	24
8	2	20
9	2	31
10	2	16
11	2	20
12	2	16
13	2	20
14	2	28
15	2	20
16	2	24
17	2	42
18	2	49
19	2	20
20	2	38
21	2	49
22	2	5
23	2	0
0	3	0
1	3	0
2	3	0
3	3	0
4	3	0
5	3	11
6	3	0
7	3	11
8	3	31
9	3	21
10	3	11
11	3	31
12	3	0
13	3	11
14	3	0
15	3	73
16	3	49
17	3	21
18	3	49
19	3	11
20	3	11
21	3	11
22	3	11
23	3	11
0	4	0
1	4	0
2	4	12
3	4	0
4	4	22
5	4	4
6	4	8
7	4	19
8	4	60
9	4	12
10	4	12
11	4	22
12	4	0
13	4	0
14	4	42
15	4	45
16	4	15
17	4	15
18	4	36
19	4	19
20	4	39
21	4	4
22	4	8
23	4	26
0	5	0
1	5	0
2	5	3
3	5	6
4	5	13
5	5	8
6	5	8
7	5	18
8	5	18
9	5	21
10	5	11
11	5	16
12	5	18
13	5	21
14	5	13
15	5	6
16	5	52
17	5	26
18	5	6
19	5	8
20	5	30
21	5	16
22	5	13
23	5	0
0	6	2
1	6	1
2	6	0
3	6	2
4	6	6
5	6	6
6	6	21
7	6	24
8	6	16
9	6	10
10	6	10
11	6	14
12	6	20
13	6	17
14	6	11
15	6	22
16	6	14
17	6	19
18	6	17
19	6	24
20	6	26
21	6	13
22	6	11
23	6	5
0	7	3
1	7	0
2	7	2
3	7	3
4	7	11
5	7	20
6	7	13
7	7	32
8	7	33
9	7	33
10	7	12
11	7	13
12	7	24
13	7	12
14	7	20
15	7	25
16	7	17
17	7	25
18	7	14
19	7	26
20	7	20
21	7	25
22	7	9
23	7	4
0	8	0
1	8	0
2	8	0
3	8	0
4	8	0
5	8	0
6	8	0
7	8	23
8	8	12
9	8	0
10	8	23
11	8	12
12	8	12
13	8	0
14	8	23
15	8	0
16	8	0
17	8	34
18	8	34
19	8	23
20	8	34
21	8	23
22	8	34
23	8	0
0	9	9
1	9	0
2	9	0
3	9	0
4	9	6
5	9	18
6	9	18
7	9	18
8	9	26
9	9	15
10	9	12
11	9	15
12	9	28
13	9	20
14	9	46
15	9	34
16	9	12
17	9	31
18	9	44
19	9	34
20	9	9
21	9	23
22	9	6
23	9	18
0	10	0
1	10	0
2	10	0
3	10	9
4	10	0
5	10	0
6	10	18
7	10	18
8	10	34
9	10	0
10	10	9
11	10	0
12	10	0
13	10	9
14	10	9
15	10	0
16	10	9
17	10	26
18	10	0
19	10	9
20	10	34
21	10	50
22	10	0
23	10	9
0	11	8
1	11	3
2	11	0
3	11	0
4	11	13
5	11	17
6	11	26
7	11	24
8	11	22
9	11	20
10	11	15
11	11	22
12	11	17
13	11	13
14	11	15
15	11	5
16	11	22
17	11	37
18	11	43
19	11	55
20	11	41
21	11	33
22	11	8
23	11	5
0	12	0
1	12	0
