Counts for Apple(2) in Netherlands(28):
Hour	Location Index	Count
0	0	1
1	0	0
2	0	1
3	0	2
4	0	10
5	0	10
6	0	8
7	0	12
8	0	10
9	0	10
10	0	11
11	0	14
12	0	8
13	0	13
14	0	22
15	0	35
16	0	36
17	0	19
18	0	25
19	0	18
20	0	11
21	0	11
22	0	6
23	0	4
0	1	0
1	1	18
2	1	0
3	1	0
4	1	0
5	1	49
6	1	18
7	1	34
8	1	0
9	1	18
10	1	49
11	1	0
12	1	0
13	1	0
14	1	63
15	1	18
16	1	34
17	1	49
18	1	49
19	1	34
20	1	34
21	1	0
22	1	0
23	1	0
0	2	0
1	2	0
2	2	0
3	2	0
4	2	0
5	2	5
6	2	9
7	2	16
8	2	28
9	2	52
10	2	28
11	2	24
12	2	38
13	2	38
14	2	24
15	2	31
16	2	24
17	2	38
18	2	38
19	2	38
20	2	49
21	2	24
22	2	9
23	2	5
0	3	0
1	3	0
2	3	0
3	3	0
4	3	0
5	3	0
6	3	11
7	3	40
8	3	0
9	3	0
10	3	11
11	3	11
12	3	21
13	3	21
14	3	11
15	3	21
16	3	11
17	3	40
18	3	57
19	3	31
20	3	31
21	3	31
22	3	31
23	3	11
0	4	4
1	4	0
2	4	0
3	4	0
4	4	4
5	4	4
6	4	0
7	4	29
8	4	19
9	4	32
10	4	29
11	4	36
12	4	8
13	4	36
14	4	19
15	4	60
16	4	57
17	4	48
18	4	39
19	4	69
20	4	45
21	4	26
22	4	4
23	4	0
0	5	0
1	5	0
2	5	0
3	5	0
4	5	11
5	5	8
6	5	18
7	5	59
8	5	35
9	5	8
10	5	26
11	5	23
12	5	35
13	5	33
14	5	30
15	5	57
16	5	44
17	5	50
18	5	35
19	5	42
20	5	26
21	5	13
22	5	6
23	5	0
0	6	10
1	6	12
2	6	6
3	6	2
4	6	8
5	6	20
6	6	25
7	6	31
8	6	31
9	6	27
10	6	24
11	6	36
12	6	29
13	6	28
14	6	26
15	6	24
16	6	41
17	6	48
18	6	48
19	6	43
20	6	42
21	6	26
22	6	22
23	6	12
0	7	9
1	7	3
2	7	8
3	7	0
4	7	12
5	7	17
6	7	17
7	7	24
8	7	35
9	7	20
10	7	23
11	7	30
12	7	36
13	7	34
14	7	26
15	7	24
16	7	40
17	7	32
18	7	48
19	7	56
20	7	50
21	7	41
22	7	17
23	7	12
0	8	0
1	8	0
2	8	0
3	8	0
4	8	34
5	8	71
6	8	44
7	8	23
8	8	23
9	8	44
10	8	0
11	8	12
12	8	23
13	8	23
14	8	12
15	8	12
16	8	23
17	8	34
18	8	53
19	8	145
20	8	44
21	8	34
22	8	0
23	8	12
0	9	9
1	9	9
2	9	3
3	9	0
4	9	12
5	9	20
6	9	15
7	9	53
8	9	20
9	9	34
10	9	26
11	9	46
12	9	28
13	9	18
14	9	20
15	9	23
16	9	34
17	9	41
18	9	26
19	9	44
20	9	20
21	9	20
22	9	15
23	9	3
0	10	0
1	10	0
2	10	0
3	10	0
4	10	9
5	10	18
6	10	26
7	10	42
8	10	50
9	10	57
10	10	42
11	10	26
12	10	9
13	10	26
14	10	0
15	10	18
16	10	26
17	10	57
18	10	42
19	10	50
20	10	42
21	10	34
22	10	0
23	10	9
0	11	0
1	11	3
2	11	0
3	11	5
4	11	0
5	11	8
6	11	22
7	11	26
8	11	8
9	11	29
10	11	22
11	11	33
12	11	47
13	11	53
