Counts for Samsung(12) in New Zealand(29):
Hour	Location Index	Count
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	118
8	0	181
9	0	68
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
0	1	26
1	1	16
2	1	15
3	1	17
4	1	28
5	1	34
6	1	27
7	1	25
8	1	25
9	1	19
10	1	11
11	1	10
12	1	3
13	1	1
14	1	1
15	1	1
16	1	5
17	1	1
18	1	9
19	1	11
20	1	5
21	1	12
22	1	12
23	1	15
0	2	7
1	2	0
2	2	13
3	2	0
4	2	7
5	2	7
6	2	13
7	2	20
8	2	26
9	2	7
10	2	0
11	2	0
12	2	0
13	2	0
14	2	0
15	2	0
16	2	0
17	2	0
18	2	0
19	2	0
20	2	13
21	2	0
22	2	37
23	2	0
0	3	19
1	3	17
2	3	17
3	3	19
4	3	25
5	3	29
6	3	25
7	3	26
8	3	22
9	3	17
10	3	10
11	3	5
12	3	3
13	3	2
14	3	2
15	3	2
16	3	3
17	3	5
18	3	10
19	3	12
20	3	12
21	3	14
22	3	15
23	3	18
0	4	25
1	4	0
2	4	0
3	4	0
4	4	0
5	4	13
6	4	0
7	4	25
8	4	77
9	4	13
10	4	0
11	4	0
12	4	0
13	4	0
14	4	0
15	4	0
16	4	0
17	4	0
18	4	0
19	4	13
20	4	25
21	4	36
22	4	0
23	4	0
0	5	19
1	5	13
2	5	21
3	5	25
4	5	19
5	5	15
6	5	11
7	5	33
8	5	31
9	5	29
10	5	13
11	5	3
12	5	9
13	5	3
14	5	0
15	5	5
16	5	0
17	5	3
18	5	13
19	5	0
20	5	11
21	5	7
22	5	0
23	5	3
0	6	14
1	6	14
2	6	0
3	6	0
4	6	39
5	6	39
6	6	14
7	6	0
8	6	50
9	6	0
10	6	0
11	6	0
12	6	0
13	6	0
14	6	0
15	6	0
16	6	0
17	6	14
18	6	14
19	6	14
20	6	0
21	6	27
22	6	0
23	6	14
0	7	22
1	7	17
2	7	12
3	7	0
4	7	42
5	7	12
6	7	27
7	7	17
8	7	56
9	7	6
10	7	22
11	7	0
12	7	0
13	7	0
14	7	0
15	7	0
16	7	0
17	7	6
18	7	12
19	7	12
20	7	6
21	7	6
22	7	17
23	7	6
0	8	0
1	8	0
2	8	0
3	8	0
4	8	32
5	8	0
6	8	17
7	8	17
8	8	17
9	8	0
10	8	0
11	8	0
12	8	0
13	8	0
14	8	0
15	8	0
16	8	0
17	8	0
18	8	0
19	8	0
20	8	0
21	8	0
22	8	0
23	8	0
0	9	36
1	9	11
2	9	27
3	9	11
4	9	6
5	9	32
6	9	46
7	9	32
8	9	22
9	9	36
10	9	6
11	9	17
12	9	0
13	9	0
14	9	6
15	9	0
16	9	17
17	9	71
18	9	11
19	9	22
20	9	32
21	9	32
22	9	36
23	9	46
0	10	13
1	10	13
2	10	24
3	10	0
4	10	19
5	10	24
6	10	30
7	10	19
8	10	13
9	10	7
10	10	13
11	10	0
12	10	19
13	10	0
14	10	0
15	10	0
16	10	0
17	10	7
18	10	7
19	10	19
20	10	0
21	10	0
22	10	7
23	10	7
0	11	22
1	11	6
2	11	22
3	11	0
4	11	11
5	11	6
6	11	6
7	11	6
8	11	11
9	11	22
10	11	11
11	11	0
12	11	0
13	11	0
14	11	0
15	11	0
16	11	0
17	11	0
18	11	16
19	11	6
20	11	0
21	11	11
22	11	0
23	11	11
0	12	31
1	12	8
2	12	5
3	12	12
4	12	20
5	12	24
6	12	31
7	12	27
8	12	38
9	12	16
10	12	16
11	12	5
12	12	5
13	12	5
14	12	0
15	12	0
16	12	12
17	12	8
18	12	0
19	12	5
20	12	27
21	12	8
22	12	8
23	12	27
0	13	253
1	13	0
2	13	0
3	13	0
4	13	0
5	13	0
6	13	0
7	13	0
8	13	0
9	13	0
10	13	0
11	13	0
12	13	0
13	13	0
14	13	0
15	13	0
16	13	0
17	13	0
18	13	0
19	13	0
20	13	0
21	13	0
22	13	0
23	13	0
0	14	16
1	14	14
2	14	12
3	14	19
4	14	23
5	14	24
6	14	40
7	14	33
8	14	30
9	14	27
10	14	14
11	14	7
12	14	3
13	14	3
14	14	2
15	14	1
16	14	3
17	14	4
18	14	12
19	14	9
20	14	10
21	14	9
22	14	11
23	14	7
0	15	15
1	15	10
2	15	10
3	15	18
4	15	14
5	15	30
6	15	35
7	15	23
8	15	30
9	15	11
10	15	6
11	15	4
12	15	4
13	15	1
14	15	0
15	15	0
16	15	2
17	15	6
18	15	7
19	15	7
20	15	8
21	15	11
22	15	13
23	15	4
0	16	5
1	16	3
2	16	12
3	16	3
4	16	7
5	16	23
6	16	21
7	16	10
8	16	3
9	16	10
10	16	5
11	16	5
12	16	3
13	16	0
14	16	3
15	16	0
16	16	5
17	16	3
18	16	3
19	16	3
20	16	16
21	16	10
22	16	10
23	16	5
0	17	0
1	17	0
2	17	0
3	17	0
4	17	34
5	17	34
6	17	34
7	17	110
8	17	0
9	17	0
10	17	0
11	17	0
12	17	34
13	17	0
14	17	0
15	17	0
16	17	0
17	17	0
18	17	0
19	17	34
20	17	0
21	17	0
22	17	0
23	17	0
0	18	5
1	18	5
2	18	5
3	18	9
4	18	28
5	18	21
6	18	17
7	18	25
8	18	21
9	18	17
10	18	0
11	18	5
12	18	5
13	18	0
14	18	0
15	18	0
16	18	0
17	18	0
18	18	13
19	18	0
20	18	32
21	18	17
22	18	17
23	18	5
0	19	16
1	19	14
2	19	13
3	19	13
4	19	33
5	19	26
6	19	23
7	19	29
8	19	30
9	19	21
10	19	8
11	19	4
12	19	1
13	19	2
14	19	1
15	19	2
16	19	2
17	19	3
18	19	8
19	19	12
20	19	11
21	19	9
22	19	9
23	19	11
0	20	15
1	20	12
2	20	19
3	20	25
4	20	15
5	20	19
6	20	19
7	20	17
8	20	10
9	20	8
10	20	6
11	20	3
12	20	0
13	20	1
14	20	1
15	20	1
16	20	4
17	20	3
18	20	8
19	20	3
20	20	15
21	20	8
22	20	11
23	20	9
0	21	9
1	21	9
2	21	0
3	21	9
4	21	32
5	21	32
6	21	17
7	21	17
8	21	9
9	21	39
10	21	9
11	21	0
12	21	0
13	21	0
14	21	0
15	21	0
16	21	0
17	21	0
18	21	9
19	21	32
20	21	9
21	21	9
22	21	17
23	21	0
0	22	6
1	22	19
2	22	12
3	22	16
4	22	32
5	22	24
6	22	20
7	22	19
8	22	20
9	22	39
10	22	8
11	22	8
12	22	4
13	22	3
14	22	2
15	22	2
16	22	1
17	22	4
18	22	4
19	22	2
20	22	6
21	22	11
22	22	9
23	22	10
0	23	11
1	23	9
2	23	13
3	23	25
4	23	29
5	23	23
6	23	19
7	23	25
8	23	24
9	23	18
10	23	12
11	23	4
12	23	2
13	23	5
14	23	3
