Counts for Apple(2) in New Zealand(29):
Hour	Location Index	Count
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	118
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	68
20	0	0
21	0	0
22	0	0
23	0	118
0	1	31
1	1	34
2	1	33
3	1	31
4	1	39
5	1	40
6	1	45
7	1	47
8	1	55
9	1	42
10	1	31
11	1	21
12	1	8
13	1	11
14	1	6
15	1	4
16	1	4
17	1	7
18	1	19
19	1	27
20	1	27
21	1	29
22	1	25
23	1	30
0	2	37
1	2	20
2	2	26
3	2	43
4	2	48
5	2	43
6	2	74
7	2	122
8	2	59
9	2	74
10	2	7
11	2	0
12	2	7
13	2	0
14	2	0
15	2	0
16	2	7
17	2	20
18	2	20
19	2	32
20	2	32
21	2	13
22	2	69
23	2	87
0	3	37
1	3	35
2	3	34
3	3	39
4	3	48
5	3	52
6	3	51
7	3	53
8	3	51
9	3	38
10	3	21
11	3	10
12	3	5
13	3	3
14	3	3
15	3	3
16	3	4
17	3	10
18	3	21
19	3	26
20	3	28
21	3	30
22	3	31
23	3	35
0	4	13
1	4	13
2	4	47
3	4	47
4	4	47
5	4	94
6	4	67
7	4	102
8	4	67
9	4	36
10	4	13
11	4	13
12	4	0
13	4	0
14	4	0
15	4	13
16	4	0
17	4	13
18	4	13
19	4	77
20	4	25
21	4	0
22	4	25
23	4	36
0	5	48
1	5	15
2	5	43
3	5	29
4	5	48
5	5	52
6	5	63
7	5	52
8	5	72
9	5	43
10	5	19
11	5	13
12	5	3
13	5	5
14	5	7
15	5	0
16	5	9
17	5	27
18	5	19
19	5	25
20	5	29
21	5	46
22	5	33
23	5	39
0	6	27
1	6	14
2	6	61
3	6	50
4	6	50
5	6	39
6	6	39
7	6	107
8	6	71
9	6	39
10	6	14
11	6	0
12	6	0
13	6	0
14	6	0
15	6	0
16	6	0
17	6	14
18	6	39
19	6	14
20	6	27
21	6	50
22	6	50
23	6	71
0	7	6
1	7	17
2	7	37
3	7	22
4	7	33
5	7	52
6	7	47
7	7	85
8	7	81
9	7	100
10	7	22
11	7	6
12	7	6
13	7	0
14	7	0
15	7	0
16	7	6
17	7	6
18	7	37
19	7	33
20	7	27
21	7	22
22	7	42
23	7	12
0	8	72
1	8	0
2	8	0
3	8	95
4	8	46
5	8	72
6	8	84
7	8	72
8	8	84
9	8	72
10	8	32
11	8	0
12	8	0
13	8	0
14	8	32
15	8	0
16	8	0
17	8	32
18	8	46
19	8	32
20	8	46
21	8	60
22	8	46
23	8	32
0	9	27
1	9	27
2	9	6
3	9	27
4	9	22
5	9	87
6	9	50
7	9	55
8	9	32
9	9	55
10	9	6
11	9	0
12	9	0
13	9	0
14	9	0
15	9	0
16	9	0
17	9	22
18	9	22
19	9	11
20	9	11
21	9	6
22	9	6
23	9	11
0	10	24
1	10	41
2	10	24
3	10	30
4	10	46
5	10	61
6	10	79
7	10	61
8	10	100
9	10	56
10	10	13
11	10	0
12	10	7
13	10	7
14	10	7
15	10	0
16	10	0
17	10	7
18	10	46
19	10	41
20	10	41
21	10	30
22	10	24
23	10	24
0	11	22
1	11	27
2	11	50
3	11	71
4	11	59
5	11	97
6	11	90
7	11	75
8	11	41
9	11	79
10	11	16
11	11	0
12	11	6
13	11	11
14	11	11
15	11	0
16	11	11
17	11	0
18	11	16
19	11	16
20	11	6
21	11	11
22	11	27
23	11	36
0	12	24
1	12	27
2	12	24
3	12	27
4	12	70
5	12	55
6	12	64
7	12	92
8	12	35
9	12	51
10	12	31
11	12	58
12	12	12
13	12	0
14	12	8
15	12	0
16	12	8
17	12	12
18	12	5
19	12	24
20	12	16
21	12	27
22	12	31
23	12	20
0	13	0
1	13	0
2	13	0
3	13	0
4	13	0
5	13	0
6	13	0
7	13	0
8	13	0
9	13	0
10	13	0
11	13	0
12	13	0
13	13	0
14	13	0
15	13	0
16	13	0
17	13	0
18	13	0
19	13	0
20	13	0
21	13	0
22	13	0
23	13	0
0	14	26
1	14	23
2	14	19
3	14	38
4	14	51
5	14	55
6	14	53
7	14	59
8	14	66
9	14	64
10	14	27
11	14	12
12	14	12
13	14	11
14	14	9
15	14	10
16	14	9
17	14	15
18	14	19
19	14	26
20	14	24
21	14	22
22	14	27
23	14	24
0	15	36
1	15	25
2	15	30
3	15	52
4	15	65
5	15	60
6	15	58
7	15	66
8	15	72
9	15	57
10	15	26
11	15	7
12	15	4
13	15	4
14	15	1
15	15	1
16	15	5
17	15	11
18	15	28
19	15	28
20	15	13
21	15	25
22	15	22
23	15	35
0	16	29
1	16	21
2	16	33
3	16	47
4	16	85
5	16	78
6	16	67
7	16	77
8	16	73
9	16	56
10	16	39
11	16	3
12	16	7
13	16	0
14	16	5
15	16	0
16	16	0
17	16	25
18	16	45
19	16	29
20	16	45
21	16	31
22	16	23
23	16	45
0	17	63
1	17	63
2	17	34
3	17	63
4	17	88
5	17	34
6	17	0
7	17	63
8	17	34
9	17	63
10	17	0
11	17	0
12	17	0
13	17	0
14	17	0
15	17	0
16	17	0
17	17	0
18	17	0
19	17	63
20	17	0
21	17	63
22	17	34
23	17	0
0	18	53
1	18	32
2	18	17
3	18	28
4	18	43
5	18	69
6	18	98
7	18	28
8	18	63
9	18	43
10	18	60
11	18	13
12	18	0
13	18	0
14	18	0
15	18	0
16	18	5
17	18	9
18	18	21
19	18	32
20	18	60
21	18	32
22	18	17
23	18	25
0	19	28
1	19	29
2	19	31
3	19	39
4	19	54
5	19	70
6	19	55
7	19	64
8	19	74
9	19	58
10	19	29
11	19	10
12	19	6
13	19	3
14	19	0
15	19	1
16	19	3
17	19	12
18	19	23
19	19	22
20	19	20
21	19	20
22	19	26
23	19	28
0	20	60
1	20	53
2	20	46
3	20	48
4	20	61
5	20	54
6	20	66
7	20	57
8	20	37
9	20	27
10	20	21
11	20	10
12	20	4
13	20	1
14	20	2
15	20	2
16	20	2
17	20	10
18	20	24
19	20	30
20	20	38
21	20	48
22	20	34
23	20	46
0	21	17
1	21	32
2	21	53
3	21	66
4	21	46
5	21	25
6	21	66
7	21	95
8	21	95
9	21	84
10	21	32
11	21	0
12	21	0
13	21	0
14	21	0
15	21	0
16	21	0
17	21	9
18	21	9
19	21	39
20	21	46
21	21	25
22	21	17
23	21	17
0	22	38
1	22	44
2	22	39
3	22	35
4	22	50
5	22	53
6	22	82
7	22	77
8	22	59
9	22	66
10	22	21
11	22	12
12	22	2
13	22	2
14	22	0
15	22	1
16	22	4
17	22	4
18	22	18
19	22	15
20	22	27
21	22	17
22	22	31
23	22	17
0	23	34
1	23	28
2	23	29
3	23	41
4	23	58
5	23	55
6	23	61
7	23	75
8	23	75
9	23	46
10	23	26
11	23	8
12	23	3
13	23	2
14	23	4
15	23	3
