Counts for Samsung(12) in Belgium(3):
Hour	Location Index	Count
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	14
6	0	0
7	0	14
8	0	0
9	0	0
10	0	0
11	0	0
12	0	14
13	0	14
14	0	0
15	0	0
16	0	0
17	0	14
18	0	14
19	0	26
20	0	14
21	0	0
22	0	0
23	0	0
0	1	0
1	1	0
2	1	0
3	1	0
4	1	0
5	1	0
6	1	0
7	1	0
8	1	43
9	1	0
10	1	0
11	1	0
12	1	0
13	1	0
14	1	0
15	1	0
16	1	133
17	1	0
18	1	0
19	1	0
20	1	0
21	1	0
22	1	0
23	1	0
0	2	0
1	2	0
2	2	0
3	2	0
4	2	0
5	2	0
6	2	0
7	2	0
8	2	0
9	2	0
10	2	0
11	2	47
12	2	0
13	2	0
14	2	0
15	2	0
16	2	116
17	2	0
18	2	0
19	2	0
20	2	0
21	2	47
22	2	47
23	2	0
0	3	0
1	3	0
2	3	0
3	3	0
4	3	0
5	3	37
6	3	0
7	3	0
8	3	0
9	3	0
10	3	0
11	3	0
12	3	0
13	3	0
14	3	37
15	3	118
16	3	95
17	3	0
18	3	37
19	3	0
20	3	37
21	3	37
22	3	68
23	3	0
0	4	0
1	4	0
2	4	0
3	4	0
4	4	0
5	4	0
6	4	0
7	4	17
8	4	17
9	4	0
10	4	0
11	4	0
12	4	17
13	4	0
14	4	17
15	4	0
16	4	0
17	4	17
18	4	0
19	4	32
20	4	17
21	4	0
22	4	0
23	4	0
0	5	3
1	5	2
2	5	5
3	5	5
4	5	7
5	5	11
6	5	6
7	5	15
8	5	19
9	5	9
10	5	17
11	5	9
12	5	10
13	5	6
14	5	11
15	5	15
16	5	18
17	5	14
18	5	21
19	5	26
20	5	19
21	5	15
22	5	11
23	5	3
0	6	14
1	6	0
2	6	0
3	6	7
4	6	20
5	6	32
6	6	14
7	6	26
8	6	26
9	6	26
10	6	38
11	6	14
12	6	7
13	6	7
14	6	20
15	6	7
16	6	0
17	6	7
18	6	26
19	6	20
20	6	0
21	6	14
22	6	14
23	6	0
0	7	6
1	7	0
2	7	0
3	7	0
4	7	14
5	7	14
6	7	8
7	7	3
8	7	8
9	7	19
10	7	3
11	7	16
12	7	19
13	7	8
14	7	19
15	7	21
16	7	16
17	7	16
18	7	21
19	7	24
20	7	26
21	7	21
22	7	14
23	7	6
0	8	2
1	8	0
2	8	0
3	8	4
4	8	15
5	8	8
6	8	16
7	8	23
8	8	20
9	8	6
10	8	23
11	8	11
12	8	18
13	8	13
14	8	13
15	8	23
16	8	28
17	8	28
18	8	38
19	8	20
20	8	33
21	8	18
22	8	9
23	8	4
0	9	0
1	9	0
2	9	0
3	9	0
4	9	0
5	9	0
6	9	0
7	9	0
8	9	0
9	9	33
10	9	33
11	9	0
12	9	0
13	9	0
14	9	0
15	9	17
16	9	48
17	9	48
18	9	33
19	9	0
20	9	0
21	9	0
22	9	33
23	9	0
0	10	13
1	10	0
2	10	0
3	10	0
4	10	13
5	10	0
6	10	0
7	10	7
8	10	19
9	10	7
10	10	7
11	10	36
12	10	13
13	10	13
14	10	19
15	10	7
16	10	7
17	10	36
18	10	36
19	10	19
20	10	36
21	10	30
22	10	0
23	10	13
0	11	0
1	11	0
2	11	0
3	11	0
4	11	0
5	11	0
6	11	15
7	11	15
8	11	0
9	11	0
10	11	0
11	11	0
12	11	0
13	11	0
14	11	30
15	11	15
16	11	0
17	11	0
18	11	0
19	11	43
20	11	0
21	11	15
22	11	15
23	11	0
0	12	6
1	12	0
2	12	0
3	12	2
4	12	16
5	12	12
6	12	12
7	12	16
8	12	22
9	12	6
10	12	14
11	12	12
12	12	11
13	12	11
14	12	11
15	12	14
16	12	21
17	12	8
18	12	23
19	12	16
20	12	26
21	12	18
22	12	14
23	12	3
0	13	0
1	13	0
2	13	0
3	13	5
4	13	5
5	13	5
6	13	20
7	13	41
8	13	10
9	13	20
10	13	33
11	13	24
12	13	10
13	13	15
14	13	0
15	13	15
16	13	0
17	13	20
18	13	33
19	13	20
20	13	10
21	13	10
22	13	0
23	13	0
0	14	0
1	14	0
2	14	0
3	14	0
4	14	0
5	14	64
6	14	64
7	14	50
8	14	0
9	14	18
10	14	18
11	14	50
12	14	35
13	14	0
14	14	50
15	14	18
16	14	0
17	14	0
18	14	18
19	14	35
20	14	18
21	14	18
22	14	0
23	14	18
0	15	0
1	15	0
2	15	0
3	15	0
4	15	0
5	15	24
6	15	24
7	15	24
8	15	46
9	15	0
10	15	24
11	15	24
12	15	0
13	15	0
14	15	24
15	15	24
16	15	24
17	15	0
18	15	46
19	15	0
20	15	46
21	15	0
22	15	0
23	15	0
0	16	0
1	16	0
2	16	0
3	16	0
4	16	0
5	16	0
6	16	0
7	16	0
8	16	0
9	16	0
10	16	0
11	16	34
12	16	63
13	16	0
14	16	0
15	16	34
16	16	0
17	16	34
18	16	34
19	16	0
20	16	0
21	16	34
22	16	34
23	16	0
0	17	0
1	17	0
2	17	0
3	17	0
4	17	9
5	17	24
6	17	0
7	17	9
8	17	9
9	17	17
10	17	17
11	17	9
12	17	46
13	17	0
14	17	17
15	17	17
16	17	0
17	17	52
18	17	17
19	17	32
20	17	0
21	17	9
22	17	0
23	17	9
0	18	0
1	18	0
2	18	3
3	18	3
4	18	0
5	18	6
6	18	13
7	18	8
8	18	8
9	18	23
10	18	18
11	18	13
12	18	13
13	18	16
14	18	35
15	18	13
16	18	6
17	18	25
18	18	30
19	18	21
20	18	28
21	18	13
22	18	0
23	18	0
0	19	0
1	19	0
2	19	0
3	19	0
4	19	0
5	19	0
6	19	0
7	19	0
8	19	0
9	19	0
10	19	0
11	19	0
12	19	0
13	19	0
14	19	0
15	19	0
16	19	0
17	19	0
18	19	112
19	19	0
20	19	0
21	19	0
22	19	0
23	19	0
0	20	0
1	20	0
2	20	48
3	20	0
4	20	0
5	20	25
6	20	25
7	20	25
8	20	0
9	20	0
10	20	0
11	20	68
12	20	25
13	20	0
14	20	25
15	20	25
16	20	0
17	20	25
18	20	86
19	20	68
20	20	25
21	20	0
22	20	0
23	20	0
0	21	0
1	21	0
2	21	0
3	21	0
4	21	0
5	21	0
6	21	0
7	21	123
8	21	123
9	21	123
10	21	0
11	21	0
12	21	0
13	21	0
14	21	0
15	21	0
16	21	0
17	21	0
18	21	0
19	21	0
20	21	0
21	21	0
22	21	0
23	21	0
0	22	6
1	22	0
2	22	0
3	22	0
4	22	9
5	22	31
6	22	15
7	22	9
8	22	15
9	22	12
10	22	9
11	22	3
12	22	9
13	22	0
14	22	15
15	22	23
16	22	23
17	22	12
18	22	42
19	22	18
20	22	15
21	22	12
22	22	6
23	22	0
0	23	0
1	23	0
2	23	0
3	23	0
4	23	8
5	23	23
6	23	8
7	23	0
8	23	8
9	23	50
10	23	23
11	23	16
12	23	23
13	23	23
14	23	30
15	23	8
