Counts for Apple(2) in Belgium(3):
Hour	Location Index	Count
0	0	0
1	0	0
2	0	0
3	0	38
4	0	14
5	0	26
6	0	26
7	0	14
8	0	26
9	0	38
10	0	26
11	0	14
12	0	50
13	0	60
14	0	38
15	0	26
16	0	71
17	0	26
18	0	50
19	0	60
20	0	89
21	0	71
22	0	38
23	0	38
0	1	0
1	1	0
2	1	0
3	1	0
4	1	0
5	1	43
6	1	0
7	1	0
8	1	43
9	1	0
10	1	0
11	1	0
12	1	0
13	1	43
14	1	0
15	1	0
16	1	43
17	1	43
18	1	43
19	1	133
20	1	43
21	1	43
22	1	0
23	1	0
0	2	0
1	2	0
2	2	0
3	2	0
4	2	47
5	2	47
6	2	47
7	2	0
8	2	85
9	2	0
10	2	85
11	2	47
12	2	85
13	2	0
14	2	0
15	2	0
16	2	0
17	2	0
18	2	0
19	2	0
20	2	47
21	2	0
22	2	47
23	2	47
0	3	0
1	3	0
2	3	0
3	3	0
4	3	0
5	3	0
6	3	37
7	3	37
8	3	0
9	3	37
10	3	0
11	3	0
12	3	37
13	3	0
14	3	0
15	3	68
16	3	0
17	3	68
18	3	0
19	3	68
20	3	0
21	3	0
22	3	68
23	3	0
0	4	0
1	4	0
2	4	0
3	4	0
4	4	83
5	4	94
6	4	0
7	4	46
8	4	46
9	4	32
10	4	0
11	4	0
12	4	0
13	4	0
14	4	32
15	4	32
16	4	32
17	4	32
18	4	83
19	4	46
20	4	59
21	4	46
22	4	0
23	4	0
0	5	10
1	5	2
2	5	2
3	5	6
4	5	13
5	5	21
6	5	31
7	5	27
8	5	39
9	5	32
10	5	25
11	5	32
12	5	22
13	5	23
14	5	26
15	5	44
16	5	21
17	5	44
18	5	40
19	5	28
20	5	52
21	5	23
22	5	7
23	5	6
0	6	14
1	6	7
2	6	0
3	6	0
4	6	0
5	6	20
6	6	38
7	6	38
8	6	54
9	6	43
10	6	20
11	6	26
12	6	0
13	6	32
14	6	26
15	6	26
16	6	43
17	6	32
18	6	38
19	6	60
20	6	32
21	6	65
22	6	7
23	6	7
0	7	11
1	7	6
2	7	0
3	7	0
4	7	21
5	7	14
6	7	33
7	7	11
8	7	16
9	7	28
10	7	24
11	7	28
12	7	28
13	7	35
14	7	35
15	7	42
16	7	26
17	7	51
18	7	42
19	7	31
20	7	35
21	7	26
22	7	14
23	7	6
0	8	2
1	8	0
2	8	2
3	8	13
4	8	15
5	8	22
6	8	25
7	8	22
8	8	35
9	8	22
10	8	25
11	8	30
12	8	23
13	8	16
14	8	23
15	8	33
16	8	27
17	8	39
18	8	42
19	8	41
20	8	56
21	8	22
22	8	6
23	8	9
0	9	0
1	9	17
2	9	0
3	9	17
4	9	17
5	9	33
6	9	48
7	9	62
8	9	48
9	9	17
10	9	17
11	9	17
12	9	17
13	9	48
14	9	48
15	9	48
16	9	62
17	9	33
18	9	17
19	9	62
20	9	17
21	9	0
22	9	17
23	9	0
0	10	13
1	10	7
2	10	0
3	10	13
4	10	0
5	10	46
6	10	36
7	10	30
8	10	61
9	10	24
10	10	19
11	10	7
12	10	24
13	10	24
14	10	30
15	10	24
16	10	46
17	10	24
18	10	70
19	10	30
20	10	30
21	10	13
22	10	19
23	10	13
0	11	0
1	11	0
2	11	0
3	11	0
4	11	30
5	11	30
6	11	0
7	11	0
8	11	0
9	11	30
10	11	15
11	11	78
12	11	0
13	11	30
14	11	30
15	11	43
16	11	89
17	11	30
18	11	0
19	11	43
20	11	43
21	11	30
22	11	0
23	11	0
0	12	0
1	12	2
2	12	0
3	12	8
4	12	16
5	12	33
6	12	19
7	12	31
8	12	31
9	12	33
10	12	44
11	12	39
12	12	19
13	12	27
14	12	21
15	12	22
16	12	45
17	12	40
18	12	38
19	12	45
20	12	54
21	12	33
22	12	15
23	12	9
0	13	0
1	13	5
2	13	0
3	13	0
4	13	15
5	13	5
6	13	46
7	13	41
8	13	50
9	13	57
10	13	61
11	13	24
12	13	86
13	13	46
14	13	24
15	13	10
16	13	10
17	13	0
18	13	33
19	13	24
20	13	29
21	13	10
22	13	5
23	13	0
0	14	0
1	14	0
2	14	0
3	14	0
4	14	0
5	14	18
6	14	35
7	14	0
8	14	18
9	14	18
10	14	0
11	14	18
12	14	18
13	14	35
14	14	18
15	14	78
16	14	0
17	14	50
18	14	64
19	14	0
20	14	18
21	14	18
22	14	0
23	14	0
0	15	0
1	15	0
2	15	0
3	15	0
4	15	0
5	15	0
6	15	24
7	15	65
8	15	46
9	15	46
10	15	0
11	15	0
12	15	24
13	15	0
14	15	0
15	15	65
16	15	24
17	15	0
18	15	83
19	15	24
20	15	24
21	15	24
22	15	0
23	15	0
0	16	0
1	16	0
2	16	0
3	16	34
4	16	0
5	16	0
6	16	34
7	16	0
8	16	63
9	16	0
10	16	0
11	16	34
12	16	0
13	16	34
14	16	63
15	16	88
16	16	63
17	16	0
18	16	110
19	16	63
20	16	34
21	16	34
22	16	0
23	16	0
0	17	0
1	17	0
2	17	0
3	17	9
4	17	9
5	17	9
6	17	24
7	17	9
8	17	9
9	17	17
10	17	46
11	17	24
12	17	17
13	17	24
14	17	24
15	17	9
16	17	17
17	17	9
18	17	32
19	17	52
20	17	17
21	17	24
22	17	99
23	17	94
0	18	11
1	18	3
2	18	3
3	18	0
4	18	11
5	18	13
6	18	18
7	18	35
8	18	16
9	18	32
10	18	18
11	18	32
12	18	25
13	18	41
14	18	28
15	18	32
16	18	35
17	18	30
18	18	46
19	18	88
20	18	48
21	18	21
22	18	8
23	18	13
0	19	0
1	19	0
2	19	0
3	19	0
4	19	0
5	19	0
6	19	0
7	19	0
8	19	0
9	19	0
10	19	0
11	19	0
12	19	0
13	19	0
14	19	0
15	19	0
16	19	0
17	19	112
18	19	112
19	19	0
20	19	0
21	19	0
22	19	0
23	19	112
0	20	0
1	20	25
2	20	0
3	20	0
4	20	0
5	20	0
6	20	48
7	20	0
8	20	48
9	20	25
10	20	0
11	20	0
12	20	25
13	20	68
14	20	0
15	20	0
16	20	0
17	20	25
18	20	0
19	20	25
20	20	0
21	20	0
22	20	0
23	20	0
0	21	0
1	21	0
2	21	0
3	21	0
4	21	0
5	21	0
6	21	0
7	21	0
8	21	0
9	21	0
10	21	0
11	21	0
12	21	0
13	21	0
14	21	0
15	21	123
16	21	0
17	21	0
18	21	0
19	21	0
20	21	0
21	21	0
22	21	0
23	21	123
0	22	0
1	22	0
2	22	0
3	22	9
4	22	12
5	22	6
6	22	34
7	22	42
8	22	23
9	22	26
10	22	31
11	22	36
12	22	29
13	22	15
14	22	21
15	22	36
16	22	58
17	22	23
18	22	51
19	22	49
20	22	54
21	22	12
22	22	12
23	22	6
0	23	0
1	23	0
2	23	0
3	23	0
4	23	0
5	23	16
6	23	50
7	23	30
8	23	23
9	23	16
10	23	23
11	23	37
12	23	37
13	23	68
14	23	23
15	23	37
