Counts for Samsung(12) in Nigeria(30):
Hour	Location Index	Count
0	0	0
1	0	0
2	0	17
3	0	17
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	32
11	0	17
12	0	17
13	0	32
14	0	0
15	0	17
16	0	0
17	0	17
18	0	17
19	0	17
20	0	0
21	0	0
22	0	17
23	0	0
0	1	0
1	1	0
2	1	0
3	1	0
4	1	0
5	1	0
6	1	0
7	1	0
8	1	0
9	1	0
10	1	0
11	1	0
12	1	0
13	1	0
14	1	0
15	1	0
16	1	0
17	1	0
18	1	0
19	1	31
20	1	58
21	1	31
22	1	0
23	1	31
0	2	0
1	2	0
2	2	0
3	2	0
4	2	0
5	2	0
6	2	88
7	2	0
8	2	0
9	2	0
10	2	0
11	2	0
12	2	0
13	2	34
14	2	0
15	2	34
16	2	0
17	2	0
18	2	0
19	2	0
20	2	0
21	2	0
22	2	0
23	2	110
0	3	2
1	3	7
2	3	3
3	3	1
4	3	10
5	3	7
6	3	11
7	3	15
8	3	16
9	3	17
10	3	16
11	3	17
12	3	14
13	3	8
14	3	29
15	3	13
16	3	7
17	3	11
18	3	12
19	3	18
20	3	15
21	3	10
22	3	15
23	3	8
0	4	3
1	4	2
2	4	3
3	4	5
4	4	4
5	4	8
6	4	18
7	4	8
8	4	7
9	4	12
10	4	17
11	4	15
12	4	20
13	4	12
14	4	10
15	4	9
16	4	9
17	4	17
18	4	12
19	4	18
20	4	16
21	4	14
22	4	8
23	4	6
0	5	0
1	5	0
2	5	0
3	5	0
4	5	0
5	5	0
6	5	0
7	5	0
8	5	0
9	5	0
10	5	0
11	5	0
12	5	0
13	5	0
14	5	0
15	5	0
16	5	0
17	5	0
18	5	109
19	5	0
20	5	0
21	5	0
22	5	0
23	5	0
0	6	0
1	6	0
2	6	0
3	6	0
4	6	0
5	6	0
6	6	0
7	6	0
8	6	0
9	6	0
10	6	0
11	6	0
12	6	0
13	6	0
14	6	0
15	6	0
16	6	0
17	6	0
18	6	54
19	6	29
20	6	77
21	6	0
22	6	29
23	6	0
0	7	0
1	7	0
2	7	0
3	7	0
4	7	0
5	7	0
6	7	0
7	7	0
8	7	0
9	7	145
10	7	0
11	7	0
12	7	0
13	7	0
14	7	0
15	7	0
16	7	0
17	7	0
18	7	0
19	7	0
20	7	0
21	7	0
22	7	0
23	7	0
0	8	0
1	8	0
2	8	0
3	8	0
4	8	0
5	8	0
6	8	123
7	8	0
8	8	0
9	8	0
10	8	72
11	8	72
12	8	0
13	8	0
14	8	0
15	8	72
16	8	0
17	8	72
18	8	123
19	8	0
20	8	0
21	8	0
22	8	0
23	8	0
0	9	2
1	9	2
2	9	2
3	9	3
4	9	3
5	9	4
6	9	4
7	9	4
8	9	4
9	9	4
10	9	5
11	9	5
12	9	5
13	9	6
14	9	5
15	9	5
16	9	5
17	9	4
18	9	4
19	9	3
20	9	6
21	9	5
22	9	4
23	9	2
0	10	0
1	10	0
2	10	0
3	10	0
4	10	0
5	10	0
6	10	0
7	10	0
8	10	0
9	10	0
10	10	0
11	10	0
12	10	0
13	10	0
14	10	0
15	10	0
16	10	0
17	10	0
18	10	0
19	10	0
20	10	0
21	10	0
22	10	0
23	10	0
0	11	0
1	11	0
2	11	16
3	11	16
4	11	0
5	11	0
6	11	8
7	11	16
8	11	0
9	11	0
10	11	8
11	11	0
12	11	16
13	11	0
14	11	0
15	11	8
16	11	0
17	11	58
18	11	16
19	11	0
20	11	8
21	11	8
22	11	16
23	11	0
0	12	0
1	12	0
2	12	0
3	12	0
4	12	0
5	12	0
6	12	0
7	12	77
8	12	77
9	12	0
10	12	167
11	12	77
12	12	0
13	12	0
14	12	0
15	12	0
16	12	0
17	12	0
18	12	0
19	12	0
20	12	0
21	12	0
22	12	0
23	12	0
0	13	0
1	13	24
2	13	0
3	13	0
4	13	0
5	13	24
6	13	0
7	13	0
8	13	24
9	13	0
10	13	0
11	13	0
12	13	46
13	13	24
14	13	0
15	13	0
16	13	24
17	13	0
18	13	46
19	13	0
20	13	46
21	13	0
22	13	0
23	13	0
0	14	0
1	14	0
2	14	0
3	14	0
4	14	0
5	14	0
6	14	0
7	14	0
8	14	0
9	14	0
10	14	0
11	14	0
12	14	112
13	14	0
14	14	0
15	14	0
16	14	0
17	14	0
18	14	0
19	14	0
20	14	0
21	14	0
22	14	0
23	14	0
0	15	61
1	15	0
2	15	0
3	15	0
4	15	0
5	15	0
6	15	33
7	15	0
8	15	0
9	15	0
10	15	33
11	15	61
12	15	0
13	15	0
14	15	86
15	15	33
16	15	33
17	15	33
18	15	0
19	15	61
20	15	0
21	15	0
22	15	0
23	15	0
0	16	0
1	16	0
2	16	0
3	16	0
4	16	0
5	16	0
6	16	0
7	16	0
8	16	0
9	16	0
10	16	0
11	16	0
12	16	0
13	16	0
14	16	0
15	16	0
16	16	0
17	16	0
18	16	0
19	16	0
20	16	85
21	16	0
22	16	0
23	16	0
0	17	0
1	17	0
2	17	0
3	17	0
4	17	18
5	17	0
6	17	0
7	17	0
8	17	0
9	17	0
10	17	0
11	17	0
12	17	18
13	17	0
14	17	18
15	17	0
16	17	0
17	17	0
18	17	18
19	17	18
20	17	49
21	17	34
22	17	63
23	17	0
0	18	35
1	18	0
2	18	0
3	18	16
4	18	0
5	18	44
6	18	35
7	18	0
8	18	11
9	18	16
10	18	0
11	18	6
12	18	21
13	18	6
14	18	6
15	18	39
16	18	0
17	18	6
18	18	11
19	18	6
20	18	6
21	18	21
22	18	25
23	18	0
0	19	3
1	19	3
2	19	3
3	19	3
4	19	5
5	19	9
6	19	12
7	19	12
8	19	11
9	19	11
10	19	11
11	19	11
12	19	11
13	19	10
14	19	10
15	19	10
16	19	11
17	19	11
18	19	12
19	19	12
20	19	14
21	19	12
22	19	10
23	19	6
0	20	0
1	20	0
2	20	0
3	20	0
4	20	0
5	20	0
6	20	0
7	20	0
8	20	0
9	20	0
10	20	0
11	20	0
12	20	0
13	20	0
14	20	0
15	20	0
16	20	0
17	20	0
18	20	0
19	20	0
20	20	0
21	20	0
22	20	0
23	20	0
0	21	0
1	21	0
2	21	0
3	21	0
4	21	0
5	21	17
6	21	0
7	21	0
8	21	0
9	21	0
10	21	17
11	21	17
12	21	17
13	21	33
14	21	17
15	21	0
16	21	33
17	21	33
18	21	0
19	21	0
20	21	0
21	21	0
22	21	0
23	21	0
0	22	8
1	22	0
2	22	0
3	22	0
4	22	4
5	22	8
6	22	0
7	22	0
8	22	4
9	22	11
10	22	4
11	22	18
12	22	18
13	22	15
14	22	15
15	22	21
16	22	0
17	22	0
18	22	28
19	22	21
20	22	15
21	22	0
22	22	8
23	22	4
0	23	0
1	23	0
2	23	0
3	23	0
4	23	0
5	23	0
6	23	24
7	23	0
8	23	35
9	23	0
10	23	13
11	23	13
12	23	24
13	23	45
14	23	13
