Counts for Apple(2) in Nigeria(30):
Hour	Location Index	Count
0	0	0
1	0	17
2	0	0
3	0	47
4	0	0
5	0	32
6	0	0
7	0	0
8	0	17
9	0	0
10	0	0
11	0	32
12	0	47
13	0	0
14	0	0
15	0	47
16	0	17
17	0	0
18	0	17
19	0	60
20	0	60
21	0	17
22	0	0
23	0	0
0	1	0
1	1	0
2	1	0
3	1	0
4	1	137
5	1	0
6	1	31
7	1	0
8	1	31
9	1	31
10	1	31
11	1	0
12	1	0
13	1	0
14	1	31
15	1	0
16	1	31
17	1	0
18	1	103
19	1	58
20	1	0
21	1	0
22	1	121
23	1	58
0	2	0
1	2	0
2	2	0
3	2	63
4	2	0
5	2	0
6	2	0
7	2	0
8	2	34
9	2	0
10	2	0
11	2	0
12	2	0
13	2	0
14	2	63
15	2	0
16	2	0
17	2	34
18	2	34
19	2	110
20	2	34
21	2	0
22	2	34
23	2	34
0	3	11
1	3	2
2	3	3
3	3	3
4	3	7
5	3	12
6	3	16
7	3	22
8	3	14
9	3	17
10	3	20
11	3	17
12	3	16
13	3	16
14	3	16
15	3	21
16	3	10
17	3	26
18	3	19
19	3	23
20	3	18
21	3	21
22	3	19
23	3	7
0	4	6
1	4	5
2	4	6
3	4	5
4	4	10
5	4	15
6	4	25
7	4	18
8	4	19
9	4	18
10	4	38
11	4	23
12	4	17
13	4	25
14	4	19
15	4	16
16	4	22
17	4	18
18	4	23
19	4	26
20	4	30
21	4	27
22	4	21
23	4	10
0	5	0
1	5	0
2	5	0
3	5	0
4	5	0
5	5	0
6	5	0
7	5	0
8	5	43
9	5	0
10	5	0
11	5	0
12	5	0
13	5	43
14	5	0
15	5	43
16	5	79
17	5	0
18	5	171
19	5	109
20	5	43
21	5	0
22	5	0
23	5	0
0	6	0
1	6	0
2	6	0
3	6	0
4	6	29
5	6	0
6	6	29
7	6	0
8	6	0
9	6	0
10	6	0
11	6	0
12	6	0
13	6	77
14	6	0
15	6	0
16	6	0
17	6	96
18	6	54
19	6	0
20	6	54
21	6	29
22	6	54
23	6	29
0	7	0
1	7	0
2	7	0
3	7	0
4	7	0
5	7	0
6	7	0
7	7	0
8	7	0
9	7	0
10	7	0
11	7	0
12	7	0
13	7	0
14	7	208
15	7	0
16	7	88
17	7	0
18	7	0
19	7	0
20	7	0
21	7	0
22	7	0
23	7	0
0	8	0
1	8	0
2	8	0
3	8	0
4	8	0
5	8	0
6	8	0
7	8	0
8	8	0
9	8	0
10	8	0
11	8	72
12	8	0
13	8	0
14	8	187
15	8	0
16	8	0
17	8	0
18	8	0
19	8	0
20	8	0
21	8	0
22	8	0
23	8	0
0	9	4
1	9	2
2	9	2
3	9	3
4	9	5
5	9	8
6	9	10
7	9	9
8	9	10
9	9	9
10	9	9
11	9	9
12	9	9
13	9	9
14	9	8
15	9	9
16	9	9
17	9	10
18	9	10
19	9	11
20	9	10
21	9	10
22	9	9
23	9	6
0	10	0
1	10	0
2	10	0
3	10	0
4	10	0
5	10	0
6	10	0
7	10	0
8	10	0
9	10	0
10	10	82
11	10	0
12	10	0
13	10	0
14	10	0
15	10	0
16	10	0
17	10	0
18	10	0
19	10	0
20	10	0
21	10	201
22	10	0
23	10	0
0	11	8
1	11	0
2	11	8
3	11	0
4	11	0
5	11	16
6	11	0
7	11	0
8	11	8
9	11	8
10	11	8
11	11	45
12	11	24
13	11	8
14	11	8
15	11	24
16	11	8
17	11	38
18	11	0
19	11	38
20	11	70
21	11	24
22	11	8
23	11	45
0	12	0
1	12	0
2	12	0
3	12	0
4	12	0
5	12	0
6	12	0
7	12	0
8	12	0
9	12	0
10	12	0
11	12	0
12	12	0
13	12	77
14	12	0
15	12	0
16	12	0
17	12	0
18	12	0
19	12	0
20	12	0
21	12	0
22	12	0
23	12	0
0	13	0
1	13	0
2	13	0
3	13	0
4	13	0
5	13	0
6	13	24
7	13	0
8	13	0
9	13	0
10	13	0
11	13	0
12	13	46
13	13	0
14	13	0
15	13	65
16	13	0
17	13	0
18	13	0
19	13	0
20	13	46
21	13	0
22	13	0
23	13	0
0	14	0
1	14	0
2	14	0
3	14	0
4	14	0
5	14	0
6	14	0
7	14	0
8	14	0
9	14	0
10	14	0
11	14	0
12	14	0
13	14	0
14	14	0
15	14	0
16	14	112
17	14	0
18	14	0
19	14	112
20	14	0
21	14	112
22	14	0
23	14	112
0	15	0
1	15	0
2	15	0
3	15	0
4	15	0
5	15	0
6	15	0
7	15	0
8	15	0
9	15	0
10	15	0
11	15	0
12	15	33
13	15	0
14	15	0
15	15	86
16	15	0
17	15	0
18	15	33
19	15	0
20	15	33
21	15	0
22	15	0
23	15	0
0	16	0
1	16	0
2	16	0
3	16	0
4	16	47
5	16	0
6	16	0
7	16	0
8	16	0
9	16	0
10	16	85
11	16	0
12	16	0
13	16	116
14	16	0
15	16	0
16	16	141
17	16	0
18	16	0
19	16	85
20	16	47
21	16	0
22	16	85
23	16	0
0	17	0
1	17	0
2	17	18
3	17	18
4	17	0
5	17	0
6	17	0
7	17	18
8	17	0
9	17	18
10	17	18
11	17	34
12	17	18
13	17	18
14	17	49
15	17	0
16	17	63
17	17	0
18	17	49
19	17	49
20	17	18
21	17	49
22	17	63
23	17	0
0	18	0
1	18	0
2	18	16
3	18	6
4	18	6
5	18	21
6	18	11
7	18	16
8	18	11
9	18	11
10	18	16
11	18	39
12	18	0
13	18	21
14	18	35
15	18	30
16	18	21
17	18	16
18	18	16
19	18	25
20	18	25
21	18	44
22	18	83
23	18	21
0	19	4
1	19	3
2	19	3
3	19	3
4	19	5
5	19	7
6	19	10
7	19	9
8	19	9
9	19	9
10	19	10
11	19	9
12	19	9
13	19	9
14	19	9
15	19	9
16	19	10
17	19	10
18	19	11
19	19	11
20	19	12
21	19	12
22	19	9
23	19	6
0	20	0
1	20	0
2	20	0
3	20	0
4	20	0
5	20	0
6	20	0
7	20	0
8	20	0
9	20	0
10	20	0
11	20	0
12	20	0
13	20	253
14	20	0
15	20	0
16	20	0
17	20	0
18	20	0
19	20	0
20	20	0
21	20	0
22	20	0
23	20	0
0	21	0
1	21	0
2	21	0
3	21	17
4	21	0
5	21	17
6	21	0
7	21	0
8	21	0
9	21	17
10	21	33
11	21	33
12	21	17
13	21	0
14	21	61
15	21	61
16	21	0
17	21	61
18	21	47
19	21	0
20	21	0
21	21	74
22	21	0
23	21	0
0	22	0
1	22	0
2	22	0
3	22	0
4	22	4
5	22	0
6	22	0
7	22	18
8	22	0
9	22	0
10	22	15
11	22	11
12	22	8
13	22	11
14	22	0
15	22	0
16	22	0
17	22	4
18	22	4
19	22	8
20	22	15
21	22	0
22	22	0
23	22	0
0	23	0
1	23	0
2	23	13
3	23	13
4	23	0
5	23	0
6	23	24
7	23	13
8	23	13
9	23	55
10	23	35
11	23	13
12	23	0
13	23	45
14	23	24
15	23	0
16	23	0
17	23	24
18	23	45
19	23	24
20	23	24
21	23	35
22	23	13
23	23	24
0	24	0
1	24	0
2	24	0
3	24	0
4	24	0
5	24	0
6	24	0
7	24	0
8	24	0
9	24	0
10	24	0
11	24	0
12	24	0
13	24	0
14	24	0
15	24	0
16	24	0
17	24	0
18	24	0
19	24	0
20	24	0
21	24	0
22	24	0
23	24	0
0	25	0
1	25	0
2	25	0
3	25	0
4	25	0
5	25	0
6	25	0
7	25	0
8	25	0
9	25	0
10	25	0
11	25	58
12	25	103
13	25	0
14	25	0
15	25	0
16	25	0
17	25	0
18	25	0
19	25	0
20	25	0
21	25	0
22	25	0
23	25	0
0	26	7
1	26	0
2	26	14
3	26	14
4	26	34
5	26	40
6	26	0
7	26	51
8	26	57
9	26	14
10	26	21
11	26	14
12	26	14
13	26	21
14	26	14
15	26	14
16	26	27
17	26	7
18	26	21
19	26	27
20	26	27
21	26	34
22	26	7
23	26	14
0	27	28
1	27	0
2	27	0
3	27	10
4	27	19
5	27	37
6	27	60
7	27	45
8	27	19
9	27	37
10	27	53
11	27	28
12	27	10
13	27	37
14	27	19
15	27	19
16	27	10
17	27	28
18	27	19
19	27	19
20	27	10
21	27	28
22	27	19
23	27	28
0	28	0
1	28	0
2	28	0
3	28	0
4	28	0
5	28	0
6	28	0
7	28	0
8	28	0
9	28	0
10	28	0
11	28	0
12	28	0
13	28	0
14	28	0
15	28	0
16	28	0
17	28	0
18	28	0
19	28	0
20	28	0
21	28	0
22	28	0
23	28	0
0	29	0
1	29	0
2	29	0
3	29	0
4	29	0
5	29	0
6	29	0
7	29	0
8	29	0
