Counts for Samsung(12) in Norway(31):
Hour	Location Index	Count
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
0	1	9
1	1	0
2	1	2
3	1	0
4	1	2
5	1	7
6	1	2
7	1	4
8	1	4
9	1	6
10	1	6
11	1	4
12	1	9
13	1	4
14	1	16
15	1	14
16	1	12
17	1	7
18	1	20
19	1	11
20	1	7
21	1	17
22	1	11
23	1	0
0	2	4
1	2	0
2	2	0
3	2	4
4	2	0
5	2	4
6	2	10
7	2	0
8	2	4
9	2	10
10	2	8
11	2	10
12	2	14
13	2	8
14	2	8
15	2	8
16	2	10
17	2	16
18	2	26
19	2	16
20	2	12
21	2	12
22	2	12
23	2	16
0	3	0
1	3	0
2	3	0
3	3	0
4	3	0
5	3	0
6	3	0
7	3	0
8	3	0
9	3	0
10	3	0
11	3	0
12	3	0
13	3	0
14	3	0
15	3	58
16	3	0
17	3	58
18	3	0
19	3	0
20	3	0
21	3	0
22	3	0
23	3	0
0	4	6
1	4	0
2	4	4
3	4	6
4	4	4
5	4	2
6	4	7
7	4	14
8	4	11
9	4	7
10	4	12
11	4	6
12	4	28
13	4	14
14	4	14
15	4	32
16	4	27
17	4	25
18	4	22
19	4	22
20	4	17
21	4	25
22	4	25
23	4	2
0	5	6
1	5	4
2	5	4
3	5	4
4	5	8
5	5	2
6	5	9
7	5	10
8	5	12
9	5	30
10	5	13
11	5	15
12	5	6
13	5	20
14	5	17
15	5	23
16	5	22
17	5	19
18	5	26
19	5	24
20	5	41
21	5	15
22	5	10
23	5	8
0	6	3
1	6	2
2	6	1
3	6	0
4	6	2
5	6	7
6	6	7
7	6	10
8	6	13
9	6	15
10	6	8
11	6	8
12	6	9
13	6	12
14	6	12
15	6	15
16	6	11
17	6	17
18	6	18
19	6	14
20	6	12
21	6	17
22	6	10
23	6	5
0	7	0
1	7	2
2	7	0
3	7	0
4	7	3
5	7	7
6	7	11
7	7	11
8	7	13
9	7	10
10	7	15
11	7	13
12	7	11
13	7	9
14	7	12
15	7	8
16	7	25
17	7	21
18	7	11
19	7	16
20	7	15
21	7	18
22	7	9
23	7	5
0	8	4
1	8	2
2	8	1
3	8	2
4	8	3
5	8	6
6	8	7
7	8	12
8	8	11
9	8	11
10	8	10
11	8	11
12	8	11
13	8	10
14	8	13
15	8	13
16	8	11
17	8	15
18	8	17
19	8	18
20	8	16
21	8	14
22	8	9
23	8	7
0	9	0
1	9	0
2	9	0
3	9	0
4	9	0
5	9	0
6	9	0
7	9	21
8	9	40
9	9	0
10	9	0
11	9	0
12	9	0
13	9	0
14	9	0
15	9	40
16	9	58
17	9	40
18	9	89
19	9	58
20	9	40
21	9	0
22	9	0
23	9	0
0	10	0
1	10	0
2	10	0
3	10	0
4	10	0
5	10	0
6	10	10
7	10	0
8	10	0
9	10	10
10	10	0
11	10	10
12	10	18
13	10	0
14	10	0
15	10	10
16	10	0
17	10	0
18	10	0
19	10	0
20	10	0
21	10	0
22	10	10
23	10	10
0	11	0
1	11	0
2	11	0
3	11	0
4	11	0
5	11	18
6	11	0
7	11	0
8	11	0
9	11	18
10	11	35
11	11	0
12	11	79
13	11	65
14	11	35
15	11	18
16	11	0
17	11	0
18	11	0
19	11	18
20	11	0
21	11	0
22	11	0
23	11	0
0	12	0
1	12	0
2	12	3
3	12	7
4	12	15
5	12	5
6	12	9
7	12	19
8	12	13
9	12	13
10	12	13
11	12	20
12	12	7
13	12	9
14	12	22
15	12	15
16	12	13
17	12	20
18	12	15
19	12	22
20	12	17
21	12	17
22	12	7
23	12	5
0	13	0
1	13	0
2	13	0
3	13	0
4	13	0
5	13	11
6	13	0
7	13	11
8	13	30
9	13	11
10	13	0
11	13	30
12	13	0
13	13	30
14	13	21
15	13	11
16	13	11
17	13	21
18	13	21
19	13	21
20	13	11
21	13	0
22	13	11
23	13	11
0	14	4
1	14	0
2	14	0
3	14	0
4	14	0
5	14	0
6	14	17
7	14	4
8	14	11
9	14	11
10	14	4
11	14	7
12	14	4
13	14	4
14	14	0
15	14	14
16	14	30
17	14	23
18	14	26
19	14	20
20	14	11
21	14	26
22	14	20
23	14	7
0	15	7
1	15	1
2	15	2
3	15	2
4	15	5
5	15	2
6	15	12
7	15	15
8	15	17
9	15	19
10	15	11
11	15	20
12	15	21
13	15	15
14	15	21
15	15	17
16	15	20
17	15	23
18	15	24
19	15	17
20	15	28
21	15	22
22	15	11
23	15	8
0	16	21
1	16	0
2	16	8
3	16	0
4	16	0
5	16	15
6	16	15
7	16	21
8	16	8
9	16	15
10	16	15
11	16	28
12	16	8
13	16	21
14	16	0
15	16	0
16	16	8
17	16	21
18	16	28
19	16	21
20	16	28
21	16	0
22	16	0
23	16	8
0	17	0
1	17	0
2	17	0
3	17	0
4	17	0
5	17	0
6	17	0
7	17	0
8	17	11
9	17	21
10	17	11
11	17	30
12	17	21
13	17	0
14	17	11
15	17	21
16	17	48
17	17	0
18	17	0
19	17	48
20	17	11
21	17	39
22	17	30
23	17	0
0	18	2
1	18	0
2	18	0
3	18	0
4	18	2
5	18	4
6	18	16
7	18	10
8	18	12
9	18	6
10	18	12
11	18	12
12	18	6
13	18	14
14	18	16
15	18	19
16	18	21
17	18	18
18	18	21
19	18	30
20	18	23
21	18	10
22	18	18
23	18	2
0	19	9
1	19	5
2	19	13
3	19	0
4	19	0
5	19	0
6	19	25
7	19	13
8	19	13
9	19	13
10	19	9
11	19	5
12	19	17
13	19	5
14	19	17
15	19	29
16	19	37
17	19	41
18	19	13
19	19	5
20	19	21
21	19	13
22	19	25
23	19	5
0	20	0
1	20	0
2	20	4
3	20	0
4	20	4
5	20	6
6	20	15
7	20	9
8	20	37
9	20	26
10	20	29
11	20	26
12	20	45
13	20	29
14	20	29
15	20	18
16	20	32
17	20	26
18	20	42
19	20	26
20	20	42
21	20	12
22	20	4
23	20	0
0	21	0
1	21	0
2	21	0
3	21	9
4	21	0
5	21	0
6	21	14
7	21	5
8	21	5
9	21	9
10	21	5
11	21	18
12	21	9
13	21	5
14	21	26
15	21	14
16	21	5
17	21	18
18	21	22
19	21	34
20	21	0
21	21	18
22	21	5
23	21	0
0	22	26
1	22	31
2	22	24
3	22	31
4	22	33
5	22	53
6	22	26
7	22	19
8	22	10
9	22	26
10	22	31
11	22	28
12	22	35
13	22	51
14	22	28
15	22	24
16	22	19
17	22	41
18	22	57
19	22	37
20	22	39
21	22	41
22	22	19
23	22	26
0	23	0
1	23	0
2	23	0
3	23	0
4	23	0
5	23	0
6	23	0
7	23	61
8	23	0
9	23	0
10	23	0
11	23	61
12	23	0
13	23	0
14	23	0
15	23	0
