Counts for Apple(2) in Norway(31):
Hour	Location Index	Count
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	201
8	0	0
9	0	0
10	0	0
11	0	0
12	0	201
13	0	0
14	0	0
15	0	0
16	0	201
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
0	1	9
1	1	2
2	1	6
3	1	4
4	1	20
5	1	17
6	1	19
7	1	39
8	1	30
9	1	50
10	1	46
11	1	37
12	1	47
13	1	30
14	1	54
15	1	42
16	1	49
17	1	64
18	1	37
19	1	88
20	1	67
21	1	43
22	1	30
23	1	25
0	2	12
1	2	4
2	2	8
3	2	2
4	2	8
5	2	21
6	2	35
7	2	35
8	2	23
9	2	28
10	2	48
11	2	42
12	2	40
13	2	26
14	2	37
15	2	50
16	2	40
17	2	57
18	2	53
19	2	78
20	2	79
21	2	56
22	2	43
23	2	16
0	3	0
1	3	0
2	3	0
3	3	0
4	3	0
5	3	0
6	3	0
7	3	0
8	3	58
9	3	0
10	3	58
11	3	0
12	3	137
13	3	58
14	3	0
15	3	58
16	3	0
17	3	103
18	3	58
19	3	58
20	3	0
21	3	58
22	3	58
23	3	0
0	4	7
1	4	2
2	4	0
3	4	0
4	4	2
5	4	24
6	4	16
7	4	24
8	4	36
9	4	42
10	4	36
11	4	32
12	4	30
13	4	46
14	4	53
15	4	57
16	4	38
17	4	48
18	4	56
19	4	57
20	4	51
21	4	36
22	4	12
23	4	14
0	5	4
1	5	3
2	5	4
3	5	6
4	5	4
5	5	19
6	5	19
7	5	29
8	5	30
9	5	34
10	5	32
11	5	38
12	5	26
13	5	29
14	5	50
15	5	31
16	5	40
17	5	49
18	5	47
19	5	49
20	5	49
21	5	43
22	5	22
23	5	15
0	6	8
1	6	5
2	6	3
3	6	5
4	6	14
5	6	21
6	6	33
7	6	33
8	6	42
9	6	32
10	6	37
11	6	42
12	6	33
13	6	33
14	6	38
15	6	51
16	6	49
17	6	53
18	6	60
19	6	70
20	6	64
21	6	50
22	6	29
23	6	15
0	7	9
1	7	5
2	7	5
3	7	13
4	7	10
5	7	22
6	7	36
7	7	30
8	7	31
9	7	24
10	7	33
11	7	43
12	7	39
13	7	36
14	7	49
15	7	43
16	7	59
17	7	55
18	7	66
19	7	55
20	7	61
21	7	44
22	7	34
23	7	13
0	8	10
1	8	6
2	8	3
3	8	5
4	8	11
5	8	21
6	8	30
7	8	37
8	8	41
9	8	38
10	8	38
11	8	41
12	8	37
13	8	38
14	8	44
15	8	44
16	8	43
17	8	48
18	8	55
19	8	65
20	8	57
21	8	49
22	8	30
23	8	18
0	9	0
1	9	0
2	9	0
3	9	0
4	9	21
5	9	0
6	9	58
7	9	0
8	9	0
9	9	89
10	9	0
11	9	40
12	9	21
13	9	40
14	9	40
15	9	21
16	9	0
17	9	74
18	9	21
19	9	21
20	9	58
21	9	115
22	9	21
23	9	0
0	10	10
1	10	0
2	10	0
3	10	0
4	10	10
5	10	10
6	10	72
7	10	35
8	10	84
9	10	84
10	10	43
11	10	50
12	10	18
13	10	72
14	10	27
15	10	18
16	10	50
17	10	43
18	10	43
19	10	78
20	10	90
21	10	27
22	10	50
23	10	10
0	11	113
1	11	0
2	11	0
3	11	0
4	11	0
5	11	0
6	11	0
7	11	0
8	11	18
9	11	18
10	11	0
11	11	0
12	11	0
13	11	0
14	11	18
15	11	0
16	11	0
17	11	18
18	11	0
19	11	35
20	11	65
21	11	170
22	11	79
23	11	113
0	12	15
1	12	3
2	12	3
3	12	3
4	12	7
5	12	20
6	12	26
7	12	19
8	12	24
9	12	37
10	12	47
11	12	32
12	12	47
13	12	39
14	12	42
15	12	49
16	12	44
17	12	41
18	12	54
19	12	59
20	12	68
21	12	49
22	12	22
23	12	20
0	13	11
1	13	11
2	13	0
3	13	0
4	13	0
5	13	39
6	13	11
7	13	39
8	13	0
9	13	0
10	13	21
11	13	39
12	13	39
13	13	48
14	13	57
15	13	30
16	13	48
17	13	65
18	13	57
19	13	73
20	13	30
21	13	48
22	13	39
23	13	39
0	14	26
1	14	7
2	14	4
3	14	11
4	14	14
5	14	30
6	14	17
7	14	58
8	14	36
9	14	33
10	14	17
11	14	30
12	14	14
13	14	41
14	14	44
15	14	33
16	14	36
17	14	47
18	14	55
19	14	61
20	14	94
21	14	26
22	14	36
23	14	23
0	15	7
1	15	6
2	15	3
3	15	1
4	15	7
5	15	18
6	15	21
7	15	36
8	15	37
9	15	31
10	15	31
11	15	31
12	15	36
13	15	30
14	15	30
15	15	47
16	15	46
17	15	45
18	15	53
19	15	56
20	15	60
21	15	37
22	15	30
23	15	11
0	16	0
1	16	0
2	16	0
3	16	0
4	16	8
5	16	21
6	16	28
7	16	21
8	16	8
9	16	58
10	16	28
11	16	58
12	16	47
13	16	47
14	16	40
15	16	74
16	16	28
17	16	52
18	16	21
19	16	40
20	16	79
21	16	52
22	16	28
23	16	28
0	17	0
1	17	0
2	17	0
3	17	0
4	17	11
5	17	21
6	17	0
7	17	21
8	17	30
9	17	39
10	17	64
11	17	30
12	17	21
13	17	21
14	17	21
15	17	48
16	17	48
17	17	30
18	17	64
19	17	56
20	17	30
21	17	72
22	17	56
23	17	30
0	18	19
1	18	4
2	18	2
3	18	8
4	18	8
5	18	16
6	18	37
7	18	21
8	18	38
9	18	45
10	18	30
11	18	25
12	18	42
13	18	23
14	18	37
15	18	71
16	18	42
17	18	59
18	18	54
19	18	47
20	18	40
21	18	56
22	18	16
23	18	8
0	19	0
1	19	0
2	19	5
3	19	9
4	19	17
5	19	5
6	19	37
7	19	58
8	19	44
9	19	55
10	19	55
11	19	41
12	19	33
13	19	58
14	19	9
15	19	52
16	19	29
17	19	37
18	19	13
19	19	29
20	19	44
21	19	41
22	19	29
23	19	17
0	20	12
1	20	0
2	20	0
3	20	0
4	20	4
5	20	18
6	20	37
7	20	21
8	20	12
9	20	29
10	20	26
11	20	12
12	20	45
13	20	26
14	20	45
15	20	57
16	20	32
17	20	39
18	20	24
19	20	37
20	20	52
21	20	42
22	20	26
23	20	9
0	21	5
1	21	9
2	21	0
3	21	0
4	21	5
5	21	45
6	21	18
7	21	38
8	21	26
9	21	49
10	21	45
11	21	18
12	21	14
13	21	59
14	21	34
15	21	41
16	21	30
17	21	59
18	21	76
19	21	38
20	21	66
21	21	52
22	21	14
23	21	14
0	22	3
1	22	0
2	22	0
3	22	5
4	22	10
5	22	10
6	22	13
7	22	15
8	22	15
9	22	33
10	22	15
11	22	17
12	22	28
13	22	15
14	22	13
15	22	10
16	22	13
17	22	17
18	22	13
19	22	28
20	22	10
21	22	0
22	22	5
23	22	3
0	23	0
1	23	0
2	23	0
3	23	0
4	23	0
5	23	0
6	23	169
7	23	107
8	23	142
9	23	0
10	23	107
11	23	0
12	23	107
13	23	0
14	23	0
15	23	0
