Counts for Samsung(12) in Pakistan(32):
Hour	Location Index	Count
0	0	0
1	0	3
2	0	5
3	0	7
4	0	5
5	0	10
6	0	19
7	0	16
8	0	14
9	0	45
10	0	25
11	0	27
12	0	21
13	0	23
14	0	27
15	0	21
16	0	23
17	0	19
18	0	7
19	0	7
20	0	5
21	0	0
22	0	0
23	0	0
0	1	0
1	1	0
2	1	0
3	1	14
4	1	39
5	1	27
6	1	0
7	1	39
8	1	27
9	1	14
10	1	0
11	1	0
12	1	0
13	1	27
14	1	0
15	1	14
16	1	61
17	1	14
18	1	27
19	1	0
20	1	0
21	1	0
22	1	0
23	1	0
0	2	0
1	2	18
2	2	35
3	2	0
4	2	0
5	2	50
6	2	18
7	2	18
8	2	0
9	2	18
10	2	0
11	2	35
12	2	18
13	2	18
14	2	0
15	2	18
16	2	18
17	2	0
18	2	18
19	2	35
20	2	18
21	2	0
22	2	0
23	2	0
0	3	0
1	3	0
2	3	0
3	3	0
4	3	0
5	3	21
6	3	0
7	3	58
8	3	0
9	3	0
10	3	0
11	3	0
12	3	21
13	3	21
14	3	40
15	3	40
16	3	0
17	3	0
18	3	0
19	3	21
20	3	0
21	3	0
22	3	0
23	3	0
0	4	0
1	4	0
2	4	0
3	4	55
4	4	0
5	4	0
6	4	55
7	4	0
8	4	0
9	4	0
10	4	0
11	4	0
12	4	0
13	4	55
14	4	0
15	4	0
16	4	0
17	4	0
18	4	0
19	4	0
20	4	0
21	4	55
22	4	0
23	4	0
0	5	0
1	5	0
2	5	0
3	5	0
4	5	0
5	5	28
6	5	0
7	5	28
8	5	95
9	5	28
10	5	0
11	5	0
12	5	0
13	5	0
14	5	28
15	5	0
16	5	75
17	5	0
18	5	0
19	5	0
20	5	28
21	5	0
22	5	0
23	5	0
0	6	0
1	6	11
2	6	0
3	6	3
4	6	0
5	6	3
6	6	6
7	6	0
8	6	11
9	6	11
10	6	16
11	6	6
12	6	0
13	6	3
14	6	6
15	6	6
16	6	3
17	6	6
18	6	11
19	6	14
20	6	6
21	6	11
22	6	16
23	6	3
0	7	0
1	7	0
2	7	88
3	7	0
