Counts for Apple(2) in Pakistan(32):
Hour	Location Index	Count
0	0	5
1	0	0
2	0	10
3	0	3
4	0	10
5	0	19
6	0	27
7	0	12
8	0	16
9	0	33
10	0	16
11	0	21
12	0	10
13	0	39
14	0	21
15	0	7
16	0	16
17	0	31
18	0	23
19	0	16
20	0	5
21	0	7
22	0	10
23	0	3
0	1	0
1	1	0
2	1	14
3	1	14
4	1	0
5	1	0
6	1	0
7	1	14
8	1	39
9	1	14
10	1	0
11	1	27
12	1	27
13	1	14
14	1	27
15	1	39
16	1	39
17	1	39
18	1	14
19	1	27
20	1	0
21	1	0
22	1	0
23	1	0
0	2	0
1	2	0
2	2	0
3	2	0
4	2	50
5	2	90
6	2	0
7	2	0
8	2	35
9	2	35
10	2	0
11	2	35
12	2	0
13	2	18
14	2	35
15	2	0
16	2	0
17	2	18
18	2	18
19	2	0
20	2	0
21	2	0
22	2	0
23	2	0
0	3	0
1	3	0
2	3	0
3	3	0
4	3	0
5	3	0
6	3	0
7	3	21
8	3	0
9	3	0
10	3	0
11	3	21
12	3	0
13	3	0
14	3	21
15	3	58
16	3	0
17	3	21
18	3	74
19	3	0
20	3	0
21	3	0
22	3	40
23	3	0
0	4	0
1	4	0
2	4	0
3	4	0
4	4	0
5	4	0
6	4	0
7	4	0
8	4	0
9	4	55
10	4	55
11	4	0
12	4	55
13	4	55
14	4	98
15	4	55
16	4	0
17	4	0
18	4	0
19	4	0
20	4	0
21	4	0
22	4	0
23	4	0
0	5	0
1	5	0
2	5	0
3	5	0
4	5	0
5	5	0
6	5	0
7	5	28
8	5	28
9	5	0
10	5	53
11	5	28
12	5	0
13	5	28
14	5	28
15	5	0
16	5	0
17	5	0
18	5	0
19	5	0
20	5	0
21	5	0
22	5	0
23	5	0
0	6	6
1	6	14
2	6	24
3	6	21
4	6	6
5	6	0
6	6	3
7	6	14
8	6	19
9	6	8
10	6	11
11	6	6
12	6	11
13	6	6
14	6	14
15	6	11
16	6	14
17	6	8
18	6	8
19	6	31
20	6	21
21	6	33
22	6	42
23	6	38
0	7	0
1	7	0
2	7	0
3	7	0
4	7	0
5	7	0
6	7	0
7	7	0
8	7	145
9	7	0
10	7	0
11	7	0
12	7	0
13	7	0
14	7	0
15	7	0
16	7	0
17	7	183
18	7	0
19	7	0
20	7	0
21	7	0
22	7	0
23	7	0
0	8	0
1	8	10
2	8	0
3	8	0
4	8	7
5	8	19
6	8	10
7	8	7
8	8	28
9	8	7
10	8	19
11	8	31
12	8	7
13	8	19
14	8	22
15	8	13
16	8	19
17	8	7
18	8	19
19	8	25
20	8	10
21	8	10
22	8	4
23	8	4
0	9	11
1	9	13
2	9	13
3	9	15
4	9	21
5	9	15
6	9	20
7	9	27
8	9	26
9	9	31
10	9	22
11	9	32
12	9	23
13	9	31
14	9	34
15	9	33
16	9	28
17	9	32
