Counts for Samsung(12) in Philippines(33):
Hour	Location Index	Count
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
0	1	14
1	1	13
2	1	9
3	1	24
4	1	17
5	1	26
6	1	15
7	1	17
8	1	16
9	1	17
10	1	13
11	1	24
12	1	31
13	1	43
14	1	25
15	1	13
16	1	22
17	1	2
18	1	2
19	1	4
20	1	9
21	1	9
22	1	11
23	1	16
0	2	40
1	2	6
2	2	0
3	2	0
4	2	16
5	2	6
6	2	6
7	2	16
8	2	30
9	2	6
10	2	16
11	2	21
12	2	16
13	2	11
14	2	21
15	2	21
16	2	6
17	2	0
18	2	0
19	2	6
20	2	6
21	2	0
22	2	0
23	2	11
0	3	13
1	3	13
2	3	25
3	3	11
4	3	8
5	3	8
6	3	15
7	3	22
8	3	22
9	3	13
10	3	17
11	3	25
12	3	22
13	3	17
14	3	11
15	3	27
16	3	8
17	3	4
18	3	13
19	3	11
20	3	6
21	3	6
22	3	15
23	3	13
0	4	22
1	4	16
2	4	14
3	4	3
4	4	9
5	4	16
6	4	9
7	4	9
8	4	22
9	4	9
10	4	12
11	4	9
12	4	27
13	4	12
14	4	5
15	4	14
16	4	0
17	4	0
18	4	0
19	4	0
20	4	3
21	4	3
22	4	7
23	4	7
0	5	7
1	5	13
2	5	14
3	5	18
4	5	14
5	5	18
6	5	11
7	5	12
8	5	13
9	5	12
10	5	13
11	5	15
12	5	14
13	5	17
14	5	15
15	5	13
16	5	13
17	5	8
18	5	2
19	5	5
20	5	8
21	5	3
22	5	11
23	5	9
0	6	55
1	6	0
2	6	0
3	6	11
4	6	20
5	6	20
6	6	38
7	6	20
8	6	11
9	6	29
10	6	38
11	6	20
12	6	0
13	6	11
14	6	0
15	6	0
16	6	0
17	6	0
18	6	0
19	6	0
20	6	20
21	6	29
22	6	38
23	6	0
0	7	0
1	7	0
2	7	0
3	7	56
4	7	39
5	7	0
6	7	56
7	7	21
8	7	21
9	7	21
10	7	21
11	7	0
12	7	0
13	7	0
14	7	0
15	7	56
16	7	0
17	7	0
18	7	0
19	7	0
20	7	0
21	7	21
22	7	0
23	7	0
0	8	11
1	8	8
2	8	20
3	8	13
4	8	16
5	8	11
6	8	9
7	8	11
8	8	15
9	8	14
10	8	12
11	8	19
12	8	20
13	8	14
14	8	19
15	8	10
16	8	7
17	8	7
18	8	6
19	8	2
20	8	7
21	8	6
22	8	19
23	8	10
0	9	26
1	9	26
2	9	0
3	9	0
4	9	0
5	9	26
6	9	26
7	9	0
8	9	0
9	9	0
10	9	49
11	9	0
12	9	0
13	9	49
14	9	0
15	9	0
16	9	0
17	9	0
18	9	26
19	9	0
20	9	0
21	9	0
22	9	0
23	9	26
0	10	0
1	10	4
2	10	20
3	10	8
4	10	16
5	10	8
6	10	0
7	10	12
8	10	0
9	10	12
10	10	16
11	10	4
12	10	31
13	10	4
14	10	23
15	10	8
16	10	4
17	10	8
18	10	12
19	10	0
20	10	0
21	10	4
22	10	0
23	10	0
0	11	0
1	11	0
2	11	0
3	11	0
4	11	0
5	11	0
6	11	0
7	11	0
8	11	0
9	11	0
10	11	0
11	11	0
12	11	0
13	11	0
14	11	0
15	11	0
16	11	0
17	11	0
18	11	0
19	11	0
20	11	0
21	11	0
22	11	0
23	11	0
0	12	0
1	12	0
2	12	0
3	12	0
4	12	0
5	12	0
6	12	0
7	12	0
8	12	0
9	12	0
10	12	0
11	12	175
12	12	0
13	12	0
14	12	0
15	12	0
16	12	0
17	12	0
18	12	0
19	12	0
20	12	0
21	12	0
22	12	0
23	12	0
0	13	12
1	13	7
2	13	12
3	13	9
4	13	17
5	13	19
6	13	12
7	13	15
8	13	9
9	13	12
10	13	17
11	13	17
12	13	44
13	13	22
14	13	19
15	13	6
16	13	7
17	13	9
18	13	9
19	13	6
20	13	7
21	13	7
22	13	10
23	13	7
0	14	3
1	14	3
2	14	19
3	14	23
4	14	21
5	14	19
6	14	15
7	14	12
8	14	12
9	14	8
10	14	28
11	14	17
12	14	21
13	14	17
14	14	21
15	14	17
16	14	3
17	14	3
18	14	8
19	14	0
20	14	0
21	14	12
22	14	15
23	14	12
0	15	0
1	15	0
2	15	0
3	15	0
4	15	0
5	15	0
6	15	0
7	15	0
8	15	0
9	15	0
10	15	0
11	15	0
12	15	0
13	15	0
14	15	0
15	15	0
16	15	0
17	15	0
18	15	0
19	15	0
20	15	0
21	15	0
22	15	0
23	15	0
0	16	8
1	16	17
2	16	12
3	16	12
4	16	17
5	16	11
6	16	25
7	16	10
8	16	20
9	16	20
10	16	13
11	16	13
12	16	18
13	16	23
14	16	20
15	16	14
16	16	12
17	16	4
18	16	3
19	16	2
20	16	3
21	16	5
22	16	10
23	16	13
0	17	0
1	17	230
2	17	0
3	17	0
4	17	0
5	17	0
6	17	0
7	17	0
8	17	0
9	17	0
10	17	0
11	17	0
12	17	0
13	17	0
14	17	0
15	17	0
16	17	0
17	17	0
18	17	0
19	17	0
20	17	0
21	17	0
22	17	0
23	17	0
0	18	0
1	18	88
2	18	0
3	18	0
4	18	0
5	18	0
6	18	145
7	18	0
8	18	0
9	18	0
10	18	0
11	18	0
12	18	0
13	18	0
14	18	0
15	18	0
16	18	0
17	18	0
18	18	0
19	18	0
20	18	0
21	18	0
22	18	0
23	18	0
0	19	11
1	19	11
2	19	29
3	19	11
4	19	38
5	19	0
6	19	38
7	19	0
8	19	20
9	19	0
10	19	0
11	19	29
12	19	20
13	19	29
14	19	0
15	19	11
16	19	11
17	19	0
18	19	0
19	19	0
20	19	11
21	19	0
22	19	55
23	19	11
0	20	0
1	20	0
2	20	0
3	20	0
4	20	0
5	20	0
6	20	0
7	20	0
8	20	154
9	20	0
10	20	0
11	20	0
12	20	0
13	20	0
14	20	0
15	20	0
16	20	0
17	20	0
18	20	0
19	20	0
20	20	0
21	20	0
22	20	0
23	20	0
0	21	8
1	21	8
2	21	4
3	21	8
4	21	19
5	21	0
6	21	12
7	21	26
8	21	12
9	21	8
10	21	8
11	21	12
12	21	8
13	21	33
14	21	19
15	21	12
16	21	8
17	21	8
18	21	0
19	21	0
20	21	4
21	21	0
22	21	0
23	21	4
0	22	0
1	22	40
2	22	0
3	22	21
4	22	0
5	22	0
6	22	21
7	22	40
8	22	21
9	22	58
10	22	0
11	22	21
12	22	0
13	22	0
14	22	0
15	22	21
16	22	21
17	22	40
18	22	0
19	22	0
20	22	40
21	22	0
22	22	0
23	22	0
0	23	16
1	23	15
2	23	17
3	23	13
4	23	18
5	23	22
6	23	13
7	23	16
8	23	11
9	23	16
10	23	19
11	23	17
12	23	17
13	23	20
14	23	17
15	23	11
