Counts for Apple(2) in Philippines(33):
Hour	Location Index	Count
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	253
0	1	28
1	1	14
2	1	21
3	1	28
4	1	21
5	1	23
6	1	28
7	1	14
8	1	21
9	1	17
10	1	30
11	1	29
12	1	29
13	1	42
14	1	31
15	1	33
16	1	15
17	1	7
18	1	7
19	1	6
20	1	5
21	1	13
22	1	17
23	1	10
0	2	16
1	2	21
2	2	0
3	2	40
4	2	26
5	2	30
6	2	11
7	2	11
8	2	35
9	2	16
10	2	16
11	2	16
12	2	77
13	2	48
14	2	35
15	2	26
16	2	16
17	2	16
18	2	0
19	2	0
20	2	0
21	2	16
22	2	16
23	2	6
0	3	24
1	3	17
2	3	17
3	3	20
4	3	24
5	3	24
6	3	13
7	3	35
8	3	46
9	3	22
10	3	25
11	3	13
12	3	25
13	3	34
14	3	45
15	3	35
16	3	17
17	3	11
18	3	10
19	3	8
20	3	2
21	3	20
22	3	19
23	3	19
0	4	7
1	4	27
2	4	33
3	4	12
4	4	20
5	4	18
6	4	54
7	4	27
8	4	37
9	4	42
10	4	29
11	4	35
12	4	40
13	4	33
14	4	18
15	4	20
16	4	7
17	4	9
18	4	3
19	4	3
20	4	5
21	4	3
22	4	22
23	4	31
0	5	19
1	5	26
2	5	25
3	5	21
4	5	25
5	5	26
6	5	24
7	5	22
8	5	24
9	5	19
10	5	34
11	5	28
12	5	34
13	5	36
14	5	35
15	5	33
16	5	24
17	5	16
18	5	5
19	5	9
20	5	8
21	5	15
22	5	18
23	5	18
0	6	20
1	6	29
2	6	20
3	6	0
4	6	47
5	6	78
6	6	20
7	6	29
8	6	11
9	6	20
10	6	29
11	6	20
12	6	20
13	6	55
14	6	47
15	6	11
16	6	0
17	6	29
18	6	11
19	6	0
20	6	11
21	6	11
22	6	0
23	6	11
0	7	0
1	7	39
2	7	21
3	7	21
4	7	0
5	7	0
6	7	0
7	7	56
8	7	56
9	7	39
10	7	0
11	7	72
12	7	39
13	7	21
14	7	0
15	7	39
16	7	0
17	7	56
18	7	0
19	7	0
20	7	21
21	7	21
22	7	21
23	7	0
0	8	26
1	8	21
2	8	29
3	8	27
4	8	21
5	8	19
6	8	18
7	8	28
8	8	18
9	8	30
10	8	36
11	8	27
12	8	35
13	8	31
14	8	36
15	8	37
16	8	27
17	8	15
18	8	16
19	8	6
20	8	8
21	8	16
22	8	15
23	8	16
0	9	26
1	9	0
2	9	0
3	9	26
4	9	0
5	9	49
6	9	49
7	9	0
8	9	0
9	9	49
10	9	69
11	9	49
12	9	49
13	9	26
14	9	26
15	9	0
16	9	0
17	9	0
18	9	0
19	9	0
20	9	0
21	9	0
22	9	26
23	9	26
0	10	23
1	10	23
2	10	27
3	10	8
4	10	31
5	10	0
6	10	4
7	10	12
8	10	12
9	10	16
10	10	57
11	10	75
12	10	44
13	10	37
14	10	0
15	10	27
16	10	8
17	10	20
18	10	23
19	10	54
20	10	144
21	10	57
22	10	20
23	10	34
0	11	0
1	11	0
2	11	0
3	11	0
4	11	0
5	11	0
6	11	0
7	11	0
8	11	0
9	11	0
10	11	0
11	11	0
12	11	0
13	11	0
14	11	0
15	11	0
16	11	0
17	11	0
18	11	0
19	11	0
20	11	0
21	11	0
22	11	0
23	11	0
0	12	0
1	12	0
2	12	0
3	12	0
4	12	0
5	12	0
6	12	0
7	12	0
8	12	0
9	12	0
10	12	0
11	12	0
12	12	0
13	12	0
14	12	0
15	12	0
16	12	0
17	12	0
18	12	0
19	12	0
20	12	0
21	12	0
22	12	0
23	12	0
0	13	22
1	13	23
2	13	28
3	13	19
4	13	26
5	13	31
6	13	22
7	13	28
8	13	29
9	13	25
10	13	29
11	13	38
12	13	32
13	13	32
14	13	28
15	13	10
16	13	7
17	13	10
18	13	6
19	13	4
20	13	6
21	13	12
22	13	14
23	13	23
0	14	8
1	14	19
2	14	8
3	14	23
4	14	12
5	14	28
6	14	34
7	14	19
8	14	19
9	14	19
10	14	32
11	14	32
12	14	40
13	14	32
14	14	30
15	14	42
16	14	15
17	14	19
18	14	17
19	14	0
20	14	0
21	14	0
22	14	10
23	14	19
0	15	0
1	15	0
2	15	0
3	15	0
4	15	0
5	15	0
6	15	0
7	15	0
8	15	0
9	15	0
10	15	0
11	15	0
12	15	0
13	15	0
14	15	0
15	15	0
16	15	0
17	15	0
18	15	0
19	15	0
20	15	0
21	15	0
22	15	0
23	15	0
0	16	17
1	16	20
2	16	22
3	16	18
4	16	22
5	16	23
6	16	20
7	16	24
8	16	18
9	16	16
10	16	25
11	16	30
12	16	34
13	16	30
14	16	25
15	16	26
16	16	14
17	16	6
18	16	6
19	16	5
20	16	5
21	16	8
22	16	11
23	16	18
0	17	0
1	17	0
2	17	0
3	17	0
4	17	0
5	17	0
6	17	0
7	17	0
8	17	0
9	17	0
10	17	0
11	17	0
12	17	0
13	17	0
14	17	0
15	17	0
16	17	0
17	17	0
18	17	0
19	17	0
20	17	0
21	17	0
22	17	0
23	17	0
0	18	0
1	18	0
2	18	0
3	18	0
4	18	88
5	18	88
6	18	88
7	18	0
8	18	0
9	18	88
10	18	0
11	18	0
12	18	0
13	18	0
14	18	0
15	18	0
16	18	0
17	18	0
18	18	0
19	18	0
20	18	0
21	18	0
22	18	0
23	18	0
0	19	29
1	19	38
2	19	11
3	19	11
4	19	11
5	19	20
6	19	20
7	19	11
8	19	20
9	19	11
10	19	20
11	19	20
12	19	70
13	19	20
14	19	29
15	19	20
16	19	55
17	19	63
18	19	11
19	19	0
20	19	0
21	19	0
22	19	20
23	19	29
0	20	0
1	20	154
2	20	0
3	20	0
4	20	0
5	20	215
6	20	0
7	20	0
8	20	0
9	20	0
10	20	0
11	20	154
12	20	0
13	20	0
14	20	0
15	20	0
16	20	0
17	20	0
18	20	0
19	20	0
20	20	0
21	20	0
22	20	0
23	20	0
0	21	12
1	21	26
2	21	40
3	21	26
4	21	36
5	21	26
6	21	33
7	21	73
8	21	19
9	21	19
10	21	12
11	21	4
12	21	30
13	21	73
14	21	30
15	21	33
16	21	8
17	21	30
18	21	4
19	21	8
20	21	4
21	21	0
22	21	8
23	21	0
0	22	40
1	22	21
2	22	21
3	22	21
4	22	40
5	22	21
6	22	0
7	22	0
8	22	58
9	22	40
10	22	0
11	22	21
12	22	58
13	22	0
14	22	21
15	22	0
16	22	0
17	22	0
18	22	0
19	22	0
20	22	0
21	22	0
22	22	40
23	22	0
0	23	22
1	23	22
2	23	24
3	23	19
4	23	16
5	23	23
6	23	19
7	23	26
8	23	15
9	23	26
10	23	23
11	23	36
12	23	30
13	23	25
14	23	29
15	23	18
