Counts for Lenovo(7) in Philippines(33):
Hour	Location Index	Count
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
0	1	0
1	1	2
2	1	3
3	1	0
4	1	5
5	1	3
6	1	2
7	1	4
8	1	7
9	1	2
10	1	3
11	1	0
12	1	2
13	1	6
14	1	3
15	1	0
16	1	0
17	1	0
18	1	0
19	1	0
20	1	0
21	1	0
22	1	0
23	1	0
0	2	0
1	2	0
2	2	0
3	2	0
4	2	0
5	2	0
6	2	0
7	2	0
8	2	0
9	2	0
10	2	0
11	2	0
12	2	0
13	2	6
14	2	0
15	2	0
16	2	6
17	2	6
18	2	6
19	2	0
20	2	0
21	2	0
22	2	6
23	2	0
0	3	0
1	3	0
2	3	0
3	3	0
4	3	6
5	3	0
6	3	0
7	3	0
8	3	0
9	3	4
10	3	2
11	3	4
12	3	4
13	3	0
14	3	11
15	3	0
16	3	0
17	3	0
18	3	0
19	3	0
20	3	0
21	3	0
22	3	0
23	3	0
0	4	3
1	4	0
2	4	0
3	4	0
4	4	3
5	4	3
6	4	0
7	4	0
8	4	0
9	4	0
10	4	3
11	4	0
12	4	3
13	4	3
14	4	0
15	4	0
16	4	0
17	4	0
18	4	0
19	4	0
20	4	0
21	4	0
22	4	0
23	4	0
0	5	1
1	5	1
2	5	2
3	5	0
4	5	2
5	5	2
6	5	1
7	5	2
8	5	1
9	5	2
10	5	1
11	5	1
12	5	4
13	5	2
14	5	3
15	5	2
16	5	2
17	5	0
18	5	0
19	5	1
20	5	2
21	5	0
22	5	1
23	5	1
0	6	0
1	6	0
2	6	0
3	6	11
4	6	0
5	6	0
6	6	0
7	6	0
8	6	0
9	6	0
10	6	0
11	6	0
12	6	29
13	6	0
14	6	11
15	6	0
16	6	0
17	6	0
18	6	0
19	6	0
20	6	0
21	6	0
22	6	0
23	6	0
0	7	0
1	7	0
2	7	0
3	7	0
4	7	0
5	7	0
6	7	0
7	7	0
8	7	0
9	7	0
10	7	0
11	7	0
12	7	0
13	7	0
14	7	0
15	7	0
16	7	21
17	7	0
18	7	0
19	7	0
20	7	0
21	7	0
22	7	0
23	7	0
0	8	0
1	8	1
2	8	2
3	8	0
4	8	1
5	8	3
6	8	1
7	8	1
8	8	1
9	8	2
10	8	1
11	8	1
12	8	0
13	8	2
14	8	1
15	8	2
16	8	2
17	8	2
18	8	0
19	8	3
20	8	1
21	8	1
22	8	1
23	8	1
0	9	0
1	9	0
2	9	0
3	9	0
4	9	0
5	9	0
6	9	0
7	9	0
8	9	0
9	9	0
10	9	0
11	9	0
12	9	0
13	9	0
14	9	0
15	9	0
16	9	0
17	9	0
18	9	0
19	9	0
20	9	0
21	9	0
22	9	0
23	9	0
0	10	0
1	10	0
2	10	0
3	10	0
4	10	4
5	10	0
6	10	0
7	10	0
8	10	0
9	10	0
10	10	0
11	10	0
12	10	0
13	10	0
14	10	0
15	10	0
16	10	0
17	10	0
18	10	0
19	10	0
20	10	0
21	10	4
22	10	0
23	10	0
0	11	0
1	11	0
2	11	0
3	11	0
4	11	0
5	11	0
6	11	0
7	11	0
8	11	0
9	11	0
10	11	0
11	11	0
12	11	0
13	11	0
14	11	0
15	11	0
16	11	0
17	11	0
18	11	0
19	11	0
20	11	0
21	11	0
22	11	0
23	11	0
0	12	0
1	12	0
2	12	0
3	12	0
4	12	0
5	12	0
6	12	0
7	12	0
8	12	0
9	12	0
10	12	0
11	12	0
12	12	0
13	12	0
14	12	0
15	12	0
16	12	0
17	12	0
18	12	0
19	12	0
20	12	0
21	12	0
22	12	0
23	12	0
0	13	0
1	13	4
2	13	0
3	13	0
4	13	2
5	13	2
6	13	7
7	13	0
8	13	0
9	13	2
10	13	2
11	13	2
12	13	2
13	13	2
14	13	4
15	13	0
16	13	0
17	13	0
18	13	0
19	13	0
20	13	2
21	13	2
22	13	2
23	13	0
0	14	3
1	14	0
2	14	3
3	14	0
4	14	5
5	14	0
6	14	0
7	14	3
8	14	5
9	14	0
10	14	3
11	14	3
12	14	8
13	14	3
14	14	17
15	14	5
16	14	0
17	14	0
18	14	0
19	14	0
20	14	0
21	14	3
22	14	5
23	14	3
0	15	0
1	15	0
2	15	0
3	15	0
4	15	0
5	15	0
6	15	0
7	15	0
8	15	0
9	15	0
10	15	0
11	15	0
12	15	0
13	15	0
14	15	0
15	15	0
16	15	0
17	15	0
18	15	0
19	15	0
20	15	0
21	15	0
22	15	0
23	15	0
0	16	2
1	16	0
2	16	2
3	16	3
4	16	1
5	16	1
6	16	2
7	16	2
8	16	1
9	16	0
10	16	0
11	16	1
12	16	1
13	16	2
14	16	2
15	16	1
16	16	1
17	16	1
18	16	1
19	16	1
20	16	0
21	16	2
22	16	1
23	16	1
0	17	0
1	17	0
2	17	0
3	17	175
4	17	0
5	17	0
6	17	0
7	17	0
8	17	0
9	17	0
10	17	0
11	17	0
12	17	0
13	17	0
14	17	0
15	17	0
16	17	0
17	17	0
18	17	0
19	17	0
20	17	0
21	17	0
22	17	0
23	17	0
0	18	0
1	18	0
2	18	0
3	18	0
4	18	0
5	18	0
6	18	0
7	18	0
8	18	0
9	18	0
10	18	0
11	18	0
12	18	0
13	18	0
14	18	0
15	18	0
16	18	0
17	18	0
18	18	0
19	18	0
20	18	0
21	18	0
22	18	0
23	18	0
0	19	0
1	19	0
2	19	0
3	19	0
4	19	11
5	19	0
6	19	0
7	19	0
8	19	0
9	19	0
10	19	0
11	19	0
12	19	0
13	19	11
14	19	0
15	19	0
16	19	0
17	19	0
18	19	0
19	19	0
20	19	0
21	19	0
22	19	0
23	19	11
0	20	0
1	20	0
2	20	0
3	20	0
4	20	0
5	20	0
6	20	0
7	20	0
8	20	0
9	20	0
10	20	0
11	20	0
12	20	0
13	20	0
14	20	0
15	20	0
16	20	0
17	20	0
18	20	0
19	20	0
20	20	0
21	20	0
22	20	0
23	20	0
0	21	0
1	21	0
2	21	0
3	21	0
4	21	0
5	21	0
6	21	0
7	21	0
8	21	0
9	21	4
10	21	0
11	21	0
12	21	4
13	21	0
14	21	0
15	21	0
16	21	0
17	21	0
18	21	0
19	21	0
20	21	0
21	21	0
22	21	0
23	21	0
0	22	0
1	22	0
2	22	0
3	22	0
4	22	0
5	22	0
6	22	0
7	22	0
8	22	0
9	22	0
10	22	0
11	22	0
12	22	0
13	22	0
14	22	21
15	22	0
16	22	0
17	22	0
18	22	0
19	22	0
20	22	0
21	22	0
22	22	0
23	22	0
0	23	3
1	23	4
2	23	1
3	23	1
4	23	1
5	23	3
6	23	2
7	23	2
8	23	3
9	23	1
10	23	3
11	23	4
12	23	2
13	23	3
14	23	2
