Counts for Samsung(12) in Poland(34):
Hour	Location Index	Count
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	95
9	0	95
10	0	0
11	0	0
12	0	0
13	0	0
14	0	95
15	0	0
16	0	0
17	0	0
18	0	0
19	0	53
20	0	53
21	0	0
22	0	53
23	0	0
0	1	0
1	1	0
2	1	0
3	1	0
4	1	0
5	1	154
6	1	0
7	1	0
8	1	0
9	1	0
10	1	0
11	1	0
12	1	0
13	1	0
14	1	0
15	1	0
16	1	0
17	1	0
18	1	0
19	1	0
20	1	0
21	1	0
22	1	0
23	1	0
0	2	0
1	2	0
2	2	0
3	2	0
4	2	0
5	2	0
6	2	97
7	2	70
8	2	0
9	2	0
10	2	0
11	2	38
12	2	0
13	2	0
14	2	38
15	2	0
16	2	38
17	2	0
18	2	0
19	2	0
20	2	157
21	2	38
22	2	0
23	2	38
0	3	0
1	3	0
2	3	0
3	3	32
4	3	10
5	3	5
6	3	15
7	3	10
8	3	5
9	3	10
10	3	5
11	3	10
12	3	19
13	3	10
14	3	10
15	3	28
16	3	15
17	3	10
18	3	19
19	3	10
20	3	10
21	3	10
22	3	5
23	3	0
0	4	0
1	4	0
2	4	0
3	4	22
4	4	22
5	4	0
6	4	60
7	4	0
8	4	22
9	4	60
10	4	0
11	4	22
12	4	22
13	4	42
14	4	0
15	4	0
16	4	22
17	4	42
18	4	60
19	4	0
20	4	22
21	4	22
22	4	22
23	4	0
0	5	0
1	5	0
2	5	0
3	5	0
4	5	0
5	5	0
6	5	0
7	5	0
8	5	0
9	5	0
10	5	175
11	5	0
12	5	0
13	5	0
14	5	0
15	5	0
16	5	0
17	5	0
18	5	0
19	5	0
20	5	0
21	5	0
22	5	0
23	5	112
0	6	0
1	6	0
2	6	0
3	6	0
4	6	0
5	6	0
6	6	0
7	6	0
8	6	0
9	6	0
10	6	0
11	6	0
12	6	0
13	6	0
14	6	0
15	6	0
16	6	0
17	6	98
18	6	55
19	6	98
20	6	132
21	6	0
22	6	0
23	6	0
0	7	0
1	7	0
2	7	0
3	7	0
4	7	0
5	7	28
6	7	53
7	7	0
8	7	0
9	7	0
10	7	0
11	7	0
12	7	0
13	7	0
14	7	0
15	7	0
16	7	0
17	7	0
18	7	28
19	7	112
20	7	95
21	7	0
22	7	0
23	7	0
0	8	0
1	8	0
2	8	0
3	8	0
4	8	0
5	8	0
6	8	61
7	8	0
8	8	0
9	8	0
10	8	0
11	8	0
12	8	0
13	8	0
14	8	0
15	8	0
16	8	0
17	8	0
18	8	0
19	8	0
20	8	0
21	8	0
22	8	0
23	8	0
0	9	0
1	9	0
2	9	0
3	9	13
4	9	0
5	9	13
6	9	24
7	9	24
8	9	0
9	9	0
10	9	13
11	9	35
12	9	24
13	9	35
14	9	24
15	9	0
16	9	45
17	9	55
18	9	13
19	9	0
20	9	24
21	9	13
22	9	13
23	9	0
0	10	0
1	10	0
2	10	0
3	10	0
4	10	72
5	10	0
6	10	100
7	10	72
8	10	143
9	10	72
10	10	0
11	10	39
12	10	39
13	10	0
14	10	0
15	10	0
16	10	0
17	10	39
18	10	39
19	10	0
20	10	39
21	10	72
22	10	0
23	10	0
0	11	2
1	11	0
2	11	4
3	11	2
4	11	5
5	11	6
6	11	5
7	11	13
8	11	11
9	11	4
10	11	11
11	11	7
12	11	18
13	11	16
14	11	16
15	11	14
16	11	22
17	11	21
18	11	15
19	11	21
20	11	27
21	11	21
22	11	13
23	11	6
0	12	0
1	12	0
2	12	0
3	12	0
4	12	8
5	12	0
6	12	0
7	12	0
8	12	22
9	12	8
10	12	22
11	12	29
12	12	22
13	12	15
14	12	8
15	12	0
16	12	15
17	12	22
18	12	0
19	12	42
20	12	48
21	12	15
22	12	8
23	12	8
0	13	0
1	13	0
2	13	0
3	13	0
4	13	0
5	13	17
6	13	0
7	13	17
8	13	0
9	13	32
10	13	0
11	13	17
12	13	0
13	13	0
14	13	46
15	13	0
16	13	59
17	13	94
18	13	0
19	13	17
20	13	17
21	13	0
22	13	0
23	13	0
0	14	0
1	14	0
2	14	0
3	14	0
4	14	0
5	14	0
6	14	25
7	14	0
8	14	25
9	14	0
10	14	0
11	14	0
12	14	0
13	14	0
14	14	0
15	14	0
16	14	86
17	14	0
18	14	25
19	14	48
20	14	103
21	14	86
22	14	0
23	14	0
0	15	0
1	15	0
2	15	0
3	15	0
4	15	0
5	15	0
6	15	6
7	15	17
8	15	12
9	15	6
10	15	12
11	15	23
12	15	12
13	15	12
14	15	6
15	15	17
16	15	23
17	15	12
18	15	23
19	15	17
20	15	38
21	15	28
22	15	6
23	15	0
0	16	0
1	16	0
2	16	0
3	16	0
4	16	0
5	16	0
6	16	0
7	16	0
8	16	0
9	16	0
10	16	0
11	16	0
12	16	0
13	16	0
14	16	0
15	16	0
16	16	0
17	16	0
18	16	0
19	16	0
20	16	0
21	16	0
22	16	0
23	16	0
0	17	1
1	17	2
2	17	3
3	17	5
4	17	11
5	17	16
6	17	17
7	17	17
8	17	14
9	17	14
10	17	20
11	17	15
12	17	17
13	17	10
14	17	17
15	17	19
16	17	18
17	17	40
18	17	41
19	17	42
20	17	31
21	17	27
22	17	12
23	17	4
0	18	0
1	18	0
2	18	0
3	18	0
4	18	0
5	18	0
6	18	0
7	18	0
8	18	38
9	18	0
10	18	0
11	18	38
12	18	0
13	18	38
14	18	0
15	18	0
16	18	0
17	18	38
18	18	0
19	18	97
20	18	0
21	18	0
22	18	0
23	18	38
0	19	0
1	19	0
2	19	0
3	19	0
4	19	0
5	19	0
6	19	31
7	19	13
8	19	42
9	19	13
10	19	13
11	19	0
12	19	0
13	19	19
14	19	0
15	19	7
16	19	36
17	19	19
18	19	7
19	19	13
20	19	47
21	19	19
22	19	0
23	19	0
0	20	0
1	20	0
2	20	0
3	20	13
4	20	0
5	20	36
6	20	13
7	20	25
8	20	0
9	20	25
10	20	36
11	20	75
12	20	0
13	20	0
14	20	36
15	20	0
16	20	0
17	20	13
18	20	0
19	20	25
20	20	0
21	20	25
22	20	13
23	20	0
0	21	0
1	21	0
2	21	0
3	21	0
4	21	0
5	21	0
6	21	0
7	21	190
8	21	0
9	21	0
10	21	0
11	21	0
12	21	0
13	21	0
14	21	0
15	21	61
16	21	0
17	21	61
18	21	0
19	21	0
20	21	0
21	21	0
22	21	0
23	21	0
0	22	0
1	22	0
2	22	0
3	22	0
4	22	0
5	22	68
6	22	0
7	22	0
8	22	0
9	22	0
10	22	0
11	22	0
12	22	0
13	22	0
14	22	0
15	22	0
16	22	68
17	22	0
18	22	68
19	22	0
20	22	0
21	22	0
22	22	0
23	22	0
0	23	0
1	23	0
2	23	0
3	23	0
4	23	0
5	23	0
6	23	0
7	23	0
8	23	0
9	23	0
10	23	0
11	23	0
12	23	0
13	23	0
14	23	0
15	23	0
