Counts for Apple(2) in Poland(34):
Hour	Location Index	Count
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	53
18	0	53
19	0	53
20	0	0
21	0	53
22	0	0
23	0	53
0	1	0
1	1	0
2	1	0
3	1	0
4	1	0
5	1	0
6	1	0
7	1	0
8	1	154
9	1	154
10	1	0
11	1	0
12	1	0
13	1	0
14	1	0
15	1	0
16	1	0
17	1	0
18	1	0
19	1	0
20	1	0
21	1	0
22	1	0
23	1	0
0	2	0
1	2	0
2	2	0
3	2	0
4	2	0
5	2	38
6	2	38
7	2	0
8	2	38
9	2	38
10	2	70
11	2	0
12	2	38
13	2	0
14	2	0
15	2	0
16	2	0
17	2	0
18	2	0
19	2	0
20	2	38
21	2	0
22	2	38
23	2	0
0	3	0
1	3	0
2	3	0
3	3	0
4	3	10
5	3	15
6	3	5
7	3	5
8	3	10
9	3	10
10	3	5
11	3	5
12	3	15
13	3	0
14	3	10
15	3	15
16	3	45
17	3	15
18	3	28
19	3	10
20	3	5
21	3	15
22	3	0
23	3	0
0	4	0
1	4	0
2	4	0
3	4	0
4	4	0
5	4	0
6	4	42
7	4	0
8	4	22
9	4	0
10	4	0
11	4	22
12	4	0
13	4	0
14	4	22
15	4	77
16	4	0
17	4	42
18	4	22
19	4	60
20	4	22
21	4	0
22	4	0
23	4	0
0	5	0
1	5	0
2	5	0
3	5	0
4	5	0
5	5	0
6	5	0
7	5	0
8	5	0
9	5	0
10	5	0
11	5	0
12	5	0
13	5	0
14	5	0
15	5	0
16	5	0
17	5	0
18	5	0
19	5	0
20	5	0
21	5	0
22	5	0
23	5	0
0	6	0
1	6	0
2	6	0
3	6	0
4	6	0
5	6	0
6	6	0
7	6	55
8	6	0
9	6	0
10	6	0
11	6	55
12	6	55
13	6	0
14	6	0
15	6	0
16	6	0
17	6	0
18	6	0
19	6	55
20	6	0
21	6	0
22	6	0
23	6	0
0	7	0
1	7	0
2	7	0
3	7	0
4	7	0
5	7	0
6	7	0
7	7	28
8	7	0
9	7	28
10	7	0
11	7	0
12	7	28
13	7	0
14	7	0
15	7	0
16	7	28
17	7	0
18	7	0
19	7	53
20	7	0
21	7	75
22	7	0
23	7	0
0	8	0
1	8	0
2	8	0
3	8	0
4	8	61
5	8	61
6	8	0
7	8	107
8	8	107
9	8	0
10	8	0
11	8	0
12	8	0
13	8	0
14	8	61
15	8	0
16	8	0
17	8	0
18	8	0
19	8	0
20	8	0
21	8	0
22	8	0
23	8	0
0	9	0
1	9	0
2	9	0
3	9	0
4	9	0
5	9	45
6	9	13
7	9	0
8	9	0
9	9	0
10	9	13
11	9	24
12	9	13
13	9	13
14	9	24
15	9	0
16	9	0
17	9	74
18	9	24
19	9	13
20	9	35
21	9	24
22	9	0
23	9	0
0	10	0
1	10	0
2	10	0
3	10	0
4	10	0
5	10	0
6	10	39
7	10	0
8	10	39
9	10	0
10	10	0
11	10	0
12	10	0
13	10	0
14	10	0
15	10	0
16	10	0
17	10	0
18	10	39
19	10	0
20	10	39
21	10	0
22	10	0
23	10	0
0	11	5
1	11	7
2	11	5
3	11	2
4	11	10
5	11	20
6	11	30
7	11	32
8	11	33
9	11	20
10	11	26
11	11	22
12	11	24
13	11	18
14	11	28
15	11	19
16	11	26
17	11	43
18	11	45
19	11	62
20	11	43
21	11	31
22	11	19
23	11	9
0	12	0
1	12	0
2	12	8
3	12	0
4	12	8
5	12	0
6	12	8
7	12	29
8	12	15
9	12	22
10	12	22
11	12	15
12	12	29
13	12	15
14	12	0
15	12	8
16	12	22
17	12	29
18	12	36
19	12	15
20	12	36
21	12	15
22	12	0
23	12	0
0	13	0
1	13	0
2	13	0
3	13	0
4	13	0
5	13	32
6	13	32
7	13	0
8	13	0
9	13	32
10	13	0
11	13	0
12	13	0
13	13	0
14	13	0
15	13	32
16	13	32
17	13	17
18	13	17
19	13	17
20	13	59
21	13	32
22	13	17
23	13	0
0	14	0
1	14	0
2	14	0
3	14	0
4	14	0
5	14	0
6	14	0
7	14	25
8	14	0
9	14	0
10	14	0
11	14	0
12	14	0
13	14	0
14	14	25
15	14	0
16	14	0
17	14	0
18	14	25
19	14	25
20	14	131
21	14	0
22	14	0
23	14	0
0	15	0
1	15	6
2	15	0
3	15	0
4	15	0
5	15	0
6	15	12
7	15	12
8	15	12
9	15	12
10	15	43
11	15	23
12	15	0
13	15	12
14	15	17
15	15	33
16	15	23
17	15	43
18	15	33
19	15	38
20	15	43
21	15	33
22	15	57
23	15	0
0	16	0
1	16	0
2	16	0
3	16	0
4	16	0
5	16	0
6	16	0
7	16	0
8	16	0
9	16	0
10	16	0
11	16	0
12	16	0
13	16	0
14	16	0
15	16	0
16	16	0
17	16	0
18	16	0
19	16	0
20	16	0
21	16	0
22	16	0
23	16	0
0	17	4
1	17	1
2	17	1
3	17	2
4	17	6
5	17	14
6	17	20
7	17	19
8	17	13
9	17	12
10	17	16
11	17	12
12	17	14
13	17	15
14	17	18
15	17	18
16	17	22
17	17	22
18	17	25
19	17	49
20	17	43
21	17	19
22	17	17
23	17	6
0	18	0
1	18	0
2	18	0
3	18	0
4	18	0
5	18	38
6	18	0
7	18	0
8	18	0
9	18	0
10	18	0
11	18	38
12	18	0
13	18	0
14	18	38
15	18	0
16	18	0
17	18	38
18	18	38
19	18	0
20	18	38
21	18	38
22	18	0
23	18	0
0	19	0
1	19	0
2	19	0
3	19	0
4	19	0
5	19	7
6	19	13
7	19	7
8	19	7
9	19	13
10	19	0
11	19	13
12	19	13
13	19	7
14	19	7
15	19	25
16	19	47
17	19	36
18	19	19
19	19	19
20	19	31
21	19	31
22	19	19
23	19	0
0	20	0
1	20	0
2	20	0
3	20	0
4	20	0
5	20	13
6	20	0
7	20	46
8	20	13
9	20	0
10	20	0
11	20	13
12	20	0
13	20	0
14	20	0
15	20	13
16	20	75
17	20	13
18	20	56
19	20	36
20	20	0
21	20	25
22	20	25
23	20	0
0	21	0
1	21	0
2	21	0
3	21	0
4	21	0
5	21	0
6	21	0
7	21	61
8	21	0
9	21	0
10	21	0
11	21	0
12	21	0
13	21	0
14	21	0
15	21	0
16	21	0
17	21	0
18	21	142
19	21	0
20	21	0
21	21	61
22	21	0
23	21	0
0	22	0
1	22	0
2	22	0
3	22	0
4	22	68
5	22	0
6	22	118
7	22	0
8	22	0
9	22	0
10	22	68
11	22	118
12	22	0
13	22	68
14	22	0
15	22	0
16	22	0
17	22	0
18	22	68
19	22	0
20	22	0
21	22	0
22	22	118
23	22	0
0	23	187
1	23	0
2	23	0
3	23	0
4	23	0
5	23	0
6	23	0
7	23	0
8	23	0
9	23	0
10	23	123
11	23	0
12	23	0
13	23	0
14	23	0
15	23	0
