Counts for Samsung(12) in Portugal(35):
Hour	Location Index	Count
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	47
9	0	0
10	0	0
11	0	47
12	0	116
13	0	0
14	0	0
15	0	0
16	0	0
17	0	47
18	0	85
19	0	47
20	0	0
21	0	0
22	0	47
23	0	0
0	1	0
1	1	0
2	1	0
3	1	0
4	1	0
5	1	0
6	1	0
7	1	0
8	1	0
9	1	0
10	1	0
11	1	0
12	1	0
13	1	74
14	1	0
15	1	40
16	1	0
17	1	40
18	1	0
19	1	0
20	1	0
21	1	40
22	1	74
23	1	164
0	2	0
1	2	0
2	2	0
3	2	36
4	2	0
5	2	36
6	2	0
7	2	36
8	2	19
9	2	0
10	2	51
11	2	19
12	2	19
13	2	0
14	2	0
15	2	51
16	2	0
17	2	51
18	2	0
19	2	0
20	2	0
21	2	19
22	2	66
23	2	0
0	3	0
1	3	0
2	3	0
3	3	0
4	3	0
5	3	0
6	3	0
7	3	0
8	3	18
9	3	18
10	3	0
11	3	18
12	3	34
13	3	0
14	3	18
15	3	18
16	3	0
17	3	0
18	3	0
19	3	0
20	3	49
21	3	18
22	3	34
23	3	18
0	4	0
1	4	0
2	4	0
3	4	0
4	4	0
5	4	0
6	4	30
7	4	0
8	4	30
9	4	0
10	4	0
11	4	30
12	4	101
13	4	0
14	4	0
15	4	0
16	4	0
17	4	0
18	4	0
19	4	0
20	4	30
21	4	57
22	4	57
23	4	0
0	5	0
1	5	0
2	5	0
3	5	0
4	5	0
5	5	0
6	5	0
7	5	32
8	5	0
9	5	0
10	5	0
11	5	32
12	5	32
13	5	0
14	5	0
15	5	84
16	5	0
17	5	0
18	5	0
19	5	60
20	5	0
21	5	0
22	5	0
23	5	0
0	6	137
1	6	0
2	6	0
3	6	0
4	6	0
5	6	0
6	6	0
7	6	0
8	6	0
9	6	0
10	6	0
11	6	0
12	6	0
13	6	82
14	6	0
15	6	0
16	6	0
17	6	0
18	6	0
19	6	0
20	6	0
21	6	82
22	6	0
23	6	0
0	7	0
1	7	0
2	7	0
3	7	0
4	7	0
5	7	0
6	7	0
7	7	0
8	7	0
9	7	0
10	7	0
11	7	0
12	7	0
13	7	107
14	7	0
15	7	0
16	7	0
17	7	0
18	7	0
19	7	0
20	7	61
21	7	0
22	7	0
23	7	0
0	8	12
1	8	4
2	8	2
3	8	2
4	8	4
5	8	6
6	8	3
7	8	4
8	8	4
9	8	8
10	8	8
11	8	9
12	8	10
13	8	14
14	8	11
15	8	1
16	8	6
17	8	13
18	8	8
19	8	20
20	8	26
21	8	40
22	8	14
23	8	7
0	9	0
1	9	0
2	9	0
3	9	0
4	9	0
5	9	0
6	9	0
7	9	0
8	9	0
9	9	24
10	9	0
11	9	0
12	9	0
13	9	0
14	9	0
15	9	0
16	9	0
17	9	0
18	9	0
19	9	0
20	9	0
21	9	24
22	9	83
23	9	0
0	10	0
1	10	0
2	10	0
3	10	0
4	10	0
5	10	0
6	10	0
7	10	0
8	10	0
9	10	0
10	10	0
11	10	0
12	10	0
13	10	0
14	10	0
15	10	0
16	10	0
17	10	33
18	10	0
19	10	86
20	10	33
21	10	0
22	10	0
23	10	0
0	11	16
1	11	7
2	11	0
3	11	2
4	11	0
5	11	0
6	11	8
7	11	20
8	11	4
9	11	2
10	11	7
11	11	19
12	11	11
13	11	17
14	11	14
15	11	13
16	11	7
17	11	14
18	11	14
19	11	16
20	11	23
21	11	11
22	11	20
23	11	7
0	12	2
1	12	5
2	12	2
3	12	0
4	12	2
5	12	2
6	12	15
7	12	12
8	12	9
9	12	8
10	12	15
11	12	5
12	12	5
13	12	11
14	12	3
15	12	9
16	12	15
17	12	13
18	12	12
19	12	9
20	12	25
21	12	13
22	12	6
23	12	13
0	13	0
1	13	0
2	13	0
3	13	0
4	13	0
5	13	0
6	13	45
7	13	0
8	13	0
9	13	0
10	13	0
11	13	0
12	13	45
13	13	0
14	13	82
15	13	82
16	13	0
17	13	82
18	13	45
19	13	45
20	13	45
21	13	0
22	13	0
23	13	0
0	14	0
1	14	0
2	14	0
3	14	0
4	14	0
5	14	0
6	14	0
7	14	0
8	14	0
9	14	0
10	14	0
11	14	0
12	14	0
13	14	0
14	14	0
15	14	0
16	14	0
17	14	0
18	14	0
19	14	0
20	14	0
21	14	0
22	14	0
23	14	0
0	15	0
1	15	0
2	15	0
3	15	0
4	15	0
5	15	0
6	15	0
7	15	44
8	15	0
9	15	12
10	15	0
11	15	23
12	15	12
13	15	12
14	15	0
15	15	12
16	15	0
17	15	12
18	15	34
19	15	12
20	15	12
21	15	0
22	15	0
23	15	12
0	16	0
1	16	0
2	16	0
3	16	0
4	16	0
5	16	0
6	16	0
7	16	0
8	16	0
9	16	0
10	16	0
11	16	0
12	16	36
13	16	0
14	16	0
15	16	0
16	16	92
17	16	0
18	16	0
19	16	0
20	16	0
21	16	0
22	16	0
23	16	0
0	17	0
1	17	0
2	17	0
3	17	0
4	17	0
5	17	0
6	17	0
7	17	0
8	17	0
9	17	40
10	17	0
11	17	0
12	17	0
13	17	0
14	17	74
15	17	40
16	17	0
17	17	0
18	17	0
19	17	103
20	17	0
21	17	0
22	17	0
23	17	40
0	18	91
1	18	0
2	18	0
3	18	0
4	18	0
5	18	0
6	18	0
7	18	0
8	18	0
9	18	0
10	18	0
11	18	91
12	18	0
13	18	0
14	18	0
15	18	0
16	18	51
17	18	0
18	18	0
19	18	91
20	18	51
21	18	0
22	18	0
23	18	0
0	19	3
1	19	15
2	19	9
3	19	0
4	19	7
5	19	9
6	19	5
7	19	9
8	19	5
9	19	9
10	19	11
11	19	23
12	19	37
13	19	17
14	19	9
15	19	21
16	19	19
17	19	29
18	19	27
19	19	15
20	19	15
21	19	17
22	19	17
23	19	21
0	20	0
1	20	0
2	20	0
3	20	0
4	20	0
5	20	0
6	20	0
7	20	17
8	20	9
9	20	9
10	20	0
11	20	24
12	20	0
13	20	17
14	20	39
15	20	9
16	20	17
17	20	17
18	20	9
19	20	17
20	20	17
21	20	39
22	20	32
23	20	17
0	21	20
1	21	0
2	21	4
3	21	0
4	21	0
5	21	0
6	21	4
7	21	7
8	21	7
9	21	10
10	21	10
11	21	16
12	21	10
13	21	16
14	21	23
15	21	20
16	21	0
17	21	7
18	21	23
19	21	10
20	21	10
21	21	20
22	21	16
23	21	13
0	22	3
1	22	9
2	22	0
3	22	0
4	22	0
5	22	0
6	22	0
7	22	9
8	22	9
9	22	9
10	22	3
11	22	15
12	22	12
13	22	18
14	22	6
15	22	9
16	22	21
17	22	0
18	22	3
19	22	21
20	22	9
21	22	12
22	22	9
23	22	15
0	23	0
1	23	19
2	23	0
3	23	19
4	23	0
5	23	0
6	23	0
7	23	0
8	23	0
9	23	0
10	23	0
11	23	53
12	23	68
13	23	37
14	23	0
15	23	0
