Counts for Apple(2) in Portugal(35):
Hour	Location Index	Count
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	47
11	0	0
12	0	47
13	0	0
14	0	0
15	0	0
16	0	47
17	0	47
18	0	47
19	0	0
20	0	0
21	0	0
22	0	47
23	0	47
0	1	0
1	1	0
2	1	0
3	1	0
4	1	0
5	1	0
6	1	0
7	1	40
8	1	0
9	1	0
10	1	0
11	1	74
12	1	40
13	1	0
14	1	40
15	1	74
16	1	0
17	1	0
18	1	40
19	1	74
20	1	40
21	1	0
22	1	0
23	1	0
0	2	19
1	2	0
2	2	0
3	2	0
4	2	0
5	2	0
6	2	19
7	2	36
8	2	19
9	2	0
10	2	19
11	2	19
12	2	0
13	2	36
14	2	0
15	2	0
16	2	0
17	2	0
18	2	66
19	2	0
20	2	66
21	2	80
22	2	0
23	2	19
0	3	0
1	3	18
2	3	0
3	3	0
4	3	34
5	3	0
6	3	0
7	3	34
8	3	18
9	3	76
10	3	0
11	3	18
12	3	0
13	3	18
14	3	0
15	3	0
16	3	18
17	3	0
18	3	18
19	3	34
20	3	34
21	3	76
22	3	18
23	3	0
0	4	0
1	4	0
2	4	0
3	4	0
4	4	0
5	4	0
6	4	0
7	4	0
8	4	30
9	4	0
10	4	30
11	4	30
12	4	0
13	4	0
14	4	0
15	4	0
16	4	30
17	4	101
18	4	30
19	4	57
20	4	0
21	4	101
22	4	0
23	4	0
0	5	32
1	5	0
2	5	0
3	5	0
4	5	0
5	5	0
6	5	32
7	5	60
8	5	60
9	5	32
10	5	84
11	5	84
12	5	0
13	5	0
14	5	32
15	5	0
16	5	0
17	5	0
18	5	0
19	5	0
20	5	60
21	5	32
22	5	32
23	5	0
0	6	0
1	6	82
2	6	0
3	6	0
4	6	0
5	6	0
6	6	0
7	6	0
8	6	0
9	6	0
10	6	82
11	6	0
12	6	0
13	6	0
14	6	0
15	6	82
16	6	0
17	6	0
18	6	0
19	6	0
20	6	0
21	6	0
22	6	175
23	6	137
0	7	0
1	7	0
2	7	0
3	7	0
4	7	0
5	7	0
6	7	0
7	7	0
8	7	61
9	7	61
10	7	0
11	7	0
12	7	0
13	7	0
14	7	61
15	7	0
16	7	0
17	7	0
18	7	0
19	7	0
20	7	0
21	7	0
22	7	61
23	7	0
0	8	20
1	8	14
2	8	4
3	8	2
4	8	1
5	8	3
6	8	5
7	8	19
8	8	18
9	8	22
10	8	15
11	8	23
12	8	25
13	8	29
14	8	21
15	8	28
16	8	30
17	8	25
18	8	25
19	8	28
20	8	48
21	8	70
22	8	44
23	8	26
0	9	24
1	9	0
2	9	0
3	9	0
4	9	0
5	9	0
6	9	0
7	9	46
8	9	24
9	9	24
10	9	46
11	9	24
12	9	0
13	9	0
14	9	0
15	9	24
16	9	24
17	9	0
18	9	24
19	9	24
20	9	46
21	9	99
22	9	0
23	9	24
0	10	0
1	10	0
2	10	0
3	10	0
4	10	0
5	10	0
6	10	0
7	10	33
8	10	86
9	10	86
10	10	0
11	10	0
12	10	0
13	10	61
14	10	0
15	10	33
16	10	0
17	10	0
18	10	0
19	10	33
20	10	86
21	10	0
22	10	33
23	10	0
0	11	13
1	11	4
2	11	7
3	11	5
4	11	5
5	11	2
6	11	13
7	11	36
8	11	27
9	11	29
10	11	11
11	11	17
12	11	26
13	11	16
14	11	11
15	11	29
16	11	16
17	11	34
18	11	33
19	11	46
20	11	33
21	11	50
22	11	55
23	11	47
0	12	17
1	12	9
2	12	6
3	12	2
4	12	4
5	12	3
6	12	17
7	12	15
8	12	20
9	12	25
10	12	18
11	12	12
12	12	15
13	12	21
14	12	22
15	12	28
16	12	28
17	12	31
18	12	21
19	12	34
20	12	48
21	12	38
22	12	44
23	12	32
0	13	0
1	13	0
2	13	0
3	13	0
4	13	0
5	13	0
6	13	0
7	13	0
8	13	82
9	13	82
10	13	45
11	13	45
12	13	0
13	13	0
14	13	0
15	13	0
16	13	0
17	13	0
18	13	0
19	13	45
20	13	0
21	13	0
22	13	45
23	13	0
0	14	0
1	14	0
2	14	0
3	14	0
4	14	0
5	14	0
6	14	0
7	14	0
8	14	0
9	14	0
10	14	0
11	14	0
12	14	253
13	14	0
14	14	0
15	14	0
16	14	0
17	14	0
18	14	0
19	14	0
20	14	0
21	14	0
22	14	0
23	14	0
0	15	44
1	15	23
2	15	23
3	15	0
4	15	0
5	15	0
6	15	23
7	15	23
8	15	12
9	15	23
10	15	0
11	15	44
12	15	44
13	15	0
14	15	23
15	15	53
16	15	44
17	15	53
18	15	23
19	15	0
20	15	34
21	15	53
22	15	23
23	15	34
0	16	0
1	16	36
2	16	0
3	16	0
4	16	0
5	16	36
6	16	0
7	16	0
8	16	0
9	16	36
10	16	36
11	16	0
12	16	36
13	16	66
14	16	36
15	16	0
16	16	0
17	16	36
18	16	0
19	16	0
20	16	36
21	16	0
22	16	0
23	16	0
0	17	0
1	17	0
2	17	0
3	17	0
4	17	0
5	17	0
6	17	0
7	17	0
8	17	0
9	17	0
10	17	40
11	17	0
12	17	0
13	17	40
14	17	0
15	17	0
16	17	0
17	17	0
18	17	0
19	17	74
20	17	0
21	17	0
22	17	0
23	17	0
0	18	0
1	18	51
2	18	0
3	18	0
4	18	0
5	18	0
6	18	0
7	18	0
8	18	0
9	18	0
10	18	0
11	18	0
12	18	0
13	18	0
14	18	0
15	18	0
16	18	0
17	18	51
18	18	123
19	18	0
20	18	0
21	18	0
22	18	0
23	18	0
0	19	11
1	19	13
2	19	7
3	19	7
4	19	0
5	19	0
6	19	3
7	19	5
8	19	7
9	19	15
10	19	7
11	19	13
12	19	15
13	19	13
14	19	15
15	19	13
16	19	13
17	19	7
18	19	19
19	19	17
20	19	25
21	19	46
22	19	29
23	19	23
0	20	17
1	20	0
2	20	9
3	20	9
4	20	0
5	20	0
6	20	0
7	20	17
8	20	9
9	20	9
10	20	32
11	20	65
12	20	32
13	20	9
14	20	0
15	20	24
16	20	17
17	20	9
18	20	39
19	20	32
20	20	17
21	20	52
22	20	17
23	20	71
0	21	20
1	21	7
2	21	4
3	21	4
4	21	0
5	21	4
6	21	4
7	21	0
8	21	13
9	21	26
10	21	13
11	21	7
12	21	31
13	21	20
14	21	45
15	21	13
16	21	13
17	21	34
18	21	16
19	21	13
20	21	48
21	21	64
22	21	43
23	21	37
0	22	6
1	22	3
2	22	3
3	22	0
4	22	0
5	22	9
6	22	29
7	22	34
8	22	34
9	22	42
10	22	42
11	22	34
12	22	18
13	22	18
14	22	34
15	22	39
16	22	21
17	22	49
18	22	21
19	22	34
20	22	54
21	22	39
22	22	36
23	22	12
0	23	0
1	23	0
2	23	0
3	23	0
4	23	19
5	23	0
6	23	0
7	23	0
8	23	0
9	23	0
10	23	0
11	23	0
12	23	19
13	23	19
14	23	0
15	23	19
