Counts for Samsung(12) in Republic of Korea(36):
Hour	Location Index	Count
0	0	8
1	0	12
2	0	12
3	0	5
4	0	31
5	0	16
6	0	8
7	0	27
8	0	48
9	0	24
10	0	38
11	0	27
12	0	38
13	0	45
14	0	31
15	0	20
16	0	12
17	0	5
18	0	12
19	0	8
20	0	8
21	0	0
22	0	24
23	0	16
0	1	15
1	1	34
2	1	15
3	1	40
4	1	40
5	1	0
6	1	8
7	1	46
8	1	46
9	1	0
10	1	34
11	1	34
12	1	15
13	1	34
14	1	8
15	1	40
16	1	34
17	1	40
18	1	28
19	1	34
20	1	28
21	1	28
22	1	21
23	1	15
0	2	45
1	2	18
2	2	14
3	2	45
4	2	18
5	2	38
6	2	18
7	2	14
8	2	22
9	2	26
10	2	38
11	2	30
12	2	79
13	2	59
14	2	49
15	2	14
16	2	5
17	2	0
18	2	5
19	2	0
20	2	0
21	2	5
22	2	30
23	2	38
0	3	0
1	3	48
2	3	13
3	3	13
4	3	37
5	3	48
6	3	58
7	3	13
8	3	37
9	3	25
10	3	58
11	3	13
12	3	13
13	3	37
14	3	0
15	3	13
16	3	13
17	3	0
18	3	13
19	3	0
20	3	0
21	3	58
22	3	0
23	3	13
0	4	0
1	4	0
2	4	0
3	4	0
4	4	0
5	4	0
6	4	0
7	4	0
8	4	0
9	4	0
10	4	0
11	4	0
12	4	0
13	4	0
14	4	0
15	4	0
16	4	0
17	4	0
18	4	0
19	4	0
20	4	0
21	4	0
22	4	0
23	4	0
0	5	32
1	5	11
2	5	0
3	5	0
4	5	0
5	5	0
6	5	0
7	5	41
8	5	22
9	5	32
10	5	50
11	5	67
12	5	75
13	5	67
14	5	11
15	5	32
16	5	0
17	5	0
18	5	0
19	5	0
20	5	11
21	5	0
22	5	22
23	5	32
0	6	0
1	6	0
2	6	0
3	6	0
4	6	0
5	6	0
6	6	64
7	6	0
8	6	0
9	6	0
10	6	0
11	6	0
12	6	0
13	6	0
14	6	0
15	6	64
16	6	0
17	6	0
18	6	0
19	6	0
20	6	0
21	6	0
22	6	0
23	6	0
0	7	33
1	7	44
2	7	39
3	7	52
4	7	34
5	7	33
6	7	48
7	7	39
8	7	42
9	7	42
10	7	44
11	7	42
12	7	37
13	7	37
14	7	26
15	7	23
16	7	11
17	7	9
18	7	9
19	7	7
20	7	9
21	7	19
22	7	33
23	7	29
0	8	55
1	8	53
2	8	38
3	8	43
4	8	43
5	8	31
6	8	23
7	8	43
8	8	53
9	8	36
10	8	25
11	8	38
12	8	17
13	8	23
14	8	28
15	8	12
16	8	9
17	8	3
18	8	3
19	8	15
20	8	15
21	8	12
22	8	20
23	8	60
0	9	67
1	9	25
2	9	36
3	9	13
4	9	25
5	9	13
6	9	25
7	9	13
8	9	58
9	9	25
10	9	47
11	9	25
12	9	47
13	9	130
14	9	13
15	9	13
16	9	13
17	9	0
18	9	0
19	9	0
20	9	13
21	9	13
22	9	47
23	9	94
0	10	10
1	10	20
2	10	6
3	10	6
4	10	20
5	10	10
6	10	29
7	10	10
8	10	25
9	10	25
10	10	20
11	10	6
12	10	29
13	10	25
14	10	10
15	10	6
16	10	0
17	10	0
18	10	6
19	10	34
20	10	25
21	10	10
22	10	0
23	10	6
0	11	0
1	11	0
2	11	0
3	11	0
4	11	0
5	11	0
6	11	0
7	11	0
8	11	0
9	11	0
10	11	0
11	11	0
12	11	0
13	11	0
14	11	0
15	11	0
16	11	0
17	11	0
18	11	0
19	11	0
20	11	0
21	11	0
22	11	0
23	11	0
0	12	37
1	12	40
2	12	36
3	12	43
4	12	34
5	12	32
6	12	38
7	12	39
8	12	33
9	12	40
10	12	47
11	12	47
12	12	48
13	12	51
14	12	39
15	12	25
16	12	17
17	12	13
18	12	7
19	12	5
20	12	6
