Counts for Apple(2) in Republic of Korea(36):
Hour	Location Index	Count
0	0	0
1	0	0
2	0	12
3	0	27
4	0	5
5	0	16
6	0	41
7	0	8
8	0	5
9	0	12
10	0	16
11	0	20
12	0	31
13	0	20
14	0	0
15	0	12
16	0	8
17	0	16
18	0	16
19	0	8
20	0	0
21	0	0
22	0	0
23	0	0
0	1	15
1	1	15
2	1	8
3	1	28
4	1	28
5	1	21
6	1	15
7	1	15
8	1	0
9	1	21
10	1	28
11	1	28
12	1	21
13	1	15
14	1	28
15	1	8
16	1	0
17	1	8
18	1	0
19	1	0
20	1	21
21	1	8
22	1	8
23	1	21
0	2	9
1	2	14
2	2	30
3	2	14
4	2	14
5	2	9
6	2	5
7	2	9
8	2	5
9	2	38
10	2	56
11	2	26
12	2	52
13	2	18
14	2	18
15	2	26
16	2	14
17	2	0
18	2	5
19	2	9
20	2	9
21	2	22
22	2	14
23	2	26
0	3	37
1	3	0
2	3	0
3	3	0
4	3	13
5	3	0
6	3	13
7	3	0
8	3	0
9	3	13
10	3	13
11	3	0
12	3	0
13	3	0
14	3	0
15	3	13
16	3	0
17	3	0
18	3	0
19	3	0
20	3	0
21	3	0
22	3	0
23	3	0
0	4	0
1	4	0
2	4	0
3	4	0
4	4	0
5	4	0
6	4	0
7	4	0
8	4	0
9	4	0
10	4	0
11	4	230
12	4	0
13	4	0
14	4	230
15	4	0
16	4	0
17	4	0
18	4	0
19	4	0
20	4	0
21	4	0
22	4	0
23	4	0
0	5	0
1	5	0
2	5	0
3	5	11
4	5	0
5	5	0
6	5	0
7	5	0
8	5	11
9	5	0
10	5	0
11	5	11
12	5	11
13	5	0
14	5	11
15	5	22
16	5	0
17	5	0
18	5	0
19	5	11
20	5	0
21	5	0
22	5	0
23	5	0
0	6	64
1	6	0
2	6	0
3	6	0
4	6	0
5	6	0
6	6	64
7	6	0
8	6	0
9	6	0
10	6	64
11	6	0
12	6	112
13	6	112
14	6	175
15	6	0
16	6	64
17	6	0
18	6	0
19	6	64
20	6	0
21	6	0
22	6	0
23	6	0
0	7	1
1	7	2
2	7	2
3	7	2
4	7	3
5	7	2
6	7	2
7	7	1
8	7	2
9	7	2
10	7	1
11	7	2
12	7	2
13	7	1
14	7	1
15	7	1
16	7	1
17	7	1
18	7	1
19	7	1
20	7	1
21	7	1
22	7	1
23	7	1
0	8	12
1	8	3
2	8	12
3	8	25
4	8	0
5	8	6
6	8	12
7	8	36
8	8	6
9	8	9
10	8	6
11	8	15
12	8	6
13	8	9
14	8	9
15	8	12
16	8	6
17	8	0
18	8	0
19	8	15
20	8	0
21	8	6
22	8	3
23	8	12
0	9	13
1	9	0
2	9	0
3	9	0
4	9	0
5	9	0
6	9	13
7	9	0
8	9	0
9	9	0
10	9	0
11	9	13
12	9	0
13	9	0
14	9	36
15	9	0
16	9	25
17	9	0
18	9	13
19	9	0
20	9	13
21	9	67
22	9	25
23	9	0
0	10	6
1	10	0
2	10	0
3	10	10
4	10	10
5	10	51
6	10	42
7	10	29
8	10	20
9	10	66
10	10	34
11	10	47
12	10	20
13	10	51
14	10	38
15	10	42
16	10	25
17	10	25
18	10	34
19	10	20
20	10	55
21	10	20
22	10	10
23	10	6
0	11	0
1	11	0
2	11	0
3	11	0
4	11	0
5	11	0
6	11	0
7	11	0
8	11	0
9	11	0
10	11	0
11	11	0
12	11	0
13	11	0
14	11	0
15	11	0
16	11	0
17	11	0
18	11	0
19	11	0
20	11	0
21	11	0
22	11	0
23	11	0
0	12	11
1	12	11
2	12	9
3	12	11
4	12	11
5	12	10
6	12	8
7	12	9
8	12	11
9	12	14
10	12	15
11	12	15
12	12	13
13	12	13
14	12	10
15	12	6
16	12	4
17	12	5
18	12	3
19	12	2
20	12	3
21	12	6
22	12	11
23	12	11
0	13	36
1	13	13
2	13	0
3	13	0
4	13	0
5	13	25
6	13	25
7	13	0
8	13	13
9	13	0
10	13	0
11	13	0
12	13	25
13	13	57
14	13	0
15	13	13
16	13	13
17	13	0
18	13	0
19	13	0
20	13	0
21	13	13
22	13	0
23	13	47
0	14	0
1	14	0
2	14	0
3	14	0
4	14	0
5	14	0
6	14	0
7	14	0
8	14	0
9	14	0
10	14	0
11	14	0
12	14	0
13	14	0
14	14	0
15	14	0
16	14	201
17	14	0
18	14	0
19	14	0
20	14	0
21	14	0
22	14	0
23	14	0
0	15	20
1	15	6
2	15	23
3	15	8
4	15	15
5	15	15
6	15	18
7	15	20
8	15	3
9	15	8
10	15	23
11	15	15
12	15	34
13	15	32
14	15	18
15	15	11
16	15	18
17	15	8
18	15	15
19	15	13
20	15	6
21	15	6
22	15	20
23	15	8
0	16	118
1	16	0
2	16	154
3	16	68
4	16	0
5	16	0
6	16	0
7	16	0
8	16	118
9	16	0
10	16	0
11	16	0
12	16	0
13	16	0
14	16	68
15	16	0
16	16	0
17	16	0
18	16	0
19	16	0
20	16	0
21	16	0
22	16	0
23	16	68
0	17	14
1	17	15
2	17	14
3	17	16
4	17	14
5	17	14
6	17	16
7	17	15
8	17	17
9	17	17
10	17	18
11	17	19
12	17	19
13	17	20
14	17	18
15	17	14
16	17	10
17	17	8
18	17	6
19	17	5
20	17	6
21	17	9
22	17	13
23	17	15
0	18	8
1	18	17
2	18	11
3	18	10
4	18	10
5	18	13
6	18	12
7	18	13
8	18	11
9	18	12
10	18	10
11	18	7
12	18	11
13	18	10
14	18	11
15	18	4
16	18	8
17	18	4
18	18	1
19	18	2
20	18	3
21	18	4
22	18	8
23	18	10
0	19	34
1	19	63
2	19	0
3	19	34
4	19	18
5	19	18
6	19	63
7	19	110
8	19	34
9	19	63
10	19	0
11	19	18
12	19	0
13	19	0
14	19	18
15	19	0
16	19	0
17	19	0
18	19	0
19	19	18
20	19	0
21	19	0
22	19	0
23	19	0
0	20	0
1	20	0
2	20	0
3	20	0
4	20	0
5	20	0
6	20	0
7	20	0
8	20	0
9	20	0
10	20	0
11	20	0
12	20	0
13	20	0
14	20	0
15	20	0
16	20	0
17	20	0
18	20	0
19	20	0
20	20	0
21	20	0
22	20	0
23	20	0
0	21	16
1	21	28
2	21	22
3	21	5
4	21	4
5	21	8
6	21	21
7	21	4
8	21	7
9	21	21
10	21	15
11	21	13
12	21	27
13	21	37
14	21	18
15	21	12
16	21	12
17	21	19
18	21	2
19	21	5
20	21	0
21	21	0
22	21	12
23	21	21
0	22	0
1	22	0
2	22	0
3	22	0
4	22	0
5	22	0
6	22	0
7	22	0
8	22	0
9	22	0
10	22	0
11	22	0
12	22	0
13	22	0
14	22	0
15	22	0
16	22	0
17	22	0
18	22	0
19	22	0
20	22	0
21	22	0
22	22	0
23	22	0
0	23	0
1	23	0
2	23	0
3	23	0
4	23	0
5	23	0
6	23	0
7	23	0
8	23	0
9	23	0
10	23	0
11	23	0
12	23	77
13	23	0
14	23	0
