Counts for LG(8) in Republic of Korea(36):
Hour	Location Index	Count
0	0	27
1	0	0
2	0	0
3	0	5
4	0	0
5	0	16
6	0	0
7	0	0
8	0	8
9	0	5
10	0	0
11	0	24
12	0	16
13	0	20
14	0	27
15	0	20
16	0	16
17	0	0
18	0	0
19	0	0
20	0	5
21	0	0
22	0	8
23	0	8
0	1	8
1	1	0
2	1	0
3	1	0
4	1	0
5	1	0
6	1	0
7	1	0
8	1	0
9	1	0
10	1	0
11	1	0
12	1	0
13	1	8
14	1	15
15	1	8
16	1	0
17	1	0
18	1	0
19	1	0
20	1	0
21	1	0
22	1	0
23	1	15
0	2	0
1	2	0
2	2	0
3	2	0
4	2	0
5	2	0
6	2	0
7	2	0
8	2	0
9	2	0
10	2	0
11	2	0
12	2	9
13	2	5
14	2	0
15	2	0
16	2	0
17	2	0
18	2	0
19	2	0
20	2	0
21	2	0
22	2	0
23	2	5
0	3	13
1	3	25
2	3	25
3	3	25
4	3	25
5	3	13
6	3	48
7	3	0
8	3	0
9	3	25
10	3	37
11	3	25
12	3	0
13	3	58
14	3	25
15	3	0
16	3	0
17	3	0
18	3	13
19	3	13
20	3	13
21	3	48
22	3	0
23	3	0
0	4	0
1	4	0
2	4	0
3	4	0
4	4	0
5	4	0
6	4	0
7	4	0
8	4	0
9	4	0
10	4	0
11	4	0
12	4	0
13	4	0
14	4	0
15	4	0
16	4	0
17	4	0
18	4	0
19	4	0
20	4	0
21	4	0
22	4	0
23	4	0
0	5	11
1	5	11
2	5	22
3	5	0
4	5	0
5	5	11
6	5	0
7	5	41
8	5	0
9	5	0
10	5	0
11	5	0
12	5	0
13	5	41
14	5	0
15	5	11
16	5	0
17	5	0
18	5	0
19	5	0
20	5	0
21	5	22
22	5	0
23	5	11
0	6	0
1	6	0
2	6	0
3	6	0
4	6	0
5	6	0
6	6	0
7	6	0
8	6	0
9	6	0
10	6	0
11	6	0
12	6	0
13	6	0
14	6	0
15	6	0
16	6	0
17	6	0
18	6	0
19	6	0
20	6	0
21	6	0
22	6	0
23	6	0
0	7	13
1	7	13
2	7	14
3	7	15
4	7	15
5	7	12
6	7	16
7	7	16
8	7	16
9	7	14
10	7	14
11	7	15
12	7	15
13	7	12
14	7	13
15	7	10
16	7	7
17	7	6
18	7	3
19	7	3
20	7	3
21	7	7
22	7	10
23	7	13
0	8	12
1	8	9
2	8	12
3	8	12
4	8	9
5	8	12
6	8	12
7	8	9
8	8	6
9	8	3
10	8	3
11	8	6
12	8	3
13	8	6
14	8	3
15	8	9
16	8	6
17	8	9
18	8	0
19	8	9
20	8	9
21	8	9
22	8	0
23	8	9
0	9	0
1	9	13
2	9	0
3	9	0
4	9	13
5	9	0
6	9	0
7	9	0
8	9	0
9	9	0
10	9	0
11	9	0
12	9	0
13	9	0
14	9	13
15	9	0
16	9	0
17	9	0
18	9	0
19	9	0
20	9	0
21	9	0
22	9	0
23	9	0
0	10	0
1	10	0
2	10	0
3	10	0
4	10	0
5	10	0
6	10	0
7	10	0
8	10	0
9	10	0
10	10	0
11	10	0
12	10	15
13	10	0
14	10	0
15	10	0
16	10	0
17	10	0
18	10	0
19	10	0
20	10	0
21	10	0
22	10	0
23	10	0
0	11	0
1	11	0
2	11	0
3	11	0
4	11	0
5	11	0
6	11	0
7	11	0
8	11	0
9	11	0
10	11	0
11	11	0
12	11	0
13	11	0
14	11	0
15	11	0
16	11	0
17	11	0
18	11	0
19	11	0
20	11	0
21	11	0
22	11	0
23	11	0
0	12	5
1	12	4
2	12	4
3	12	5
4	12	4
5	12	3
6	12	4
7	12	4
8	12	6
9	12	5
10	12	5
11	12	7
12	12	6
13	12	6
14	12	4
15	12	5
16	12	3
17	12	1
18	12	1
19	12	2
20	12	2
21	12	2
22	12	2
23	12	3
0	13	13
1	13	0
2	13	13
3	13	13
4	13	0
5	13	0
6	13	13
7	13	0
8	13	0
9	13	0
10	13	13
11	13	0
12	13	13
