Counts for Samsung(12) in Saudi Arabia(38):
Hour	Location Index	Count
0	0	2
1	0	3
2	0	2
3	0	17
4	0	16
5	0	14
6	0	10
7	0	9
8	0	20
9	0	9
10	0	14
11	0	8
12	0	9
13	0	11
14	0	14
15	0	11
16	0	8
17	0	14
18	0	18
19	0	25
20	0	11
21	0	12
22	0	5
23	0	1
0	1	12
1	1	0
2	1	12
3	1	0
4	1	23
5	1	33
6	1	0
7	1	23
8	1	43
9	1	12
10	1	12
11	1	62
12	1	71
13	1	12
14	1	23
15	1	12
16	1	53
17	1	62
18	1	43
19	1	23
20	1	43
21	1	23
22	1	95
23	1	43
0	2	0
1	2	0
2	2	0
3	2	0
4	2	0
5	2	20
6	2	0
7	2	20
8	2	0
9	2	38
10	2	38
11	2	55
12	2	0
13	2	20
14	2	0
15	2	0
16	2	0
17	2	20
18	2	0
19	2	0
20	2	0
21	2	0
22	2	0
23	2	0
0	3	19
1	3	16
2	3	13
3	3	14
4	3	16
5	3	15
6	3	16
7	3	17
8	3	17
9	3	19
10	3	24
11	3	24
12	3	20
13	3	18
14	3	22
15	3	17
16	3	27
17	3	28
18	3	25
19	3	24
20	3	37
21	3	34
22	3	26
23	3	21
0	4	0
1	4	0
2	4	22
3	4	22
4	4	0
5	4	0
6	4	22
7	4	0
8	4	0
9	4	0
10	4	41
11	4	22
12	4	0
13	4	41
14	4	41
15	4	22
16	4	0
17	4	0
18	4	104
19	4	22
20	4	0
21	4	59
22	4	59
23	4	0
0	5	11
1	5	21
2	5	7
3	5	11
4	5	11
5	5	21
6	5	17
7	5	36
8	5	14
9	5	24
10	5	24
11	5	17
12	5	24
13	5	11
14	5	33
15	5	21
16	5	24
17	5	17
18	5	30
19	5	21
20	5	51
21	5	21
22	5	33
23	5	14
0	6	51
1	6	19
2	6	0
3	6	19
4	6	36
5	6	19
6	6	51
7	6	19
8	6	19
9	6	36
10	6	0
11	6	19
12	6	19
13	6	0
14	6	19
15	6	0
16	6	36
17	6	51
18	6	0
19	6	0
20	6	19
21	6	19
22	6	66
23	6	36
0	7	0
1	7	0
2	7	0
3	7	0
4	7	0
5	7	0
6	7	0
7	7	0
8	7	0
9	7	0
10	7	0
11	7	0
12	7	0
13	7	0
14	7	0
15	7	0
16	7	0
17	7	0
18	7	0
19	7	0
20	7	0
21	7	0
22	7	0
23	7	0
0	8	25
1	8	22
2	8	22
3	8	16
4	8	7
5	8	25
6	8	10
7	8	28
8	8	22
9	8	19
10	8	22
11	8	30
12	8	28
13	8	33
14	8	25
15	8	25
16	8	25
17	8	10
18	8	30
19	8	47
20	8	49
21	8	36
22	8	57
23	8	52
0	9	17
1	9	15
2	9	12
3	9	14
4	9	17
5	9	14
6	9	17
7	9	19
8	9	22
9	9	29
10	9	28
11	9	25
12	9	18
13	9	16
14	9	20
15	9	24
16	9	29
17	9	29
18	9	22
19	9	33
20	9	42
21	9	46
22	9	26
23	9	21
0	10	0
1	10	0
2	10	0
3	10	0
4	10	0
5	10	0
6	10	0
7	10	47
8	10	17
9	10	32
10	10	73
11	10	60
12	10	17
13	10	0
14	10	17
15	10	0
16	10	17
17	10	0
18	10	17
19	10	0
20	10	0
21	10	17
22	10	0
23	10	0
0	11	21
1	11	15
2	11	15
3	11	15
4	11	15
5	11	14
6	11	14
7	11	17
8	11	19
9	11	21
10	11	25
11	11	26
12	11	23
13	11	21
14	11	21
15	11	24
16	11	25
17	11	25
18	11	26
19	11	29
20	11	37
21	11	35
22	11	31
23	11	26
0	12	26
1	12	21
2	12	17
3	12	18
4	12	17
5	12	16
6	12	16
7	12	19
8	12	21
9	12	21
10	12	26
11	12	29
12	12	26
13	12	23
14	12	21
15	12	24
16	12	28
17	12	26
18	12	27
19	12	33
20	12	42
21	12	41
22	12	39
23	12	32
0	13	17
1	13	9
2	13	15
3	13	12
4	13	14
5	13	17
6	13	18
7	13	19
8	13	19
9	13	22
10	13	25
11	13	29
12	13	22
13	13	20
