Counts for Apple(2) in Saudi Arabia(38):
Hour	Location Index	Count
0	0	3
1	0	9
2	0	14
3	0	15
4	0	33
5	0	26
6	0	39
7	0	45
8	0	29
9	0	35
10	0	42
11	0	37
12	0	37
13	0	37
14	0	33
15	0	45
16	0	45
17	0	37
18	0	49
19	0	44
20	0	34
21	0	25
22	0	14
23	0	9
0	1	0
1	1	0
2	1	33
3	1	0
4	1	0
5	1	12
6	1	12
7	1	12
8	1	12
9	1	0
10	1	12
11	1	0
12	1	0
13	1	23
14	1	0
15	1	43
16	1	0
17	1	23
18	1	33
19	1	0
20	1	23
21	1	33
22	1	12
23	1	12
0	2	0
1	2	0
2	2	0
3	2	0
4	2	0
5	2	84
6	2	109
7	2	184
8	2	84
9	2	38
10	2	97
11	2	55
12	2	0
13	2	0
14	2	0
15	2	0
16	2	0
17	2	0
18	2	0
19	2	0
20	2	0
21	2	0
22	2	0
23	2	0
0	3	17
1	3	11
2	3	10
3	3	15
4	3	8
5	3	21
6	3	18
7	3	15
8	3	15
9	3	17
10	3	19
11	3	16
12	3	21
13	3	21
14	3	19
15	3	20
16	3	26
17	3	27
18	3	28
19	3	32
20	3	34
21	3	29
22	3	21
23	3	14
0	4	0
1	4	0
2	4	0
3	4	0
4	4	0
5	4	0
6	4	0
7	4	0
8	4	22
9	4	59
10	4	59
11	4	0
12	4	0
13	4	75
14	4	75
15	4	41
16	4	0
17	4	0
18	4	0
19	4	22
20	4	75
21	4	0
22	4	22
23	4	59
0	5	14
1	5	4
2	5	11
3	5	11
4	5	4
5	5	14
6	5	14
7	5	33
8	5	24
9	5	27
10	5	17
11	5	11
12	5	24
13	5	14
14	5	39
15	5	7
16	5	36
17	5	14
18	5	21
19	5	24
20	5	24
21	5	17
22	5	48
23	5	24
0	6	0
1	6	36
2	6	0
3	6	0
4	6	0
5	6	36
6	6	0
7	6	0
8	6	36
9	6	36
10	6	0
11	6	0
12	6	0
13	6	0
14	6	0
15	6	0
16	6	19
17	6	0
18	6	36
19	6	36
20	6	19
21	6	51
22	6	0
23	6	36
0	7	0
1	7	0
2	7	0
3	7	0
4	7	0
5	7	0
6	7	0
7	7	0
8	7	0
9	7	0
10	7	0
11	7	0
12	7	0
13	7	0
14	7	0
15	7	0
16	7	0
17	7	0
18	7	253
19	7	0
20	7	0
21	7	0
22	7	0
23	7	0
0	8	16
1	8	10
2	8	13
3	8	19
4	8	4
5	8	22
6	8	10
7	8	4
8	8	4
9	8	16
10	8	13
11	8	16
12	8	13
13	8	33
14	8	10
15	8	7
16	8	16
17	8	7
18	8	22
19	8	13
20	8	28
21	8	22
22	8	16
23	8	19
0	9	12
1	9	13
2	9	12
3	9	11
4	9	16
5	9	16
6	9	15
7	9	13
8	9	15
9	9	16
10	9	21
11	9	21
12	9	21
13	9	23
14	9	20
15	9	25
16	9	26
17	9	21
18	9	21
19	9	22
20	9	27
21	9	20
22	9	20
23	9	22
0	10	0
1	10	0
