Counts for Samsung(12) in Singapore(39):
Hour	Location Index	Count
0	0	0
1	0	29
2	0	15
3	0	0
4	0	15
5	0	15
6	0	0
7	0	0
8	0	29
9	0	0
10	0	0
11	0	15
12	0	0
13	0	42
14	0	15
15	0	29
16	0	29
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	15
0	1	18
1	1	25
2	1	15
3	1	13
4	1	18
5	1	16
6	1	20
7	1	24
8	1	16
9	1	18
10	1	15
11	1	34
12	1	34
13	1	45
14	1	44
15	1	45
16	1	44
17	1	31
18	1	7
19	1	7
20	1	1
21	1	2
22	1	13
23	1	9
0	2	0
1	2	68
2	2	0
3	2	0
4	2	0
5	2	0
6	2	0
7	2	0
8	2	0
9	2	68
10	2	0
11	2	0
12	2	0
13	2	0
14	2	0
15	2	0
16	2	0
17	2	0
18	2	0
19	2	0
20	2	0
21	2	0
22	2	0
23	2	68
0	3	5
1	3	9
2	3	13
3	3	9
4	3	20
5	3	16
6	3	13
7	3	24
8	3	20
9	3	16
10	3	20
11	3	13
12	3	0
13	3	28
14	3	9
15	3	9
16	3	24
17	3	13
18	3	20
19	3	5
20	3	5
21	3	0
22	3	9
23	3	9
0	4	7
1	4	15
2	4	22
3	4	22
4	4	17
5	4	13
6	4	15
7	4	11
8	4	23
9	4	12
10	4	4
11	4	15
12	4	15
13	4	28
14	4	32
15	4	36
16	4	35
17	4	10
18	4	4
19	4	10
20	4	3
21	4	4
22	4	17
23	4	3
0	5	0
1	5	17
2	5	6
3	5	22
4	5	17
5	5	11
6	5	11
7	5	32
8	5	22
9	5	17
10	5	17
11	5	6
12	5	17
13	5	0
14	5	22
15	5	6
16	5	17
17	5	17
18	5	6
19	5	0
20	5	0
21	5	0
22	5	22
23	5	0
0	6	43
1	6	67
2	6	30
3	6	30
4	6	15
5	6	0
6	6	0
7	6	15
8	6	30
9	6	0
10	6	43
11	6	43
12	6	43
13	6	55
14	6	43
15	6	55
16	6	55
17	6	0
18	6	0
19	6	0
20	6	15
21	6	30
22	6	15
23	6	43
0	7	8
1	7	10
2	7	18
3	7	15
4	7	8
5	7	13
6	7	0
7	7	13
8	7	18
9	7	18
10	7	6
11	7	18
12	7	27
13	7	27
14	7	44
15	7	50
16	7	13
17	7	10
18	7	6
19	7	8
20	7	0
21	7	3
22	7	10
23	7	0
0	8	10
1	8	10
2	8	10
3	8	41
4	8	12
5	8	12
6	8	10
7	8	12
8	8	19
9	8	12
10	8	24
11	8	30
12	8	45
13	8	39
14	8	32
15	8	67
16	8	28
17	8	19
18	8	3
19	8	10
20	8	8
21	8	5
22	8	0
23	8	15
0	9	6
1	9	27
2	9	22
3	9	48
4	9	19
5	9	19
6	9	3
7	9	24
8	9	24
9	9	14
10	9	19
11	9	17
12	9	19
13	9	11
14	9	34
15	9	27
16	9	3
17	9	32
18	9	9
19	9	19
20	9	6
21	9	11
22	9	3
23	9	3
0	10	86
1	10	0
2	10	0
3	10	0
4	10	0
5	10	0
6	10	33
7	10	33
8	10	0
9	10	0
10	10	0
11	10	0
12	10	0
13	10	0
14	10	0
15	10	0
16	10	0
17	10	0
18	10	0
19	10	0
20	10	0
21	10	0
22	10	0
23	10	0
0	11	7
1	11	7
2	11	25
3	11	7
4	11	25
5	11	25
6	11	0
7	11	0
8	11	19
9	11	13
10	11	31
11	11	7
12	11	53
13	11	81
14	11	13
15	11	31
16	11	19
17	11	31
18	11	0
19	11	0
20	11	0
21	11	0
22	11	7
23	11	13
0	12	0
1	12	0
2	12	0
3	12	0
4	12	0
5	12	0
6	12	0
7	12	0
8	12	98
9	12	55
10	12	0
11	12	0
12	12	0
13	12	0
14	12	0
15	12	0
16	12	0
17	12	0
18	12	0
19	12	0
20	12	0
21	12	0
22	12	0
23	12	0
0	13	0
1	13	0
2	13	0
3	13	0
4	13	0
5	13	0
6	13	0
7	13	0
8	13	0
9	13	0
10	13	0
11	13	0
12	13	0
13	13	0
